date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,ADP,USD,0000008670,1995-05-11,1995-05-11 00:00:00,1995,Q3,799000000,309600000,489400000,0.6125156446,48100000,224100000,0,224100000,42100000,314300000,623900000,0,0,42100000,217200000,0.2718397997,175100000,0.2191489362,-6000000,169100000,0.2116395494,43800000,125300000,0.1568210263,0.22,0.22,569545455,569545455,https://www.sec.gov/Archives/edgar/data/8670/000000867095000004/0000008670-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/8670/,3080200000,2019600000,Industrials,Staffing & Employment Services,NASDAQ,1980-03-17
1995-06-30,ADP,USD,0000008670,1995-09-21,1995-09-21 00:00:00,1995,Q4,799800000,346900000,452900000,0.5662665666,54300000,195200000,0,195200000,52900000,302400000,649300000,0,0,52900000,203400000,0.2543135784,150500000,0.188172043,-6000000,144500000,0.1806701675,38600000,105900000,0.132408102,0.19,0.19,546000000,546000000,https://www.sec.gov/Archives/edgar/data/8670/000091205795007958/0000912057-95-007958-index.html,https://www.sec.gov/Archives/edgar/data/8670/,3201100000,2096600000,Industrials,Staffing & Employment Services,NASDAQ,1980-03-17
1995-09-30,ADP,USD,0000008670,1995-11-14,1995-11-14 00:00:00,1996,Q1,747100000,316800000,430300000,0.5759603801,54200000,215000000,0,215000000,44500000,313700000,630500000,0,0,44500000,161100000,0.215633784,116600000,0.1560701379,-5800000,110800000,0.1483067862,28900000,81900000,0.109623879,0.15,0.15,546000000,546000000,https://www.sec.gov/Archives/edgar/data/8670/000000867095000015/0000008670-95-000015-index.html,https://www.sec.gov/Archives/edgar/data/8670/,3275400000,2131500000,Industrials,Staffing & Employment Services,NASDAQ,1980-03-17
1995-12-31,ADP,USD,0000008670,1996-02-13,1996-02-13 00:00:00,1996,Q2,819700000,342700000,477000000,0.5819202147,58900000,210300000,0,210300000,48600000,317800000,660500000,0,0,48600000,207800000,0.2535073807,159200000,0.1942173966,-8600000,150600000,0.1837257533,41700000,108900000,0.132853483,0.19,0.19,573157895,573157895,https://www.sec.gov/Archives/edgar/data/8670/000000867096000002/0000008670-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/8670/,3727500000,2249200000,Industrials,Staffing & Employment Services,NASDAQ,1980-03-17
1996-03-31,ADP,USD,0000008670,1996-05-10,1996-05-10 00:00:00,1996,Q3,1031900000,428400000,603500000,0.5848434926,63800000,276700000,0,276700000,55300000,395800000,824200000,0,0,55300000,263000000,0.2548696579,207700000,0.2012791937,-7800000,199900000,0.1937203217,56000000,143900000,0.1394514972,0.25,0.25,575600000,575600000,https://www.sec.gov/Archives/edgar/data/8670/000000867096000004/0000008670-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/8670/,3946500000,2419900000,Industrials,Staffing & Employment Services,NASDAQ,1980-03-17
1996-06-30,ADP,USD,0000008670,1996-09-23,1996-09-23 00:00:00,1996,Q4,967900000,428600000,539300000,0.5571856597,72800000,231700000,0,231700000,53200000,357700000,786300000,0,0,53200000,234800000,0.2425870441,181600000,0.1876226883,-7500000,174100000,0.1798739539,54100000,120000000,0.12397975,0.21,0.21,571071584,583125000,https://www.sec.gov/Archives/edgar/data/8670/000095011296003416/0000950112-96-003416-index.html,https://www.sec.gov/Archives/edgar/data/8670/,3839900000,2315300000,Industrials,Staffing & Employment Services,NASDAQ,1980-03-17
1996-09-30,ADP,USD,0000008670,1996-11-13,1996-11-13 00:00:00,1997,Q1,910700000,391500000,519200000,0.5701109037,66100000,260800000,0,260800000,53100000,380000000,771500000,0,0,53100000,192300000,0.2111562534,139200000,0.1528494565,-7100000,132100000,0.1450532557,38800000,93300000,0.1024486659,0.16,0.16,583125000,583125000,https://www.sec.gov/Archives/edgar/data/8670/000000867096000006/0000008670-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/8670/,3970900000,2370500000,Industrials,Staffing & Employment Services,NASDAQ,1980-03-17
1996-12-31,ADP,USD,0000008670,1997-02-14,1997-02-14 00:00:00,1997,Q2,995600000,418000000,577600000,0.5801526718,73100000,261500000,0,261500000,55300000,389900000,807900000,0,0,55300000,243000000,0.2440739253,187700000,0.1885295299,-7000000,180700000,0.1814985938,53100000,127600000,0.1281639213,0.22,0.22,580000000,580000000,https://www.sec.gov/Archives/edgar/data/8670/000000867097000002/0000008670-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/8670/,4123800000,2526600000,Industrials,Staffing & Employment Services,NASDAQ,1980-03-17
1997-03-31,ADP,USD,0000008670,1997-05-14,1997-05-14 00:00:00,1997,Q3,1126300000,440300000,686000000,0.609073959,74800000,308100000,0,308100000,59200000,442100000,882400000,0,0,59100000,303100000,0.2691112492,243900000,0.2165497647,-7300000,236600000,0.2100683654,71700000,164900000,0.1464085945,0.28,0.28,588928571,588928571,https://www.sec.gov/Archives/edgar/data/8670/000091205797017567/0000912057-97-017567-index.html,https://www.sec.gov/Archives/edgar/data/8670/,4283300000,2583900000,Industrials,Staffing & Employment Services,NASDAQ,1980-03-17
1997-06-30,ADP,USD,0000008670,1997-09-18,1997-09-18 00:00:00,1997,Q4,1079600000,473100000,606500000,0.5617821415,82500000,257700000,0,257700000,55900000,396100000,869200000,0,0,55900000,266300000,0.2466654316,210400000,0.1948869952,-35900000,174500000,0.1616339385,46800000,127700000,0.1182845498,0.22,0.22,585555556,585555556,https://www.sec.gov/Archives/edgar/data/8670/000091205797031091/0000912057-97-031091-index.html,https://www.sec.gov/Archives/edgar/data/8670/,4382800000,2660600000,Industrials,Staffing & Employment Services,NASDAQ,1980-03-17
