date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-01-31,ADSK,USD,0000769397,1995-05-01,1995-05-01 00:00:00,1995,Q4,129600000,11600000,118000000,0.9104938272,16700000,60200000,0,60200000,5700000,82600000,94200000,0,0,5700000,41100000,0.3171296296,35400000,0.2731481481,-23300000,12100000,0.0933641975,4400000,7700000,0.0594135802,0.038,0.038,203921569,203921569,https://www.sec.gov/Archives/edgar/data/769397/000089843095000671/0000898430-95-000671-index.html,https://www.sec.gov/Archives/edgar/data/769397/,482100000,323500000,Technology,Software - Application,NASDAQ,1985-06-28
1995-04-30,ADSK,USD,0000769397,1995-06-12,1995-06-12 00:00:00,1996,Q1,138700000,10600000,128100000,0.9235760634,19200000,63800000,0,63800000,6700000,89700000,100300000,0,0,6700000,45100000,0.3251622206,38400000,0.2768565249,2500000,40900000,0.2948810382,14900000,26000000,0.1874549387,0.0319,0.0319,188080000,188080000,https://www.sec.gov/Archives/edgar/data/769397/000089843095001065/0000898430-95-001065-index.html,https://www.sec.gov/Archives/edgar/data/769397/,512700000,361200000,Technology,Software - Application,NASDAQ,1985-06-28
1995-07-31,ADSK,USD,0000769397,1995-09-14,1995-09-14 00:00:00,1996,Q2,140700000,10500000,130200000,0.9253731343,19500000,64900000,0,64900000,6900000,91300000,101800000,0,0,6900000,45800000,0.3255152807,38900000,0.276474769,2500000,41400000,0.2942430704,15100000,26300000,0.1869225302,0.0325,0.0325,188080000,188080000,https://www.sec.gov/Archives/edgar/data/769397/000089843095001828/0000898430-95-001828-index.html,https://www.sec.gov/Archives/edgar/data/769397/,529300000,369400000,Technology,Software - Application,NASDAQ,1985-06-28
1995-10-31,ADSK,USD,0000769397,1995-12-15,1995-12-15 00:00:00,1996,Q3,128500000,9500000,119000000,0.9260700389,19600000,64700000,0,64700000,6600000,90900000,100400000,0,0,6600000,34700000,0.2700389105,28100000,0.2186770428,2100000,30200000,0.2350194553,11000000,19200000,0.1494163424,0.0238,0.0238,185404000,185404000,https://www.sec.gov/Archives/edgar/data/769397/000095010995005298/0000950109-95-005298-index.html,https://www.sec.gov/Archives/edgar/data/769397/,529600000,362700000,Technology,Software - Application,NASDAQ,1985-06-28
1996-01-31,ADSK,USD,0000769397,1996-04-30,1996-04-30 00:00:00,1996,Q4,126300000,11000000,115300000,0.9129057799,20500000,66200000,0,66200000,5000000,91700000,102700000,0,0,5000000,28600000,0.2264449723,23600000,0.1868566904,2100000,25700000,0.2034837688,9400000,16300000,0.1290577989,0.087,0.083,186341463,195897436,https://www.sec.gov/Archives/edgar/data/769397/000094420996000032/0000944209-96-000032-index.html,https://www.sec.gov/Archives/edgar/data/769397/,517900000,342300000,Technology,Software - Application,NASDAQ,1985-06-28
1996-04-30,ADSK,USD,0000769397,1996-06-14,1996-06-14 00:00:00,1997,Q1,136300000,9800000,126500000,0.9280997799,22900000,68000000,0,68000000,7500000,98400000,108200000,0,0,7500000,35600000,0.2611885547,28100000,0.206162876,1500000,29600000,0.2171680117,10500000,19100000,0.1401320616,0.0244,0.0244,184328000,184328000,https://www.sec.gov/Archives/edgar/data/769397/000092962496000084/0000929624-96-000084-index.html,https://www.sec.gov/Archives/edgar/data/769397/,520200000,343400000,Technology,Software - Application,NASDAQ,1985-06-28
1996-07-31,ADSK,USD,0000769397,1996-09-16,1996-09-16 00:00:00,1997,Q2,128700000,8100000,120600000,0.9370629371,22900000,68900000,0,68900000,8500000,100300000,108400000,0,0,8500000,25600000,0.1989121989,20300000,0.1577311577,-1800000,18500000,0.1437451437,7900000,10600000,0.0823620824,0.0138,0.0138,192400000,192400000,https://www.sec.gov/Archives/edgar/data/769397/000092962496000188/0000929624-96-000188-index.html,https://www.sec.gov/Archives/edgar/data/769397/,510800000,328400000,Technology,Software - Application,NASDAQ,1985-06-28
1996-10-31,ADSK,USD,0000769397,1996-12-16,1996-12-16 00:00:00,1997,Q3,116600000,6200000,110400000,0.9468267581,23700000,68700000,0,68700000,9000000,101400000,107600000,0,0,9000000,18000000,0.154373928,9000000,0.077186964,100000,9100000,0.0780445969,3200000,5900000,0.0506003431,0.0081,0.0081,192400000,192400000,https://www.sec.gov/Archives/edgar/data/769397/000092962496000309/0000929624-96-000309-index.html,https://www.sec.gov/Archives/edgar/data/769397/,477200000,243900000,Technology,Software - Application,NASDAQ,1985-06-28
1997-01-31,ADSK,USD,0000769397,1997-05-01,1997-05-01 00:00:00,1997,Q4,115000000,5400000,109600000,0.9530434783,24200000,68600000,0,68600000,9800000,102600000,108000000,0,0,9800000,16800000,0.1460869565,7000000,0.0608695652,2300000,9300000,0.0808695652,3300000,6000000,0.052173913,0.033,0.033,183304348,183304348,https://www.sec.gov/Archives/edgar/data/769397/000092962497000492/0000929624-97-000492-index.html,https://www.sec.gov/Archives/edgar/data/769397/,492200000,243600000,Technology,Software - Application,NASDAQ,1985-06-28
1997-04-30,ADSK,USD,0000769397,1997-06-16,1997-06-16 00:00:00,1998,Q1,119000000,7900000,111100000,0.9336134454,27600000,71000000,0,71000000,8100000,106700000,114600000,0,0,8100000,12500000,0.1050420168,4400000,0.0369747899,-55800000,-51400000,-0.4319327731,1300000,-52700000,-0.4428571429,-0.28,-0.28,191628000,191628000,https://www.sec.gov/Archives/edgar/data/769397/000092962497000737/0000929624-97-000737-index.html,https://www.sec.gov/Archives/edgar/data/769397/,543300000,271000000,Technology,Software - Application,NASDAQ,1985-06-28
