date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1997-03-31,AEE,USD,0001002910,1997-03-31,1997-03-30 19:00:00,1997,Q1,759700000,0,0,0.0,0,0,0,0,759700000,759700000,759700000,0,0,0,759700000,1.0,759700000,1.0,-759700000,0,0.0,0,45000000,0.0592339081,0.33,0.33,136363636,136363636,,,,,Utilities,Regulated Electric,NYSE,1998-01-02
1997-06-30,AEE,USD,0001002910,1997-06-30,1997-06-29 20:00:00,1997,Q2,791800000,0,0,0.0,0,0,0,0,791800000,791800000,791800000,0,0,0,791800000,1.0,791800000,1.0,-791800000,0,0.0,0,79700000,0.1006567315,0.58,0.58,137413793,137413793,,,,,Utilities,Regulated Electric,NYSE,1998-01-02
1997-09-30,AEE,USD,0001002910,1997-09-30,1997-09-29 20:00:00,1997,Q3,1043100000,0,0,0.0,0,0,0,0,1043100000,1043100000,1043100000,0,0,0,1043100000,1.0,1043100000,1.0,-1043100000,0,0.0,0,215400000,0.2064998562,1.57,1.57,137197452,137197452,,,,,Utilities,Regulated Electric,NYSE,1998-01-02
1997-12-31,AEE,USD,0001002910,1998-03-30,1998-03-30 00:00:00,1997,Q4,732000000,0,0,0.0,0,0,0,0,732000000,732000000,732000000,0,0,0,-1778200000,-2.4292349727,-1778200000,-2.4292349727,1778200000,0,0.0,0,-5400000,-0.0073770492,-0.0393,-0.0392,137277234,137586207,https://www.sec.gov/Archives/edgar/data/1002910/000095012498001751/0000950124-98-001751-index.html,https://www.sec.gov/Archives/edgar/data/1002910/,8827500000.0,3254200000.0,Utilities,Regulated Electric,NYSE,1998-01-02
1998-03-31,AEE,USD,0001002910,1998-05-13,1998-05-13 00:00:00,1998,Q1,700800000,209900000,490900000,0.7004851598,0,0,0,0,370600000,370600000,580500000,0,0,0,214400000,0.3059360731,120300000,0.1716609589,-50500000,69800000,0.0996004566,29900000,39900000,0.0569349315,0.29,0.29,137586207,137586207,https://www.sec.gov/Archives/edgar/data/1002910/000010082698000037/0000100826-98-000037-index.html,https://www.sec.gov/Archives/edgar/data/1002910/,8797300000.0,3206700000.0,Utilities,Regulated Electric,NYSE,1998-01-02
1998-06-30,AEE,USD,0001002910,1998-08-13,1998-08-13 00:00:00,1998,Q2,821800000,226300000,595500000,0.7246288635,0,0,0,0,408400000,408400000,634700000,0,0,0,277100000,0.3371866634,187100000,0.2276709662,-44700000,142400000,0.1732781699,58800000,83600000,0.1017279143,0.61,0.61,137049180,137049180,https://www.sec.gov/Archives/edgar/data/1002910/000010082698000048/0000100826-98-000048-index.html,https://www.sec.gov/Archives/edgar/data/1002910/,8880400000.0,3203100000.0,Utilities,Regulated Electric,NYSE,1998-01-02
1998-09-30,AEE,USD,0001002910,1998-11-13,1998-11-13 00:00:00,1998,Q3,1117100000,252800000,864300000,0.7736997583,0,0,0,0,427100000,427100000,679900000,0,0,0,531600000,0.4758750336,437200000,0.3913705129,-46900000,390300000,0.3493868051,153600000,236700000,0.2118879241,1.73,1.73,136820809,136820809,https://www.sec.gov/Archives/edgar/data/1002910/000100291098000034/0001002910-98-000034-index.html,https://www.sec.gov/Archives/edgar/data/1002910/,9122100000.0,3352500000.0,Utilities,Regulated Electric,NYSE,1998-01-02
1998-12-31,AEE,USD,0001002910,1999-03-30,1999-03-30 00:00:00,1998,Q4,678500000,182900000,495600000,0.7304347826,0,0,0,0,401300000,401300000,584200000,0,0,0,191200000,0.281798084,94300000,0.1389830508,-42600000,51700000,0.0761974945,25400000,26300000,0.0387619749,0.19,0.19,136000000,136000000,https://www.sec.gov/Archives/edgar/data/1002910/000095012499002196/0000950124-99-002196-index.html,https://www.sec.gov/Archives/edgar/data/1002910/,8847400000.0,3291300000.0,Utilities,Regulated Electric,NYSE,1998-01-02
1999-03-31,AEE,USD,0001002910,1999-05-14,1999-05-14 00:00:00,1999,Q1,735900000,240045000,495857000,0.6738103003,0,0,0,0,360940000,360940000,600985000,0,0,97442000,232359000,0.3157480636,134917000,0.1833360511,-45328000,89589000,0.1217407256,35230000,54359000,0.0738673733,0.4,0.4,137215462,137215462,https://www.sec.gov/Archives/edgar/data/1002910/000100291099000031/0001002910-99-000031-index.html,https://www.sec.gov/Archives/edgar/data/1002910/,8813100000.0,3258600000.0,Utilities,Regulated Electric,NYSE,1998-01-02
1999-06-30,AEE,USD,0001002910,1999-08-13,1999-08-13 00:00:00,1999,Q2,859900000,248000000,611884000,0.7115757646,0,0,0,0,419600000,419600000,667600000,0,0,95358000,287684000,0.3345551808,192284000,0.2236120479,-43984000,148300000,0.1724619142,61800000,86500000,0.1005930922,0.63,0.63,137301587,137301587,https://www.sec.gov/Archives/edgar/data/1002910/000100291099000051/0001002910-99-000051-index.html,https://www.sec.gov/Archives/edgar/data/1002910/000100291099000051/,8936900000.0,3258000000.0,Utilities,Regulated Electric,NYSE,1998-01-02
1999-09-30,AEE,USD,0001002910,1999-11-15,1999-11-15 00:00:00,1999,Q3,1193500000,304700000,888800000,0.7447004608,0,0,0,0,429000000,429000000,733700000,0,0,0,1193500000,1.0,459800000,0.3852534562,-47000000,412800000,0.3458734814,163000000,249800000,0.209300377,1.82,1.82,137215462,137215462,https://www.sec.gov/Archives/edgar/data/1002910/000100291099000073/0001002910-99-000073-index.html,https://www.sec.gov/Archives/edgar/data/1002910/000100291099000073/,9258700000.0,3420700000.0,Utilities,Regulated Electric,NYSE,1998-01-02
1999-12-31,AEE,USD,0001002910,2000-03-30,2000-03-30 00:00:00,1999,Q4,734300000,319900000,414400000,0.5643469971,0,0,0,0,380000000,380000000,699900000,0,0,0,120500000,0.1641018657,34400000,0.0468473376,-41100000,-6700000,-0.0091243361,-1100000,-5600000,-0.0076263108,-0.0408,-0.0408,137215462,137215462,https://www.sec.gov/Archives/edgar/data/1002910/000095012400001810/0000950124-00-001810-index.html,https://www.sec.gov/Archives/edgar/data/1002910/000095012400001810/,9177600000.0,3324900000.0,Utilities,Regulated Electric,NYSE,1998-01-02
2000-03-31,AEE,USD,0001002910,2000-05-15,2000-05-15 00:00:00,2000,Q1,825376000,297925000,527451000,0.6390432966,0,0,0,0,374622000,374622000,672547000,0,0,99354000,252183000,0.3055371128,152829000,0.1851628833,-47185000,105644000,0.1279949986,44251000,61393000,0.0743818575,0.45,0.45,137215462,137215462,https://www.sec.gov/Archives/edgar/data/1002910/000100291000000038/0001002910-00-000038-index.html,https://www.sec.gov/Archives/edgar/data/1002910/000100291000000038/,9315289000.0,3299126000.0,Utilities,Regulated Electric,NYSE,1998-01-02
2000-06-30,AEE,USD,0001002910,2000-08-14,2000-08-14 00:00:00,2000,Q2,940304000,270094000,670614000,0.7131885007,0,0,0,0,432169000,432169000,702263000,0,0,99379000,337824000,0.3592710443,238445000,0.2535828838,-45621000,192824000,0.2050655958,79239000,113585000,0.1207960404,0.83,0.83,137215000,137215000,https://www.sec.gov/Archives/edgar/data/1002910/000100291000000067/0001002910-00-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291000000067/0001002910-00-000067-0001.txt,9312463000.0,3325360000.0,Utilities,Regulated Electric,NYSE,1998-01-02
2000-09-30,AEE,USD,0001002910,2000-11-14,2000-11-14 00:00:00,2000,Q3,1195411000,308789000,886622000,0.7416880052,0,0,0,0,417231000,417231000,726020000,0,0,102822000,572213000,0.4786746985,469391000,0.3926607669,-49548000,419843000,0.3512122609,163706000,256137000,0.2142668923,1.87,1.87,137215462,137215462,https://www.sec.gov/Archives/edgar/data/1002910/000095012400006987/0000950124-00-006987-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000095012400006987/0000950124-00-006987-0001.txt,9621682000.0,3493513000.0,Utilities,Regulated Electric,NYSE,1998-01-02
2000-12-31,AEE,USD,0001002910,2001-03-30,2001-03-30 00:00:00,2000,Q4,894758000,357880000,536878000,0.6000259288,0,0,0,0,456041000,456041000,813921000,0,0,68240000,179874000,0.2010308933,80837000,0.0903450989,-40862000,39975000,0.0446768847,13996000,25979000,0.0290346664,0.19,0.19,137215462,137215462,https://www.sec.gov/Archives/edgar/data/1002910/000095012401001827/0000950124-01-001827-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000095012401001827/c61193e10-k405.txt,9714430000.0,3431868000.0,Utilities,Regulated Electric,NYSE,1998-01-02
2001-03-31,AEE,USD,0001002910,2001-05-15,2001-05-15 00:00:00,2001,Q1,1024528000,439709000,584819000,0.5708179767,0,0,0,0,419401000,419401000,859110000,0,0,104226000,269644000,0.2631885122,165418000,0.161457764,-50753000,114665000,0.1119198304,49332000,58492000,0.0570916559,0.43,0.43,137215462,137215462,https://www.sec.gov/Archives/edgar/data/1002910/000100291001500015/0001002910-01-500015-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291001500015/aee011q.txt,9666815000.0,3393920000.0,Utilities,Regulated Electric,NYSE,1998-01-02
2001-06-30,AEE,USD,0001002910,2001-08-14,2001-08-14 00:00:00,2001,Q2,1057016000,381204000,675812000,0.6393583446,0,0,0,0,469865000,469865000,851069000,0,0,101182000,1158182000,1.0957090527,205931000,0.1948229734,-50573000,155358000,0.1469779076,60728000,95000000,0.0898756499,0.69,0.69,137215462,137215462,https://www.sec.gov/Archives/edgar/data/1002910/000100291001500054/0001002910-01-500054-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291001500054/aee012q.txt,10063415000.0,3399032000.0,Utilities,Regulated Electric,NYSE,1998-01-02
