date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,AEP,USD,0000004904,1995-05-15,1995-05-15 00:00:00,1995,Q1,1416200000,412000000,1004200000,0.7090806383,0,0,0,0,668400000,668400000,1080400000,0,0,156900000,497500000,0.3512921904,335800000,0.2371134021,-109500000,226300000,0.1597938144,78400000,147900000,0.1044344019,0.8,0.8,184875000,184875000,https://www.sec.gov/Archives/edgar/data/4904/000000490495000064/0000004904-95-000064-index.html,https://www.sec.gov/Archives/edgar/data/4904/,15766200000,5101100000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1995-06-30,AEP,USD,0000004904,1995-08-14,1995-08-14 00:00:00,1995,Q2,1305300000,357100000,948200000,0.7264230445,0,0,0,0,684400000,684400000,1041500000,0,0,232200000,496100000,0.3800658852,263800000,0.2020991343,-114600000,149200000,0.1143032253,52700000,96500000,0.0739293649,0.52,0.52,185576923,185576923,https://www.sec.gov/Archives/edgar/data/4904/000000490495000094/0000004904-95-000094-index.html,https://www.sec.gov/Archives/edgar/data/4904/,15960700000,5088600000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1995-09-30,AEP,USD,0000004904,1995-11-13,1995-11-13 00:00:00,1995,Q3,1523400000,456500000,1066900000,0.7003413417,0,0,0,0,723500000,723500000,1180000000,0,0,192900000,542000000,0.3557831167,343400000,0.2254168308,-108300000,235100000,0.1543258501,80900000,154200000,0.1012209531,0.83,0.83,185783133,185783133,https://www.sec.gov/Archives/edgar/data/4904/000000490495000122/0000004904-95-000122-index.html,https://www.sec.gov/Archives/edgar/data/4904/,15699700000,5061100000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1995-12-31,AEP,USD,0000004904,1996-03-28,1996-03-28 00:00:00,1995,Q4,1425400000,400000000,1025400000,0.719377017,0,0,0,0,730300000,730300000,1130300000,0,0,29300000,334000000,0.2343201908,295100000,0.2070296057,-101800000,193300000,0.1356110565,61900000,131400000,0.0921846499,0.7,0.7,186673500,186673500,https://www.sec.gov/Archives/edgar/data/4904/000000490496000034/0000004904-96-000034-index.html,https://www.sec.gov/Archives/edgar/data/4904/,15902300000,5003100000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1996-03-31,AEP,USD,0000004904,1996-05-14,1996-05-14 00:00:00,1996,Q1,1517800000,441000000,1076800000,0.7094478851,0,0,0,0,685800000,685800000,1126800000,0,0,163300000,553200000,0.3644748979,391000000,0.2576096982,-112200000,278800000,0.1836869153,98800000,180000000,0.1185927,0.96,0.96,187500000,187500000,https://www.sec.gov/Archives/edgar/data/4904/000000490496000050/0000004904-96-000050-index.html,https://www.sec.gov/Archives/edgar/data/4904/,15985800000,5056200000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1996-06-30,AEP,USD,0000004904,1996-08-14,1996-08-14 00:00:00,1996,Q2,1400900000,404900000,996000000,0.7109715183,0,0,0,0,710100000,710100000,1115000000,0,0,224600000,511500000,0.3651224213,285900000,0.2040830894,-108000000,177900000,0.1269897923,65200000,112700000,0.0804482832,0.6,0.6,187833333,187833333,https://www.sec.gov/Archives/edgar/data/4904/000000490496000078/0000004904-96-000078-index.html,https://www.sec.gov/Archives/edgar/data/4904/,15857600000,5075400000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1996-09-30,AEP,USD,0000004904,1996-11-13,1996-11-13 00:00:00,1996,Q3,1484400000,416500000,1067900000,0.719415252,0,0,0,0,708600000,708600000,1125100000,0,0,221000000,584000000,0.3934249528,359300000,0.2420506602,-97400000,261900000,0.1764349232,99600000,162300000,0.1093371059,0.87,0.87,186551724,186551724,https://www.sec.gov/Archives/edgar/data/4904/000000490496000103/0000004904-96-000103-index.html,https://www.sec.gov/Archives/edgar/data/4904/,15686600000,5115200000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1996-12-31,AEP,USD,0000004904,1997-03-26,1997-03-26 00:00:00,1996,Q4,1446100000,424400000,1021700000,0.7065209875,0,0,0,0,707700000,707700000,1132100000,0,0,35100000,347700000,0.2404398036,314000000,0.2171357444,-103100000,210900000,0.1458405366,78500000,132400000,0.0915566005,0.71,0.71,186810894,186810894,https://www.sec.gov/Archives/edgar/data/4904/000000490497000038/0000004904-97-000038-index.html,https://www.sec.gov/Archives/edgar/data/4904/,15885500000,5145500000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1997-03-31,AEP,USD,0000004904,1997-05-15,1997-05-15 00:00:00,1997,Q1,1492100000,434700000,1057400000,0.708665639,0,0,0,0,680300000,680300000,1115000000,0,0,148500000,530100000,0.3552710944,377100000,0.2527310502,-99300000,277800000,0.1861805509,105200000,172600000,0.115675893,0.92,0.92,187608696,187608696,https://www.sec.gov/Archives/edgar/data/4904/000000490497000064/0000004904-97-000064-index.html,https://www.sec.gov/Archives/edgar/data/4904/,15905700000,4799100000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1997-06-30,AEP,USD,0000004904,1997-08-14,1997-08-14 00:00:00,1997,Q2,1382200000,391900000,990300000,0.7164665027,0,0,0,0,698700000,698700000,1090600000,0,0,235300000,532600000,0.3853277384,291600000,0.210968022,-100200000,191400000,0.1384748951,70300000,121100000,0.0876139488,0.64,0.64,189218750,189218750,https://www.sec.gov/Archives/edgar/data/4904/000000490497000097/0000004904-97-000097-index.html,https://www.sec.gov/Archives/edgar/data/4904/,16326800000,4823500000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1997-09-30,AEP,USD,0000004904,1997-11-13,1997-11-13 00:00:00,1997,Q3,1584000000,522800000,1061200000,0.6699494949,0,0,0,0,694300000,694300000,1217100000,0,0,185400000,585100000,0.3693813131,366900000,0.2316287879,-73300000,293600000,0.1853535354,91800000,91200000,0.0575757576,0.48,0.48,190000000,190000000,https://www.sec.gov/Archives/edgar/data/4904/000000490497000134/0000004904-97-000134-index.html,https://www.sec.gov/Archives/edgar/data/4904/,16250400000,4820500000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1997-12-31,AEP,USD,0000004904,1998-03-27,1998-03-27 00:00:00,1997,Q4,1703200000,694000000,1009200000,0.592531705,0,0,0,0,719000000,719000000,1413000000,0,0,-8600000,298200000,0.1750821982,290200000,0.1703851574,-91200000,199000000,0.1168388915,74100000,126100000,0.0740371066,0.66,0.66,190199250,190199250,https://www.sec.gov/Archives/edgar/data/4904/000000490498000024/0000004904-98-000024-index.html,https://www.sec.gov/Archives/edgar/data/4904/,16615300000,4851500000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1998-03-31,AEP,USD,0000004904,1998-05-15,1998-05-15 00:00:00,1998,Q1,1521000000,485000000,1036000000,0.681130835,0,0,0,0,692000000,692000000,1177000000,0,0,152800000,497000000,0.3267587114,344000000,0.2261669954,-110000000,234000000,0.1538461538,83000000,151000000,0.0992767916,0.79,0.79,191139241,191139241,https://www.sec.gov/Archives/edgar/data/4904/000000490498000060/0000004904-98-000060-index.html,https://www.sec.gov/Archives/edgar/data/4904/,16798400000,4907100000,Utilities,Regulated Electric,NASDAQ,1962-01-02
1998-06-30,AEP,USD,0000004904,1998-08-14,1998-08-14 00:00:00,1998,Q2,1557000000,554000000,1003000000,0.6441875401,0,0,0,0,709000000,709000000,1263000000,0,0,233500000,528000000,0.3391136802,294000000,0.1888246628,-96000000,198000000,0.1271676301,80000000,118000000,0.0757867694,0.62,0.62,190322581,190322581,https://www.sec.gov/Archives/edgar/data/4904/000000490498000100/0000004904-98-000100-index.html,https://www.sec.gov/Archives/edgar/data/4904/,17812200000,4934000000,Utilities,Regulated Electric,NASDAQ,1962-01-02
