date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,AIG,USD,0000005272,1995-05-15,1995-05-15 00:00:00,1995,Q1,5551800000,0,5551800000,1.0,0,0,0,0,5551800000,5551800000,5551800000,0,0,169800000,169800000,0.0305846752,0,0.0,0,785800000,0.1415396808,213600000,572200000,0.1030656724,5.8,5.8,98655172,98655172,https://www.sec.gov/Archives/edgar/data/5272/000095012395001430/0000950123-95-001430-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-95-001430.txt,125352600000,17046600000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1995-06-30,AIG,USD,0000005272,1995-08-11,1995-08-11 00:00:00,1995,Q2,5968500000,0,5968500000,1.0,0,0,0,0,5968500000,5968500000,5968500000,0,0,181000000,181000000,0.0303258775,0,0.0,0,879300000,0.1473234481,245500000,633800000,0.1061908352,6.2,6.2,102225806,102225806,https://www.sec.gov/Archives/edgar/data/5272/000095012395002268/0000950123-95-002268-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-95-002268.txt,130533700000,18127700000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1995-09-30,AIG,USD,0000005272,1995-11-14,1995-11-14 00:00:00,1995,Q3,6031200000,0,6031200000,1.0,0,0,0,0,6031200000,6031200000,6031200000,0,0,190200000,190200000,0.0315360127,0,0.0,0,878900000,0.1457255604,248200000,630700000,0.1045728877,6.2,6.2,101725806,101725806,https://www.sec.gov/Archives/edgar/data/5272/000095012395003364/0000950123-95-003364-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-95-003364.txt,130287800000,18725500000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1995-12-31,AIG,USD,0000005272,1996-04-01,1996-04-01 00:00:00,1995,Q4,-4531977000,0,-4531977000,1.0,0,0,0,0,-7997860000,-7997860000,-7997860000,0,0,193600000,3659483000,-0.8074804881,3465883000,-0.7647618247,0,3465883000,-0.7647618247,248200000,673783000,-0.1486730846,6.68,6.68,100842993,100842993,https://www.sec.gov/Archives/edgar/data/5272/000095012396001522/0000950123-96-001522-index.htm,https://www.sec.gov/Archives/edgar/data/5272/0000950123-96-001522.txt,134136398000,19827103000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1996-03-31,AIG,USD,0000005272,1996-05-15,1996-05-15 00:00:00,1996,Q1,6083700000,0,6083700000,1.0,0,0,0,0,6083700000,6083700000,6083700000,0,0,188300000,188300000,0.0309515591,0,0.0,0,917700000,0.1508457025,246500000,671200000,0.1103275967,6.6,6.6,101696970,101696970,https://www.sec.gov/Archives/edgar/data/5272/000095012396002427/0000950123-96-002427-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-96-002427.txt,136602000000,20063000000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1996-06-30,AIG,USD,0000005272,1996-08-13,1996-08-13 00:00:00,1996,Q2,6423700000,0,6423700000,1.0,0,0,0,0,6423700000,6423700000,6423700000,0,0,205300000,205300000,0.031959774,0,0.0,0,1008100000,0.156934477,283700000,724400000,0.112769899,7.4,7.2,97891892,100611111,https://www.sec.gov/Archives/edgar/data/5272/000095012396004393/0000950123-96-004393-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-96-004393.txt,142715700000,20391000000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1996-09-30,AIG,USD,0000005272,1996-11-13,1996-11-13 00:00:00,1996,Q3,6553100000,0,6553100000,1.0,0,0,0,0,6553100000,6553100000,6553100000,0,0,210300000,210300000,0.0320916818,0,0.0,0,1018000000,0.1553463246,286600000,731400000,0.1116112985,7.4,7.4,98837838,98837838,https://www.sec.gov/Archives/edgar/data/5272/000095012396006511/0000950123-96-006511-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-96-006511.txt,144649300000,21061300000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1996-12-31,AIG,USD,0000005272,1997-03-28,1997-03-28 00:00:00,1996,Q4,-5451429000,0,-5451429000,1.0,0,0,0,0,-9464651000,-9464651000,-9464651000,0,0,201700000,4214922000,-0.7731774549,4013222000,-0.736177982,0,4013222000,-0.736177982,299165000,770257000,-0.141294512,7.72,7.71,99745193,99932693,https://www.sec.gov/Archives/edgar/data/5272/000095012397002720/0000950123-97-002720-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-97-002720.txt,148431002000,22044224000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1997-03-31,AIG,USD,0000005272,1997-05-14,1997-05-14 00:00:00,1997,Q1,6616600000,0,6616600000,1.0,0,0,0,0,6616600000,6616600000,6616600000,0,0,204000000,204000000,0.0308315449,0,0.0,0,1096200000,0.1656742133,315300000,780900000,0.1180213403,7.8,7.8,100115385,100115385,https://www.sec.gov/Archives/edgar/data/5272/000095012397004300/0000950123-97-004300-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-97-004300.txt,151149400000,22361000000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1997-06-30,AIG,USD,0000005272,1997-08-14,1997-08-14 00:00:00,1997,Q2,7143900000,0,7143900000,1.0,0,0,0,0,7143900000,7143900000,7143900000,0,0,217500000,217500000,0.0304455549,0,0.0,0,1170400000,0.1638320805,343900000,826500000,0.1156931088,8.4,8.4,98392857,98392857,https://www.sec.gov/Archives/edgar/data/5272/000095012397006873/0000950123-97-006873-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-97-006873.txt,156235300000,23023100000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1997-09-30,AIG,USD,0000005272,1997-11-13,1997-11-13 00:00:00,1997,Q3,6984300000,0,6984300000,1.0,0,0,0,0,6984300000,6984300000,6984300000,0,0,228700000,228700000,0.0327448706,0,0.0,0,1184600000,0.1696089801,344300000,840300000,0.1203127013,8.4,8.4,100035714,100035714,https://www.sec.gov/Archives/edgar/data/5272/000095012397009528/0000950123-97-009528-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-97-009528.txt,158612100000,23867000000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1997-12-31,AIG,USD,0000005272,1998-03-30,1998-03-30 00:00:00,1997,Q4,-6342162000,0,-6342162000,1.0,0,0,0,0,-11041060000,-11041060000,-11041060000,0,0,222700000,4921598000,-0.7760126594,4698898000,-0.7408984507,0,4698898000,-0.7408984507,363063000,884635000,-0.1394847688,7.8,7.62,113427811,116108358,https://www.sec.gov/Archives/edgar/data/5272/000095012398003099/0000950123-98-003099-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-98-003099.txt,163970687000,24001127000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1998-03-31,AIG,USD,0000005272,1998-05-14,1998-05-14 00:00:00,1998,Q1,7628000000,0,7628000000,1.0,0,0,0,0,7628000000,7628000000,7628000000,0,0,213000000,213000000,0.02792344,0,0.0,0,1428000000,0.1872050341,418000000,1010000000,0.1324069219,8.86,8.64,113755622,116566716,https://www.sec.gov/Archives/edgar/data/5272/000095012398005016/0000950123-98-005016-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-98-005016.txt,169383900000,24966300000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1998-06-30,AIG,USD,0000005272,1998-08-14,1998-08-14 00:00:00,1998,Q2,8057000000,0,8057000000,1.0,0,0,0,0,8057000000,8057000000,8057000000,0,0,225000000,225000000,0.0279260271,0,0.0,0,1515000000,0.1880352489,439000000,1076000000,0.1335484672,9.47,9.2,113793103,116716641,https://www.sec.gov/Archives/edgar/data/5272/000095012398007534/0000950123-98-007534-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-98-007534.txt,176103200000,25729500000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
1998-09-30,AIG,USD,0000005272,1998-11-16,1998-11-16 00:00:00,1998,Q3,8308000000,0,8308000000,1.0,0,0,0,0,8308000000,8308000000,8308000000,0,0,240000000,240000000,0.028887819,0,0.0,0,1546000000,0.1860857005,470000000,1076000000,0.1295137217,9.4,9.2,114468085,116956522,https://www.sec.gov/Archives/edgar/data/5272/000095012398009963/0000950123-98-009963-index.html,https://www.sec.gov/Archives/edgar/data/5272/0000950123-98-009963.txt,183922800000,25830700000,Financial Services,Insurance - Diversified,NYSE,1973-01-02
