date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,ALL,USD,0000899051,1995-03-31,1995-03-31 00:00:00,1995,Q1,5603000000,0,5603000000,1.0,0,0,0,0,15000000,15000000,15000000,0,15000000,0,15000000,0.0026771372,708000000,0.1263608781,0,693000000,0.1236837409,151000000,542000000,0.0967338926,0.61,0.61,898400000,898400000,,,62693000000,9633000000,Financial Services,Insurance - Property & Casualty,NYSE,1993-06-03
1995-06-30,ALL,USD,0000899051,1995-06-30,1995-06-30 00:00:00,1995,Q2,5844000000,0,5844000000,1.0,0,0,0,0,21000000,21000000,21000000,0,21000000,0,21000000,0.0035934292,705000000,0.1206365503,0,684000000,0.1170431211,165000000,519000000,0.0888090349,0.58,0.58,897800000,897800000,,,65887000000,10902000000,Financial Services,Insurance - Property & Casualty,NYSE,1993-06-03
1995-09-30,ALL,USD,0000899051,1995-09-30,1995-09-30 00:00:00,1995,Q3,5705000000,0,5705000000,1.0,0,0,0,0,18000000,18000000,18000000,0,18000000,2000000,20000000,0.0035056968,613000000,0.1074496056,0,595000000,0.1042944785,149000000,446000000,0.0781770377,0.5,0.5,896200000,896200000,,,68165000000,11589000000,Financial Services,Insurance - Property & Casualty,NYSE,1993-06-03
1995-12-31,ALL,USD,0000899051,1996-08-27,1996-08-27 00:00:00,1995,Q4,5856000000,0,5856000000,1.0,0,0,0,0,2161000000,2161000000,2161000000,0,18000000,-4000000,14000000,0.0023907104,524000000,0.0894808743,0,506000000,0.0864071038,109000000,397000000,0.0677937158,0.44,0.44,899600000,899600000,https://www.sec.gov/Archives/edgar/data/899051/000095013796001555/0000950137-96-001555-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000095013796001555/,70029000000,12680000000,Financial Services,Insurance - Property & Casualty,NYSE,1993-06-03
1996-03-31,ALL,USD,0000899051,1996-05-14,1996-05-14 00:00:00,1996,Q1,5909000000,558000000,5351000000,0.905567778,0,0,0,0,23000000,23000000,581000000,0,23000000,-8000000,15000000,0.0025385006,550000000,0.0930783551,0,527000000,0.0891859875,103000000,424000000,0.0717549501,0.47,0.47,899600000,899600000,https://www.sec.gov/Archives/edgar/data/899051/000089905196000004/0000899051-96-000004-index.htm,https://www.sec.gov/Archives/edgar/data/899051/0000899051-96-000004.txt,70399000000,12230000000,Financial Services,Insurance - Property & Casualty,NYSE,1993-06-03
1996-06-30,ALL,USD,0000899051,1996-08-14,1996-08-14 00:00:00,1996,Q2,6332000000,601000000,5731000000,0.9050852811,0,0,0,0,22000000,22000000,623000000,0,22000000,-3000000,19000000,0.0030006317,1072000000,0.1692987997,0,1050000000,0.1658243841,286000000,764000000,0.1206569804,0.86,0.86,896400000,896400000,https://www.sec.gov/Archives/edgar/data/899051/000089905196000008/0000899051-96-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899051/0000899051-96-000008.txt,71664000000,12401000000,Financial Services,Insurance - Property & Casualty,NYSE,1993-06-03
1996-09-30,ALL,USD,0000899051,1996-11-14,1996-11-14 00:00:00,1996,Q3,6022000000,438000000,5584000000,0.9272666888,0,0,0,0,169000000,169000000,607000000,0,19000000,0,19000000,0.003155098,322000000,0.0534706078,0,303000000,0.0503155098,11000000,292000000,0.0484888741,0.33,0.33,894800000,894800000,https://www.sec.gov/Archives/edgar/data/899051/000089905196000014/0000899051-96-000014-index.htm,https://www.sec.gov/Archives/edgar/data/899051/0000899051-96-000014.txt,72213000000,12729000000,Financial Services,Insurance - Property & Casualty,NYSE,1993-06-03
1996-12-31,ALL,USD,0000899051,1997-03-27,1997-03-27 00:00:00,1996,Q4,6036000000,0,6036000000,1.0,0,0,0,0,19819000000,19819000000,19819000000,0,19000000,0,2688000000,0.4453280318,2688000000,0.4453280318,0,2669000000,0.4421802518,219000000,595000000,0.0985752154,0.67,0.67,871000000,884600000,https://www.sec.gov/Archives/edgar/data/899051/000089905197000017/0000899051-97-000017-index.htm,https://www.sec.gov/Archives/edgar/data/899051/0000899051-97-000017.txt,74508000000,13452000000,Financial Services,Insurance - Property & Casualty,NYSE,1993-06-03
1997-03-31,ALL,USD,0000899051,1997-05-15,1997-05-15 00:00:00,1997,Q1,6188000000,453000000,5735000000,0.9267937944,0,0,0,0,24000000,24000000,477000000,0,24000000,1000000,25000000,0.0040400776,1108000000,0.1790562379,0,1084000000,0.1751777634,317000000,767000000,0.1239495798,0.87,0.87,884600000,884600000,https://www.sec.gov/Archives/edgar/data/899051/000089905197000021/0000899051-97-000021-index.htm,https://www.sec.gov/Archives/edgar/data/899051/0000899051-97-000021.txt,74415000000,13963000000,Financial Services,Insurance - Property & Casualty,NYSE,1993-06-03
1997-06-30,ALL,USD,0000899051,1997-08-14,1997-08-14 00:00:00,1997,Q2,6081000000,491000000,5590000000,0.9192567012,0,0,0,0,24000000,24000000,515000000,0,24000000,-6000000,18000000,0.0029600395,927000000,0.1524420326,0,903000000,0.1484953133,260000000,643000000,0.1057391876,0.74,0.74,874600000,874600000,https://www.sec.gov/Archives/edgar/data/899051/000089905197000027/0000899051-97-000027-index.htm,https://www.sec.gov/Archives/edgar/data/899051/0000899051-97-000027.txt,77106000000,15068000000,Financial Services,Insurance - Property & Casualty,NYSE,1993-06-03
