date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,APD,USD,0000002969,1995-05-15,1995-05-15 00:00:00,1995,Q2,982900000,590900000,392000000,0.3988198189,26300000,0,0,214300000,-400000,240200000,831100000,0,0,92900000,244700000,0.2489571676,151800000,0.1544409401,-17600000,134200000,0.1365347441,45600000,88600000,0.0901414183,0.4,0.4,224800000,224800000,https://www.sec.gov/Archives/edgar/data/2969/000095012395001437/0000950123-95-001437-index.html,https://www.sec.gov/Archives/edgar/data/2969/,5413000000,2281200000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1995-06-30,APD,USD,0000002969,1995-08-14,1995-08-14 00:00:00,1995,Q3,982400000,595700000,386700000,0.3936278502,25800000,0,0,216900000,-16700000,226000000,821700000,0,0,92700000,253400000,0.2579397394,160700000,0.1635789902,-9000000,151700000,0.1544177524,51600000,100100000,0.1018933225,0.45,0.45,224400000,224400000,https://www.sec.gov/Archives/edgar/data/2969/000095012395002320/0000950123-95-002320-index.html,https://www.sec.gov/Archives/edgar/data/2969/,5720200000,2354200000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1995-09-30,APD,USD,0000002969,1995-12-12,1995-12-12 00:00:00,1995,Q4,978900000,586400000,392500000,0.4009602615,27000000,0,0,231600000,-9700000,248900000,835300000,0,0,106300000,249900000,0.2552865461,143600000,0.1466952702,-7900000,135700000,0.1386249872,43100000,92600000,0.0945959751,0.41,0.41,219406000,224000000,https://www.sec.gov/Archives/edgar/data/2969/000095012395003670/0000950123-95-003670-index.html,https://www.sec.gov/Archives/edgar/data/2969/,5816000000,2398000000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1995-12-31,APD,USD,0000002969,1996-02-14,1996-02-14 00:00:00,1996,Q1,947000000,560000000,387000000,0.4086589229,27000000,0,0,220000000,-4000000,243000000,803000000,0,0,99000000,243000000,0.2565997888,144000000,0.1520591341,-13000000,131000000,0.1383315734,42000000,89000000,0.0939809926,0.4,0.4,224000000,224000000,https://www.sec.gov/Archives/edgar/data/2969/000095012396000593/0000950123-96-000593-index.html,https://www.sec.gov/Archives/edgar/data/2969/,6034000000,2445000000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1996-03-31,APD,USD,0000002969,1996-05-14,1996-05-14 00:00:00,1996,Q2,1013000000,609000000,404000000,0.3988153998,29000000,0,0,231000000,-4000000,256000000,865000000,0,0,101000000,249000000,0.245804541,148000000,0.146100691,54000000,202000000,0.1994076999,67000000,135000000,0.1332675222,0.61,0.61,224000000,224000000,https://www.sec.gov/Archives/edgar/data/2969/000095012396002299/0000950123-96-002299-index.html,https://www.sec.gov/Archives/edgar/data/2969/,6224000000,2553000000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1996-06-30,APD,USD,0000002969,1996-08-12,1996-08-12 00:00:00,1996,Q3,997000000,594000000,403000000,0.4042126379,28000000,0,0,228000000,-9000000,247000000,850600000,0,0,103000000,249900000,0.2506519559,146700000,0.1471414243,-4700000,142000000,0.1424272818,44000000,98000000,0.0982948847,0.44,0.44,222727000,222727000,https://www.sec.gov/Archives/edgar/data/2969/000095012396004289/0000950123-96-004289-index.html,https://www.sec.gov/Archives/edgar/data/2969/,6472000000,2589000000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1996-09-30,APD,USD,0000002969,1996-12-12,1996-12-12 00:00:00,1996,Q4,1051000000,645000000,406000000,0.3862987631,30000000,0,0,241000000,-8000000,263000000,908000000,0,0,109000000,252000000,0.2397716461,143000000,0.1360608944,-9000000,134000000,0.1274976213,40000000,94000000,0.0894386299,0.41,0.38,220600000,220600000,https://www.sec.gov/Archives/edgar/data/2969/000095012396007278/0000950123-96-007278-index.html,https://www.sec.gov/Archives/edgar/data/2969/,6522000000,2574000000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1996-12-31,APD,USD,0000002969,1997-02-12,1997-02-12 00:00:00,1997,Q1,1120900000,692700000,428200000,0.3820144527,26700000,0,0,241500000,-9400000,258800000,951500000,0,0,108100000,277500000,0.2475689178,169400000,0.1511285574,-21200000,148200000,0.1322151842,48300000,99900000,0.0891248104,0.45,0.44,220600000,220600000,https://www.sec.gov/Archives/edgar/data/2969/000095012397001075/0000950123-97-001075-index.html,https://www.sec.gov/Archives/edgar/data/2969/,7316600000,2578800000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1997-03-31,APD,USD,0000002969,1997-05-13,1997-05-13 00:00:00,1997,Q2,1153100000,686300000,466800000,0.4048217848,28500000,0,0,264700000,-10400000,282800000,969100000,0,0,115400000,299400000,0.2596479056,184000000,0.1595698552,-29000000,155000000,0.1344202584,49000000,106000000,0.0919261122,0.48,0.47,220400000,220400000,https://www.sec.gov/Archives/edgar/data/2969/000095012397004215/0000950123-97-004215-index.html,https://www.sec.gov/Archives/edgar/data/2969/,7214400000,2557600000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1997-06-30,APD,USD,0000002969,1997-08-12,1997-08-12 00:00:00,1997,Q3,1150300000,663400000,486900000,0.4232808832,27900000,0,0,266800000,-700000,294000000,957400000,0,0,115900000,308800000,0.2684517083,192900000,0.1676953838,-22100000,170800000,0.1484830044,54800000,116000000,0.1008432583,0.53,0.52,220200000,220200000,https://www.sec.gov/Archives/edgar/data/2969/000095012397006711/0000950123-97-006711-index.html,https://www.sec.gov/Archives/edgar/data/2969/,7226100000,2609900000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
