date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,AXP,USD,0000004962,1995-05-15,1995-05-15 00:00:00,1995,Q1,3771000000,303000000,3468000000,0.9196499602,0,1796000000,234000000,2030000000,940000000,2970000000,3273000000,1099000000,303000000,61000000,559000000,0.148236542,498000000,0.1320604614,0,498000000,0.1320604614,145000000,353000000,0.0936091222,0.23,0.23,1509273000,1509273000,https://www.sec.gov/Archives/edgar/data/4962/000000496295000022/0000004962-95-000022-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-95-000022.txt,99737000000,6983000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1995-06-30,AXP,USD,0000004962,1995-08-14,1995-08-14 00:00:00,1995,Q2,3967000000,319000000,3648000000,0.9195865894,0,1895000000,260000000,2155000000,921000000,3076000000,3395000000,1135000000,319000000,109000000,681000000,0.1716662465,572000000,0.1441895639,0,572000000,0.1441895639,162000000,410000000,0.1033526594,0.27,0.27,1499306000,1499306000,https://www.sec.gov/Archives/edgar/data/4962/000000496295000030/0000004962-95-000030-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-95-000030.txt,104178000000,7154000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1995-09-30,AXP,USD,0000004962,1995-11-14,1995-11-14 00:00:00,1995,Q3,4054000000,310000000,3744000000,0.9235323138,0,1933000000,261000000,2194000000,979000000,3173000000,3483000000,1166000000,310000000,67000000,638000000,0.1573754317,571000000,0.1408485446,0,571000000,0.1408485446,155000000,416000000,0.1026147015,0.28,0.28,1491039000,1491039000,https://www.sec.gov/Archives/edgar/data/4962/000000496295000043/0000004962-95-000043-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-95-000043.txt,106312000000,7442000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1995-12-31,AXP,USD,0000004962,1996-03-29,1996-03-29 00:00:00,1995,Q4,4049000000,310000000,3739000000,0.9234378859,0,1957000000,222000000,2179000000,1018000000,3197000000,3507000000,1131000000,310000000,130000000,672000000,0.1659669054,542000000,0.1338602124,0,542000000,0.1338602124,157000000,385000000,0.0950852062,0.26,0.26,1473273000,1473273000,https://www.sec.gov/Archives/edgar/data/4962/000000496296000013/0000004962-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-96-000013.txt,107405000000,8220000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1996-03-31,AXP,USD,0000004962,1996-05-15,1996-05-15 00:00:00,1996,Q1,3882000000,291000000,3591000000,0.9250386399,0,1908000000,207000000,2115000000,911000000,3026000000,3317000000,838000000,291000000,37000000,602000000,0.1550747038,565000000,0.1455435343,0,565000000,0.1455435343,169000000,396000000,0.1020092736,0.27,0.27,1473273000,1473273000,https://www.sec.gov/Archives/edgar/data/4962/000000496296000027/0000004962-96-000027-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-96-000027.txt,107910000000,7992000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1996-06-30,AXP,USD,0000004962,1996-08-14,1996-08-14 00:00:00,1996,Q2,4044000000,309000000,3735000000,0.9235905045,0,1046000000,262000000,1308000000,1791000000,3099000000,3408000000,844000000,309000000,-16000000,620000000,0.1533135509,636000000,0.1572700297,0,636000000,0.1572700297,184000000,452000000,0.1117705242,0.32,0.31,1462462000,1462462000,https://www.sec.gov/Archives/edgar/data/4962/000000496296000033/0000004962-96-000033-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-96-000033.txt,107647000000,7955000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1996-09-30,AXP,USD,0000004962,1996-11-14,1996-11-14 00:00:00,1996,Q3,4056000000,269000000,3787000000,0.933678501,0,973000000,293000000,1266000000,1900000000,3166000000,3435000000,796000000,269000000,181000000,802000000,0.1977317554,621000000,0.1531065089,0,621000000,0.1531065089,163000000,458000000,0.1129191321,0.33,0.32,1447147000,1447147000,https://www.sec.gov/Archives/edgar/data/4962/000000496296000047/0000004962-96-000047-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-96-000047.txt,106667000000,8243000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1996-12-31,AXP,USD,0000004962,1997-03-28,1997-03-28 00:00:00,1996,Q4,4255000000,247000000,4008000000,0.9419506463,0,4544000000,309000000,4853000000,-1688000000,3165000000,3412000000,811000000,247000000,64000000,907000000,0.2131609871,843000000,0.198119859,0,843000000,0.198119859,249000000,594000000,0.13960047,0.41,0.41,1443417000,1447748000,https://www.sec.gov/Archives/edgar/data/4962/000000496297000012/0000004962-97-000012-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-97-000012.txt,108512000000,8528000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1997-03-31,AXP,USD,0000004962,1997-05-15,1997-05-15 00:00:00,1997,Q1,4164000000,195000000,3969000000,0.9531700288,0,2007000000,214000000,2221000000,1108000000,3329000000,3524000000,776000000,195000000,94000000,734000000,0.1762728146,640000000,0.153698367,0,640000000,0.153698367,186000000,454000000,0.1090297791,0.32,0.31,1447748000,1447748000,https://www.sec.gov/Archives/edgar/data/4962/000000496297000021/0000004962-97-000021-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-97-000021.txt,108105000000,8382000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1997-06-30,AXP,USD,0000004962,1997-08-14,1997-08-14 00:00:00,1997,Q2,4422000000,238000000,4184000000,0.9461781999,0,2081000000,258000000,2339000000,1143000000,3482000000,3720000000,795000000,238000000,47000000,749000000,0.1693803709,702000000,0.1587516961,0,702000000,0.1587516961,182000000,520000000,0.1175938489,0.37,0.36,1439940000,1439940000,https://www.sec.gov/Archives/edgar/data/4962/000000496297000037/0000004962-97-000037-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-97-000037.txt,113927000000,8824000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1997-09-30,AXP,USD,0000004962,1997-11-14,1997-11-14 00:00:00,1997,Q3,4500000000,241000000,4259000000,0.9464444444,0,2095000000,308000000,2403000000,1138000000,3541000000,3782000000,809000000,241000000,59000000,777000000,0.1726666667,718000000,0.1595555556,0,718000000,0.1595555556,194000000,524000000,0.1164444444,0.38,0.37,1433033000,1433033000,https://www.sec.gov/Archives/edgar/data/4962/000000496297000042/0000004962-97-000042-index.html,https://www.sec.gov/Archives/edgar/data/4962/0000004962-97-000042.txt,117642000000,9118000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
1997-12-31,AXP,USD,0000004962,1998-03-31,1998-03-31 00:00:00,1997,Q4,4674000000,250000000,4424000000,0.946512623,0,2172000000,338000000,2510000000,1224000000,3734000000,3984000000,794000000,250000000,-13000000,677000000,0.1448438169,690000000,0.1476251605,0,690000000,0.1476251605,197000000,493000000,0.1054771074,0.36,0.36,1383483000,1383483000,https://www.sec.gov/Archives/edgar/data/4962/000000496298000018/0000004962-98-000018-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496298000018/,120003000000,9574000000,Financial Services,Financial - Credit Services,NYSE,1972-06-01
