date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,BA,USD,0000012927,1995-05-12,1995-05-12 00:00:00,1995,Q1,5037000000,4811000000,226000000,0.044867977,0,0,0,0,0,0,4811000000,0,0,265000000,491000000,0.0974786579,226000000,0.044867977,-9000000,217000000,0.0430811991,36000000,181000000,0.0359340878,0.27,0.27,682000000,682000000,https://www.sec.gov/Archives/edgar/data/12927/000001292795000004/0000012927-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/12927/,22161000000,9895000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1995-06-30,BA,USD,0000012927,1995-08-10,1995-08-10 00:00:00,1995,Q2,5558000000,5245000000,313000000,0.0563152213,0,0,0,0,0,600000000,5845000000,0,0,274000000,-13000000,-0.0023389709,-287000000,-0.0516372796,17000000,-270000000,-0.0485786254,-39000000,-231000000,-0.0415617128,-0.34,-0.34,682800000,682800000,https://www.sec.gov/Archives/edgar/data/12927/000001292795000008/0000012927-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/12927/,21747000000,9531000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1995-09-30,BA,USD,0000012927,1995-11-08,1995-11-08 00:00:00,1995,Q3,4381000000,4158000000,223000000,0.0509016206,0,0,0,0,0,0,4158000000,0,0,270000000,493000000,0.1125313855,223000000,0.0509016206,21000000,244000000,0.0556950468,19000000,225000000,0.0513581374,0.33,0.33,683600000,683600000,https://www.sec.gov/Archives/edgar/data/12927/000001292795000010/0000012927-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/12927/,21725000000,9802000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1995-12-31,BA,USD,0000012927,1996-03-13,1996-03-13 00:00:00,1995,Q4,4539000000,4399000000,140000000,0.0308437982,0,0,0,0,0,0,4399000000,0,0,224000000,364000000,0.0801938753,140000000,0.0308437982,29000000,169000000,0.0372328707,-49000000,218000000,0.0480282,0.32,0.32,683600000,683600000,https://www.sec.gov/Archives/edgar/data/12927/000001292796000003/0000012927-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/12927/,22098000000,9898000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1996-03-31,BA,USD,0000012927,1996-05-13,1996-05-13 00:00:00,1996,Q1,4293000000,4139000000,154000000,0.0358723503,0,0,0,0,0,0,4139000000,0,0,240000000,394000000,0.0917773119,154000000,0.0358723503,16000000,170000000,0.0395993478,51000000,119000000,0.0277195434,0.18,0.18,689600000,689600000,https://www.sec.gov/Archives/edgar/data/12927/000001292796000005/0000012927-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/12927/,22674000000,10120000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1996-06-30,BA,USD,0000012927,1996-08-09,1996-08-09 00:00:00,1996,Q2,6275000000,5791000000,484000000,0.0771314741,0,0,0,0,0,0,5791000000,0,0,256000000,740000000,0.1179282869,484000000,0.0771314741,37000000,521000000,0.0830278884,53000000,468000000,0.0745816733,0.68,0.68,690600000,690600000,https://www.sec.gov/Archives/edgar/data/12927/000001292796000007/0000012927-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/12927/,22645000000,10354000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1996-09-30,BA,USD,0000012927,1996-11-14,1996-11-14 00:00:00,1996,Q3,5601000000,5307000000,294000000,0.0524906267,0,0,0,0,0,0,5307000000,0,0,244000000,1100000000,0.1963935012,294000000,0.0524906267,370000000,334000000,0.0596322085,80000000,254000000,0.0453490448,0.48,0.48,972900000,972900000,https://www.sec.gov/Archives/edgar/data/12927/000001292796000025/0000012927-96-000025-index.html,https://www.sec.gov/Archives/edgar/data/12927/,22002000000,9873000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1996-12-31,BA,USD,0000012927,1997-03-10,1997-03-10 00:00:00,1996,Q4,6512000000,6090000000,422000000,0.0648034398,0,0,0,0,0,0,6090000000,0,0,251000000,673000000,0.1033476658,422000000,0.0648034398,-84000000,338000000,0.0519041769,84000000,254000000,0.039004914,0.47,0.44,956100000,1008900000,https://www.sec.gov/Archives/edgar/data/12927/000001292797000020/0000012927-97-000020-index.html,https://www.sec.gov/Archives/edgar/data/12927/,27254000000,10941000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1997-03-31,BA,USD,0000012927,1997-05-14,1997-05-14 00:00:00,1997,Q1,7318000000,6877000000,441000000,0.0602623668,0,0,0,0,0,0,6877000000,0,0,284000000,1186000000,0.1620661383,441000000,0.0602623668,-28000000,552000000,0.0754304455,175000000,377000000,0.0515168079,0.56,0.55,967600000,983300000,https://www.sec.gov/Archives/edgar/data/12927/000001292797000026/0000012927-97-000026-index.html,https://www.sec.gov/Archives/edgar/data/12927/,28292000000,11189000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1997-06-30,BA,USD,0000012927,1997-08-14,1997-08-14 00:00:00,1997,Q2,9289000000,8756000000,533000000,0.0573796964,0,0,0,0,0,0,8756000000,0,0,316000000,1090000000,0.117343094,533000000,0.0573796964,-32000000,466000000,0.050166864,132000000,334000000,0.0359565077,0.49,0.48,967900000,981800000,https://www.sec.gov/Archives/edgar/data/12927/000001292797000032/0000012927-97-000032-index.html,https://www.sec.gov/Archives/edgar/data/12927/,28861000000,11443000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1997-09-30,BA,USD,0000012927,1997-11-14,1997-11-14 00:00:00,1997,Q3,11371000000,11337000000,34000000,0.0029900624,456000000,0,0,557000000,0,1013000000,12350000000,0,0,506000000,-644000000,-0.0566353003,-979000000,-0.0860962097,-2000000,-1021000000,-0.0897898162,-325000000,-696000000,-0.061208337,-0.72,-0.72,972300000,972300000,https://www.sec.gov/Archives/edgar/data/12927/000001292797000042/0000012927-97-000042-index.html,https://www.sec.gov/Archives/edgar/data/12927/,39374000000,13870000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1997-12-31,BA,USD,0000012927,1998-03-04,1998-03-04 00:00:00,1997,Q4,11727000000,10108000000,1619000000,0.1380574742,460000000,0,0,682000000,0,2542000000,12650000000,0,0,352000000,-571000000,-0.0486910548,-923000000,-0.0787072568,118000000,-805000000,-0.0686450072,-307000000,-498000000,-0.0424661039,-0.51,-0.51,972500000,972500000,https://www.sec.gov/Archives/edgar/data/12927/000001292798000007/0000012927-98-000007-index.html,https://www.sec.gov/Archives/edgar/data/12927/,38024000000,12953000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1998-03-31,BA,USD,0000012927,1998-05-12,1998-05-12 00:00:00,1998,Q1,12941000000,11838000000,1103000000,0.0852329804,487000000,0,0,515000000,0,1002000000,12840000000,0,0,408000000,509000000,0.0393323545,101000000,0.0078046519,-46000000,73000000,0.005640986,23000000,50000000,0.0038636891,0.05,0.05,973600000,985100000,https://www.sec.gov/Archives/edgar/data/12927/000001292798000013/0000012927-98-000013-index.html,https://www.sec.gov/Archives/edgar/data/12927/,38234000000,13027000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1998-06-30,BA,USD,0000012927,1998-08-12,1998-08-12 00:00:00,1998,Q2,13389000000,11976000000,1413000000,0.1055343939,489000000,0,0,508000000,0,997000000,12973000000,0,0,396000000,812000000,0.0606467996,416000000,0.0310702816,-50000000,366000000,0.0273358727,108000000,258000000,0.0192695496,0.26,0.26,972900000,984800000,https://www.sec.gov/Archives/edgar/data/12927/000001292798000017/0000012927-98-000017-index.html,https://www.sec.gov/Archives/edgar/data/12927/,37942000000,12955000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1998-09-30,BA,USD,0000012927,1998-11-06,1998-11-06 00:00:00,1998,Q3,12717000000,11265000000,1452000000,0.1141778721,455000000,0,0,571000000,0,1026000000,12291000000,0,0,421000000,847000000,0.0666037587,426000000,0.0334984666,-26000000,404000000,0.0317684989,57000000,347000000,0.0272863097,0.36,0.36,969300000,977300000,https://www.sec.gov/Archives/edgar/data/12927/000001292798000024/0000012927-98-000024-index.html,https://www.sec.gov/Archives/edgar/data/12927/,37623000000,12972000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1998-12-31,BA,USD,0000012927,1999-03-05,1999-03-05 00:00:00,1998,Q4,17107000000,15467000000,1640000000,0.0958671889,464000000,0,0,552000000,0,1016000000,16483000000,0,0,397000000,1021000000,0.0596831706,624000000,0.0364762963,-70000000,554000000,0.032384404,89000000,465000000,0.0271818554,0.49,0.48,951600000,959600000,https://www.sec.gov/Archives/edgar/data/12927/000001292799000010/0000012927-99-000010-index.html,https://www.sec.gov/Archives/edgar/data/12927/,36672000000,12316000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1999-03-31,BA,USD,0000012927,1999-05-14,1999-05-14 00:00:00,1999,Q1,14392000000,12763000000,1629000000,0.1131878822,361000000,0,0,537000000,0,890000000,13653000000,0,0,402000000,1141000000,0.0792801556,739000000,0.0513479711,-69000000,670000000,0.0465536409,201000000,469000000,0.0325875486,0.5,0.5,937400000,945200000,https://www.sec.gov/Archives/edgar/data/12927/000001292799000017/0000012927-99-000017-index.html,https://www.sec.gov/Archives/edgar/data/12927/,37696000000,12747000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1999-06-30,BA,USD,0000012927,1999-08-12,1999-08-12 00:00:00,1999,Q2,15132000000,13418000000,1714000000,0.1132698916,350000000,0,0,575000000,0,921000000,14339000000,0,0,400000000,1193000000,0.0788395453,793000000,0.0524054983,225000000,1018000000,0.0672746497,317000000,701000000,0.0463256675,0.75,0.75,934666667,934666667,https://www.sec.gov/Archives/edgar/data/12927/000001292799000022/0000012927-99-000022-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292799000022/,38061000000,12676000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1999-09-30,BA,USD,0000012927,1999-11-12,1999-11-12 00:00:00,1999,Q3,13279000000,11802000000,1477000000,0.1112282551,315000000,0,0,548000000,0,809000000,12611000000,0,0,401000000,1069000000,0.0805030499,668000000,0.0503049928,15000000,683000000,0.051434596,206000000,477000000,0.0359213796,0.52,0.52,914500000,924300000,https://www.sec.gov/Archives/edgar/data/12927/000001292799000030/0000012927-99-000030-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292799000030/,37194000000,12220000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
1999-12-31,BA,USD,0000012927,2000-03-08,2000-03-08 00:00:00,1999,Q4,15200000000,13340000000,1860000000,0.1223684211,315000000,0,0,593000000,0,890000000,14230000000,0,0,442000000,1412000000,0.0928947368,970000000,0.0638157895,-17000000,953000000,0.0626973684,291000000,662000000,0.0435526316,0.74,0.73,885900000,894700000,https://www.sec.gov/Archives/edgar/data/12927/000001292700000002/0000012927-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292700000002/,36147000000,11462000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
2000-03-31,BA,USD,0000012927,2000-05-12,2000-05-12 00:00:00,2000,Q1,9910000000,8547000000,1363000000,0.1375378406,288000000,0,0,550000000,0,807000000,9354000000,0,0,352000000,908000000,0.0916246216,556000000,0.0561049445,46000000,602000000,0.0607467205,184000000,418000000,0.0421796165,0.48,0.48,870833333,870833333,https://www.sec.gov/Archives/edgar/data/12927/000001292700000005/0000012927-00-000005-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292700000005/,36560000000,11855000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
2000-06-30,BA,USD,0000012927,2000-08-02,2000-08-02 00:00:00,2000,Q2,14841000000,12944000000,1897000000,0.1278215754,375000000,0,0,609000000,0,972000000,13916000000,0,0,346000000,1271000000,0.0856411293,925000000,0.0623273364,-34000000,891000000,0.0600363857,271000000,620000000,0.0417761606,0.71,0.71,873239437,873239437,https://www.sec.gov/Archives/edgar/data/12927/000001292700000007/0000012927-00-000007-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292700000007/0000012927-00-000007-0001.txt,37477000000,12049000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
2000-09-30,BA,USD,0000012927,2000-11-06,2000-11-06 00:00:00,2000,Q3,11877000000,9993000000,1884000000,0.1586259156,361000000,0,0,673000000,0,1019000000,11012000000,0,0,361000000,1226000000,0.10322472,865000000,0.0728298392,11000000,876000000,0.073755999,267000000,609000000,0.0512755746,0.71,0.7,857746479,870000000,https://www.sec.gov/Archives/edgar/data/12927/000001292700000009/0000012927-00-000009-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292700000009/0000012927-00-000009-0001.txt,39447000000,12153000000,Industrials,Aerospace & Defense,NYSE,1962-01-02
