date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,BEN,USD,0000038777,1995-05-15,1995-05-15 00:00:00,1995,Q2,209300000,6200000,203100000,0.9703774486,0,0,0,107400000,10800000,118200000,124400000,0,0,-10800000,95700000,0.4572384138,84900000,0.4056378404,7700000,92600000,0.4424271381,29600000,63000000,0.3010033445,0.0867,0.0867,726923077,726923077,https://www.sec.gov/Archives/edgar/data/38777/000003877795000098/0000038777-95-000098-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-95-000098.txt,1834700000,1036800000,Financial Services,Asset Management,NYSE,1983-09-23
1995-06-30,BEN,USD,0000038777,1995-08-14,1995-08-14 00:00:00,1995,Q3,224500000,6000000,218500000,0.9732739421,0,0,0,117200000,10600000,127800000,133800000,0,0,-10400000,101300000,0.4512249443,90700000,0.4040089087,10300000,101000000,0.4498886414,32000000,69000000,0.3073496659,0.0933,0.0933,739285714,739285714,https://www.sec.gov/Archives/edgar/data/38777/000003877795000105/0000038777-95-000105-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-95-000105.txt,1871800000,1088300000,Financial Services,Asset Management,NYSE,1983-09-23
1995-09-30,BEN,USD,0000038777,1995-12-29,1995-12-29 00:00:00,1995,Q4,196403000,5900000,190503000,0.9699597257,0,0,0,119057000,-12195000,106862000,112762000,0,0,71440000,155081000,0.7896060651,83641000,0.425864167,16814000,100455000,0.5114738573,26910000,73545000,0.3744596569,0.099,0.099,740000000,740000000,https://www.sec.gov/Archives/edgar/data/38777/000003877795000111/0000038777-95-000111-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-95-000111.txt,2244681000,1161043000,Financial Services,Asset Management,NYSE,1983-09-23
1995-12-31,BEN,USD,0000038777,1996-02-13,1996-02-13 00:00:00,1996,Q1,226600000,5300000,221300000,0.9766107679,0,0,0,122600000,10100000,132700000,138000000,0,0,-10100000,98700000,0.4355692851,88600000,0.3909973522,18600000,107200000,0.4730803177,33200000,74000000,0.3265666372,0.1,0.1,740000000,740000000,https://www.sec.gov/Archives/edgar/data/38777/000003877796000104/0000038777-96-000104-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-96-000104.txt,2221000000,1187700000,Financial Services,Asset Management,NYSE,1983-09-23
1996-03-31,BEN,USD,0000038777,1996-05-14,1996-05-14 00:00:00,1996,Q2,244600000,5200000,239400000,0.9787408013,0,0,0,138400000,9700000,148100000,153300000,0,0,-9700000,101000000,0.4129190515,91300000,0.3732624693,17000000,108300000,0.4427636958,33100000,75200000,0.3074407195,0.1,0.1,727741935,727741935,https://www.sec.gov/Archives/edgar/data/38777/000003877796000115/0000038777-96-000115-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-96-000115.txt,2261500000,1258800000,Financial Services,Asset Management,NYSE,1983-09-23
1996-06-30,BEN,USD,0000038777,1996-08-14,1996-08-14 00:00:00,1996,Q3,395400000,143000000,252400000,0.6383409206,0,0,0,139500000,5700000,145200000,288200000,0,0,-10200000,112900000,0.2855336368,107200000,0.2711178553,13900000,121100000,0.3062721295,40000000,81100000,0.2051087506,0.11,0.11,737272727,737272727,https://www.sec.gov/Archives/edgar/data/38777/000003877796000126/0000038777-96-000126-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-96-000126.txt,2257400000,1325800000,Financial Services,Asset Management,NYSE,1983-09-23
1996-09-30,BEN,USD,0000038777,1996-12-27,1996-12-27 00:00:00,1996,Q4,390768000,127000000,263768000,0.6749989764,0,0,0,-180882000,313483000,132601000,259601000,0,0,70491000,201658000,0.5160555624,131167000,0.3356646399,-11437000,119730000,0.3063966343,35200000,84530000,0.2163176104,0.11,0.11,742580645,759473684,https://www.sec.gov/Archives/edgar/data/38777/000003877796000161/0000038777-96-000161-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-96-000161.txt,2374167000,1400591000,Financial Services,Asset Management,NYSE,1983-09-23
1996-12-31,BEN,USD,0000038777,1997-02-14,1997-02-14 00:00:00,1997,Q1,440000000,136700000,303300000,0.6893181818,0,0,0,164200000,13600000,177800000,314500000,0,0,-13600000,139100000,0.3161363636,125500000,0.2852272727,11500000,137000000,0.3113636364,40800000,96200000,0.2186363636,0.13,0.13,759473684,759473684,https://www.sec.gov/Archives/edgar/data/38777/000003877797000240/0000038777-97-000240-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-97-000240.txt,2726800000,1548200000,Financial Services,Asset Management,NYSE,1983-09-23
1997-03-31,BEN,USD,0000038777,1997-05-14,1997-05-14 00:00:00,1997,Q2,521900000,177000000,344900000,0.6608545698,0,0,0,184600000,16200000,200800000,377800000,0,0,-16200000,160300000,0.307146963,144100000,0.2761065338,200000,144300000,0.276489749,42900000,101400000,0.1942900939,0.13,0.13,760500000,760500000,https://www.sec.gov/Archives/edgar/data/38777/000003877797000276/0000038777-97-000276-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-97-000276.txt,2790700000,1645200000,Financial Services,Asset Management,NYSE,1983-09-23
1997-06-30,BEN,USD,0000038777,1997-08-14,1997-08-14 00:00:00,1997,Q3,577900000,202300000,375600000,0.6499394359,0,0,0,204100000,16300000,220400000,422700000,0,0,-16300000,171500000,0.296764146,155200000,0.2685585741,3100000,158300000,0.273922824,47100000,111200000,0.1924208341,0.15,0.15,758181818,758181818,https://www.sec.gov/Archives/edgar/data/38777/000003877797000319/0000038777-97-000319-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-97-000319.txt,2881800000,1742800000,Financial Services,Asset Management,NYSE,1983-09-23
