date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,BSX,USD,0000885725,1995-03-31,1995-03-31 00:00:00,1995,Q1,215700000,64400000,151300000,0.7014371813,15800000,61300000,0,61300000,0,77100000,141500000,0,0,124400000,74200000,0.3439962911,74200000,0.3439962911,-126600000,-52400000,-0.2429299954,16200000,-68600000,-0.3180343069,-0.12,-0.12,596521739,596521739,,,871100000.0,527300000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
1995-06-30,BSX,USD,0000885725,1995-06-30,1995-06-30 00:00:00,1995,Q2,227300000,66200000,161100000,0.7087549494,16400000,69500000,0,69500000,0,85900000,152100000,0,0,400000,75200000,0.3308402992,75200000,0.3308402992,-3200000,72000000,0.3167619886,26100000,45900000,0.2019357677,0.075,0.075,612000000,612000000,,,890800000.0,585300000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
1995-09-30,BSX,USD,0000885725,1995-09-30,1995-09-30 00:00:00,1995,Q3,232800000,65600000,167200000,0.7182130584,17500000,71000000,0,71000000,0,88500000,154100000,0,0,4200000,78700000,0.3380584192,78700000,0.3380584192,-5500000,73200000,0.3144329897,26200000,47000000,0.2018900344,0.08,0.08,587500000,587500000,,,831100000.0,642600000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
1995-12-31,BSX,USD,0000885725,1995-12-31,1995-12-31 00:00:00,1995,Q4,431200000,80800000,350400000,0.8126159555,0,303200000,0,303200000,-9800000,293400000,374200000,0,0,62000000,57000000,0.1321892393,57000000,0.1321892393,-64800000,-7800000,-0.0180890538,8500000,-16300000,-0.0378014842,-0.0235,-0.0229,693038000,710600000,,,1075000000.0,753000000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
1996-03-31,BSX,USD,0000885725,1996-05-15,1996-05-15 00:00:00,1996,Q1,322400000,85600000,236800000,0.7344913151,25800000,107900000,0,107900000,0,133700000,219300000,0,0,69000000,172100000,0.533808933,103100000,0.3197890819,-31600000,32800000,0.1017369727,33800000,-1000000,-0.003101737,-0.0014,-0.0014,710600000,710600000,https://www.sec.gov/Archives/edgar/data/885725/000095013596002164/0000950135-96-002164-index.html,https://www.sec.gov/Archives/edgar/data/885725/,1241600000.0,795500000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
1996-06-30,BSX,USD,0000885725,1996-08-14,1996-08-14 00:00:00,1996,Q2,357200000,94900000,262300000,0.7343225084,28700000,122300000,0,122300000,0,151000000,245900000,0,0,60200000,171500000,0.4801231803,111300000,0.3115901456,-76500000,47800000,0.133818589,24300000,23500000,0.0657894737,0.0332,0.0332,708792000,708792000,https://www.sec.gov/Archives/edgar/data/885725/000091064796000142/0000910647-96-000142-index.html,https://www.sec.gov/Archives/edgar/data/885725/,1257700000.0,750600000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
1996-09-30,BSX,USD,0000885725,1996-11-14,1996-11-14 00:00:00,1996,Q3,373700000,104500000,269200000,0.7203639283,30300000,133800000,0,133800000,0,164100000,268600000,0,0,-800000,109100000,0.2919454108,105100000,0.2812416377,-1700000,102500000,0.2742841852,34700000,71200000,0.1905271608,0.0857,0.0857,791111111,791111111,https://www.sec.gov/Archives/edgar/data/885725/000091064796000194/0000910647-96-000194-index.html,https://www.sec.gov/Archives/edgar/data/885725/,1357200000.0,831100000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
1996-12-31,BSX,USD,0000885725,1997-03-31,1997-03-31 00:00:00,1996,Q4,408700000,54600000,354100000,0.8664056765,0,355100000,0,355100000,-23400000,331700000,386300000,0,0,-94700000,-72300000,-0.1769023734,22400000,0.0548079276,91400000,113800000,0.2784438463,37100000,76700000,0.1876682163,0.1,0.1,749746300,764210526,https://www.sec.gov/Archives/edgar/data/885725/000095013597001518/0000950135-97-001518-index.html,https://www.sec.gov/Archives/edgar/data/885725/,1512100000.0,916300000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
1997-03-31,BSX,USD,0000885725,1997-05-15,1997-05-15 00:00:00,1997,Q1,399200000,113200000,286000000,0.7164328657,33700000,144400000,0,144400000,0,178100000,291300000,0,0,-3800000,112800000,0.2825651303,107900000,0.2702905812,-200000,108400000,0.2715430862,35800000,75400000,0.1888777555,0.0963,0.0915,754000000,793684211,https://www.sec.gov/Archives/edgar/data/885725/000091064797000139/0000910647-97-000139-index.html,https://www.sec.gov/Archives/edgar/data/885725/,1559600000.0,970600000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
1997-06-30,BSX,USD,0000885725,1997-08-14,1997-08-14 00:00:00,1997,Q2,473700000,131500000,342200000,0.7223981423,41000000,162400000,0,162400000,0,203400000,334900000,0,0,158500000,138800000,0.2930124551,138800000,0.2930124551,-161900000,-23100000,-0.0487650412,3800000,-26900000,-0.056786996,-0.035,-0.035,768571429,768571429,https://www.sec.gov/Archives/edgar/data/885725/000091064797000195/0000910647-97-000195-index.html,https://www.sec.gov/Archives/edgar/data/885725/,1742100000.0,949600000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
1997-09-30,BSX,USD,0000885725,1997-11-14,1997-11-14 00:00:00,1997,Q3,474800000,135900000,338900000,0.7137742207,43300000,171100000,0,171100000,0,214400000,350300000,0,0,-4800000,119700000,0.25210615,124500000,0.2622156698,1700000,126200000,0.2657961247,37800000,88400000,0.1861836563,0.11,0.11,803636364,803636364,https://www.sec.gov/Archives/edgar/data/885725/000091064797000259/0000910647-97-000259-index.html,https://www.sec.gov/Archives/edgar/data/885725/,1857800000.0,1021700000.0,Healthcare,Medical - Devices,NYSE,1992-05-19
