date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,C,USD,0000831001,1995-05-15,1995-05-15 00:00:00,1995,Q1,3960000000,455000000,3505000000,0.8851010101,0,2140000000,0,2140000000,895000000,3035000000,3490000000,1314000000,455000000,287000000,757000000,0.1911616162,470000000,0.1186868687,0,470000000,0.1186868687,165000000,340000000,0.0858585859,1.7,1.7,200000000,200000000,https://www.sec.gov/Archives/edgar/data/831001/000095011295001313/0000950112-95-001313-index.htm,https://www.sec.gov/Archives/edgar/data/831001/0000950112-95-001313.txt,112684000000,9803000000,Financial Services,Banks - Diversified,NYSE,1977-01-03
1995-06-30,C,USD,0000831001,1995-08-14,1995-08-14 00:00:00,1995,Q2,4172000000,518000000,3654000000,0.8758389262,0,2214000000,0,2214000000,858000000,3072000000,3590000000,0,518000000,-135000000,447000000,0.1071428571,582000000,0.1395014382,0,582000000,0.1395014382,205000000,406000000,0.0973154362,2.1,2.1,183333000,183333000,https://www.sec.gov/Archives/edgar/data/831001/000095011295002120/0000950112-95-002120-index.htm,https://www.sec.gov/Archives/edgar/data/831001/0000950112-95-002120.txt,110918000000,10903000000,Financial Services,Banks - Diversified,NYSE,1977-01-03
1995-09-30,C,USD,0000831001,1995-11-14,1995-11-14 00:00:00,1995,Q3,4290000000,489000000,3801000000,0.886013986,0,2240000000,0,2240000000,854000000,3094000000,3583000000,0,489000000,-30000000,677000000,0.1578088578,707000000,0.1648018648,0,707000000,0.1648018648,251000000,481000000,0.1121212121,2.5,2.5,184000000,184000000,https://www.sec.gov/Archives/edgar/data/831001/000095011295002962/0000950112-95-002962-index.htm,https://www.sec.gov/Archives/edgar/data/831001/0000950112-95-002962.txt,112299000000,11038000000,Financial Services,Banks - Diversified,NYSE,1977-01-03
1995-12-31,C,USD,0000831001,1996-03-27,1996-03-27 00:00:00,1995,Q4,4141000000,494000000,3647000000,0.8807051437,0,1825000000,0,1825000000,1060000000,2885000000,3379000000,4355000000,494000000,182000000,944000000,0.2279642598,762000000,0.1840135233,0,762000000,0.1840135233,272000000,607000000,0.146582951,4.19,4.19,145000000,145000000,https://www.sec.gov/Archives/edgar/data/831001/000095011296000929/0000950112-96-000929-index.htm,https://www.sec.gov/Archives/edgar/data/831001/0000950112-96-000929.txt,114475000000,11878000000,Financial Services,Banks - Diversified,NYSE,1977-01-03
1996-03-31,C,USD,0000831001,1996-05-14,1996-05-14 00:00:00,1996,Q1,4515000000,497000000,4018000000,0.8899224806,0,2243000000,0,2243000000,975000000,3218000000,3715000000,1410000000,497000000,87000000,887000000,0.1964562569,800000000,0.1771871539,0,800000000,0.1771871539,280000000,520000000,0.1151716501,3.4,3.2,145000000,154063000,https://www.sec.gov/Archives/edgar/data/831001/000095011296001481/0000950112-96-001481-index.htm,https://www.sec.gov/Archives/edgar/data/831001/0000950112-96-001481.txt,118429000000,11637000000,Financial Services,Banks - Diversified,NYSE,1977-01-03
1996-06-30,C,USD,0000831001,1996-08-13,1996-08-13 00:00:00,1996,Q2,5823000000,563000000,5260000000,0.9033144427,0,3337000000,0,3337000000,1266000000,4603000000,5166000000,0,563000000,80000000,737000000,0.1265670617,657000000,0.1128284389,0,657000000,0.1128284389,81000000,576000000,0.0989180835,3.8,3.6,146053000,154167000,https://www.sec.gov/Archives/edgar/data/831001/000095011296002786/0000950112-96-002786-index.htm,https://www.sec.gov/Archives/edgar/data/831001/0000950112-96-002786.txt,142074000000,11887000000,Financial Services,Banks - Diversified,NYSE,1977-01-03
1996-09-30,C,USD,0000831001,1996-11-12,1996-11-12 00:00:00,1996,Q3,5622000000,580000000,5042000000,0.896833867,0,2911000000,0,2911000000,1247000000,4158000000,4738000000,0,580000000,89000000,973000000,0.1730700818,884000000,0.1572394166,0,884000000,0.1572394166,323000000,592000000,0.1053006048,2.9,2.9,194483000,194483000,https://www.sec.gov/Archives/edgar/data/831001/000100547796000409/0001005477-96-000409-index.htm,https://www.sec.gov/Archives/edgar/data/831001/0001005477-96-000409.txt,144454000000,12428000000,Financial Services,Banks - Diversified,NYSE,1977-01-03
1996-12-31,C,USD,0000831001,1997-03-26,1997-03-26 00:00:00,1996,Q4,5782000000,619000000,5163000000,0.8929436181,0,2575000000,0,2575000000,1578000000,4153000000,4772000000,5549000000,619000000,86000000,1096000000,0.1895537876,1010000000,0.1746800415,0,1010000000,0.1746800415,367000000,643000000,0.1112071947,3.62,3.62,177429000,177429000,https://www.sec.gov/Archives/edgar/data/831001/000100547797000866/0001005477-97-000866-index.htm,https://www.sec.gov/Archives/edgar/data/831001/0001005477-97-000866.txt,345948000000,18491000000,Financial Services,Banks - Diversified,NYSE,1977-01-03
1997-03-31,C,USD,0000831001,1997-05-13,1997-05-13 00:00:00,1997,Q1,8700000000,2378000000,6322000000,0.7266666667,0,3453000000,0,3453000000,1571000000,5024000000,7402000000,3498000000,2378000000,354000000,1652000000,0.1898850575,1298000000,0.1491954023,0,1298000000,0.1491954023,483000000,815000000,0.0936781609,3.5,3.4,232857000,239706000,https://www.sec.gov/Archives/edgar/data/831001/000091205797017228/0000912057-97-017228-index.htm,https://www.sec.gov/Archives/edgar/data/831001/0000912057-97-017228.txt,153944000000,13000000000,Financial Services,Banks - Diversified,NYSE,1977-01-03
1997-06-30,C,USD,0000831001,1997-08-12,1997-08-12 00:00:00,1997,Q2,9184000000,2792000000,6392000000,0.6959930314,0,3417000000,0,3417000000,1575000000,4992000000,7784000000,4047000000,2792000000,355000000,1755000000,0.1910932056,1400000000,0.1524390244,0,1400000000,0.1524390244,517000000,883000000,0.0961454704,3.8,3.7,232368000,238649000,https://www.sec.gov/Archives/edgar/data/831001/000091205797027288/0000912057-97-027288-index.htm,https://www.sec.gov/Archives/edgar/data/831001/0000912057-97-027288.txt,159606000000,14378000000,Financial Services,Banks - Diversified,NYSE,1977-01-03
