date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-02-26,CAG,USD,0000023217,1995-04-10,1995-04-10 00:00:00,1995,Q3,5757600000,4844100000,913500000,0.1586598583,0,0,0,569300000,74000000,643300000,5487400000,0,0,34400000,344200000,0.0597818536,270200000,0.0469292761,-72700000,197500000,0.0343024871,79000000,118500000,0.0205814923,0.25,0.25,450000000,450000000,https://www.sec.gov/Archives/edgar/data/23217/000002321795000007/0000023217-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/23217/,12041200000,2767600000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1995-05-31,CAG,USD,0000023217,1995-08-24,1995-08-24 00:00:00,1995,Q4,5816800000,4807400000,1009400000,0.1735318388,0,0,0,540300000,153800000,694100000,5501500000,0,0,153800000,469100000,0.0806457159,315300000,0.0542050612,-64700000,250600000,0.043082107,100200000,150400000,0.0258561408,0.33,0.33,450512821,457000000,https://www.sec.gov/Archives/edgar/data/23217/000002321795000021/0000023217-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/23217/,10801000000,2850300000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1995-08-27,CAG,USD,0000023217,1995-10-10,1995-10-10 00:00:00,1996,Q1,6436400000,5547200000,889200000,0.1381517619,0,0,0,578300000,87200000,665500000,6212700000,0,0,87200000,310900000,0.0483033994,223700000,0.0347554534,-76100000,147600000,0.0229320738,60500000,87100000,0.0135324094,0.18,0.18,455555556,455555556,https://www.sec.gov/Archives/edgar/data/23217/000002321795000028/0000023217-95-000028-index.html,https://www.sec.gov/Archives/edgar/data/23217/,12290200000,2602600000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1995-11-26,CAG,USD,0000023217,1996-01-10,1996-01-10 00:00:00,1996,Q2,6626300000,5564800000,1061500000,0.1601949806,0,0,0,591600000,112600000,704200000,6269000000,0,0,112600000,469900000,0.0709143866,357300000,0.0539214947,-74000000,283300000,0.0427538747,116200000,167100000,0.0252176931,0.36,0.36,454444444,454444444,https://www.sec.gov/Archives/edgar/data/23217/000002321796000002/0000023217-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/23217/,13176200000,2659500000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1996-02-25,CAG,USD,0000023217,1996-04-04,1996-04-04 00:00:00,1996,Q3,5771800000,4809600000,962200000,0.1667070931,0,0,0,570500000,95600000,666100000,5475700000,0,0,95600000,391700000,0.0678644444,296100000,0.0513011539,-81500000,214600000,0.0371807755,86200000,128400000,0.0222460931,0.28,0.28,458571429,458571429,https://www.sec.gov/Archives/edgar/data/23217/000002321796000015/0000023217-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/23217/,12755200000,2475000000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1996-05-31,CAG,USD,0000023217,1996-08-26,1996-08-26 00:00:00,1996,Q4,5987100000,4992700000,994400000,0.1660904278,0,0,0,537700000,112500000,650200000,5642900000,0,0,112500000,456700000,0.0762806701,344200000,0.0574902707,-581100000,-236900000,-0.0395684054,-43200000,-193700000,-0.0323528921,-0.42,-0.42,461800000,461800000,https://www.sec.gov/Archives/edgar/data/23217/000002321796000029/0000023217-96-000029-index.html,https://www.sec.gov/Archives/edgar/data/23217/,11196600000,2255500000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1996-08-25,CAG,USD,0000023217,1996-10-09,1996-10-09 00:00:00,1997,Q1,6157500000,5260400000,897100000,0.1456922452,0,0,0,559000000,105200000,664200000,5924600000,0,0,105200000,338100000,0.054908648,232900000,0.0378237921,-70100000,162800000,0.0264393017,66700000,96100000,0.0156069834,0.21,0.21,457619048,457619048,https://www.sec.gov/Archives/edgar/data/23217/000002321796000037/0000023217-96-000037-index.html,https://www.sec.gov/Archives/edgar/data/23217/,12021600000,2222000000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1996-11-24,CAG,USD,0000023217,1997-01-08,1997-01-08 00:00:00,1997,Q2,6590200000,5529400000,1060800000,0.1609662833,0,0,0,569200000,102600000,671800000,6201200000,0,0,100000000,491600000,0.0745956117,389000000,0.0590270402,-72700000,316300000,0.0479955085,129000000,187300000,0.0284209887,0.41,0.41,445952381,456829268,https://www.sec.gov/Archives/edgar/data/23217/000002321797000002/0000023217-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/23217/,12954500000,2363200000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1997-02-23,CAG,USD,0000023217,1997-04-08,1997-04-08 00:00:00,1997,Q3,5459100000,4473100000,986000000,0.1806158524,0,0,0,561200000,108400000,669600000,5142700000,0,0,108400000,424800000,0.0778150245,316400000,0.0579582715,-73300000,243100000,0.0445311498,98000000,145100000,0.0265794728,0.32,0.32,453437500,453437500,https://www.sec.gov/Archives/edgar/data/23217/000002321797000004/0000023217-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/23217/,12177600000,2419900000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1997-05-31,CAG,USD,0000023217,1997-08-22,1997-08-22 00:00:00,1997,Q4,5198300000,4165500000,1032800000,0.1986803378,0,0,0,576000000,100200000,676200000,4841700000,0,0,100200000,456800000,0.0878748822,356600000,0.0685993498,-61100000,295500000,0.0568455072,109000000,186500000,0.0358771137,0.41,0.41,459200000,459200000,https://www.sec.gov/Archives/edgar/data/23217/000091205797028887/0000912057-97-028887-index.html,https://www.sec.gov/Archives/edgar/data/23217/,11277100000,2471700000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
