date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,CAT,USD,0000018230,1995-05-02,1995-05-02 00:00:00,1995,Q1,3913000000,2716000000,1197000000,0.3059033989,0,0,0,501000000,174000000,675000000,3391000000,0,0,174000000,696000000,0.177868643,522000000,0.1334014822,-79000000,443000000,0.113212369,143000000,300000000,0.0766675185,0.38,0.38,800000000,800000000,https://www.sec.gov/Archives/edgar/data/18230/000001823095000005/0000018230-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/18230/,16798000000,3181000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
1995-06-30,CAT,USD,0000018230,1995-08-04,1995-08-04 00:00:00,1995,Q2,4213000000,2936000000,1277000000,0.3031094232,0,0,0,535000000,174000000,709000000,3645000000,0,0,174000000,742000000,0.1761215286,568000000,0.1348207928,-89000000,479000000,0.1136957038,156000000,323000000,0.0766674579,0.41,0.41,797530864,797530864,https://www.sec.gov/Archives/edgar/data/18230/000001823095000010/0000018230-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/18230/,17878000000,3378000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
1995-09-30,CAT,USD,0000018230,1995-10-27,1995-10-27 00:00:00,1995,Q3,3733000000,2709000000,1024000000,0.2743102063,0,0,0,498000000,169000000,667000000,3376000000,0,0,169000000,526000000,0.140905438,357000000,0.0956335387,-75000000,282000000,0.0755424591,69000000,213000000,0.057058666,0.27,0.27,788888889,788888889,https://www.sec.gov/Archives/edgar/data/18230/000001823095000017/0000018230-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/18230/,17486000000,3494000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
1995-12-31,CAT,USD,0000018230,1996-05-28,1996-05-28 00:00:00,1995,Q4,4213000000,2957000000,1256000000,0.2981248516,0,0,0,564000000,165000000,729000000,3686000000,0,0,165000000,692000000,0.1642535011,527000000,0.1250890102,-94000000,433000000,0.1027771184,133000000,300000000,0.0712081652,0.39,0.39,778947368,778947368,https://www.sec.gov/Archives/edgar/data/18230/000095013196002501/0000950131-96-002501-index.html,https://www.sec.gov/Archives/edgar/data/18230/,16830000000,3388000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
1996-03-31,CAT,USD,0000018230,1996-05-06,1996-05-06 00:00:00,1996,Q1,3844000000,2590000000,1254000000,0.3262226847,0,0,0,563000000,174000000,737000000,3327000000,0,0,174000000,691000000,0.179760666,517000000,0.1344953174,-78000000,439000000,0.1142039542,143000000,296000000,0.0770031217,0.38,0.38,778947368,778947368,https://www.sec.gov/Archives/edgar/data/18230/000001823096000005/0000018230-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/18230/,17412000000,3641000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
1996-06-30,CAT,USD,0000018230,1996-08-14,1996-08-14 00:00:00,1996,Q2,4180000000,2802000000,1378000000,0.3296650718,0,0,0,568000000,174000000,742000000,3544000000,0,0,174000000,810000000,0.1937799043,636000000,0.15215311,-81000000,555000000,0.1327751196,181000000,374000000,0.0894736842,0.49,0.49,771134021,771134021,https://www.sec.gov/Archives/edgar/data/18230/000001823096000022/0000018230-96-000022-index.html,https://www.sec.gov/Archives/edgar/data/18230/,18122000000,3785000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
1996-09-30,CAT,USD,0000018230,1996-11-04,1996-11-04 00:00:00,1996,Q3,4033000000,2730000000,1303000000,0.3230845524,0,0,0,596000000,175000000,771000000,3501000000,0,0,175000000,707000000,0.1753037441,532000000,0.1319117282,-84000000,448000000,0.1110835606,138000000,310000000,0.0768658567,0.41,0.41,765432099,765432099,https://www.sec.gov/Archives/edgar/data/18230/000001823096000027/0000018230-96-000027-index.html,https://www.sec.gov/Archives/edgar/data/18230/,19744000000,4726000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
1996-12-31,CAT,USD,0000018230,1997-06-30,1997-06-30 00:00:00,1996,Q4,4465000000,2998000000,1467000000,0.3285554311,0,0,0,692000000,173000000,865000000,3863000000,0,0,173000000,775000000,0.1735722284,602000000,0.1348264278,-70000000,532000000,0.1191489362,151000000,381000000,0.0853303471,0.5,0.5,757692308,757692308,https://www.sec.gov/Archives/edgar/data/18230/000095013197004218/0000950131-97-004218-index.html,https://www.sec.gov/Archives/edgar/data/18230/,18728000000,4116000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
1997-03-31,CAT,USD,0000018230,1997-04-30,1997-04-30 00:00:00,1997,Q1,4262000000,2792000000,1470000000,0.3449084937,117000000,0,0,498000000,189000000,804000000,3596000000,0,0,189000000,855000000,0.2006100422,666000000,0.1562646645,-76000000,590000000,0.1384326607,196000000,394000000,0.0924448616,0.52,0.52,757692308,765048544,https://www.sec.gov/Archives/edgar/data/18230/000001823097000013/0000018230-97-000013-index.html,https://www.sec.gov/Archives/edgar/data/18230/,19292000000,4366000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
1997-06-30,CAT,USD,0000018230,1997-08-06,1997-08-06 00:00:00,1997,Q2,4870000000,3263000000,1607000000,0.3299794661,135000000,0,0,547000000,187000000,869000000,4132000000,0,0,187000000,925000000,0.1899383984,738000000,0.1515400411,-86000000,652000000,0.1338809035,217000000,435000000,0.0893223819,0.57,0.56,756521739,769911504,https://www.sec.gov/Archives/edgar/data/18230/000001823097000030/0000018230-97-000030-index.html,https://www.sec.gov/Archives/edgar/data/18230/,20197000000,4516000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
1997-09-30,CAT,USD,0000018230,1997-10-31,1997-10-31 00:00:00,1997,Q3,4600000000,3089000000,1511000000,0.3284782609,132000000,0,0,561000000,189000000,882000000,3971000000,0,0,189000000,818000000,0.177826087,629000000,0.1367391304,-78000000,551000000,0.1197826087,166000000,385000000,0.0836956522,0.52,0.51,747572816,762376238,https://www.sec.gov/Archives/edgar/data/18230/000001823097000038/0000018230-97-000038-index.html,https://www.sec.gov/Archives/edgar/data/18230/,20758000000,4686000000,Industrials,Agricultural - Machinery,NYSE,1929-12-02
