date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,CI,USD,0001739940,1995-03-31,1995-03-30 19:00:00,1995,Q1,3418000000,0,3418000000,1.0,0,0,0,0,3418000000,3418000000,3418000000,0,0,0,0,0.0,0,0.0,0,0,0.0,112000000,290000000,0.0848449386,0.44,0.43,654790000,680368000,,,88847000000.0,6187000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1995-06-30,CI,USD,0001739940,1995-06-30,1995-06-29 20:00:00,1995,Q2,3514000000,0,3514000000,1.0,0,0,0,0,3514000000,3514000000,3514000000,0,0,0,0,0.0,0,0.0,0,0,0.0,99000000,205000000,0.0583380763,0.31,0.3,654910000,676501000,,,91734000000.0,6829000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1995-09-30,CI,USD,0001739940,1995-09-30,1995-09-29 20:00:00,1995,Q3,3408000000,0,3408000000,1.0,0,0,0,0,3408000000,3408000000,3408000000,0,0,0,0,0.0,0,0.0,0,0,0.0,-317000000,-566000000,-0.1660798122,-0.86,-0.86,658798000,658798000,,,93749000000.0,6394000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1995-12-31,CI,USD,0001739940,1995-12-31,1995-12-30 19:00:00,1995,Q4,8615000000,0,8615000000,1.0,0,0,0,0,8615000000,8615000000,8615000000,0,0,0,0,0.0,0,0.0,251000000,251000000,0.0291352293,146000000,282000000,0.0327336042,0.42,0.43,672333000,658798000,,,95903000000.0,7157000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1996-03-31,CI,USD,0001739940,1996-03-31,1996-03-30 19:00:00,1996,Q1,3390000000,0,3390000000,1.0,0,0,0,0,3390000000,3390000000,3390000000,0,0,0,0,0.0,0,0.0,0,0,0.0,120000000,238000000,0.0702064897,0.35,0.35,680681000,687226000,,,95417000000.0,6863000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1996-06-30,CI,USD,0001739940,1996-06-30,1996-06-29 20:00:00,1996,Q2,3499000000,0,3499000000,1.0,0,0,0,0,3499000000,3499000000,3499000000,0,0,0,0,0.0,0,0.0,0,0,0.0,114000000,231000000,0.0660188625,0.34,0.34,680092000,686825000,,,95899000000.0,6885000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1996-09-30,CI,USD,0001739940,1996-09-30,1996-09-29 20:00:00,1996,Q3,3444000000,0,3444000000,1.0,0,0,0,0,3444000000,3444000000,3444000000,0,0,0,0,0.0,0,0.0,0,0,0.0,153000000,281000000,0.0815911731,0.42,0.41,675075000,680519000,,,97347000000.0,7008000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1996-12-31,CI,USD,0001739940,1996-12-31,1996-12-30 19:00:00,1996,Q4,8617000000,0,8617000000,1.0,0,0,0,0,8617000000,8617000000,8617000000,0,0,0,0,0.0,0,0.0,1601000000,1601000000,0.1857955205,158000000,306000000,0.0355111988,0.45,0.45,673206000,675075000,,,98932000000.0,7208000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1997-03-31,CI,USD,0001739940,1997-03-31,1997-03-30 19:00:00,1997,Q1,3388000000,0,3388000000,1.0,0,0,0,0,3388000000,3388000000,3388000000,0,0,54000000,0,0.0,0,0.0,0,0,0.0,149000000,288000000,0.0850059032,0.44,0.43,660202000,665281000,,,98752000000.0,7117000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1997-06-30,CI,USD,0001739940,1997-06-30,1997-06-29 20:00:00,1997,Q2,3482000000,0,3482000000,1.0,0,0,0,0,3482000000,3482000000,3482000000,0,0,0,0,0.0,0,0.0,0,0,0.0,132000000,279000000,0.0801263642,0.42,0.42,664951000,670270000,,,103662000000.0,7548000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1997-09-30,CI,USD,0001739940,1997-09-30,1997-09-29 20:00:00,1997,Q3,3925000000,0,3925000000,1.0,0,0,0,0,3925000000,3925000000,3925000000,0,0,0,0,0.0,0,0.0,0,0,0.0,148000000,279000000,0.0710828025,0.42,0.42,664951000,670270000,,,106428000000.0,7991000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1997-12-31,CI,USD,0001739940,1997-12-31,1997-12-30 19:00:00,1997,Q4,9243000000,0,9243000000,1.0,0,0,0,0,9243000000,9243000000,9243000000,0,0,0,0,0.0,0,0.0,1650000000,1650000000,0.1785134697,135000000,240000000,0.0259655956,0.37,0.36,653906000,664951000,,,108199000000.0,7932000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1998-03-31,CI,USD,0001739940,1998-03-31,1998-03-30 19:00:00,1998,Q1,3901000000,0,3901000000,1.0,0,0,0,0,3901000000,3901000000,3901000000,0,0,78000000,0,0.0,0,0.0,0,0,0.0,273000000,495000000,0.1268905409,0.77,0.76,646298000,654840000,,,111219000000.0,8325000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1998-06-30,CI,USD,0001739940,1998-06-30,1998-06-29 20:00:00,1998,Q2,3354000000,0,3354000000,1.0,0,0,0,0,3354000000,3354000000,3354000000,0,0,30000000,0,0.0,0,0.0,0,0,0.0,136000000,308000000,0.09183065,0.48,0.47,642309000,651356000,,,110927000000.0,8340000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1998-09-30,CI,USD,0001739940,1998-09-30,1998-09-29 20:00:00,1998,Q3,3344000000,0,3344000000,1.0,0,0,0,0,3344000000,3344000000,3344000000,0,0,65000000,0,0.0,0,0.0,0,0,0.0,148000000,251000000,0.0750598086,0.4,0.4,628128000,633407000,,,109296000000.0,8156000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
1998-12-31,CI,USD,0001739940,1998-12-31,1998-12-30 19:00:00,1998,Q4,9328000000,0,9328000000,1.0,0,0,0,0,9328000000,9328000000,9328000000,0,0,0,0,0.0,0,0.0,2010000000,2010000000,0.2154802744,141000000,238000000,0.0255145798,0.38,0.38,628128000,628128000,,,114612000000.0,8277000000.0,Healthcare,Medical - Healthcare Plans,NYSE,1982-03-31
