date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,CL,USD,0000021665,1995-05-10,1995-05-10 00:00:00,1995,Q1,1980300000,1010500000,969800000,0.4897237792,0,0,0,685200000,0,685200000,1695700000,0,0,0,284600000,0.1437155986,284600000,0.1437155986,-43800000,240800000,0.1215977377,84300000,156500000,0.07902843,0.14,0.13,1159259259,1252000000,https://www.sec.gov/Archives/edgar/data/21665/000095014695000203/0000950146-95-000203-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7707500000,1883900000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1995-06-30,CL,USD,0000021665,1995-08-14,1995-08-14 00:00:00,1995,Q2,2090700000,1110600000,980100000,0.4687903573,0,0,0,714500000,0,714500000,1825100000,0,0,-8800000,256800000,0.1228296743,265600000,0.1270387908,-48700000,216900000,0.1037451571,73700000,143200000,0.0684938059,0.12,0.11,1193333333,1301818182,https://www.sec.gov/Archives/edgar/data/21665/000095011295002138/0000950112-95-002138-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7822700000,1986000000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1995-09-30,CL,USD,0000021665,1995-11-03,1995-11-03 00:00:00,1995,Q3,2134400000,1109700000,1024700000,0.480088081,0,0,0,785800000,0,785800000,1895500000,0,0,452000000,238900000,0.1119284108,238900000,0.1119284108,-513800000,-274900000,-0.1287949775,-24700000,-250200000,-0.1172226387,-0.22,-0.22,1137272727,1137272727,https://www.sec.gov/Archives/edgar/data/21665/000095014695000667/0000950146-95-000667-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7705100000,1657700000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1995-12-31,CL,USD,0000021665,1996-03-25,1996-03-25 00:00:00,1995,Q4,2152800000,822000000,1330800000,0.6181716834,0,0,0,694100000,0,994400000,1816400000,0,0,91800000,336400000,0.1562616128,336400000,0.1562616128,-155600000,180800000,0.0839836492,58300000,122500000,0.0569026384,0.1,0.1,1031292308,1031292308,https://www.sec.gov/Archives/edgar/data/21665/000095011296000868/0000950112-96-000868-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7642300000,1679800000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1996-03-31,CL,USD,0000021665,1996-05-10,1996-05-10 00:00:00,1996,Q1,2053700000,1050400000,1003300000,0.4885328919,0,0,0,733800000,0,733800000,1784200000,0,0,-9300000,260200000,0.1266981546,269500000,0.1312265667,-47100000,222400000,0.1082923504,78900000,138100000,0.0672444856,0.12,0.11,1150833333,1255454545,https://www.sec.gov/Archives/edgar/data/21665/000095011296001407/0000950112-96-001407-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7801600000,1697000000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1996-06-30,CL,USD,0000021665,1996-08-14,1996-08-14 00:00:00,1996,Q2,2167300000,1106300000,1061000000,0.4895492087,0,0,0,780500000,0,780500000,1886800000,0,0,-5200000,275300000,0.1270244082,280500000,0.1294237069,-53100000,227400000,0.1049231763,78500000,143600000,0.0662575555,0.13,0.12,1148800000,1248695652,https://www.sec.gov/Archives/edgar/data/21665/000095011296002836/0000950112-96-002836-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7892000000,1829200000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1996-09-30,CL,USD,0000021665,1996-10-25,1996-10-25 00:00:00,1996,Q3,2230600000,1135800000,1094800000,0.4908096476,0,0,0,799100000,0,799100000,1934900000,0,0,-9400000,286300000,0.1283511163,295700000,0.1325652291,-50400000,245300000,0.1099704115,84400000,160900000,0.0721330584,0.14,0.13,1191851852,1287200000,https://www.sec.gov/Archives/edgar/data/21665/000091205796023694/0000912057-96-023694-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7920900000,1913000000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1996-12-31,CL,USD,0000021665,1997-03-18,1997-03-18 00:00:00,1996,Q4,2297400000,842300000,1455100000,0.6333681553,0,0,0,738700000,0,1055000000,1897300000,0,0,117700000,400100000,0.1741533908,400100000,0.1741533908,-140600000,259500000,0.1129537738,77800000,181700000,0.0790894054,0.15,0.14,1048647619,1123551020,https://www.sec.gov/Archives/edgar/data/21665/000094018097000241/0000940180-97-000241-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7901500000,2034100000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1997-03-31,CL,USD,0000021665,1997-05-14,1997-05-14 00:00:00,1997,Q1,2147100000,1066500000,1080600000,0.5032834987,0,0,0,774100000,0,774100000,1840600000,0,0,-11900000,294600000,0.1372083275,306500000,0.142750687,-45700000,260800000,0.1214661637,91200000,164200000,0.0764752457,0.14,0.13,1172857143,1263076923,https://www.sec.gov/Archives/edgar/data/21665/000094018097000460/0000940180-97-000460-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7832900000,2018100000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1997-06-30,CL,USD,0000021665,1997-08-14,1997-08-14 00:00:00,1997,Q2,2300900000,1132800000,1168100000,0.5076709114,0,0,0,854600000,0,854600000,1987400000,0,0,-11700000,301800000,0.1311660655,313500000,0.1362510322,-47000000,266500000,0.1158242427,90700000,170600000,0.0741448998,0.14,0.14,1176551724,1263703704,https://www.sec.gov/Archives/edgar/data/21665/000091205797027943/0000912057-97-027943-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7943200000,2181500000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1997-09-30,CL,USD,0000021665,1997-11-13,1997-11-13 00:00:00,1997,Q3,2297200000,1130500000,1166700000,0.5078791572,0,0,0,832600000,0,832600000,1963100000,0,0,-13300000,320800000,0.1396482675,334100000,0.1454379244,-46600000,287500000,0.1251523594,98900000,183400000,0.0798363225,0.16,0.14,1183225806,1264827586,https://www.sec.gov/Archives/edgar/data/21665/000104746997004344/0001047469-97-004344-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7781100000,2156000000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
1997-12-31,CL,USD,0000021665,1998-03-24,1998-03-24 00:00:00,1997,Q4,2311500000,811800000,1499700000,0.6487994809,0,0,0,775700000,0,1095600000,1907400000,0,0,61200000,404100000,0.1748215445,404100000,0.1748215445,-116600000,287500000,0.1243781095,81100000,201100000,0.0869997837,0.17,0.16,1183539493,1300682063,https://www.sec.gov/Archives/edgar/data/21665/000094018098000317/0000940180-98-000317-index.html,https://www.sec.gov/Archives/edgar/data/21665/,7538700000,2178600000,Consumer Defensive,Household & Personal Products,NYSE,1973-05-02
