date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-04-01,CVS,USD,0000064803,1995-05-12,1995-05-12 00:00:00,1995,Q1,2492000000,1687300000,804700000,0.3229133226,0,0,0,781000000,58900000,839900000,2527200000,0,0,58900000,23700000,0.0095104334,-35200000,-0.0141252006,-10800000,-46000000,-0.018459069,-19600000,-26400000,-0.0105939005,-0.0643,-0.0643,410666667,410666667,https://www.sec.gov/Archives/edgar/data/64803/000089109295000052/0000891092-95-000052-index.html,https://www.sec.gov/Archives/edgar/data/64803/,4913200000,2294900000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1995-07-01,CVS,USD,0000064803,1995-08-15,1995-08-15 00:00:00,1995,Q2,2770200000,1815800000,954400000,0.3445238611,0,0,0,815300000,57600000,872900000,2688700000,0,0,57600000,139100000,0.050212981,81500000,0.0294202585,-27000000,54500000,0.0196736698,23400000,31100000,0.0112266262,0.065,0.065,412307692,412307692,https://www.sec.gov/Archives/edgar/data/64803/000089109295000145/0000891092-95-000145-index.htm,https://www.sec.gov/Archives/edgar/data/64803/0000891092-95-000145.txt,4851500000,2291200000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1995-09-30,CVS,USD,0000064803,1995-11-14,1995-11-14 00:00:00,1995,Q3,2814000000,1871200000,942800000,0.3350390903,0,0,0,859900000,62900000,922800000,2794000000,0,0,63000000,83000000,0.0294953802,20000000,0.0071073205,-23900000,-3900000,-0.0013859275,-1400000,-2500000,-0.0008884151,-0.0055,-0.0055,453333333,453333333,https://www.sec.gov/Archives/edgar/data/64803/000089109295000191/0000891092-95-000191-index.html,https://www.sec.gov/Archives/edgar/data/64803/,5254800000,2251300000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1995-12-31,CVS,USD,0000064803,1996-03-29,1996-03-29 00:00:00,1995,Q4,1612900000,1169800000,443100000,0.2747225494,0,0,0,266400000,48900000,315300000,1485100000,0,0,48900000,176700000,0.1095542191,127800000,0.0792361585,-930400000,-802600000,-0.4976129952,-184700000,-659400000,-0.4088288177,-1.57,-1.53,420655226,432000000,https://www.sec.gov/Archives/edgar/data/64803/000089109296000050/0000891092-96-000050-index.html,https://www.sec.gov/Archives/edgar/data/64803/,3961600000,1549100000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1996-03-31,CVS,USD,0000064803,1996-05-14,1996-05-14 00:00:00,1996,Q1,1744700000,1200200000,544500000,0.3120880381,0,0,0,481900000,34600000,516500000,1716700000,0,0,34600000,62600000,0.035880094,28000000,0.0160486043,-3000000,25000000,0.014329111,10500000,14200000,0.0081389351,0.065,0.06,421020000,421020000,https://www.sec.gov/Archives/edgar/data/64803/000095010396000874/0000950103-96-000874-index.html,https://www.sec.gov/Archives/edgar/data/64803/0000950103-96-000874.txt,4050500000,1573000000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1996-06-29,CVS,USD,0000064803,1996-08-09,1996-08-09 00:00:00,1996,Q2,2674700000,1919700000,755000000,0.2822746476,0,0,0,553600000,47200000,600800000,2520500000,0,0,59100000,213300000,0.0797472614,154200000,0.0576513254,41800000,196000000,0.0732792463,81800000,-39300000,-0.0146932366,-0.15,-0.15,422708000,422708000,https://www.sec.gov/Archives/edgar/data/64803/000095013596003431/0000950135-96-003431-index.htm,https://www.sec.gov/Archives/edgar/data/64803/0000950135-96-003431.txt,3403900000,1511300000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1996-09-28,CVS,USD,0000064803,1996-11-08,1996-11-08 00:00:00,1996,Q3,1356300000,982200000,374100000,0.2758239328,0,0,0,299600000,19600000,319200000,1301400000,0,0,-34500000,74500000,0.0549288505,54900000,0.0404777704,21200000,76100000,0.0561085306,31200000,63700000,0.0469660105,0.14,0.14,439310345,439310345,https://www.sec.gov/Archives/edgar/data/64803/000095013596004734/0000950135-96-004734-index.htm,https://www.sec.gov/Archives/edgar/data/64803/0000950135-96-004734.txt,3495000000,1558400000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1996-12-31,CVS,USD,0000064803,1997-03-31,1997-03-31 00:00:00,1996,Q4,1549900000,1067100000,482800000,0.311503968,0,0,0,319100000,74500000,393600000,1460700000,0,0,74500000,163700000,0.1056197174,89200000,0.0575521001,18000000,107200000,0.0691657526,43900000,60100000,0.0387766953,0.0811,0.0811,741000000,741000000,https://www.sec.gov/Archives/edgar/data/64803/000095013597001475/0000950135-97-001475-index.html,https://www.sec.gov/Archives/edgar/data/64803/,5693700000,2196400000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1997-03-29,CVS,USD,0000064803,1997-05-12,1997-05-12 00:00:00,1997,Q1,3160800000,2260700000,900100000,0.2847696786,0,0,0,654500000,53500000,708000000,2968700000,0,0,53500000,245600000,0.0777018476,192100000,0.060775753,-43900000,148200000,0.0468868641,65600000,82700000,0.0261642622,0.12,0.12,429200000,429200000,https://www.sec.gov/Archives/edgar/data/64803/000095013597002293/0000950135-97-002293-index.htm,https://www.sec.gov/Archives/edgar/data/64803/0000950135-97-002293.txt,2758600000,1312500000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1997-06-28,CVS,USD,0000064803,1997-08-08,1997-08-08 00:00:00,1997,Q2,3160600000,2354200000,806400000,0.2551414288,0,0,0,645900000,54800000,700700000,3054900000,0,0,54800000,160500000,0.0507814972,105700000,0.0334430171,-428200000,-322500000,-0.1020375878,-91700000,-230500000,-0.0729291907,-0.34,-0.34,668285714,668285714,https://www.sec.gov/Archives/edgar/data/64803/000095013597003302/0000950135-97-003302-index.htm,https://www.sec.gov/Archives/edgar/data/64803/0000950135-97-003302.txt,5310900000,2146700000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1997-09-27,CVS,USD,0000064803,1997-11-06,1997-11-06 00:00:00,1997,Q3,3328700000,2423100000,905600000,0.2720581608,0,0,0,688600000,63500000,752100000,3175200000,0,0,71600000,225100000,0.0676239974,153500000,0.0461140986,-9200000,144300000,0.0433502569,62100000,82200000,0.0246943251,0.11,0.11,750476190,750476190,https://www.sec.gov/Archives/edgar/data/64803/000095013597004337/0000950135-97-004337-index.htm,https://www.sec.gov/Archives/edgar/data/64803/0000950135-97-004337.txt,5357400000,2236100000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
1997-12-31,CVS,USD,0000064803,1998-03-31,1998-03-31 00:00:00,1997,Q4,3336400000,2438300000,898100000,0.2691823522,0,0,0,636500000,58500000,695000000,3133300000,0,0,58500000,261600000,0.0784078648,203100000,0.0608739959,-6000000,197100000,0.0590756504,86300000,110800000,0.0332094473,0.14,0.14,802000000,802000000,https://www.sec.gov/Archives/edgar/data/64803/000104746998012979/0001047469-98-012979-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000104746998012979/,5978900000,2614600000,Healthcare,Medical - Healthcare Plans,NYSE,1996-11-20
