date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,D,USD,0000715957,1995-05-05,1995-05-05 00:00:00,1995,Q1,1129300000,432700000,696600000,0.6168422917,0,0,0,0,440100000,440100000,872800000,0,0,0,407800000,0.3611086514,256500000,0.2271318516,-104600000,151900000,0.1345081024,43400000,108500000,0.096077216,0.32,0.32,344444444,344444444,https://www.sec.gov/Archives/edgar/data/715957/000071595795000005/0000715957-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/715957/,13616900000,5433600000,Utilities,Regulated Electric,NYSE,1980-03-17
1995-06-30,D,USD,0000715957,1995-08-11,1995-08-11 00:00:00,1995,Q2,1042800000,0,0,0.0,0,0,0,0,1042800000,1042800000,1042800000,0,0,0,1042800000,1.0,1042800000,1.0,-1042800000,0,0.0,0,78100000,0.0748945148,0.23,0.23,347111111,347111111,https://www.sec.gov/Archives/edgar/data/715957/000071595795000009/0000715957-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/715957/0000715957-95-000009.txt,13564000000,5455000000,Utilities,Regulated Electric,NYSE,1980-03-17
1995-09-30,D,USD,0000715957,1995-11-07,1995-11-07 00:00:00,1995,Q3,1345000000,476800000,868200000,0.6455018587,0,0,0,0,469500000,469500000,946300000,0,0,0,554600000,0.4123420074,398700000,0.2964312268,-103600000,295100000,0.2194052045,97200000,197900000,0.1471375465,0.57,0.57,347192982,347192982,https://www.sec.gov/Archives/edgar/data/715957/000071595795000014/0000715957-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/715957/,14145100000,5460300000,Utilities,Regulated Electric,NYSE,1980-03-17
1995-12-31,D,USD,0000715957,1996-03-12,1996-03-12 00:00:00,1995,Q4,1134600000,407300000,727300000,0.6410188613,0,0,0,0,569500000,569500000,976800000,0,0,0,323600000,0.2852106469,157800000,0.1390798519,-104900000,52900000,0.046624361,12400000,40500000,0.0356953993,0.11,0.11,348565913,353411765,https://www.sec.gov/Archives/edgar/data/715957/000091664196000146/0000916641-96-000146-index.html,https://www.sec.gov/Archives/edgar/data/715957/,13903300000,5431000000,Utilities,Regulated Electric,NYSE,1980-03-17
1996-03-31,D,USD,0000715957,1996-05-10,1996-05-10 00:00:00,1996,Q1,1239300000,457300000,782000000,0.6310013717,0,0,0,0,458500000,458500000,915800000,0,0,0,492900000,0.3977245219,323500000,0.2610344549,-103200000,220300000,0.1777616396,70100000,150200000,0.1211974502,0.43,0.43,353411765,353411765,https://www.sec.gov/Archives/edgar/data/715957/000071595796000044/0000715957-96-000044-index.html,https://www.sec.gov/Archives/edgar/data/715957/,13865900000,5493000000,Utilities,Regulated Electric,NYSE,1980-03-17
1996-06-30,D,USD,0000715957,1996-08-12,1996-08-12 00:00:00,1996,Q2,1121000000,391500000,729500000,0.6507582516,0,0,0,0,488300000,488300000,879800000,0,0,0,416700000,0.3717216771,241200000,0.2151650312,-102700000,138500000,0.1235504014,44300000,94200000,0.0840321142,0.27,0.27,355471698,355471698,https://www.sec.gov/Archives/edgar/data/715957/000071595796000054/0000715957-96-000054-index.html,https://www.sec.gov/Archives/edgar/data/715957/,14062200000,5521200000,Utilities,Regulated Electric,NYSE,1980-03-17
1996-09-30,D,USD,0000715957,1996-11-13,1996-11-13 00:00:00,1996,Q3,1286700000,435500000,851200000,0.6615372659,0,0,0,0,499500000,499500000,935000000,0,0,0,527900000,0.4102743452,351700000,0.2733348877,-111300000,240400000,0.186834538,78200000,162200000,0.1260589104,0.46,0.46,356483516,356483516,https://www.sec.gov/Archives/edgar/data/715957/000071595796000057/0000715957-96-000057-index.html,https://www.sec.gov/Archives/edgar/data/715957/,14495700000,5598500000,Utilities,Regulated Electric,NYSE,1980-03-17
1996-12-31,D,USD,0000715957,1997-06-27,1997-06-27 00:00:00,1996,Q4,1195300000,403100000,792200000,0.6627624864,0,0,0,0,604100000,604100000,1007200000,0,0,0,361400000,0.3023508743,188100000,0.1573663515,-102700000,85400000,0.0714464988,19900000,65500000,0.0547979587,0.18,0.18,359880036,369347826,https://www.sec.gov/Archives/edgar/data/715957/000091664197000637/0000916641-97-000637-index.html,https://www.sec.gov/Archives/edgar/data/715957/,14905600000,5613400000,Utilities,Regulated Electric,NYSE,1980-03-17
1997-03-31,D,USD,0000715957,1997-05-14,1997-05-14 00:00:00,1997,Q1,1897800000,960600000,937200000,0.4938349668,0,0,0,0,551200000,551200000,1511800000,0,0,0,597900000,0.3150490041,386000000,0.2033934029,-137600000,248400000,0.1308883971,78500000,169900000,0.0895247128,0.46,0.46,369347826,369347826,https://www.sec.gov/Archives/edgar/data/715957/000091664197000506/0000916641-97-000506-index.html,https://www.sec.gov/Archives/edgar/data/715957/,19411900000,5714400000,Utilities,Regulated Electric,NYSE,1980-03-17
1997-06-30,D,USD,0000715957,1997-08-13,1997-08-13 00:00:00,1997,Q2,1653000000,779000000,874000000,0.5287356322,0,0,0,0,587600000,587600000,1366600000,0,0,0,512500000,0.3100423472,286400000,0.1732607381,-168500000,117900000,0.0713248639,38800000,79100000,0.0478523896,0.22,0.22,367906977,367906977,https://www.sec.gov/Archives/edgar/data/715957/000071595797000032/0000715957-97-000032-index.html,https://www.sec.gov/Archives/edgar/data/715957/,19423600000,5720500000,Utilities,Regulated Electric,NYSE,1980-03-17
1997-09-30,D,USD,0000715957,1997-11-12,1997-11-12 00:00:00,1997,Q3,2094800000,1007200000,1087600000,0.5191903762,0,0,0,0,775900000,775900000,1783100000,0,0,0,538600000,0.2571128509,311700000,0.1487970212,-163700000,148000000,0.0706511361,97600000,50400000,0.0240595761,0.14,0.14,373333333,373333333,https://www.sec.gov/Archives/edgar/data/715957/000091664197001066/0000916641-97-001066-index.html,https://www.sec.gov/Archives/edgar/data/715957/,19730000000,5715200000,Utilities,Regulated Electric,NYSE,1980-03-17
1997-12-31,D,USD,0000715957,1998-06-10,1998-06-10 00:00:00,1997,Q4,2128300000,1159500000,968800000,0.4551989851,0,0,0,0,633300000,633300000,1792800000,0,0,0,583400000,0.2741154912,335500000,0.1576375511,-220300000,115200000,0.0541277076,15400000,99800000,0.0468918855,0.26,0.26,375762274,387500000,https://www.sec.gov/Archives/edgar/data/715957/000091664198000700/0000916641-98-000700-index.html,https://www.sec.gov/Archives/edgar/data/715957/,20192700000,5729500000,Utilities,Regulated Electric,NYSE,1980-03-17
1998-03-31,D,USD,0000715957,1998-05-15,1998-05-15 00:00:00,1998,Q1,1773500000,768300000,1005200000,0.5667888356,0,0,0,0,624600000,624600000,1392900000,0,0,0,615400000,0.3469974626,380600000,0.2146038906,-174600000,206000000,0.1161544968,66500000,139500000,0.0786580209,0.36,0.36,387500000,387500000,https://www.sec.gov/Archives/edgar/data/715957/000091664198000611/0000916641-98-000611-index.html,https://www.sec.gov/Archives/edgar/data/715957/,20529500000,6058800000,Utilities,Regulated Electric,NYSE,1980-03-17
