date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-01-31,DE,USD,0000315189,1995-03-13,1995-03-13 00:00:00,1995,Q1,2090500000,1339200000,751300000,0.3593877063,0,0,0,287500000,0,287500000,1626700000,0,0,0,463800000,0.2218607989,463800000,0.2218607989,-241900000,221900000,0.1061468548,83500000,138400000,0.0662042574,0.27,0.27,522264151,522264151,https://www.sec.gov/Archives/edgar/data/315189/000031518995000003/0000315189-95-000003-index.htm,https://www.sec.gov/Archives/edgar/data/315189/0000315189-95-000003.txt,13470700000,2624000000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1995-04-30,DE,USD,0000315189,1995-06-12,1995-06-12 00:00:00,1995,Q2,2452900000,1888300000,564600000,0.2301765257,0,0,0,337200000,0,337200000,2225500000,0,0,0,227400000,0.0927065922,227400000,0.0927065922,146500000,373900000,0.1524318154,136900000,237000000,0.096620327,0.46,0.46,520879121,520879121,https://www.sec.gov/Archives/edgar/data/315189/000031518995000006/0000315189-95-000006-index.htm,https://www.sec.gov/Archives/edgar/data/315189/0000315189-95-000006.txt,13891400000,2856900000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1995-07-31,DE,USD,0000315189,1995-09-12,1995-09-12 00:00:00,1995,Q3,2653800000,1820800000,833000000,0.3138895169,0,0,0,495300000,0,495300000,2316100000,0,0,0,337700000,0.1272514884,337700000,0.1272514884,-60100000,277600000,0.1046047178,97500000,180100000,0.0678649484,0.35,0.35,522028986,522028986,https://www.sec.gov/Archives/edgar/data/315189/000031518995000009/0000315189-95-000009-index.htm,https://www.sec.gov/Archives/edgar/data/315189/0000315189-95-000009.txt,13761700000,3032600000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1995-10-31,DE,USD,0000315189,1996-01-16,1996-01-16 00:00:00,1995,Q4,2606100000,1666600000,939500000,0.3605003645,0,0,0,408000000,283100000,691100000,2357700000,0,0,0,248400000,0.0953148383,248400000,0.0953148383,-17900000,230500000,0.0884463374,79900000,150600000,0.0577874986,0.29,0.29,519639312,527619048,https://www.sec.gov/Archives/edgar/data/315189/000091205796000501/0000912057-96-000501-index.htm,https://www.sec.gov/Archives/edgar/data/315189/000091205796000501/,13847400000,3085400000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1996-01-31,DE,USD,0000315189,1996-03-08,1996-03-08 00:00:00,1996,Q1,2296800000,1514800000,782000000,0.3404737025,0,0,0,445700000,0,445700000,1960500000,0,0,0,336300000,0.1464211076,336300000,0.1464211076,-76600000,259700000,0.1130703588,93500000,166200000,0.0723615465,0.32,0.32,527619048,527619048,https://www.sec.gov/Archives/edgar/data/315189/000031518996000005/0000315189-96-000005-index.htm,https://www.sec.gov/Archives/edgar/data/315189/0000315189-96-000005.txt,14446900000,3227000000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1996-04-30,DE,USD,0000315189,1996-06-06,1996-06-06 00:00:00,1996,Q2,3064800000,2055100000,1009700000,0.3294505351,0,0,0,504700000,0,504700000,2559800000,0,0,0,505000000,0.1647742104,505000000,0.1647742104,-76500000,428500000,0.1398133647,155800000,272700000,0.0889780736,0.52,0.52,524423077,524423077,https://www.sec.gov/Archives/edgar/data/315189/000031518996000009/0000315189-96-000009-index.htm,https://www.sec.gov/Archives/edgar/data/315189/0000315189-96-000009.txt,14754300000,3342900000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1996-07-31,DE,USD,0000315189,1996-08-30,1996-08-30 00:00:00,1996,Q3,2880800000,1977300000,903500000,0.3136281588,0,0,0,510400000,0,510400000,2487700000,0,0,0,393100000,0.1364551513,393100000,0.1364551513,-72500000,320600000,0.111288531,116200000,204400000,0.0709525132,0.4,0.4,517468354,517468354,https://www.sec.gov/Archives/edgar/data/315189/000091205796019374/0000912057-96-019374-index.htm,https://www.sec.gov/Archives/edgar/data/315189/0000912057-96-019374.txt,14815900000,3396600000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1996-10-31,DE,USD,0000315189,1997-01-15,1997-01-15 00:00:00,1996,Q4,2885400000,1601700000,1283700000,0.4448949886,0,0,0,619600000,311400000,931000000,2532700000,0,0,0,352700000,0.1222360851,352700000,0.1222360851,-64400000,288300000,0.0999168226,114400000,173900000,0.0602689402,0.34,0.34,512173913,512173913,https://www.sec.gov/Archives/edgar/data/315189/000091205797001035/0000912057-97-001035-index.htm,https://www.sec.gov/Archives/edgar/data/315189/000091205797001035/,14652700000,3557200000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1997-01-31,DE,USD,0000315189,1997-03-07,1997-03-07 00:00:00,1997,Q1,2372100000,1543700000,828400000,0.3492264238,86500000,0,0,385600000,0,472100000,2015800000,0,0,0,356300000,0.1502044602,356300000,0.1502044602,-73500000,282800000,0.1192192572,106100000,176700000,0.0744909574,0.35,0.34,512173913,519705882,https://www.sec.gov/Archives/edgar/data/315189/000031518997000003/0000315189-97-000003-index.htm,https://www.sec.gov/Archives/edgar/data/315189/0000315189-97-000003.txt,15141000000,3574000000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1997-04-30,DE,USD,0000315189,1997-06-10,1997-06-10 00:00:00,1997,Q2,3501500000,2339600000,1161900000,0.3318292161,106600000,0,0,463400000,0,570000000,2909600000,0,0,0,591900000,0.1690418392,591900000,0.1690418392,-83700000,508200000,0.1451377981,188700000,319500000,0.0912466086,0.63,0.62,511200000,515322581,https://www.sec.gov/Archives/edgar/data/315189/000031518997000007/0000315189-97-000007-index.htm,https://www.sec.gov/Archives/edgar/data/315189/0000315189-97-000007.txt,16072500000,3712600000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1997-07-31,DE,USD,0000315189,1997-09-04,1997-09-04 00:00:00,1997,Q3,3400500000,2329300000,1071200000,0.3150124982,99500000,0,0,490900000,0,590400000,2919700000,0,0,0,480800000,0.1413909719,480800000,0.1413909719,-76700000,404100000,0.1188354654,151400000,252700000,0.0743126011,0.5,0.5,505400000,510505051,https://www.sec.gov/Archives/edgar/data/315189/000031518997000013/0000315189-97-000013-index.htm,https://www.sec.gov/Archives/edgar/data/315189/0000315189-97-000013.txt,15950100000,3843900000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
1997-10-31,DE,USD,0000315189,1998-01-23,1998-01-23 00:00:00,1997,Q4,3343300000,1996800000,1346500000,0.4027457901,119800000,0,0,534800000,365600000,1020200000,3017000000,0,0,0,326300000,0.0975981814,326300000,0.0975981814,-10400000,315900000,0.0944874824,104600000,211300000,0.0632010289,0.42,0.42,501975309,501975309,https://www.sec.gov/Archives/edgar/data/315189/000104746998001932/0001047469-98-001932-index.htm,https://www.sec.gov/Archives/edgar/data/315189/000104746998001932/,16319800000,4147200000,Industrials,Agricultural - Machinery,NYSE,1972-06-01
