date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,DHR,USD,0000313616,1995-04-27,1995-04-27 00:00:00,1995,Q1,376500000,260400000,116100000,0.3083665339,0,0,0,59300000,17300000,76600000,337000000,0,0,17300000,56800000,0.1508632138,39500000,0.1049136786,-3200000,36300000,0.0964143426,14500000,21800000,0.0579017264,0.0475,0.0475,458947368,458947368,https://www.sec.gov/Archives/edgar/data/313616/000031361695000007/0000313616-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1185100000,503100000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1995-06-30,DHR,USD,0000313616,1995-07-20,1995-07-20 00:00:00,1995,Q2,391500000,264600000,126900000,0.324137931,0,0,0,61600000,16700000,78300000,342900000,0,0,16700000,65300000,0.1667943806,48600000,0.124137931,-3300000,45300000,0.1157088123,18100000,27200000,0.0694763729,0.0575,0.0575,473043478,473043478,https://www.sec.gov/Archives/edgar/data/313616/000031361695000014/0000313616-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1221300000,528700000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1995-09-29,DHR,USD,0000313616,1995-10-20,1995-10-20 00:00:00,1995,Q3,404500000,276900000,127600000,0.3154511743,0,0,0,62800000,14900000,77700000,354600000,0,0,14900000,64800000,0.160197775,49900000,0.1233621755,-3500000,46400000,0.1147095179,17600000,28800000,0.0711990111,0.06,0.06,480000000,480000000,https://www.sec.gov/Archives/edgar/data/313616/000031361695000017/0000313616-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1508100000,554300000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1995-12-31,DHR,USD,0000313616,1996-03-21,1996-03-21 00:00:00,1995,Q4,314300000,179200000,135100000,0.429844098,0,0,0,83100000,9600000,92700000,271900000,0,0,9600000,52000000,0.1654470251,42400000,0.134902959,2500000,44900000,0.1428571429,17000000,30500000,0.0970410436,0.0639,0.0639,477400000,477400000,https://www.sec.gov/Archives/edgar/data/313616/000031361696000001/0000313616-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1486000000,586300000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1996-03-29,DHR,USD,0000313616,1996-04-18,1996-04-18 00:00:00,1996,Q1,409600000,272700000,136900000,0.3342285156,0,0,0,72900000,16800000,89700000,362400000,0,0,16800000,64000000,0.15625,47200000,0.115234375,-3100000,44100000,0.1076660156,17200000,106700000,0.2604980469,0.23,0.23,474222222,474222222,https://www.sec.gov/Archives/edgar/data/313616/000031361696000003/0000313616-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1503500000,679800000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1996-06-28,DHR,USD,0000313616,1996-07-18,1996-07-18 00:00:00,1996,Q2,434900000,285500000,149400000,0.3435272476,0,0,0,76900000,16200000,93100000,378600000,0,0,16200000,72500000,0.1667049897,56300000,0.1294550471,-3000000,53300000,0.1225569096,20800000,32500000,0.0747298229,0.0675,0.0675,481481481,481481481,https://www.sec.gov/Archives/edgar/data/313616/000031361696000011/0000313616-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1521500000,718800000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1996-09-27,DHR,USD,0000313616,1996-10-17,1996-10-17 00:00:00,1996,Q3,470800000,309000000,161800000,0.3436703483,0,0,0,83300000,18300000,101600000,410600000,0,0,18300000,78500000,0.1667374681,60200000,0.1278674596,-5100000,55100000,0.1170348343,21500000,33600000,0.0713678845,0.07,0.07,480000000,480000000,https://www.sec.gov/Archives/edgar/data/313616/000031361696000016/0000313616-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1792700000,750700000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1996-12-31,DHR,USD,0000313616,1997-04-28,1997-04-28 00:00:00,1996,Q4,496700000,304100000,192600000,0.3877592108,0,0,0,112800000,17300000,130100000,434200000,0,0,17300000,79800000,0.1606603584,62500000,0.1258304812,-5200000,57300000,0.1153613851,22300000,35000000,0.0704650695,0.0725,0.0725,483000000,483000000,https://www.sec.gov/Archives/edgar/data/313616/000031361697000024/0000313616-97-000024-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1765100000,800300000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1997-03-28,DHR,USD,0000313616,1997-04-17,1997-04-17 00:00:00,1997,Q1,466400000,305800000,160600000,0.3443396226,0,0,0,86300000,18900000,105200000,411000000,0,0,18900000,74300000,0.1593053173,55400000,0.1187821612,-3800000,51600000,0.1106346484,20100000,31500000,0.0675385935,0.065,0.065,484615385,484615385,https://www.sec.gov/Archives/edgar/data/313616/000031361697000022/0000313616-97-000022-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1794700000,817500000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1997-06-27,DHR,USD,0000313616,1997-07-17,1997-07-17 00:00:00,1997,Q2,502800000,325200000,177600000,0.353221957,0,0,0,92300000,19400000,111700000,436900000,0,0,19400000,85300000,0.1696499602,65900000,0.1310660302,-3200000,62700000,0.1247016706,24400000,38300000,0.0761734288,0.08,0.08,478750000,478750000,https://www.sec.gov/Archives/edgar/data/313616/000031361697000030/0000313616-97-000030-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1819200000,835300000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1997-09-26,DHR,USD,0000313616,1997-10-21,1997-10-21 00:00:00,1997,Q3,516600000,330900000,185700000,0.3594657375,0,0,0,95900000,18500000,114400000,445300000,0,0,18500000,89800000,0.1738288811,71300000,0.1380178087,-2900000,68500000,0.1325977545,26700000,49300000,0.0954316686,0.0925,0.09,532972973,547777778,https://www.sec.gov/Archives/edgar/data/313616/000031361697000037/0000313616-97-000037-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1914800000,870400000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
1997-12-31,DHR,USD,0000313616,1998-03-17,1998-03-17 00:00:00,1997,Q4,565200000,344500000,220700000,0.3904812456,0,0,0,127200000,19300000,146500000,491000000,0,0,19300000,93500000,0.165428167,74200000,0.1312809625,-3200000,71000000,0.1256192498,27800000,43200000,0.076433121,0.0781,0.0781,553000000,553000000,https://www.sec.gov/Archives/edgar/data/313616/000031361698000004/0000313616-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/313616/,1879700000,916900000,Healthcare,Medical - Diagnostics & Research,NYSE,1978-12-29
