date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,DIS,USD,0001744489,1995-03-31,1995-03-30 19:00:00,1995,Q2,2922800000,1814300000,1108500000,0.3792596141,0,0,0,45800000,501900000,547700000,2362000000,0,0,501900000,1062700000,0.3635897085,560800000,0.1918708088,-76900000,483900000,0.1655604215,168400000,315500000,0.1079444368,0.0667,0.0667,1563964000,1563964000,,,14048200000,6052200000,Communication Services,Entertainment,NYSE,1957-11-12
1995-06-30,DIS,USD,0001744489,1995-06-30,1995-06-29 20:00:00,1995,Q3,2764000000,1785800000,978200000,0.3539073806,0,0,0,38700000,415900000,454600000,2240400000,0,0,415900000,939500000,0.3399059334,523600000,0.1894356006,-35500000,488100000,0.1765918958,169900000,318200000,0.1151230101,0.0667,0.0667,1569369000,1569369000,,,14381300000,6374100000,Communication Services,Entertainment,NYSE,1957-11-12
1995-09-30,DIS,USD,0001744489,1995-09-30,1995-09-29 20:00:00,1995,Q4,3123600000,2124900000,998700000,0.3197272378,0,0,0,56800000,512700000,569500000,2694400000,0,0,512700000,941900000,0.3015430913,429200000,0.1374055577,-24500000,404700000,0.1295620438,140700000,264000000,0.084517864,0.0566,0.0566,1574775000,1576577000,,,14605800000,6650800000,Communication Services,Entertainment,NYSE,1957-11-12
1995-12-31,DIS,USD,0001744489,1995-12-31,1995-12-30 19:00:00,1996,Q1,3818000000,2399000000,1419000000,0.3716605553,0,0,0,54000000,566000000,620000000,3019000000,0,0,566000000,1365000000,0.3575170246,799000000,0.2092718701,-35000000,764000000,0.2001047669,268000000,496000000,0.1299109481,0.1,0.1,1576577000,1576577000,,,15276000000,7124000000,Communication Services,Entertainment,NYSE,1957-11-12
1996-03-31,DIS,USD,0001744489,1996-03-31,1996-03-30 19:00:00,1996,Q2,4543000000,2874000000,1669000000,0.3673783843,0,0,0,97000000,1013000000,1110000000,3984000000,0,0,1013000000,1572000000,0.3460268545,559000000,0.1230464451,-608000000,-49000000,-0.0107858243,-24000000,-25000000,-0.0055029716,-0.0033,-0.0033,1888889000,1888889000,,,36767000000,15869000000,Communication Services,Entertainment,NYSE,1957-11-12
1996-06-30,DIS,USD,0001744489,1996-06-30,1996-06-29 20:00:00,1996,Q3,5087000000,2928000000,2159000000,0.4244151759,0,0,0,66000000,1203000000,1269000000,4197000000,0,0,1203000000,2093000000,0.4114409279,890000000,0.1749557696,-171000000,719000000,0.1413406723,313000000,406000000,0.0798112837,0.0667,0.0667,2044054000,2044054000,,,36578000000,16234000000,Communication Services,Entertainment,NYSE,1957-11-12
1996-09-30,DIS,USD,0001744489,1996-09-30,1996-09-29 20:00:00,1996,Q4,5272000000,3252000000,2020000000,0.3831562974,0,0,0,61000000,1162000000,1223000000,4475000000,0,0,1162000000,1959000000,0.371585736,797000000,0.1511760243,-171000000,626000000,0.1187405159,290000000,336000000,0.0637329287,0.0566,0.0566,2024024000,2024999973,,,37306000000,16086000000,Communication Services,Entertainment,NYSE,1957-11-12
1996-12-31,DIS,USD,0001744489,1996-12-31,1996-12-30 19:00:00,1997,Q1,6278000000,3404000000,2874000000,0.4577891048,0,0,0,90000000,1447000000,1537000000,4941000000,0,0,1447000000,2784000000,0.4434533291,1337000000,0.2129659127,-36000000,1301000000,0.2072316024,552000000,749000000,0.1193055113,0.12,0.12,2024999973,2024999973,,,38677000000,16792000000,Communication Services,Entertainment,NYSE,1957-11-12
1997-03-31,DIS,USD,0001744489,1997-03-31,1997-03-30 19:00:00,1997,Q2,5481000000,3444000000,2037000000,0.3716475096,0,0,0,108000000,1173000000,1281000000,4725000000,0,0,1173000000,1929000000,0.3519430761,756000000,0.1379310345,-184000000,572000000,0.1043605182,239000000,333000000,0.0607553366,0.0533,0.0533,2025401571,2025401571,,,39137000000,16857000000,Communication Services,Entertainment,NYSE,1957-11-12
1997-06-30,DIS,USD,0001744489,1997-06-30,1997-06-29 20:00:00,1997,Q3,5194000000,2983000000,2211000000,0.4256834809,0,0,0,69000000,1151000000,1220000000,4203000000,0,0,1151000000,2142000000,0.4123989218,991000000,0.1907970735,-185000000,806000000,0.1551790528,333000000,473000000,0.0910666153,0.0767,0.0767,2025401571,2025401571,,,38300000000,17267000000,Communication Services,Entertainment,NYSE,1957-11-12
