date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,DUK,USD,0001326160,1995-03-31,1995-03-31 00:00:00,1995,Q1,1111100000,283700000,827400000,0.7446674467,0,0,0,0,458000000,458000000,741700000,0,0,0,538100000,0.4842948429,369400000,0.3324633246,-38800000,330600000,0.2975429754,129300000,201300000,0.1811718117,1.38,1.38,136666530,136666530,,,12981700000,5398900000,Utilities,Regulated Electric,NYSE,1980-03-17
1995-06-30,DUK,USD,0001326160,1995-06-30,1995-06-30 00:00:00,1995,Q2,1052400000,289300000,763100000,0.725104523,0,0,0,0,499300000,499300000,788600000,0,0,0,427400000,0.4061193463,263800000,0.2506651463,-37800000,226000000,0.2147472444,88500000,137500000,0.1306537438,0.93,0.93,134193414,134193414,,,13033300000,5423400000,Utilities,Regulated Electric,NYSE,1980-03-17
1995-09-30,DUK,USD,0001326160,1995-09-30,1995-09-30 00:00:00,1995,Q3,1380000000,345000000,1035000000,0.75,0,0,0,0,530500000,530500000,875500000,0,0,0,672200000,0.4871014493,504500000,0.3655797101,-37400000,467100000,0.3384782609,181900000,285200000,0.2066666667,2.01,2.01,135721257,135721257,,,13177000000,5494100000,Utilities,Regulated Electric,NYSE,1980-03-17
1995-12-31,DUK,USD,0001326160,1995-12-31,1995-12-31 00:00:00,1995,Q4,1133300000,294600000,838700000,0.740051178,0,0,0,0,627200000,627200000,921800000,0,0,0,386300000,0.3408629666,211500000,0.186623136,-54300000,157200000,0.1387099621,66700000,90500000,0.0798552899,0.59,0.59,135721257,135721257,,,13358500000,5469200000,Utilities,Regulated Electric,NYSE,1980-03-17
1996-03-31,DUK,USD,0001326160,1996-03-31,1996-03-31 00:00:00,1996,Q1,1162100000,285800000,876300000,0.7540659152,0,0,0,0,518800000,518800000,804600000,0,0,0,534400000,0.4598571552,357500000,0.3076327338,-39700000,317800000,0.2734704414,126500000,191300000,0.1646157818,1.17,1.17,154016940,154016940,,,13277300000,5544800000,Utilities,Regulated Electric,NYSE,1980-03-17
1996-06-30,DUK,USD,0001326160,1996-06-30,1996-06-30 00:00:00,1996,Q2,2559300000,1257900000,1301400000,0.5084984175,0,0,0,0,822200000,822200000,2080100000,0,0,0,832500000,0.3252842574,479200000,0.1872386981,-89800000,389400000,0.1521509788,152300000,237100000,0.0926425194,0.93,0.93,154016940,154016940,,,13302400000,5586600000,Utilities,Regulated Electric,NYSE,1980-03-17
1996-09-30,DUK,USD,0001326160,1996-09-30,1996-09-30 00:00:00,1996,Q3,3133400000,1641700000,1491700000,0.4760643391,0,0,0,0,838600000,838600000,2480300000,0,0,0,900500000,0.2873875024,653100000,0.2084317355,-83700000,569400000,0.1817195379,218200000,351200000,0.1120827216,1.41,1.41,155476035,155476035,,,13364800000,5574200000,Utilities,Regulated Electric,NYSE,1980-03-17
1996-12-31,DUK,USD,0001326160,1996-12-31,1996-12-31 00:00:00,1996,Q4,1183800000,285200000,898600000,0.7590809258,0,0,0,0,665500000,665500000,950700000,0,0,0,382800000,0.3233654334,233100000,0.1969082615,-38500000,194600000,0.164385876,78300000,116300000,0.0982429464,1.6,0.74,155476035,155476035,,,13469700000,5572700000,Utilities,Regulated Electric,NYSE,1980-03-17
1997-03-31,DUK,USD,0001326160,1997-03-31,1997-03-31 00:00:00,1997,Q1,3785800000,2301300000,1484500000,0.3921231972,0,0,0,0,874500000,874500000,3175800000,0,0,0,764500000,0.201938824,610000000,0.1611284273,-93800000,516200000,0.1363516298,204500000,311700000,0.0823339849,1.26,1.23,134393198,134393198,,,13475200000,5629400000,Utilities,Regulated Electric,NYSE,1980-03-17
1997-06-30,DUK,USD,0001326160,1997-06-30,1997-06-30 00:00:00,1997,Q2,3112800000,1780700000,1332100000,0.4279426883,0,0,0,0,980100000,980100000,2760800000,0,0,0,594700000,0.1910498586,352000000,0.1130814701,-58400000,293600000,0.0943202262,125000000,168600000,0.0541634541,0.66,0.66,238787640,238787640,,,22314200000,8186000000,Utilities,Regulated Electric,NYSE,1980-03-17
1997-09-30,DUK,USD,0001326160,1997-09-30,1997-09-30 00:00:00,1997,Q3,4820600000,3232200000,1588400000,0.3295025515,0,0,0,0,982100000,982100000,4214300000,0,0,0,783700000,0.1625731237,606300000,0.1257727254,-93100000,513200000,0.1064597768,203700000,309500000,0.0642036261,1.26,1.26,236825160,236825160,,,23776000000,8277500000,Utilities,Regulated Electric,NYSE,1980-03-17
1997-12-31,DUK,USD,0001326160,1997-12-31,1997-12-31 00:00:00,1997,Q4,4589700000,3094000000,1495700000,0.3258818659,0,0,0,0,1094000000,1094000000,4188000000,0,0,0,575400000,0.1253676711,401700000,0.0875220603,-111400000,290300000,0.0632503214,105700000,184600000,0.0402204937,0.62,0.62,236825160,236825160,,,24028800000,8028700000,Utilities,Regulated Electric,NYSE,1980-03-17
1998-03-31,DUK,USD,0001326160,1998-03-31,1998-03-31 00:00:00,1998,Q1,4114800000,2633000000,1481800000,0.3601147079,0,0,0,0,873400000,873400000,3506400000,0,0,0,871100000,0.211699232,608400000,0.1478565179,-69500000,538900000,0.1309662681,210800000,320100000,0.0777923593,1.29,1.29,243100532,243100532,,,23974600000,7997200000,Utilities,Regulated Electric,NYSE,1980-03-17
1998-06-30,DUK,USD,0001326160,1998-06-30,1998-06-30 00:00:00,1998,Q2,4013700000,2474100000,1539600000,0.3835862172,0,0,0,0,990800000,990800000,3464900000,0,0,0,814700000,0.2029797942,548800000,0.1367316939,-105900000,442900000,0.1103470613,163400000,279500000,0.069636495,1.14,1.14,240701514,240701514,,,25429100000,7912200000,Utilities,Regulated Electric,NYSE,1980-03-17
1998-09-30,DUK,USD,0001326160,1998-09-30,1998-09-30 00:00:00,1998,Q3,5298200000,3478800000,1819400000,0.3433996452,0,0,0,0,993600000,993600000,4472400000,0,0,0,1105700000,0.2086935186,825800000,0.1558642558,-123600000,702200000,0.1325355781,273500000,428700000,0.0809142728,1.77,1.77,239434789,239434789,,,26183900000,8357700000,Utilities,Regulated Electric,NYSE,1980-03-17
