date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,ECL,USD,0000031462,1995-05-12,1995-05-12 00:00:00,1995,Q1,309600000,119900000,189700000,0.6127260982,0,139900000,0,139900000,18700000,158600000,278500000,0,0,18700000,49800000,0.1608527132,31100000,0.1004521964,-1200000,29900000,0.0965762274,11500000,18400000,0.0594315245,0.07,0.07,262857143,262857143,https://www.sec.gov/Archives/edgar/data/31462/000003146295000008/0000031462-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/31462/,1049800000,481700000,Basic Materials,Chemicals - Specialty,NYSE,1957-01-01
1995-06-30,ECL,USD,0000031462,1995-08-08,1995-08-08 00:00:00,1995,Q2,333400000,129100000,204300000,0.6127774445,0,143700000,0,143700000,20200000,163900000,293000000,0,0,20200000,60600000,0.1817636473,40400000,0.1211757648,600000,41000000,0.1229754049,15200000,25800000,0.0773845231,0.095,0.095,271578947,271578947,https://www.sec.gov/Archives/edgar/data/31462/000003146295000016/0000031462-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/31462/,1015900000,418600000,Basic Materials,Chemicals - Specialty,NYSE,1957-01-01
1995-09-30,ECL,USD,0000031462,1995-11-09,1995-11-09 00:00:00,1995,Q3,348500000,139300000,209200000,0.600286944,0,142600000,0,142600000,17300000,159900000,299200000,0,0,17300000,66600000,0.1911047346,49300000,0.1414634146,-1400000,47900000,0.137446198,18000000,29900000,0.0857962697,0.12,0.12,260000000,260000000,https://www.sec.gov/Archives/edgar/data/31462/000003146295000017/0000031462-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/31462/,1027400000,433500000,Basic Materials,Chemicals - Specialty,NYSE,1957-01-01
1995-12-31,ECL,USD,0000031462,1996-03-27,1996-03-27 00:00:00,1995,Q4,349400000,138800000,210600000,0.6027475673,0,148700000,0,148700000,19900000,168600000,307400000,0,700000,19900000,61900000,0.1771608472,42000000,0.1202060675,-1900000,40100000,0.114768174,15000000,25100000,0.0718374356,0.0,0.0,261333333,261333333,https://www.sec.gov/Archives/edgar/data/31462/000091205796005326/0000912057-96-005326-index.html,https://www.sec.gov/Archives/edgar/data/31462/,1060900000,456700000,Basic Materials,Chemicals - Specialty,NYSE,1957-01-01
1996-03-31,ECL,USD,0000031462,1996-05-08,1996-05-08 00:00:00,1996,Q1,333700000,131000000,202700000,0.607431825,0,147300000,0,147300000,21600000,168900000,299900000,0,500000,21600000,55400000,0.1660173809,33800000,0.1012885826,-2000000,31800000,0.0952951753,12200000,19600000,0.0587353911,0.075,0.075,261333333,261333333,https://www.sec.gov/Archives/edgar/data/31462/000091205796008494/0000912057-96-008494-index.html,https://www.sec.gov/Archives/edgar/data/31462/,1126900000,455100000,Basic Materials,Chemicals - Specialty,NYSE,1957-01-01
1996-06-30,ECL,USD,0000031462,1996-08-07,1996-08-07 00:00:00,1996,Q2,373200000,148900000,224300000,0.6010182208,0,157000000,0,157000000,22000000,179000000,327900000,0,0,22000000,67300000,0.1803322615,45300000,0.1213826367,-1400000,43900000,0.1176312969,16300000,27600000,0.0739549839,0.11,0.11,250909091,250909091,https://www.sec.gov/Archives/edgar/data/31462/000091205796016500/0000912057-96-016500-index.html,https://www.sec.gov/Archives/edgar/data/31462/,1134300000,464500000,Basic Materials,Chemicals - Specialty,NYSE,1957-01-01
1996-09-30,ECL,USD,0000031462,1996-11-12,1996-11-12 00:00:00,1996,Q3,392100000,152600000,239500000,0.610813568,0,160500000,0,160500000,22600000,183100000,335700000,0,0,22600000,79000000,0.2014792145,56400000,0.1438408569,1400000,57800000,0.1474113746,22300000,35500000,0.090538128,0.14,0.14,253571429,262962963,https://www.sec.gov/Archives/edgar/data/31462/000091205796025763/0000912057-96-025763-index.html,https://www.sec.gov/Archives/edgar/data/31462/,1181300000,495500000,Basic Materials,Chemicals - Specialty,NYSE,1957-01-01
1996-12-31,ECL,USD,0000031462,1997-03-27,1997-03-27 00:00:00,1996,Q4,391000000,152900000,238100000,0.6089514066,0,164800000,0,164800000,23300000,188100000,341000000,0,0,23300000,73300000,0.1874680307,50000000,0.1278772379,400000,50400000,0.1289002558,20000000,30400000,0.0777493606,0.0,0.0,255686000,262000000,https://www.sec.gov/Archives/edgar/data/31462/000091205797010517/0000912057-97-010517-index.html,https://www.sec.gov/Archives/edgar/data/31462/,1208400000,520000000,Basic Materials,Chemicals - Specialty,NYSE,1957-01-01
1997-03-31,ECL,USD,0000031462,1997-05-09,1997-05-09 00:00:00,1997,Q1,373700000,141100000,232600000,0.6224244046,0,164600000,0,164600000,24700000,189300000,330400000,0,0,24700000,68000000,0.1819641424,43300000,0.1158683436,-500000,42800000,0.114530372,16600000,26200000,0.0701097137,0.1,0.1,262000000,262000000,https://www.sec.gov/Archives/edgar/data/31462/000091205797016416/0000912057-97-016416-index.html,https://www.sec.gov/Archives/edgar/data/31462/,1179800000,511600000,Basic Materials,Chemicals - Specialty,NYSE,1957-01-01
1997-06-30,ECL,USD,0000031462,1997-08-07,1997-08-07 00:00:00,1997,Q2,411800000,157900000,253900000,0.6165614376,0,175700000,0,175700000,25400000,201100000,359000000,0,0,25400000,78200000,0.1898980087,52800000,0.1282175814,500000,53300000,0.129431763,20400000,32900000,0.079893152,0.13,0.13,253076923,263200000,https://www.sec.gov/Archives/edgar/data/31462/000091205797026426/0000912057-97-026426-index.html,https://www.sec.gov/Archives/edgar/data/31462/,1208400000,532000000,Basic Materials,Chemicals - Specialty,NYSE,1957-01-01
