date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,EIX,USD,0000827052,1995-05-11,1995-05-11 00:00:00,1995,Q1,1822000000,651600000,1170400000,0.6423710209,0,0,0,0,712300000,712300000,1363900000,0,0,0,714900000,0.3923710209,458100000,0.2514270033,-192900000,265200000,0.1455543359,111700000,153500000,0.084248079,0.34,0.34,451470588,451470588,https://www.sec.gov/Archives/edgar/data/827052/000082705295000022/0000827052-95-000022-index.html,https://www.sec.gov/Archives/edgar/data/827052/,22140100000,6898200000,Utilities,Regulated Electric,NYSE,1973-05-03
1995-06-30,EIX,USD,0000827052,1995-08-14,1995-08-14 00:00:00,1995,Q2,1860800000,688700000,1172100000,0.6298903697,0,0,0,0,740100000,740100000,1428800000,0,0,0,696500000,0.3743013758,432000000,0.2321582115,-167300000,264700000,0.1422506449,104800000,159900000,0.0859307825,0.36,0.36,444166667,444166667,https://www.sec.gov/Archives/edgar/data/827052/000082705295000023/0000827052-95-000023-index.html,https://www.sec.gov/Archives/edgar/data/827052/,22635600000,6854500000,Utilities,Regulated Electric,NYSE,1973-05-03
1995-09-30,EIX,USD,0000827052,1995-11-13,1995-11-13 00:00:00,1995,Q3,2670000000,1131100000,1538900000,0.5763670412,0,0,0,0,741500000,741500000,1872600000,0,0,0,1073800000,0.4021722846,797400000,0.2986516854,-307200000,490200000,0.1835955056,202600000,287600000,0.1077153558,0.65,0.65,442461538,442461538,https://www.sec.gov/Archives/edgar/data/827052/000082705295000026/0000827052-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/827052/,23275900000,7078100000,Utilities,Regulated Electric,NYSE,1973-05-03
1995-12-31,EIX,USD,0000827052,1996-03-27,1996-03-27 00:00:00,1995,Q4,2052100000,804600000,1247500000,0.6079138444,0,0,0,0,800000000,800000000,1604600000,0,0,0,736900000,0.3590955606,447500000,0.2180692949,-200700000,246800000,0.1202670435,108800000,138000000,0.0672481848,0.31,0.31,442461538,442461538,https://www.sec.gov/Archives/edgar/data/827052/000082705296000030/0000827052-96-000030-index.html,https://www.sec.gov/Archives/edgar/data/827052/,23946000000,7069000000,Utilities,Regulated Electric,NYSE,1973-05-03
1996-03-31,EIX,USD,0000827052,1996-05-10,1996-05-10 00:00:00,1996,Q1,1967700000,670600000,1297100000,0.6591960157,0,0,0,0,738200000,738200000,1408800000,0,0,0,852400000,0.4331961173,558900000,0.2840372008,-280300000,278600000,0.141586624,111500000,167100000,0.0849214819,0.38,0.37,439736842,451621622,https://www.sec.gov/Archives/edgar/data/827052/000082705296000032/0000827052-96-000032-index.html,https://www.sec.gov/Archives/edgar/data/827052/,24294600000,7125300000,Utilities,Regulated Electric,NYSE,1973-05-03
1996-06-30,EIX,USD,0000827052,1996-08-14,1996-08-14 00:00:00,1996,Q2,1813700000,723200000,1090500000,0.6012570987,0,0,0,0,832300000,832300000,1555500000,0,0,0,584100000,0.3220488504,258200000,0.1423609197,25200000,283400000,0.156255169,127700000,155700000,0.0858466119,0.35,0.35,444857143,444857143,https://www.sec.gov/Archives/edgar/data/827052/000082705296000037/0000827052-96-000037-index.html,https://www.sec.gov/Archives/edgar/data/827052/,23980100000,7155200000,Utilities,Regulated Electric,NYSE,1973-05-03
1996-09-30,EIX,USD,0000827052,1996-11-13,1996-11-13 00:00:00,1996,Q3,2568200000,1188000000,1380200000,0.5374192041,0,0,0,0,750000000,750000000,1938000000,0,164500000,0,958500000,0.3732185967,630200000,0.2453858734,-125000000,505200000,0.1967136516,228400000,276800000,0.1077797679,0.63,0.63,439365079,439365079,https://www.sec.gov/Archives/edgar/data/827052/000082705296000041/0000827052-96-000041-index.html,https://www.sec.gov/Archives/edgar/data/827052/,24873800000,7203100000,Utilities,Regulated Electric,NYSE,1973-05-03
1996-12-31,EIX,USD,0000827052,1997-10-17,1997-10-17 00:00:00,1996,Q4,2195400000,892100000,1303300000,0.5936503598,0,0,0,0,935600000,935600000,1827700000,0,0,0,689000000,0.313838025,367700000,0.1674865628,-154900000,212800000,0.0969299444,95400000,117400000,0.0534754487,0.27,0.27,426133429,439365079,https://www.sec.gov/Archives/edgar/data/827052/000082705297000029/0000827052-97-000029-index.html,https://www.sec.gov/Archives/edgar/data/827052/,24559000000,7106000000,Utilities,Regulated Electric,NYSE,1973-05-03
1997-03-31,EIX,USD,0000827052,1997-05-15,1997-05-15 00:00:00,1997,Q1,2000700000,828900000,1171800000,0.5856950067,0,0,0,0,806900000,806900000,1635800000,0,0,0,718600000,0.359174289,364900000,0.1823861648,-124000000,240900000,0.1204078572,96100000,144800000,0.0723746689,0.35,0.35,413714286,413714286,https://www.sec.gov/Archives/edgar/data/827052/000082705297000025/0000827052-97-000025-index.html,https://www.sec.gov/Archives/edgar/data/827052/,23946400000,6917000000,Utilities,Regulated Electric,NYSE,1973-05-03
1997-06-30,EIX,USD,0000827052,1997-08-12,1997-08-12 00:00:00,1997,Q2,2167200000,782000000,1385200000,0.6391657438,0,0,0,0,946700000,946700000,1728700000,0,0,0,803000000,0.3705241787,438500000,0.2023348099,-186000000,252500000,0.1165097822,113500000,139000000,0.0641380583,0.34,0.34,408823529,408823529,https://www.sec.gov/Archives/edgar/data/827052/000082705297000028/0000827052-97-000028-index.html,https://www.sec.gov/Archives/edgar/data/827052/,24452400000,6584800000,Utilities,Regulated Electric,NYSE,1973-05-03
