date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,EMR,USD,0000032604,1995-05-12,1995-05-12 00:00:00,1995,Q2,2514100000,1635200000,878900000,0.3495883219,0,0,0,476400000,0,476400000,2111600000,0,0,0,402500000,0.1600970526,402500000,0.1600970526,-46000000,356500000,0.1418002466,129400000,227100000,0.0903305358,0.26,0.26,893452000,893452000,https://www.sec.gov/Archives/edgar/data/32604/000003260495000007/0000032604-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/32604/,9423300000,4544600000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1995-06-30,EMR,USD,0000032604,1995-08-14,1995-08-14 00:00:00,1995,Q3,2629700000,1707000000,922700000,0.3508765258,0,0,0,498700000,0,498700000,2205700000,0,0,0,424000000,0.1612351219,424000000,0.1612351219,-47900000,376100000,0.1430201164,136600000,239500000,0.0910750276,0.27,0.27,894532000,894532000,https://www.sec.gov/Archives/edgar/data/32604/000003260495000009/0000032604-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/32604/,9667200000,4796700000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1995-09-30,EMR,USD,0000032604,1995-12-21,1995-12-21 00:00:00,1995,Q4,2584500000,1645600000,938900000,0.3632810989,0,0,0,517200000,0,517200000,2162800000,0,0,0,421700000,0.1631650222,421700000,0.1631650222,-48700000,373000000,0.1443219191,135300000,237700000,0.0919713678,0.27,0.27,894285714,894285714,https://www.sec.gov/Archives/edgar/data/32604/000003260495000011/0000032604-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/32604/,9399000000,4870800000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1995-12-31,EMR,USD,0000032604,1996-02-14,1996-02-14 00:00:00,1996,Q1,2565800000,1650400000,915400000,0.3567698184,0,0,0,517000000,0,517000000,2167400000,0,0,0,398400000,0.1552732091,398400000,0.1552732091,-36500000,361900000,0.1410476265,131400000,230500000,0.0898355289,0.26,0.26,896212000,896212000,https://www.sec.gov/Archives/edgar/data/32604/000003260496000003/0000032604-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/32604/,9733200000,4992100000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1996-03-31,EMR,USD,0000032604,1996-05-14,1996-05-14 00:00:00,1996,Q2,2819800000,1821100000,998700000,0.3541740549,0,0,0,544000000,0,544000000,2365100000,0,0,0,454700000,0.1612525711,454700000,0.1612525711,-52300000,402400000,0.1427051564,147500000,254900000,0.090396482,0.28,0.28,894385965,894385965,https://www.sec.gov/Archives/edgar/data/32604/000003260496000005/0000032604-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/32604/,10376800000,5092700000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1996-06-30,EMR,USD,0000032604,1996-08-14,1996-08-14 00:00:00,1996,Q3,2896800000,1859800000,1037000000,0.3579812207,0,0,0,567100000,0,567100000,2426900000,0,0,0,469900000,0.1622134769,469900000,0.1622134769,-48100000,421800000,0.1456089478,154900000,266900000,0.0921361502,0.3,0.3,889666667,889666667,https://www.sec.gov/Archives/edgar/data/32604/000003260496000010/0000032604-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/32604/,10445600000,5210800000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1996-09-30,EMR,USD,0000032604,1996-12-19,1996-12-19 00:00:00,1996,Q4,2867500000,1833700000,1033800000,0.3605231037,0,0,0,563900000,0,563900000,2397600000,0,0,0,469900000,0.1638709677,469900000,0.1638709677,-47000000,422900000,0.1474803836,156700000,266200000,0.0928334786,0.3,0.3,895384615,896284000,https://www.sec.gov/Archives/edgar/data/32604/000003260496000015/0000032604-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/32604/,10481000000,5353400000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1996-12-31,EMR,USD,0000032604,1997-02-13,1997-02-13 00:00:00,1997,Q1,2830600000,1805400000,1025200000,0.3621846958,0,0,0,583300000,0,583300000,2388700000,0,0,0,441900000,0.1561153112,441900000,0.1561153112,-36600000,405300000,0.1431851904,150400000,254900000,0.0900515792,0.28,0.28,894816000,894816000,https://www.sec.gov/Archives/edgar/data/32604/000003260497000002/0000032604-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/32604/,10696400000,5494900000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1997-03-31,EMR,USD,0000032604,1997-05-15,1997-05-15 00:00:00,1997,Q2,3103500000,1987400000,1116100000,0.3596262285,0,0,0,612200000,0,612200000,2599600000,0,0,0,503900000,0.1623650717,503900000,0.1623650717,-58200000,445700000,0.1436120509,165300000,280400000,0.0903496053,0.32,0.31,892224000,892224000,https://www.sec.gov/Archives/edgar/data/32604/000003260497000006/0000032604-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/32604/,10919500000,5417600000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1997-06-30,EMR,USD,0000032604,1997-08-14,1997-08-14 00:00:00,1997,Q3,3208400000,2067000000,1141400000,0.3557536467,0,0,0,621800000,0,621800000,2688800000,0,0,0,519600000,0.1619498816,519600000,0.1619498816,-48000000,471600000,0.1469891535,175000000,296600000,0.0924448323,0.34,0.33,887500000,887500000,https://www.sec.gov/Archives/edgar/data/32604/000003260497000010/0000032604-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/32604/,11096500000,5520200000,Industrials,Industrial - Machinery,NYSE,1972-06-01
