date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,ETN,USD,0001551182,1995-03-31,1995-03-31 00:00:00,1995,Q1,1731000000,1199000000,532000000,0.3073367995,57000000,0,0,229000000,66000000,352000000,1551000000,0,0,66000000,246000000,0.1421143847,180000000,0.1039861352,-17000000,163000000,0.0941652224,55000000,108000000,0.0623916811,0.35,0.35,311600000,311600000,,,4926000000,1766000000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1995-06-30,ETN,USD,0001551182,1995-06-30,1995-06-30 00:00:00,1995,Q2,1758000000,1218000000,540000000,0.3071672355,58000000,0,0,238000000,71000000,367000000,1585000000,0,0,71000000,244000000,0.1387940842,173000000,0.098407281,-9000000,164000000,0.0932878271,54000000,110000000,0.0625711035,0.35,0.35,311600000,311600000,,,5081000000,1858000000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1995-09-30,ETN,USD,0001551182,1995-09-30,1995-09-30 00:00:00,1995,Q3,1672000000,1173000000,499000000,0.2984449761,53000000,0,0,226000000,70000000,349000000,1522000000,0,0,70000000,220000000,0.1315789474,150000000,0.0897129187,-12000000,138000000,0.0825358852,47000000,91000000,0.0544258373,0.3,0.3,310800000,310800000,,,5065000000,1911000000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1995-12-31,ETN,USD,0001551182,1995-12-31,1995-12-31 00:00:00,1995,Q4,1661000000,1157000000,504000000,0.3034316677,59000000,0,0,231000000,74000000,364000000,1521000000,0,0,74000000,214000000,0.1288380494,140000000,0.0842865744,-13000000,127000000,0.0764599639,37000000,90000000,0.0541842264,0.29,0.29,310800000,310800000,,,5053000000,1975000000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1996-03-31,ETN,USD,0001551182,1996-03-31,1996-03-31 00:00:00,1996,Q1,1736000000,1203000000,533000000,0.3070276498,65000000,0,0,239000000,75000000,379000000,1582000000,0,0,75000000,229000000,0.1319124424,154000000,0.0887096774,-13000000,141000000,0.0812211982,46000000,95000000,0.0547235023,0.31,0.31,310800000,310800000,,,5130000000,2046000000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1996-06-30,ETN,USD,0001551182,1996-06-30,1996-06-30 00:00:00,1996,Q2,1782000000,1227000000,555000000,0.3114478114,68000000,0,0,245000000,79000000,392000000,1619000000,0,0,79000000,242000000,0.1358024691,163000000,0.0914702581,-14000000,149000000,0.0836139169,46000000,103000000,0.0578002245,0.33,0.33,310800000,310800000,,,5255000000,2104000000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1996-09-30,ETN,USD,0001551182,1996-09-30,1996-09-30 00:00:00,1996,Q3,1719000000,1199000000,520000000,0.3025014543,67000000,0,0,244000000,82000000,393000000,1592000000,0,0,82000000,209000000,0.1215823153,127000000,0.0738801629,-12000000,115000000,0.0668993601,30000000,85000000,0.0494473531,0.28,0.27,309200000,309200000,,,5277000000,2131000000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1996-12-31,ETN,USD,0001551182,1996-12-31,1996-12-31 00:00:00,1996,Q4,1724000000,1216000000,508000000,0.2946635731,67000000,0,0,267000000,84000000,418000000,1634000000,0,0,84000000,174000000,0.1009280742,90000000,0.0522041763,-10000000,80000000,0.0464037123,14000000,66000000,0.0382830626,0.21,0.21,308400000,309200000,,,5307000000,2160000000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1997-03-31,ETN,USD,0001551182,1997-03-31,1997-03-31 00:00:00,1997,Q1,1789000000,1225000000,564000000,0.3152599217,75000000,0,0,257000000,82000000,414000000,1639000000,0,0,82000000,232000000,0.1296813862,150000000,0.0838457239,-5000000,145000000,0.0810508664,44000000,101000000,0.0564561207,0.33,0.32,308400000,312800000,,,5359000000,2190000000,Industrials,Industrial - Machinery,NYSE,1972-06-01
1997-06-30,ETN,USD,0001551182,1997-06-30,1997-06-30 00:00:00,1997,Q2,1909000000,1288000000,621000000,0.3253012048,79000000,0,0,272000000,83000000,434000000,1722000000,0,0,83000000,270000000,0.1414353064,187000000,0.0979570456,-5000000,182000000,0.0953378732,56000000,126000000,0.066003143,0.41,0.4,308400000,313200000,,,5400000000,2274000000,Industrials,Industrial - Machinery,NYSE,1972-06-01
