date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,EXC,USD,0001109357,1995-03-31,1995-03-31 00:00:00,1995,Q1,1058600000,200300000,858300000,0.810787833,0,0,0,0,503600000,503600000,703900000,0,0,0,482300000,0.4556017381,354700000,0.3350651804,-103400000,251300000,0.2373890043,99300000,152000000,0.1435858681,0.33,0.33,442121212,442121212,,,15178600000,4732500000,Utilities,Regulated Electric,NASDAQ,1973-05-02
1995-06-30,EXC,USD,0001109357,1995-06-30,1995-06-30 00:00:00,1995,Q2,958600000,166600000,792000000,0.8262048821,0,0,0,0,415100000,415100000,581700000,0,0,0,508700000,0.5306697267,376900000,0.3931775506,-105100000,271800000,0.2835384936,118200000,153600000,0.1602336741,0.34,0.34,440597015,440597015,,,15079400000,4793300000,Utilities,Regulated Electric,NASDAQ,1973-05-02
1995-09-30,EXC,USD,0001109357,1995-09-30,1995-09-30 00:00:00,1995,Q3,1125200000,198000000,927200000,0.8240312833,0,0,0,0,509600000,509600000,707600000,0,0,0,531100000,0.4720049769,417600000,0.3711340206,-107000000,310600000,0.2760398151,126300000,184300000,0.1637931034,0.4,0.4,445500000,445500000,,,15215300000,4882300000,Utilities,Regulated Electric,NASDAQ,1973-05-02
1995-12-31,EXC,USD,0001109357,1995-12-31,1995-12-31 00:00:00,1995,Q4,1043700000,197900000,845800000,0.8103861263,0,0,0,0,504000000,504000000,701900000,0,0,0,483000000,0.46277666,341800000,0.327488742,-102500000,239300000,0.2292804446,119500000,119800000,0.1147839417,0.27,0.27,445500000,445500000,,,14960600000,4823400000,Utilities,Regulated Electric,NASDAQ,1973-05-02
1996-03-31,EXC,USD,0001109357,1996-03-31,1996-03-31 00:00:00,1996,Q1,1170500000,299500000,871000000,0.7441264417,0,0,0,0,513800000,513800000,813300000,0,0,0,490900000,0.4193934216,357200000,0.3051687313,-103600000,253600000,0.2166595472,103300000,150300000,0.1284066638,0.33,0.33,448615385,448615385,,,15076400000,4877600000,Utilities,Regulated Electric,NASDAQ,1973-05-02
1996-06-30,EXC,USD,0001109357,1996-06-30,1996-06-30 00:00:00,1996,Q2,989400000,211300000,778100000,0.786436224,0,0,0,0,510900000,510900000,722200000,0,0,0,403800000,0.4081261371,267200000,0.2700626642,-96700000,170500000,0.1723266626,71700000,98800000,0.0998585001,0.22,0.22,438604651,438604651,,,14875300000,4875300000,Utilities,Regulated Electric,NASDAQ,1973-05-02
1996-09-30,EXC,USD,0001109357,1996-09-30,1996-09-30 00:00:00,1996,Q3,1110200000,226000000,884200000,0.7964330751,0,0,0,0,537600000,537600000,763600000,0,0,0,460300000,0.4146099802,346600000,0.3121960007,-100600000,246000000,0.221581697,96200000,149800000,0.1349306431,0.33,0.33,445000000,445000000,,,14901900000,4924300000,Utilities,Regulated Electric,NASDAQ,1973-05-02
1996-12-31,EXC,USD,0001109357,1996-12-31,1996-12-31 00:00:00,1996,Q4,1013500000,235600000,777900000,0.7675382338,0,0,0,0,500400000,500400000,736000000,0,0,0,497100000,0.4904785397,277500000,0.2738036507,-90300000,187200000,0.1847064628,68900000,118300000,0.116724223,0.27,0.27,445000000,445000000,,,15260600000,4938100000,Utilities,Regulated Electric,NASDAQ,1973-05-02
1997-03-31,EXC,USD,0001109357,1997-03-31,1997-03-31 00:00:00,1997,Q1,1163400000,334000000,829400000,0.7129104349,0,0,0,0,527400000,527400000,861400000,0,0,0,451900000,0.3884304624,302000000,0.259583978,-97300000,204700000,0.1759498023,91700000,113000000,0.0971291043,0.25,0.25,442857143,442857143,,,15358400000,4945900000,Utilities,Regulated Electric,NASDAQ,1973-05-02
1997-06-30,EXC,USD,0001109357,1997-06-30,1997-06-30 00:00:00,1997,Q2,1032300000,266100000,766200000,0.7422260971,0,0,0,0,446700000,446700000,712800000,0,0,0,497300000,0.4817398043,319500000,0.3095030514,-97100000,222400000,0.2154412477,99600000,122800000,0.1189576673,0.27,0.27,446415094,446415094,,,15390900000,4964400000,Utilities,Regulated Electric,NASDAQ,1973-05-02
