date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,F,USD,0000037996,1995-05-11,1995-05-11 00:00:00,1995,Q1,34783000000,26941000000,7842000000,0.2254549636,0,0,0,1214000000,1521000000,2735000000,29676000000,0,0,1521000000,6628000000,0.1905528563,5107000000,0.1468245982,-2569000000,2538000000,0.0729666791,988000000,1550000000,0.0445619987,1.44,1.28,1502111000,1502111000,https://www.sec.gov/Archives/edgar/data/37996/000003799695000014/0000037996-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/37996/,232025000000,25427000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1995-06-30,F,USD,0000037996,1995-07-27,1995-07-27 00:00:00,1995,Q2,36389000000,27795000000,8594000000,0.2361702712,0,0,0,2027000000,1600000000,3627000000,31422000000,0,0,1600000000,6567000000,0.1804666245,4967000000,0.1364972931,-2342000000,2625000000,0.0721371843,1053000000,1572000000,0.0431998681,0.92,1.3,1634033000,1634033000,https://www.sec.gov/Archives/edgar/data/37996/000003799695000024/0000037996-95-000024-index.html,https://www.sec.gov/Archives/edgar/data/37996/,239808000000,27216000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1995-09-30,F,USD,0000037996,1995-11-09,1995-11-09 00:00:00,1995,Q3,31418000000,24681000000,6737000000,0.2144312178,0,0,0,1853000000,1715000000,3568000000,28249000000,0,0,1715000000,4884000000,0.1554522885,3169000000,0.1008657458,-2655000000,514000000,0.0163600484,157000000,357000000,0.011362913,0.18,0.18,1712963768,1712963768,https://www.sec.gov/Archives/edgar/data/37996/000003799695000033/0000037996-95-000033-index.html,https://www.sec.gov/Archives/edgar/data/37996/,238576000000,24955000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1995-12-31,F,USD,0000037996,1996-03-19,1996-03-19 00:00:00,1995,Q4,34547000000,31417000000,3130000000,0.0906012099,0,0,0,289000000,1664000000,1953000000,33370000000,0,0,6883000000,1389000000,0.040206096,1177000000,0.0340695285,-149000000,1028000000,0.0297565635,181000000,660000000,0.0191044085,0.33,0.31,1703715086,1768010586,https://www.sec.gov/Archives/edgar/data/37996/000003799696000007/0000037996-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/37996/,243283000000,24547000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1996-03-31,F,USD,0000037996,1996-05-13,1996-05-13 00:00:00,1996,Q1,36261000000,28974000000,7287000000,0.2009597088,0,0,0,2048000000,1691000000,3739000000,32713000000,0,0,1691000000,5239000000,0.1444802956,3548000000,0.0978461708,-2482000000,1066000000,0.0293979758,413000000,653000000,0.0180083285,0.54,0.54,1724889172,1724889172,https://www.sec.gov/Archives/edgar/data/37996/000003799696000017/0000037996-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/37996/,248004000000,24540000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1996-06-30,F,USD,0000037996,1996-08-01,1996-08-01 00:00:00,1996,Q2,37937000000,28976000000,8961000000,0.2362073965,0,0,0,2243000000,1675000000,3918000000,32894000000,0,0,1675000000,6718000000,0.1770830588,5043000000,0.1329309118,-2446000000,2597000000,0.0684555974,694000000,1903000000,0.0501621109,1.61,1.56,1172050000,1209615000,https://www.sec.gov/Archives/edgar/data/37996/000003799696000027/0000037996-96-000027-index.html,https://www.sec.gov/Archives/edgar/data/37996/,260566000000,25840000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1996-09-30,F,USD,0000037996,1996-10-30,1996-10-30 00:00:00,1996,Q3,33960000000,26485000000,7475000000,0.2201118963,0,0,0,2222000000,1768000000,3990000000,30475000000,0,0,1768000000,5253000000,0.1546819788,3485000000,0.1026207303,-2325000000,1160000000,0.0341578327,474000000,686000000,0.0202002356,0.57,0.55,1175438596,1218181818,https://www.sec.gov/Archives/edgar/data/37996/000003799696000035/0000037996-96-000035-index.html,https://www.sec.gov/Archives/edgar/data/37996/,258501000000,26152000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1996-12-31,F,USD,0000037996,1997-03-18,1997-03-18 00:00:00,1996,Q4,38833000000,34123000000,4710000000,0.1212885948,0,0,0,112000000,1741000000,1853000000,35976000000,0,0,7657000000,3097000000,0.0797517575,2857000000,0.073571447,-887000000,1970000000,0.0507300492,585000000,1204000000,0.031004558,0.66,0.65,1804967000,1824268000,https://www.sec.gov/Archives/edgar/data/37996/000003799697000008/0000037996-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/37996/,262867000000,26762000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1997-03-31,F,USD,0000037996,1997-05-08,1997-05-08 00:00:00,1997,Q1,36202000000,27183000000,9019000000,0.2491298823,0,0,0,2383000000,1765000000,4148000000,31331000000,0,0,1765000000,6636000000,0.1833047898,4871000000,0.1345505773,-2504000000,2367000000,0.065383128,898000000,1469000000,0.0405778686,1.23,1.2,1757725000,1757725000,https://www.sec.gov/Archives/edgar/data/37996/000003799697000010/0000037996-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/37996/,261957000000,27252000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1997-06-30,F,USD,0000037996,1997-08-07,1997-08-07 00:00:00,1997,Q2,40265000000,30233000000,10032000000,0.2491493853,0,0,0,2496000000,1774000000,4270000000,34503000000,0,0,1774000000,7536000000,0.1871600646,5762000000,0.1431019496,-2050000000,3712000000,0.0921892462,1182000000,2530000000,0.0628337266,2.11,2.06,1192417000,1221359000,https://www.sec.gov/Archives/edgar/data/37996/000003799697000022/0000037996-97-000022-index.html,https://www.sec.gov/Archives/edgar/data/37996/,271416000000,29113000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1997-09-30,F,USD,0000037996,1997-11-05,1997-11-05 00:00:00,1997,Q3,36096000000,27408000000,8688000000,0.2406914894,0,0,0,2504000000,2011000000,4515000000,31923000000,0,0,2011000000,6184000000,0.171320922,4173000000,0.1156083777,-2453000000,1720000000,0.0476507092,595000000,1125000000,0.0311668883,0.94,0.92,1182979000,1208696000,https://www.sec.gov/Archives/edgar/data/37996/000003799697000027/0000037996-97-000027-index.html,https://www.sec.gov/Archives/edgar/data/37996/,274223000000,29677000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1997-12-31,F,USD,0000037996,1998-03-18,1998-03-18 00:00:00,1997,Q4,41064000000,33795000000,7269000000,0.1770163647,0,0,0,-301000000,2095000000,1794000000,35589000000,0,0,8033000000,4954000000,0.1206409507,5475000000,0.1333284629,-2335000000,3140000000,0.0764660043,1066000000,1796000000,0.0437366063,1.17,1.13,1530162000,1571547500,https://www.sec.gov/Archives/edgar/data/37996/000003799698000014/0000037996-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/37996/,279097000000,30734000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1998-03-31,F,USD,0000037996,1998-05-12,1998-05-12 00:00:00,1998,Q1,36584000000,26937000000,9647000000,0.2636945113,0,0,0,2624000000,2037000000,4661000000,31598000000,0,0,2037000000,7023000000,0.1919691668,4986000000,0.1362890881,-2323000000,2663000000,0.0727913842,972000000,17646000000,0.4823420074,14.23,14.23,1792712000,1792712000,https://www.sec.gov/Archives/edgar/data/37996/000003799698000029/0000037996-98-000029-index.html,https://www.sec.gov/Archives/edgar/data/37996/,223238000000,21497000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1998-06-30,F,USD,0000037996,1998-07-15,1998-07-15 00:00:00,1998,Q2,37289000000,27403000000,9886000000,0.2651183995,0,0,0,2430000000,2158000000,4588000000,31991000000,0,0,2158000000,7456000000,0.1999517284,5298000000,0.1420794336,-1725000000,3573000000,0.0958191424,1192000000,2381000000,0.0638526107,1.96,1.91,1212755000,1244503000,https://www.sec.gov/Archives/edgar/data/37996/000003799698000043/0000037996-98-000043-index.html,https://www.sec.gov/Archives/edgar/data/37996/,228271000000,23070000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
1998-09-30,F,USD,0000037996,1998-10-19,1998-10-19 00:00:00,1998,Q3,32640000000,25253000000,7387000000,0.226317402,0,0,0,1971000000,2220000000,4191000000,29444000000,0,0,2220000000,5416000000,0.1659313725,3196000000,0.0979166667,-1713000000,1483000000,0.045435049,482000000,1001000000,0.0306678922,0.81,0.8,1230864000,1246250000,https://www.sec.gov/Archives/edgar/data/37996/000003799698000049/0000037996-98-000049-index.html,https://www.sec.gov/Archives/edgar/data/37996/,228514000000,23718000000,Consumer Cyclical,Auto - Manufacturers,NYSE,1972-06-01
