date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-02-28,FDX,USD,0001048911,1995-02-28,1995-02-28 00:00:00,1995,Q3,2332600000,1148300000,1184300000,0.507716711,0,1344900000,0,1344900000,634400000,1979300000,3127600000,0,0,-165100000,-669900000,-0.2871902598,-504800000,-0.216410872,905700000,110700000,0.0474577724,47600000,63100000,0.027051359,0.28,0.28,225496000,225496000,,,6135700000,2143900000,Industrials,Integrated Freight & Logistics,NYSE,1978-04-12
1995-05-31,FDX,USD,0001048911,1995-05-31,1995-05-31 00:00:00,1995,Q4,2469600000,1221600000,1248000000,0.5053449951,0,1343300000,0,1343300000,675800000,2019100000,3240700000,0,0,-168700000,-605500000,-0.2451814059,-436800000,-0.1768707483,924100000,153000000,0.0619533528,65800000,87200000,0.0353093618,0.39,0.39,218304000,225974000,,,6433400000,2245600000,Industrials,Integrated Freight & Logistics,NYSE,1978-04-12
1995-08-31,FDX,USD,0001048911,1995-08-31,1995-08-31 00:00:00,1996,Q1,2453400000,1205800000,1247600000,0.5085187903,0,1370700000,0,1370700000,682500000,2053200000,3259000000,0,0,-174100000,-636000000,-0.2592320861,-461900000,-0.1882693405,935500000,129900000,0.0529469308,54600000,75300000,0.0306921008,0.34,0.34,226752000,226752000,,,6493700000,2325300000,Industrials,Integrated Freight & Logistics,NYSE,1978-04-12
1995-11-30,FDX,USD,0001048911,1995-11-30,1995-11-30 00:00:00,1996,Q2,2547000000,1313300000,1233700000,0.4843737731,0,1357800000,0,1357800000,713000000,2070800000,3384100000,0,0,-178700000,-666600000,-0.2617196702,-487900000,-0.1915586965,992100000,155000000,0.0608559089,65100000,89900000,0.0352964272,0.4,0.4,229040000,229040000,,,6634700000,2420300000,Industrials,Integrated Freight & Logistics,NYSE,1978-04-12
1996-02-29,FDX,USD,0001048911,1996-02-29,1996-02-29 00:00:00,1996,Q3,2535500000,1361900000,1173600000,0.4628672846,0,1415600000,0,1415600000,737900000,2153500000,3515400000,0,0,-182300000,-797600000,-0.3145730625,-614900000,-0.242516269,1032600000,52700000,0.0207848551,25500000,27200000,0.0107276671,0.12,0.12,229032000,229032000,,,6693000000,2452300000,Industrials,Integrated Freight & Logistics,NYSE,1978-04-12
1996-05-31,FDX,USD,0001048911,1996-05-31,1996-05-31 00:00:00,1996,Q4,2737700000,1388700000,1349000000,0.4927493882,0,1434900000,0,1434900000,741200000,2176100000,3564800000,0,0,-184500000,-642600000,-0.2347225773,-457500000,-0.1671110786,1029600000,202500000,0.0739671987,87100000,115400000,0.0421521715,0.5,0.5,220196000,228552000,,,6699000000,2576100000,Industrials,Integrated Freight & Logistics,NYSE,1978-04-12
1996-08-31,FDX,USD,0001048911,1996-08-31,1996-08-31 00:00:00,1997,Q1,2692300000,1394100000,1298200000,0.4821899491,0,1484800000,0,1484800000,742600000,2227400000,3621500000,0,0,-190200000,-739000000,-0.2744864985,-548400000,-0.2036920105,1037000000,107800000,0.0400401144,45800000,62000000,0.0230286372,0.27,0.27,229868000,229868000,,,6830500000,2642300000,Industrials,Integrated Freight & Logistics,NYSE,1978-04-12
1996-11-30,FDX,USD,0001048911,1996-11-30,1996-11-30 00:00:00,1997,Q2,2852400000,1496500000,1355900000,0.4753540878,0,1514400000,0,1514400000,790200000,2304600000,3801100000,0,0,-191000000,-777200000,-0.272472304,-586200000,-0.2055111485,1129100000,180400000,0.0632449867,76700000,103700000,0.0363553499,0.45,0.45,230264000,230264000,,,7082500000,2751900000,Industrials,Integrated Freight & Logistics,NYSE,1978-04-12
1997-02-28,FDX,USD,0001048911,1997-02-28,1997-02-28 00:00:00,1997,Q3,2906800000,1557200000,1349600000,0.4642906289,0,1576500000,0,1576500000,831500000,2408000000,3965200000,0,0,-195700000,-862200000,-0.2966148342,-666500000,-0.2292899408,1189800000,109600000,0.0377046924,46600000,63000000,0.0216733177,0.27,0.27,291460000,298098000,,,7362500000,2817100000,Industrials,Integrated Freight & Logistics,NYSE,1978-04-12
1997-05-31,FDX,USD,0001048911,1997-05-31,1997-05-31 00:00:00,1997,Q4,3068300000,1570700000,1497600000,0.4880878662,0,1590400000,0,1590400000,875600000,2466000000,4036700000,0,0,-200500000,-771800000,-0.2515399407,-571300000,-0.1861943096,1198900000,230500000,0.0751230323,98000000,132500000,0.0431835218,0.45,0.45,292194000,294456000,,,9044300000,3501200000,Industrials,Integrated Freight & Logistics,NYSE,1978-04-12
