date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,FITB,USD,0000035527,1995-05-12,1995-05-12 00:00:00,1995,Q1,339600000,145100000,194500000,0.5727326266,0,47600000,0,47600000,47600000,95200000,240300000,269200000,135500000,3700000,103000000,0.3032979976,99300000,0.2924028269,0,99300000,0.2924028269,33200000,66100000,0.1946407538,0.0395,0.0395,330075000,330075000,https://www.sec.gov/Archives/edgar/data/35527/000003552795000009/0000035527-95-000009-index.htm,https://www.sec.gov/Archives/edgar/data/35527/0000035527-95-000009.txt,15603800000,1478700000,Financial Services,Banks - Regional,NASDAQ,1980-03-17
1995-06-30,FITB,USD,0000035527,1995-08-14,1995-08-14 00:00:00,1995,Q2,360500000,160500000,200000000,0.5547850208,0,47300000,0,47300000,49900000,97200000,257700000,288000000,152300000,3500000,106300000,0.2948682386,102800000,0.2851595007,0,102800000,0.2851595007,34300000,68500000,0.1900138696,0.0415,0.0415,330112000,330112000,https://www.sec.gov/Archives/edgar/data/35527/000003552795000012/0000035527-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/35527/,16164200000,1536300000,Financial Services,Banks - Regional,NASDAQ,1980-03-17
1995-09-30,FITB,USD,0000035527,1995-11-14,1995-11-14 00:00:00,1995,Q3,383000000,170600000,212400000,0.5545691906,0,49600000,0,49600000,49900000,99500000,270100000,302700000,159900000,12200000,125100000,0.3266318538,112900000,0.2947780679,0,112900000,0.2947780679,37700000,75200000,0.1963446475,0.0435,0.0435,338725000,338725000,https://www.sec.gov/Archives/edgar/data/35527/000003552795000016/0000035527-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/35527/0000035527-95-000016.txt,17152900000,1645400000,Financial Services,Banks - Regional,NASDAQ,1980-03-17
1995-12-31,FITB,USD,0000035527,1996-02-28,1996-02-28 00:00:00,1995,Q4,395900000,176700000,219200000,0.5536751705,0,46400000,0,46400000,57200000,103600000,280300000,313400000,162200000,8200000,123800000,0.3127052286,115600000,0.2919929275,0,115600000,0.2919929275,37700000,77900000,0.1967668603,0.23,0.23,339097000,341818000,https://www.sec.gov/Archives/edgar/data/35527/000003552796000004/0000035527-96-000004-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000003552796000004/,17052900000,1724600000,Financial Services,Banks - Regional,NASDAQ,1980-03-17
1996-03-31,FITB,USD,0000035527,1996-05-10,1996-05-10 00:00:00,1996,Q1,406800000,171300000,235500000,0.5789085546,0,56800000,0,56800000,60400000,117200000,288500000,323100000,161500000,12300000,130600000,0.3210422812,118300000,0.290806293,0,118300000,0.290806293,39200000,79100000,0.1944444444,0.0681,0.0681,345240000,345240000,https://www.sec.gov/Archives/edgar/data/35527/000003552796000009/0000035527-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/35527/0000035527-96-000009.txt,18869900000,1792800000,Financial Services,Banks - Regional,NASDAQ,1980-03-17
1996-06-30,FITB,USD,0000035527,1996-08-13,1996-08-13 00:00:00,1996,Q2,435400000,190100000,245300000,0.5633899862,0,60000000,0,60000000,60500000,120500000,310600000,343600000,172100000,14100000,138900000,0.3190169959,124800000,0.2866329812,0,124800000,0.2866329812,41600000,83200000,0.1910886541,0.0681,0.0681,356950000,356950000,https://www.sec.gov/Archives/edgar/data/35527/000003552796000014/0000035527-96-000014-index.html,https://www.sec.gov/Archives/edgar/data/35527/0000035527-96-000014.txt,19855500000,1950700000,Financial Services,Banks - Regional,NASDAQ,1980-03-17
1996-09-30,FITB,USD,0000035527,1996-11-14,1996-11-14 00:00:00,1996,Q3,454400000,198300000,256100000,0.5636003521,0,58900000,0,58900000,78800000,137700000,336000000,359000000,181900000,12400000,130800000,0.2878521127,118400000,0.2605633803,0,118400000,0.2605633803,39300000,79100000,0.1740757042,0.0652,0.0652,357320000,357320000,https://www.sec.gov/Archives/edgar/data/35527/000003552796000016/0000035527-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/35527/0000035527-96-000016.txt,20087000000,2030900000,Financial Services,Banks - Regional,NASDAQ,1980-03-17
1996-12-31,FITB,USD,0000035527,1997-03-04,1997-03-04 00:00:00,1996,Q4,456900000,200200000,256700000,0.561829722,0,54800000,0,54800000,63000000,117800000,318000000,359300000,180400000,10900000,149800000,0.3278616765,138900000,0.3040052528,0,138900000,0.3040052528,45200000,93700000,0.2050776975,0.26,0.26,357389000,359545000,https://www.sec.gov/Archives/edgar/data/35527/000095015297001600/0000950152-97-001600-index.html,https://www.sec.gov/Archives/edgar/data/35527/,20549000000,2144100000,Financial Services,Banks - Regional,NASDAQ,1980-03-17
1997-03-31,FITB,USD,0000035527,1997-05-14,1997-05-14 00:00:00,1997,Q1,461300000,198800000,262500000,0.5690440061,0,57400000,0,57400000,63600000,121000000,319800000,362700000,181400000,15200000,156700000,0.3396921743,141500000,0.3067418166,0,141500000,0.3067418166,47000000,94500000,0.2048558422,0.083,0.08,347114000,347114000,https://www.sec.gov/Archives/edgar/data/35527/000003552797000002/0000035527-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/35527/0000035527-97-000002.txt,20175700000,1914900000,Financial Services,Banks - Regional,NASDAQ,1980-03-17
1997-06-30,FITB,USD,0000035527,1997-08-14,1997-08-14 00:00:00,1997,Q2,475000000,201700000,273300000,0.5753684211,0,59000000,0,59000000,68700000,127700000,329400000,366300000,181500000,13600000,159200000,0.3351578947,145600000,0.3065263158,0,145600000,0.3065263158,49500000,96100000,0.2023157895,0.0859,0.083,346892000,346892000,https://www.sec.gov/Archives/edgar/data/35527/000003552797000006/0000035527-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/35527/0000035527-97-000006.txt,20694500000,2003500000,Financial Services,Banks - Regional,NASDAQ,1980-03-17
