date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-04-02,GD,USD,0000040533,1995-05-15,1995-05-15 00:00:00,1995,Q1,753000000,666000000,87000000,0.1155378486,0,0,0,0,8000000,8000000,674000000,0,0,8000000,87000000,0.1155378486,79000000,0.1049136786,13000000,92000000,0.1221779548,32000000,60000000,0.0796812749,0.24,0.24,250000000,250000000,https://www.sec.gov/Archives/edgar/data/40533/000004053395000002/0000040533-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/40533/,2663000000,1353000000,Industrials,Aerospace & Defense,NYSE,1978-01-13
1995-07-02,GD,USD,0000040533,1995-08-15,1995-08-15 00:00:00,1995,Q2,703000000,618000000,85000000,0.1209103841,0,0,0,0,9000000,9000000,627000000,0,0,9000000,85000000,0.1209103841,76000000,0.1081081081,17000000,93000000,0.1322901849,32000000,82000000,0.1166429587,0.33,0.33,248484848,248484848,https://www.sec.gov/Archives/edgar/data/40533/000004053395000005/0000040533-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/40533/,2700000000,1411000000,Industrials,Aerospace & Defense,NYSE,1978-01-13
1995-10-01,GD,USD,0000040533,1995-11-03,1995-11-03 00:00:00,1995,Q3,718000000,632000000,86000000,0.1197771588,0,0,0,0,9000000,9000000,641000000,0,0,9000000,86000000,0.1197771588,77000000,0.1072423398,16000000,93000000,0.1295264624,31000000,91000000,0.1267409471,0.37,0.37,249315068,249315068,https://www.sec.gov/Archives/edgar/data/40533/000004053395000009/0000040533-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/40533/,3117000000,1480000000,Industrials,Aerospace & Defense,NYSE,1978-01-13
1995-12-31,GD,USD,0000040533,1996-06-26,1996-06-26 00:00:00,1995,Q4,893000000,798000000,95000000,0.1063829787,0,0,0,0,12000000,12000000,810000000,0,0,12000000,95000000,0.1063829787,83000000,0.0929451288,14000000,97000000,0.1086226204,33000000,88000000,0.0985442329,0.35,0.35,252205252,253000000,https://www.sec.gov/Archives/edgar/data/40533/000095013396001012/0000950133-96-001012-index.html,https://www.sec.gov/Archives/edgar/data/40533/,3164000000,1567000000,Industrials,Aerospace & Defense,NYSE,1978-01-13
1996-03-31,GD,USD,0000040533,1996-05-13,1996-05-13 00:00:00,1996,Q1,893000000,797000000,96000000,0.1075027996,0,0,0,0,13000000,13000000,810000000,0,0,13000000,96000000,0.1075027996,83000000,0.0929451288,15000000,98000000,0.1097424412,33000000,65000000,0.0727883539,0.26,0.26,254901961,254901961,https://www.sec.gov/Archives/edgar/data/40533/000004053396000002/0000040533-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/40533/,3222000000,1601000000,Industrials,Aerospace & Defense,NYSE,1978-01-13
1996-06-30,GD,USD,0000040533,1996-08-13,1996-08-13 00:00:00,1996,Q2,930000000,825000000,105000000,0.1129032258,0,0,0,0,16000000,16000000,841000000,0,0,16000000,105000000,0.1129032258,89000000,0.0956989247,13000000,102000000,0.1096774194,35000000,67000000,0.0720430108,0.27,0.27,252830189,252830189,https://www.sec.gov/Archives/edgar/data/40533/000004053396000005/0000040533-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/40533/,3258000000,1641000000,Industrials,Aerospace & Defense,NYSE,1978-01-13
1996-09-29,GD,USD,0000040533,1996-11-12,1996-11-12 00:00:00,1996,Q3,862000000,753000000,109000000,0.126450116,0,0,0,0,20000000,20000000,773000000,0,0,20000000,109000000,0.126450116,89000000,0.1032482599,14000000,103000000,0.1194895592,35000000,68000000,0.0788863109,0.27,0.27,251851852,251851852,https://www.sec.gov/Archives/edgar/data/40533/000004053396000012/0000040533-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/40533/,3265000000,1665000000,Industrials,Aerospace & Defense,NYSE,1978-01-13
1996-12-31,GD,USD,0000040533,1997-03-21,1997-03-21 00:00:00,1996,Q4,896000000,786000000,110000000,0.1227678571,0,0,0,0,18000000,18000000,804000000,0,0,18000000,110000000,0.1227678571,92000000,0.1026785714,14000000,106000000,0.1183035714,36000000,70000000,0.078125,0.28,0.28,249852124,251851852,https://www.sec.gov/Archives/edgar/data/40533/000095013397000914/0000950133-97-000914-index.html,https://www.sec.gov/Archives/edgar/data/40533/,3299000000,1714000000,Industrials,Aerospace & Defense,NYSE,1978-01-13
1997-03-30,GD,USD,0000040533,1997-05-09,1997-05-09 00:00:00,1997,Q1,941000000,818000000,123000000,0.1307120085,0,0,0,0,21000000,21000000,839000000,0,0,21000000,123000000,0.1307120085,102000000,0.1083953241,6000000,108000000,0.1147715197,37000000,71000000,0.0754516472,0.28,0.28,253571429,253571429,https://www.sec.gov/Archives/edgar/data/40533/000004053397000007/0000040533-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/40533/,3444000000,1744000000,Industrials,Aerospace & Defense,NYSE,1978-01-13
1997-06-29,GD,USD,0000040533,1997-08-12,1997-08-12 00:00:00,1997,Q2,1032000000,896000000,136000000,0.1317829457,0,0,0,0,22000000,22000000,918000000,0,0,22000000,136000000,0.1317829457,114000000,0.1104651163,8000000,122000000,0.1182170543,42000000,80000000,0.0775193798,0.32,0.32,250000000,250000000,https://www.sec.gov/Archives/edgar/data/40533/000004053397000009/0000040533-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/40533/,3391000000,1792000000,Industrials,Aerospace & Defense,NYSE,1978-01-13
