date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-02-26,GIS,USD,0000040704,1995-04-11,1995-04-11 00:00:00,1995,Q3,1287000000,528500000,758500000,0.5893550894,0,0,0,516200000,47900000,564100000,1092600000,0,0,-18300000,242300000,0.1882672883,194400000,0.151048951,-165800000,28600000,0.0222222222,5300000,5400000,0.0041958042,0.01,0.01,631600000,631600000,https://www.sec.gov/Archives/edgar/data/40704/000004070495000006/0000040704-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/40704/,5191300000,1333100000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1995-05-31,GIS,USD,0000040704,1995-08-16,1995-08-16 00:00:00,1995,Q4,1078400000,439800000,638600000,0.5921735905,0,0,0,545700000,49900000,595600000,1035400000,0,0,49900000,92900000,0.0861461424,43000000,0.0398738872,-70200000,-27200000,-0.0252225519,-10700000,62000000,0.0574925816,0.098,0.098,617336752,632400000,https://www.sec.gov/Archives/edgar/data/40704/000004070495000016/0000040704-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3358200000,141000000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1995-08-27,GIS,USD,0000040704,1995-10-10,1995-10-10 00:00:00,1996,Q1,1276300000,525600000,750700000,0.5881845961,0,0,0,458600000,46700000,505300000,1030900000,0,0,46700000,292100000,0.228864687,245400000,0.1922745436,-27000000,218400000,0.1711196427,81500000,136900000,0.1072631826,0.22,0.22,636744186,636744186,https://www.sec.gov/Archives/edgar/data/40704/000004070495000022/0000040704-95-000022-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3455000000,209700000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1995-11-26,GIS,USD,0000040704,1996-01-08,1996-01-08 00:00:00,1996,Q2,1448400000,596100000,852300000,0.5884424192,0,0,0,551700000,46700000,598400000,1194500000,0,0,46700000,300600000,0.2075393538,253900000,0.1752968793,-25800000,228100000,0.1574841204,82400000,145700000,0.1005937586,0.23,0.23,633478261,633478261,https://www.sec.gov/Archives/edgar/data/40704/000004070496000004/0000040704-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3515600000,299700000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1996-02-25,GIS,USD,0000040704,1996-04-08,1996-04-08 00:00:00,1996,Q3,1309200000,533100000,776100000,0.5928047663,0,0,0,523100000,45000000,568100000,1101200000,0,0,45000000,253000000,0.1932477849,208000000,0.1588756493,-25100000,182900000,0.1397036358,66600000,116300000,0.088832875,0.19,0.19,628648649,628648649,https://www.sec.gov/Archives/edgar/data/40704/000004070496000012/0000040704-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3436200000,351700000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1996-05-31,GIS,USD,0000040704,1996-08-23,1996-08-23 00:00:00,1996,Q4,1382100000,586200000,795900000,0.5758628175,0,0,0,594900000,48300000,643200000,1229400000,0,0,48300000,201000000,0.1454308661,152700000,0.110484046,-26300000,126400000,0.0914550322,48900000,77500000,0.0560740902,0.12,0.12,636800000,636800000,https://www.sec.gov/Archives/edgar/data/40704/000091205796018678/0000912057-96-018678-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3294700000,307700000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1996-08-25,GIS,USD,0000040704,1996-10-03,1996-10-03 00:00:00,1997,Q1,1315600000,535800000,779800000,0.5927333536,0,0,0,510700000,42900000,553600000,1089400000,0,0,42900000,269100000,0.2045454545,226200000,0.1719367589,-72000000,154200000,0.1172088781,56500000,97700000,0.0742626938,0.16,0.16,630322581,630322581,https://www.sec.gov/Archives/edgar/data/40704/000004070496000017/0000040704-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3413400000,225800000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1996-11-24,GIS,USD,0000040704,1997-01-07,1997-01-07 00:00:00,1997,Q2,1560100000,659400000,900700000,0.5773347862,0,0,0,587500000,43000000,630500000,1289900000,0,0,43000000,313200000,0.2007563618,270200000,0.173194026,-23000000,247200000,0.1584513813,90500000,156700000,0.1004422793,0.25,0.25,626800000,639591837,https://www.sec.gov/Archives/edgar/data/40704/000004070497000003/0000040704-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3431700000,240600000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1997-02-23,GIS,USD,0000040704,1997-04-03,1997-04-03 00:00:00,1997,Q3,1289600000,548300000,741300000,0.5748294045,0,0,0,470000000,45100000,515100000,1063400000,0,0,45100000,271300000,0.2103753102,226200000,0.1754032258,-30700000,195500000,0.1515973945,72700000,122800000,0.0952233251,0.2,0.19,629743590,646315789,https://www.sec.gov/Archives/edgar/data/40704/000004070497000014/0000040704-97-000014-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3987800000,649000000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1997-05-31,GIS,USD,0000040704,1997-08-19,1997-08-19 00:00:00,1997,Q4,1444000000,584900000,859100000,0.5949445983,0,0,0,671000000,51800000,722800000,1307700000,0,0,51800000,188100000,0.1302631579,136300000,0.0943905817,-29500000,106800000,0.0739612188,38600000,68200000,0.0472299169,0.1,0.1,641092199,665200000,https://www.sec.gov/Archives/edgar/data/40704/000004070497000025/0000040704-97-000025-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3902400000,494600000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1997-08-24,GIS,USD,0000040704,1997-10-03,1997-10-03 00:00:00,1998,Q1,1416500000,543900000,872600000,0.6160254148,0,0,0,577600000,48900000,626500000,1170400000,0,0,48900000,295000000,0.2082597953,246100000,0.1737380868,-30300000,215800000,0.152347335,81500000,134300000,0.0948111543,0.21,0.21,639523810,655121951,https://www.sec.gov/Archives/edgar/data/40704/000004070497000030/0000040704-97-000030-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3962500000,446100000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1997-11-23,GIS,USD,0000040704,1998-01-07,1998-01-07 00:00:00,1998,Q2,1638300000,653700000,984600000,0.6009888299,0,0,0,645400000,48500000,693900000,1347600000,0,0,48500000,339200000,0.207043887,290700000,0.1774400293,-194500000,96200000,0.0587194043,31600000,64600000,0.0394311176,0.11,0.1,615238095,646000000,https://www.sec.gov/Archives/edgar/data/40704/000004070498000005/0000040704-98-000005-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3949100000,389200000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1998-02-22,GIS,USD,0000040704,1998-04-02,1998-04-02 00:00:00,1998,Q3,1424700000,552400000,872300000,0.6122692497,0,0,0,588100000,46800000,634900000,1187300000,0,0,46800000,284200000,0.1994805924,237400000,0.1666315716,-29000000,208400000,0.1462764091,77300000,131100000,0.0920193725,0.21,0.21,624285714,639512195,https://www.sec.gov/Archives/edgar/data/40704/000004070498000028/0000040704-98-000028-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3899800000,433100000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
1998-05-31,GIS,USD,0000040704,1998-08-21,1998-08-21 00:00:00,1998,Q4,1553500000,639300000,914200000,0.5884776312,0,0,0,687500000,50700000,738200000,1377500000,0,0,50700000,226700000,0.1459285484,176000000,0.1132925652,-32700000,143300000,0.0922433215,51500000,91800000,0.0590923721,0.14,0.14,625753846,651200000,https://www.sec.gov/Archives/edgar/data/40704/000004070498000034/0000040704-98-000034-index.html,https://www.sec.gov/Archives/edgar/data/40704/,3861400000,190200000,Consumer Defensive,Packaged Foods,NYSE,1980-03-17
