date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,GL,USD,0000320335,1995-05-15,1995-05-15 00:00:00,1995,Q1,532100000,0,532100000,1.0,0,0,0,0,-406400000,-406400000,60300000,0,22400000,0,0,0.0,206598000,0.3882691223,-206598000,267000000,0.5017853787,34700000,68621000,0.128962601,0.21,0.21,321941254,321941254,https://www.sec.gov/Archives/edgar/data/320335/000032033595000003/0000320335-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/320335/,8707400000.0,1386200000.0,Financial Services,Insurance - Life,NYSE,1980-10-01
1995-06-30,GL,USD,0000320335,1995-08-14,1995-08-14 00:00:00,1995,Q2,530500000,0,530500000,1.0,0,0,0,0,-404100000,-404100000,56200000,0,19900000,0,0,0.0,474300000,0.8940622055,-474300000,272100000,0.5129123468,36500000,70000000,0.1319509896,0.22,0.22,322057980,322057980,https://www.sec.gov/Archives/edgar/data/320335/000032033595000006/0000320335-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/320335/,9065400000.0,1534700000.0,Financial Services,Insurance - Life,NYSE,1980-10-01
1995-09-30,GL,USD,0000320335,1995-11-14,1995-11-14 00:00:00,1995,Q3,514400000,0,514400000,1.0,0,0,0,0,-400800000,-400800000,55000000,0,19900000,0,0,0.0,459400000,0.8930793157,-459400000,244000000,0.4743390358,32800000,60900000,0.1183903577,0.19,0.19,322221244,322221244,https://www.sec.gov/Archives/edgar/data/320335/000032033595000008/0000320335-95-000008-index.htm,https://www.sec.gov/Archives/edgar/data/320335/0000320335-95-000008.txt,9279200000.0,1594100000.0,Financial Services,Insurance - Life,NYSE,1980-10-01
1995-12-31,GL,USD,0000320335,1996-03-26,1996-03-26 00:00:00,1995,Q4,490382000,0,490382000,1.0,0,0,0,0,-474614000,-474614000,1467707000,0,18694000,0,0,0.0,-977325000,-1.9929870999,1405500000,428175000,0.8731458332,53439000,-56365000,-0.1149410052,-0.17,-0.17,322221244,322221244,https://www.sec.gov/Archives/edgar/data/320335/000093176396000091/0000931763-96-000091-index.htm,https://www.sec.gov/Archives/edgar/data/320335/0000931763-96-000091.txt,9364104000.0,1588952000.0,Financial Services,Insurance - Life,NYSE,1980-10-01
1996-03-31,GL,USD,0000320335,1996-05-15,1996-05-15 00:00:00,1996,Q1,553863000,0,553863000,1.0,0,0,0,0,-414302000,-414302000,55656000,0,19644000,0,0,0.0,498207000,0.8995130565,-498207000,291236000,0.5258267839,43643000,76274000,0.1377127557,0.24,0.24,322717585,322717585,https://www.sec.gov/Archives/edgar/data/320335/000032033596000008/0000320335-96-000008-index.htm,https://www.sec.gov/Archives/edgar/data/320335/0000320335-96-000008.txt,9359801000.0,1546446000.0,Financial Services,Insurance - Life,NYSE,1980-10-01
1996-06-30,GL,USD,0000320335,1996-08-14,1996-08-14 00:00:00,1996,Q2,555643000,0,555643000,1.0,0,0,0,0,-412986000,-412986000,53709000,0,18187000,0,0,0.0,501934000,0.9033390144,-501934000,294766000,0.5304953,45431000,79039000,0.1422478102,0.24,0.24,322872147,322872147,https://www.sec.gov/Archives/edgar/data/320335/000032033596000012/0000320335-96-000012-index.htm,https://www.sec.gov/Archives/edgar/data/320335/0000320335-96-000012.txt,9413366000.0,1562907000.0,Financial Services,Insurance - Life,NYSE,1980-10-01
1996-09-30,GL,USD,0000320335,1996-11-14,1996-11-14 00:00:00,1996,Q3,554739000,0,554739000,1.0,0,0,0,0,-417409000,-417409000,52555000,0,17655000,0,0,0.0,502184000,0.9052617537,-502184000,289484000,0.5218381978,45982000,73693000,0.1328426521,0.23,0.23,320914678,320914678,https://www.sec.gov/Archives/edgar/data/320335/000032033596000016/0000320335-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/320335/,9598084000.0,1576857000.0,Financial Services,Insurance - Life,NYSE,1980-10-01
1996-12-31,GL,USD,0000320335,1997-03-25,1997-03-25 00:00:00,1996,Q4,541565000,0,541565000,1.0,0,0,0,0,-395508000,-395508000,1548758000,0,18125000,0,0,0.0,-1007193000,-1.8597822976,1502325000,495132000,0.914261446,45566000,82366000,0.1520888536,0.26,0.26,316048441,320914678,https://www.sec.gov/Archives/edgar/data/320335/000095010997002410/0000950109-97-002410-index.htm,https://www.sec.gov/Archives/edgar/data/320335/0000950109-97-002410.txt,9800800000.0,1629343000.0,Financial Services,Insurance - Life,NYSE,1980-10-01
1997-03-31,GL,USD,0000320335,1997-05-14,1997-05-14 00:00:00,1997,Q1,560552000,0,560552000,1.0,0,0,0,0,-421894000,-421894000,53856000,0,17874000,0,0,0.0,506696000,0.9039232756,-506696000,283520000,0.5057871527,43456000,77328000,0.1379497353,0.25,0.25,314126374,314126374,https://www.sec.gov/Archives/edgar/data/320335/000093176397000836/0000931763-97-000836-index.html,https://www.sec.gov/Archives/edgar/data/320335/,9993175000.0,1637981000.0,Financial Services,Insurance - Life,NYSE,1980-10-01
1997-06-30,GL,USD,0000320335,1997-08-14,1997-08-14 00:00:00,1997,Q2,558399000,0,558399000,1.0,0,0,0,0,-424101000,-424101000,52818000,0,18285000,0,0,0.0,505581000,0.9054117217,-505581000,272810000,0.4885574652,41423000,74590000,0.1335783194,0.24,0.24,312048846,313081870,https://www.sec.gov/Archives/edgar/data/320335/000093176397001386/0000931763-97-001386-index.html,https://www.sec.gov/Archives/edgar/data/320335/,10381734000.0,1709693000.0,Financial Services,Insurance - Life,NYSE,1980-10-01
