date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,HAL,USD,0000045012,1995-05-05,1995-05-05 00:00:00,1995,Q1,1322100000,1159300000,162800000,0.1231374329,0,0,0,41100000,59400000,100500000,1259800000,0,0,59400000,121700000,0.0920505257,62300000,0.0471220029,800000,63100000,0.0477271008,24000000,39100000,0.0295741623,0.085,0.085,460000000,460000000,https://www.sec.gov/Archives/edgar/data/45012/000004501295000015/0000045012-95-000015-index.html,https://www.sec.gov/Archives/edgar/data/45012/,5104100000,1962300000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1995-06-30,HAL,USD,0000045012,1995-08-04,1995-08-04 00:00:00,1995,Q2,1444500000,1239100000,205400000,0.142194531,0,0,0,44500000,61200000,105700000,1344800000,0,0,61200000,160900000,0.1113880235,99700000,0.0690204223,-8600000,91100000,0.0630668051,34900000,56200000,0.0389061959,0.13,0.13,449600000,449600000,https://www.sec.gov/Archives/edgar/data/45012/000004501295000025/0000045012-95-000025-index.html,https://www.sec.gov/Archives/edgar/data/45012/,5198000000,2003200000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1995-09-30,HAL,USD,0000045012,1995-11-14,1995-11-14 00:00:00,1995,Q3,1489800000,1308300000,181500000,0.1218284333,0,0,0,8300000,62100000,70400000,1378700000,0,0,62100000,173200000,0.1162572157,111100000,0.0745737683,-7400000,103700000,0.0696066586,34900000,1100000,0.0007383541,0.0024,0.0024,453809524,453809524,https://www.sec.gov/Archives/edgar/data/45012/000004501295000031/0000045012-95-000031-index.html,https://www.sec.gov/Archives/edgar/data/45012/,3758200000,1968600000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1995-12-31,HAL,USD,0000045012,1996-03-11,1996-03-11 00:00:00,1995,Q4,1537400000,1351000000,186400000,0.1212436581,0,0,0,11600000,61400000,73000000,1424000000,0,0,61400000,174800000,0.1136984519,113400000,0.073760895,-1700000,111700000,0.072655132,39800000,71900000,0.0467672694,0.13,0.13,572222222,572222222,https://www.sec.gov/Archives/edgar/data/45012/000004501296000006/0000045012-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/45012/,3646600000,1749800000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1996-03-31,HAL,USD,0000045012,1996-05-14,1996-05-14 00:00:00,1996,Q1,1661400000,1512700000,148700000,0.0895028289,0,0,0,8800000,59100000,67900000,1580600000,0,0,59100000,139900000,0.0842060912,80800000,0.0486336824,-300000,80500000,0.0484531118,29000000,51500000,0.0309979535,0.09,0.09,572222222,572222222,https://www.sec.gov/Archives/edgar/data/45012/000004501296000012/0000045012-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/45012/,3817600000,1784400000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1996-06-30,HAL,USD,0000045012,1996-07-29,1996-07-29 00:00:00,1996,Q2,1830800000,1641600000,189200000,0.103342801,0,0,0,8400000,65100000,73500000,1715100000,0,0,60500000,184500000,0.1007756172,115700000,0.0631964169,-6200000,109500000,0.0598099192,37700000,71800000,0.0392178283,0.14,0.14,495172414,495172414,https://www.sec.gov/Archives/edgar/data/45012/000004501296000019/0000045012-96-000019-index.html,https://www.sec.gov/Archives/edgar/data/45012/,3878000000,1830900000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1996-09-30,HAL,USD,0000045012,1996-11-13,1996-11-13 00:00:00,1996,Q3,1859900000,1655600000,204300000,0.1098446153,0,0,0,9200000,64200000,73400000,1729000000,0,0,64200000,200300000,0.107693962,130900000,0.070380128,-76200000,54700000,0.0294101833,-20800000,75500000,0.0405935803,0.16,0.16,503333333,503333333,https://www.sec.gov/Archives/edgar/data/45012/000004501296000028/0000045012-96-000028-index.html,https://www.sec.gov/Archives/edgar/data/45012/,4086700000,1889500000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1996-12-31,HAL,USD,0000045012,1997-03-28,1997-03-28 00:00:00,1996,Q4,2133600000,1656600000,477000000,0.2235658043,0,0,0,210200000,84100000,294300000,1950900000,0,0,84100000,266800000,0.1250468691,182700000,0.0856299213,-24000000,158700000,0.0743813273,59500000,99200000,0.0464941882,0.2,0.2,503030303,503030303,https://www.sec.gov/Archives/edgar/data/45012/000004501297000011/0000045012-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/45012/,4436600000,2159200000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1997-03-31,HAL,USD,0000045012,1997-05-14,1997-05-14 00:00:00,1997,Q1,1897500000,1681300000,216200000,0.1139393939,0,0,0,7900000,69600000,77500000,1758800000,0,0,69600000,208300000,0.1097760211,138700000,0.0730961792,-3000000,135700000,0.0715151515,52700000,83000000,0.0437417655,0.17,0.16,503030303,518750000,https://www.sec.gov/Archives/edgar/data/45012/000004501297000017/0000045012-97-000017-index.html,https://www.sec.gov/Archives/edgar/data/45012/,4480700000,2248700000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1997-06-30,HAL,USD,0000045012,1997-08-13,1997-08-13 00:00:00,1997,Q2,2231100000,1962500000,268600000,0.1203890458,0,0,0,8100000,78500000,86600000,2049100000,0,0,78500000,260500000,0.1167585496,182000000,0.0815741114,-11600000,170400000,0.0763748823,68500000,101900000,0.0456725382,0.2,0.2,509500000,509500000,https://www.sec.gov/Archives/edgar/data/45012/000004501297000042/0000045012-97-000042-index.html,https://www.sec.gov/Archives/edgar/data/45012/,5162900000,2339500000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1997-09-30,HAL,USD,0000045012,1997-11-12,1997-11-12 00:00:00,1997,Q3,4139000000,3581400000,557600000,0.134718531,0,0,0,125800000,79300000,205100000,3786500000,0,0,79300000,623700000,0.1506885721,352500000,0.0851654989,-19900000,332600000,0.0803575743,130000000,202600000,0.0489490215,0.24,0.24,506575342,513611111,https://www.sec.gov/Archives/edgar/data/45012/000004501297000050/0000045012-97-000050-index.html,https://www.sec.gov/Archives/edgar/data/45012/,5482100000,2440300000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1997-12-31,HAL,USD,0000045012,1998-02-24,1998-02-24 00:00:00,1997,Q4,2385300000,2033300000,352000000,0.1475705362,0,0,0,9500000,82100000,91600000,2124900000,0,0,82100000,342500000,0.1435878087,260400000,0.109168658,-14400000,246000000,0.1031316815,97600000,148400000,0.0622143965,0.28,0.28,503414468,523555556,https://www.sec.gov/Archives/edgar/data/45012/000004501298000008/0000045012-98-000008-index.html,https://www.sec.gov/Archives/edgar/data/45012/,5603000000,2584700000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
1998-03-31,HAL,USD,0000045012,1998-05-07,1998-05-07 00:00:00,1998,Q1,4202000000,3586000000,616000000,0.1465968586,0,0,0,160000000,148000000,308000000,3894000000,0,0,85400000,456000000,0.1085197525,308000000,0.0732984293,23000000,331000000,0.0787720133,128000000,203000000,0.0483103284,0.22,0.22,525800000,525800000,https://www.sec.gov/Archives/edgar/data/45012/000004501298000016/0000045012-98-000016-index.html,https://www.sec.gov/Archives/edgar/data/45012/,5804500000,2688900000,Energy,Oil & Gas Equipment & Services,NYSE,1972-06-01
