date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-04-02,HAS,USD,0000046080,1995-05-12,1995-05-12 00:00:00,1995,Q1,526500000,268500000,258000000,0.49002849,0,0,0,191000000,28500000,219500000,488000000,0,0,28500000,67000000,0.1272554606,38500000,0.0731244065,-3200000,35300000,0.0670465337,13600000,21700000,0.0412155745,0.11,0.11,197272727,197272727,https://www.sec.gov/Archives/edgar/data/46080/000004608095000007/0000046080-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/46080/,2329800000,1420000000,Consumer Cyclical,Leisure,NASDAQ,1980-03-17
1995-07-02,HAS,USD,0000046080,1995-08-16,1995-08-16 00:00:00,1995,Q2,481900000,192900000,289000000,0.5997094833,0,0,0,280400000,30900000,311300000,504200000,0,0,30900000,8600000,0.0178460261,-22300000,-0.0462751608,-1900000,-24200000,-0.0502178875,-9300000,-14900000,-0.0309192779,-0.07,-0.07,212857143,212857143,https://www.sec.gov/Archives/edgar/data/46080/000004608095000011/0000046080-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/46080/,2459800000,1402600000,Consumer Cyclical,Leisure,NASDAQ,1980-03-17
1995-10-01,HAS,USD,0000046080,1995-11-15,1995-11-15 00:00:00,1995,Q3,826200000,335700000,490500000,0.5936819172,0,0,0,344800000,34900000,379700000,715400000,0,0,34900000,145700000,0.1763495522,110800000,0.1341079642,-7400000,103400000,0.1251512951,39800000,63600000,0.0769789397,0.32,0.32,198750000,198750000,https://www.sec.gov/Archives/edgar/data/46080/000004608095000014/0000046080-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/46080/,2917500000,1461900000,Consumer Cyclical,Leisure,NASDAQ,1980-03-17
1995-12-31,HAS,USD,0000046080,1996-03-29,1996-03-29 00:00:00,1995,Q4,1023700000,403900000,619800000,0.6054508157,0,0,0,406600000,35600000,442200000,846100000,0,0,35600000,213200000,0.2082641399,177600000,0.1734883267,-39400000,138200000,0.1350004884,53000000,85200000,0.0832275081,0.41,0.41,210300000,210300000,https://www.sec.gov/Archives/edgar/data/46080/000004608096000005/0000046080-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/46080/,2616400000,1525600000,Consumer Cyclical,Leisure,NASDAQ,1980-03-17
1996-03-31,HAS,USD,0000046080,1996-05-14,1996-05-14 00:00:00,1996,Q1,538700000,219100000,319600000,0.5932801188,0,0,0,250100000,28500000,278600000,497700000,0,0,28500000,69500000,0.1290142937,41000000,0.0761091517,-1900000,39100000,0.0725821422,14700000,24400000,0.0452942268,0.13,0.12,187692308,203333333,https://www.sec.gov/Archives/edgar/data/46080/000004608096000007/0000046080-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/46080/,2403900000,1553600000,Consumer Cyclical,Leisure,NASDAQ,1980-03-17
1996-06-30,HAS,USD,0000046080,1996-08-14,1996-08-14 00:00:00,1996,Q2,511600000,207100000,304500000,0.5951915559,0,0,0,255500000,37100000,292600000,499700000,0,0,37100000,49000000,0.0957779515,11900000,0.0232603597,-2700000,9200000,0.0179827991,3200000,6000000,0.0117279124,0.03,0.03,200000000,200000000,https://www.sec.gov/Archives/edgar/data/46080/000004608096000009/0000046080-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/46080/,2527500000,1536400000,Consumer Cyclical,Leisure,NASDAQ,1980-03-17
1996-09-29,HAS,USD,0000046080,1996-11-13,1996-11-13 00:00:00,1996,Q3,845100000,347000000,498100000,0.5893977044,0,0,0,349300000,35200000,384500000,731500000,0,0,35200000,148800000,0.1760738374,113600000,0.1344219619,-8600000,105000000,0.1242456514,34500000,70500000,0.0834220802,0.36,0.35,195833333,201428571,https://www.sec.gov/Archives/edgar/data/46080/000004608096000013/0000046080-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/46080/,2999500000,1570900000,Consumer Cyclical,Leisure,NASDAQ,1980-03-17
1996-12-31,HAS,USD,0000046080,1997-03-28,1997-03-28 00:00:00,1996,Q4,1107000000,457500000,649500000,0.5867208672,0,0,0,446300000,37500000,483800000,941300000,0,0,37500000,203200000,0.1835591689,165700000,0.1496838302,-12000000,153700000,0.1388437218,54600000,99100000,0.0895212285,0.45,0.45,221300000,221300000,https://www.sec.gov/Archives/edgar/data/46080/000004608097000004/0000046080-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/46080/,2701500000,1652000000,Consumer Cyclical,Leisure,NASDAQ,1980-03-17
1997-03-30,HAS,USD,0000046080,1997-05-13,1997-05-13 00:00:00,1997,Q1,555800000,214800000,341000000,0.6135300468,63900000,0,0,206100000,30600000,300600000,515400000,0,0,30600000,71000000,0.1277437927,40400000,0.0726880173,-200000,40200000,0.0723281756,14500000,25700000,0.0462396546,0.13,0.13,289246052,289246052,https://www.sec.gov/Archives/edgar/data/46080/000004608097000006/0000046080-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/46080/,2449900000,1633900000,Consumer Cyclical,Leisure,NASDAQ,1980-03-17
1997-06-29,HAS,USD,0000046080,1997-08-13,1997-08-13 00:00:00,1997,Q2,583900000,225200000,358700000,0.6143175201,87900000,0,0,209200000,38900000,336000000,561200000,0,0,38900000,61600000,0.1054975167,22700000,0.03887652,-2400000,20300000,0.0347662271,7300000,13000000,0.0222640863,0.07,0.07,185714286,185714286,https://www.sec.gov/Archives/edgar/data/46080/000004608097000009/0000046080-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/46080/,2646800000,1599000000,Consumer Cyclical,Leisure,NASDAQ,1980-03-17
