date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-01-31,HD,USD,0000354950,1995-04-20,1995-04-20 00:00:00,1994,Q4,3077500000,2141700000,935800000,0.3040779854,0,664000000,-500000,663500000,35400000,698900000,2840600000,0,3900000,35400000,272300000,0.0884809098,236900000,0.0769780666,-3900000,233000000,0.0757108042,87000000,146000000,0.0474411048,0.0706,0.0706,2067000000,2067000000,https://www.sec.gov/Archives/edgar/data/354950/000035495095000002/0000354950-95-000002-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000354950-95-000002.txt,5778000000,3442200000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
1995-04-30,HD,USD,0000354950,1995-05-26,1995-05-26 00:00:00,1995,Q1,3569000000,2532100000,1036900000,0.2905295601,0,743400000,0,743400000,39300000,782700000,3314800000,0,0,39300000,293500000,0.0822359204,254200000,0.0712244326,2000000,256200000,0.0717848137,98400000,157800000,0.0442140656,0.08,0.08,1972500000,1972500000,https://www.sec.gov/Archives/edgar/data/354950/000035495095000004/0000354950-95-000004-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000354950-95-000004.txt,6366400000,4417800000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
1995-07-30,HD,USD,0000354950,1995-08-29,1995-08-29 00:00:00,1995,Q2,4151700000,2985500000,1166200000,0.280896982,0,781000000,-100000,780900000,43200000,824100000,3809600000,0,0,43200000,385300000,0.0928053568,342100000,0.0823999807,3500000,345600000,0.0832430089,132700000,212900000,0.0512801985,0.1,0.1,2129000000,2129000000,https://www.sec.gov/Archives/edgar/data/354950/000035495095000005/0000354950-95-000005-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000354950-95-000005.txt,6642000000,4634900000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
1995-10-29,HD,USD,0000354950,1995-11-30,1995-11-30 00:00:00,1995,Q3,3997800000,2874300000,1123500000,0.2810295663,0,796000000,300000,796300000,46900000,843200000,3717500000,0,0,46900000,327200000,0.0818450148,280300000,0.0701135625,4600000,284900000,0.0712641953,109400000,175500000,0.0438991445,0.09,0.09,1950000000,1950000000,https://www.sec.gov/Archives/edgar/data/354950/000035495095000006/0000354950-95-000006-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000354950-95-000006.txt,7136900000,4810400000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
1996-01-31,HD,USD,0000354950,1996-04-08,1996-04-08 00:00:00,1995,Q4,3751900000,2611600000,1140300000,0.3039260108,0,785000000,200000,785200000,51800000,837000000,3448600000,0,0,51800000,355100000,0.0946453797,303300000,0.0808390416,5400000,308700000,0.0822783123,123300000,185400000,0.0494149631,0.0857,0.0857,2058846000,2160000000,https://www.sec.gov/Archives/edgar/data/354950/000035495096000002/0000354950-96-000002-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000354950-96-000002.txt,7354000000,4987800000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
1996-04-28,HD,USD,0000354950,1996-05-30,1996-05-30 00:00:00,1996,Q1,4362200000,3089300000,1272900000,0.2918023016,0,901000000,0,901000000,53000000,954000000,4043300000,0,0,53000000,371900000,0.0852551465,318900000,0.0731053138,1800000,320700000,0.0735179497,125700000,195000000,0.0447022145,0.09,0.09,2166667000,2166667000,https://www.sec.gov/Archives/edgar/data/354950/000035495096000004/0000354950-96-000004-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000354950-96-000004.txt,7829400000,5209800000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
1996-07-28,HD,USD,0000354950,1996-08-27,1996-08-27 00:00:00,1996,Q2,5292900000,3799700000,1493200000,0.2821137751,0,992000000,3000000,995000000,56300000,1051300000,4851000000,0,0,56300000,498200000,0.0941260934,441900000,0.0834892025,2500000,444400000,0.0839615334,174200000,270200000,0.0510495192,0.13,0.13,2078462000,2078462000,https://www.sec.gov/Archives/edgar/data/354950/000035495096000006/0000354950-96-000006-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000354950-96-000006.txt,7997600000,5468600000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
1996-10-27,HD,USD,0000354950,1996-11-22,1996-11-22 00:00:00,1996,Q3,4921800000,3524400000,1397400000,0.2839205169,0,974000000,3200000,977200000,59200000,1036400000,4560800000,0,0,59200000,420200000,0.0853752692,361000000,0.0733471494,3100000,364100000,0.0739770003,142700000,221400000,0.0449835426,0.11,0.11,2012727000,2012727000,https://www.sec.gov/Archives/edgar/data/354950/000035495096000008/0000354950-96-000008-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000354950-96-000008.txt,9381300000,5712000000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
1997-01-31,HD,USD,0000354950,1997-04-22,1997-04-22 00:00:00,1996,Q4,4958500000,3455700000,1502800000,0.3030755269,0,1031000000,-3700000,1027300000,63800000,1091100000,4546800000,0,6300000,63800000,475500000,0.0958959363,411700000,0.0830291419,-6300000,405400000,0.0817585963,154300000,251100000,0.0506403146,0.11,0.11,2228000000,2228000000,https://www.sec.gov/Archives/edgar/data/354950/000095014497004508/0000950144-97-004508-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000950144-97-004508.txt,9341700000,5955200000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
1997-05-04,HD,USD,0000354950,1997-06-02,1997-06-02 00:00:00,1997,Q1,5657300000,4038100000,1619200000,0.2862142718,0,1127000000,-1800000,1125200000,67400000,1192600000,5230700000,0,3000000,67400000,494000000,0.0873208067,426600000,0.0754069963,-3000000,423600000,0.074876708,164800000,258800000,0.045746204,0.12,0.12,2156667000,2156667000,https://www.sec.gov/Archives/edgar/data/354950/000035495097000003/0000354950-97-000003-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000354950-97-000003.txt,10548700000,6230200000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
1997-08-03,HD,USD,0000354950,1997-08-28,1997-08-28 00:00:00,1997,Q2,6550200000,4682700000,1867500000,0.2851057983,0,1218000000,-4800000,1213200000,66800000,1280000000,5962700000,0,1700000,66800000,654300000,0.0998900797,587500000,0.0896919178,-1700000,585800000,0.0894323837,227900000,357900000,0.054639553,0.16,0.16,2236875000,2236875000,https://www.sec.gov/Archives/edgar/data/354950/000035495097000004/0000354950-97-000004-index.htm,https://www.sec.gov/Archives/edgar/data/354950/0000354950-97-000004.txt,10662200000,6572900000,Consumer Cyclical,Home Improvement,NYSE,1981-09-22
