date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-01-31,HPQ,USD,0000047217,1995-03-20,1995-03-20 00:00:00,1995,Q1,7304000000,4547000000,2757000000,0.3774644031,535000000,0,0,1290000000,0,1825000000,6372000000,0,0,273000000,1205000000,0.1649780942,932000000,0.1276013143,-13000000,919000000,0.1258214677,317000000,602000000,0.0824205915,0.29,0.29,2096000000,2096000000,https://www.sec.gov/Archives/edgar/data/47217/000004721795000010/0000047217-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/47217/,20187000000,10353000000,Technology,Computer Hardware,NYSE,1957-11-06
1995-04-30,HPQ,USD,0000047217,1995-06-14,1995-06-14 00:00:00,1995,Q2,7428000000,4654000000,2774000000,0.373451804,556000000,0,0,1343000000,0,1899000000,6553000000,0,0,266000000,1141000000,0.1536079698,875000000,0.1177975229,-21000000,854000000,0.1149703823,277000000,577000000,0.0776790522,0.28,0.28,2104000000,2104000000,https://www.sec.gov/Archives/edgar/data/47217/000004721795000016/0000047217-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/47217/,21312000000,10956000000,Technology,Computer Hardware,NYSE,1957-11-06
1995-07-31,HPQ,USD,0000047217,1995-09-14,1995-09-14 00:00:00,1995,Q3,7739000000,4907000000,2832000000,0.3659387518,587000000,0,0,1421000000,0,2008000000,6915000000,0,0,283000000,1107000000,0.1430417367,824000000,0.1064737046,43000000,867000000,0.112029978,291000000,576000000,0.0744282207,0.28,0.28,2108000000,2108000000,https://www.sec.gov/Archives/edgar/data/47217/000004721795000027/0000047217-95-000027-index.html,https://www.sec.gov/Archives/edgar/data/47217/,22626000000,11303000000,Technology,Computer Hardware,NYSE,1957-11-06
1995-10-31,HPQ,USD,0000047217,1996-01-29,1996-01-29 00:00:00,1995,Q4,9048000000,5906000000,3142000000,0.3472590628,624000000,0,0,1581000000,0,2205000000,8111000000,0,0,317000000,1254000000,0.1385941645,937000000,0.1035587975,55000000,992000000,0.1096374889,314000000,678000000,0.074933687,0.32,0.32,2104000000,2104000000,https://www.sec.gov/Archives/edgar/data/47217/000089843096000245/0000898430-96-000245-index.html,https://www.sec.gov/Archives/edgar/data/47217/,24427000000,11839000000,Technology,Computer Hardware,NYSE,1957-11-06
1996-01-31,HPQ,USD,0000047217,1996-03-15,1996-03-15 00:00:00,1996,Q1,9288000000,5988000000,3300000000,0.3552971576,612000000,0,0,1493000000,0,2105000000,8093000000,0,0,289000000,1484000000,0.1597760551,1195000000,0.1286606374,-33000000,1162000000,0.1251076658,372000000,790000000,0.0850559862,0.38,0.38,2104000000,2104000000,https://www.sec.gov/Archives/edgar/data/47217/000004721796000008/0000047217-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/47217/,25753000000,12242000000,Technology,Computer Hardware,NYSE,1957-11-06
1996-04-30,HPQ,USD,0000047217,1996-06-13,1996-06-13 00:00:00,1996,Q2,9880000000,6498000000,3382000000,0.3423076923,691000000,0,0,1650000000,0,2341000000,8839000000,0,0,301000000,1342000000,0.1358299595,1041000000,0.1053643725,-11000000,1030000000,0.1042510121,307000000,723000000,0.0731781377,0.35,0.35,2112000000,2112000000,https://www.sec.gov/Archives/edgar/data/47217/000004721796000010/0000047217-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/47217/,26918000000,13002000000,Technology,Computer Hardware,NYSE,1957-11-06
1996-07-31,HPQ,USD,0000047217,1996-09-16,1996-09-16 00:00:00,1996,Q3,9105000000,6194000000,2911000000,0.3197144426,708000000,0,0,1592000000,0,2300000000,8494000000,0,0,341000000,952000000,0.1045579352,611000000,0.0671059857,5000000,616000000,0.0676551345,191000000,425000000,0.0466776496,0.2,0.2,2106000000,2106000000,https://www.sec.gov/Archives/edgar/data/47217/000004721796000019/0000047217-96-000019-index.html,https://www.sec.gov/Archives/edgar/data/47217/,27324000000,12889000000,Technology,Computer Hardware,NYSE,1957-11-06
1996-10-31,HPQ,USD,0000047217,1997-01-29,1997-01-29 00:00:00,1996,Q4,10147000000,6819000000,3328000000,0.3279787129,707000000,0,0,1742000000,0,2449000000,9268000000,0,0,366000000,1245000000,0.1226963635,879000000,0.0866265891,7000000,886000000,0.0873164482,238000000,648000000,0.0638612398,0.31,0.31,2094000000,2094000000,https://www.sec.gov/Archives/edgar/data/47217/000089161897000198/0000891618-97-000198-index.html,https://www.sec.gov/Archives/edgar/data/47217/,27699000000,13438000000,Technology,Computer Hardware,NYSE,1957-11-06
1997-01-31,HPQ,USD,0000047217,1997-03-17,1997-03-17 00:00:00,1997,Q1,10295000000,6694000000,3601000000,0.3497814473,699000000,0,0,1621000000,0,2320000000,9014000000,0,0,335000000,1616000000,0.1569694026,1281000000,0.1244293346,22000000,1303000000,0.1265662943,391000000,912000000,0.0885866926,0.44,0.44,2094000000,2094000000,https://www.sec.gov/Archives/edgar/data/47217/000004721797000018/0000047217-97-000018-index.html,https://www.sec.gov/Archives/edgar/data/47217/,27156000000,14112000000,Technology,Computer Hardware,NYSE,1957-11-06
1997-04-30,HPQ,USD,0000047217,1997-06-16,1997-06-16 00:00:00,1997,Q2,10340000000,6743000000,3597000000,0.3478723404,744000000,0,0,1751000000,0,2495000000,9238000000,0,0,362000000,1464000000,0.1415860735,1102000000,0.1065764023,18000000,1120000000,0.1083172147,336000000,784000000,0.0758220503,0.38,0.38,2092000000,2092000000,https://www.sec.gov/Archives/edgar/data/47217/000004721797000021/0000047217-97-000021-index.html,https://www.sec.gov/Archives/edgar/data/47217/,27845000000,14785000000,Technology,Computer Hardware,NYSE,1957-11-06
