date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-04-02,HSY,USD,0000047111,1995-05-10,1995-05-10 00:00:00,1995,Q1,867400000,503400000,364000000,0.4196449158,0,0,0,253500000,0,253500000,756900000,0,0,0,110500000,0.1273922066,110500000,0.1273922066,-9100000,101400000,0.1169010837,40800000,60600000,0.0698639613,0.18,0.18,346285714,346285714,https://www.sec.gov/Archives/edgar/data/47111/000004711195000017/0000047111-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/47111/,2882800000,1469000000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1995-07-02,HSY,USD,0000047111,1995-07-28,1995-07-28 00:00:00,1995,Q2,722300000,423800000,298500000,0.413263187,0,0,0,235700000,0,235700000,659500000,0,0,0,62800000,0.0869444829,62800000,0.0869444829,-7900000,54900000,0.0760071992,21600000,33300000,0.0461027274,0.095,0.095,350526316,350526316,https://www.sec.gov/Archives/edgar/data/47111/000004711195000020/0000047111-95-000020-index.html,https://www.sec.gov/Archives/edgar/data/47111/,2845200000,1463900000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1995-10-01,HSY,USD,0000047111,1995-11-09,1995-11-09 00:00:00,1995,Q3,981100000,572400000,408700000,0.4165732341,0,0,0,261700000,0,261700000,834100000,0,0,0,147000000,0.1498318214,147000000,0.1498318214,-13500000,133500000,0.1360717562,51400000,82100000,0.0836815819,0.26,0.26,321960784,321960784,https://www.sec.gov/Archives/edgar/data/47111/000004711195000031/0000047111-95-000031-index.html,https://www.sec.gov/Archives/edgar/data/47111/,2988900000,1022600000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1995-12-31,HSY,USD,0000047111,1996-03-13,1996-03-13 00:00:00,1995,Q4,1119900000,492800000,627100000,0.5599607108,0,0,0,302800000,133900000,436700000,929500000,0,0,0,190400000,0.1700151799,190400000,0.1700151799,-14400000,176000000,0.157156889,70200000,105800000,0.0944727208,0.33,0.33,310626697,322500000,https://www.sec.gov/Archives/edgar/data/47111/000004711196000010/0000047111-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/47111/,2830600000,1083000000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1996-03-31,HSY,USD,0000047111,1996-05-08,1996-05-08 00:00:00,1996,Q1,931500000,549700000,381800000,0.4098765432,0,0,0,270400000,0,270400000,820100000,0,0,0,111400000,0.1195920558,111400000,0.1195920558,-12200000,99200000,0.1064949007,39800000,59400000,0.0637681159,0.19,0.19,312631579,312631579,https://www.sec.gov/Archives/edgar/data/47111/000004711196000013/0000047111-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/47111/,2798800000,1110900000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1996-06-30,HSY,USD,0000047111,1996-08-08,1996-08-08 00:00:00,1996,Q2,796300000,469800000,326500000,0.4100213487,0,0,0,247400000,0,247400000,717200000,0,0,0,79100000,0.0993344217,79100000,0.0993344217,-11000000,68100000,0.0855205325,27300000,40800000,0.051236971,0.13,0.13,313846154,313846154,https://www.sec.gov/Archives/edgar/data/47111/000004711196000016/0000047111-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/47111/,2793600000,1100300000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1996-09-29,HSY,USD,0000047111,1996-11-06,1996-11-06 00:00:00,1996,Q3,1072300000,614000000,458300000,0.4273990488,0,0,0,287500000,0,287500000,901500000,0,0,0,170800000,0.1592837825,170800000,0.1592837825,-13400000,157400000,0.1467872797,63100000,94300000,0.0879418073,0.31,0.31,309180328,309180328,https://www.sec.gov/Archives/edgar/data/47111/000004711196000021/0000047111-96-000021-index.html,https://www.sec.gov/Archives/edgar/data/47111/,2966700000,1149800000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1996-12-31,HSY,USD,0000047111,1997-03-17,1997-03-17 00:00:00,1996,Q4,1189100000,535100000,654000000,0.5499957951,0,0,0,318800000,133500000,452300000,987400000,0,0,0,201700000,0.1696240854,201700000,0.1696240854,-46600000,155100000,0.1304347826,76400000,78700000,0.0661845093,0.25,0.25,301202260,309400000,https://www.sec.gov/Archives/edgar/data/47111/000004711197000008/0000047111-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/47111/,3184800000,1161000000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1997-03-30,HSY,USD,0000047111,1997-05-07,1997-05-07 00:00:00,1997,Q1,1002500000,549200000,453300000,0.4521695761,0,0,0,284000000,40100000,324100000,873300000,0,0,40100000,169300000,0.1688778055,129200000,0.1288778055,-15700000,113500000,0.1132169576,44600000,68900000,0.0687281796,0.23,0.23,306222222,306222222,https://www.sec.gov/Archives/edgar/data/47111/000004711197000019/0000047111-97-000019-index.html,https://www.sec.gov/Archives/edgar/data/47111/,3238300000,1189300000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1997-06-29,HSY,USD,0000047111,1997-08-04,1997-08-04 00:00:00,1997,Q2,905700000,494000000,411700000,0.4545655294,0,0,0,276300000,36300000,312600000,806600000,0,0,36300000,135400000,0.1494976261,99100000,0.1094181296,-15800000,83300000,0.0919730595,32700000,50600000,0.0558683891,0.17,0.17,306666667,306666667,https://www.sec.gov/Archives/edgar/data/47111/000004711197000022/0000047111-97-000022-index.html,https://www.sec.gov/Archives/edgar/data/47111/,3295200000,1204400000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1997-09-28,HSY,USD,0000047111,1997-11-05,1997-11-05 00:00:00,1997,Q3,1151600000,634800000,516800000,0.448766933,0,0,0,292600000,37800000,330400000,965200000,0,0,37800000,224200000,0.1946856547,186400000,0.1618617576,-20500000,165900000,0.1440604377,65200000,100700000,0.0874435568,0.34,0.34,296176471,300597015,https://www.sec.gov/Archives/edgar/data/47111/000004711197000035/0000047111-97-000035-index.html,https://www.sec.gov/Archives/edgar/data/47111/,3496900000,775300000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1997-12-31,HSY,USD,0000047111,1998-03-16,1998-03-16 00:00:00,1997,Q4,1242400000,658100000,584300000,0.4702994205,0,0,0,330200000,38600000,368800000,1026900000,0,0,38600000,254100000,0.2045235029,215500000,0.173454604,-24100000,191400000,0.1540566645,75200000,116200000,0.0935286542,0.39,0.39,291212785,298800000,https://www.sec.gov/Archives/edgar/data/47111/000004711198000080/0000047111-98-000080-index.html,https://www.sec.gov/Archives/edgar/data/47111/,3291200000,852800000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1998-04-05,HSY,USD,0000047111,1998-05-13,1998-05-13 00:00:00,1998,Q1,1098100000,614400000,483700000,0.4404881158,0,0,0,299400000,37900000,337300000,951700000,0,0,37900000,184300000,0.167835352,146400000,0.1333211911,-22800000,123600000,0.1125580548,48200000,75400000,0.0686640561,0.27,0.26,284528302,290000000,https://www.sec.gov/Archives/edgar/data/47111/000004711198000095/0000047111-98-000095-index.html,https://www.sec.gov/Archives/edgar/data/47111/,3256500000,905100000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1998-07-05,HSY,USD,0000047111,1998-08-12,1998-08-12 00:00:00,1998,Q2,880400000,483400000,396900000,0.4508178101,0,0,0,258300000,39300000,297600000,781000000,0,0,39300000,138600000,0.1574284416,99400000,0.1129032258,-20600000,78700000,0.0893911858,30700000,48000000,0.0545206724,0.17,0.17,290909091,290909091,https://www.sec.gov/Archives/edgar/data/47111/000004711198000107/0000047111-98-000107-index.html,https://www.sec.gov/Archives/edgar/data/47111/,3287000000,911600000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1998-10-04,HSY,USD,0000047111,1998-11-12,1998-11-12 00:00:00,1998,Q3,1217200000,667300000,549900000,0.4517745646,0,0,0,311700000,39300000,351000000,1018300000,0,0,39300000,238200000,0.1956950378,198900000,0.1634078212,-22600000,176300000,0.1448406178,68800000,107500000,0.0883174499,0.38,0.37,286666667,290540541,https://www.sec.gov/Archives/edgar/data/47111/000004711198000109/0000047111-98-000109-index.html,https://www.sec.gov/Archives/edgar/data/47111/,3475100000,967000000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1998-12-31,HSY,USD,0000047111,1999-03-15,1999-03-15 00:00:00,1998,Q4,1239900000,701700000,538200000,0.4340672635,0,0,0,298600000,41700000,340300000,1042000000,0,0,41700000,239600000,0.1932413904,197900000,0.1596096459,-19400000,178500000,0.1439632228,68500000,110000000,0.088716832,0.38,0.38,285385459,290900000,https://www.sec.gov/Archives/edgar/data/47111/000004711199000057/0000047111-99-000057-index.html,https://www.sec.gov/Archives/edgar/data/47111/,3404100000,1042300000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1999-04-04,HSY,USD,0000047111,1999-05-12,1999-05-12 00:00:00,1999,Q1,945200000,521700000,423452000,0.4480025391,0,0,0,266800000,40500000,307300000,829000000,0,0,40500000,156652000,0.1657342361,116200000,0.1229369446,225400000,341600000,0.3614049937,116900000,224700000,0.2377274651,0.79,0.79,284430380,286242038,https://www.sec.gov/Archives/edgar/data/47111/000004711199000070/0000047111-99-000070-index.html,https://www.sec.gov/Archives/edgar/data/47111/,3103500000,1023300000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1999-07-04,HSY,USD,0000047111,1999-08-17,1999-08-17 00:00:00,1999,Q2,853200000,473500000,379739000,0.4450761838,0,0,0,241400000,39300000,280700000,754200000,0,0,39300000,138339000,0.1621413502,99000000,0.1160337553,-16939000,82100000,0.0962259728,32000000,50100000,0.0587201125,0.18,0.18,280002000,282676000,https://www.sec.gov/Archives/edgar/data/47111/000004711199000073/0000047111-99-000073-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711199000073/,3258900000,1034500000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1999-10-03,HSY,USD,0000047111,1999-11-12,1999-11-12 00:00:00,1999,Q3,1066700000,592200000,474500000,0.4448298491,0,0,0,268600000,41800000,310400000,902600000,0,0,41800000,205900000,0.193025218,164100000,0.1538389425,-20500000,143600000,0.1346207931,56000000,87600000,0.0821224337,0.32,0.31,278095238,282580645,https://www.sec.gov/Archives/edgar/data/47111/000004711199000081/0000047111-99-000081-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711199000081/,3427700000,1031400000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
1999-12-31,HSY,USD,0000047111,2000-03-13,2000-03-13 00:00:00,1999,Q4,1105800000,604000000,501800000,0.453789112,0,0,0,281100000,41700000,322800000,926800000,0,0,41700000,220700000,0.1995840116,179000000,0.1618737566,-18300000,160700000,0.1453246518,62700000,98000000,0.0886236209,0.35,0.35,276712377,281700000,https://www.sec.gov/Archives/edgar/data/47111/000004711100000070/0000047111-00-000070-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711100000070/,3346700000,1098600000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
2000-04-02,HSY,USD,0000047111,2000-05-10,2000-05-10 00:00:00,2000,Q1,993115000,561894000,431221000,0.4342105396,0,0,0,253800000,43203000,297003000,858897000,0,0,43203000,177421000,0.1786510122,134218000,0.1351484974,-17530000,116688000,0.1174969666,45508000,71180000,0.0716734719,0.26,0.26,276910000,278432000,https://www.sec.gov/Archives/edgar/data/47111/000004711100000072/0000047111-00-000072-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711100000072/,3232453000,1079755000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
2000-07-02,HSY,USD,0000047111,2000-08-09,2000-08-09 00:00:00,2000,Q2,836204000,458376000,377828000,0.4518371115,0,0,0,250722000,43694000,294416000,752792000,0,0,43694000,127106000,0.1520035781,83412000,0.0997507785,-17843000,65569000,0.078412684,25573000,39996000,0.0478304337,0.14,0.14,274830000,277064000,https://www.sec.gov/Archives/edgar/data/47111/000004711100500004/0000047111-00-500004-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711100500004/0000047111-00-500004-0001.txt,3280936000,1060590000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
2000-10-01,HSY,USD,0000047111,2000-11-09,2000-11-09 00:00:00,2000,Q3,1196755000,696431000,500324000,0.41806719,0,0,0,303688000,0,303688000,1000119000,0,0,44225000,240861000,0.2012617453,196636000,0.1643076486,-21152000,175484000,0.1466331872,68079000,107405000,0.0897468571,0.39,0.39,273672000,275380000,https://www.sec.gov/Archives/edgar/data/47111/000004711100500033/0000047111-00-500033-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711100500033/fileedgar3qver10q.htm,3547896000,1099600000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
2000-12-31,HSY,USD,0000047111,2001-03-15,2001-03-15 00:00:00,2000,Q4,1194902000,667553000,527349000,0.4413324273,0,0,0,318965000,0,318965000,986518000,0,0,44842000,253226000,0.2119219819,208384000,0.1743942181,-19486000,188898000,0.1580866046,72936000,115962000,0.0970472892,0.42,0.42,275136000,275400000,https://www.sec.gov/Archives/edgar/data/47111/000004711101500079/0000047111-01-500079-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711101500079/ex12.txt,3447764000,1175036000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
2001-04-01,HSY,USD,0000047111,2001-05-10,2001-05-10 00:00:00,2001,Q1,1080281000,637954000,350048000,0.3240342096,0,0,0,205892000,0,205892000,843846000,0,0,46875000,191031000,0.1768345458,144156000,0.1334430579,-17297000,126859000,0.1174314831,47953000,78906000,0.0730421066,0.29,0.28,273500000,276454000,https://www.sec.gov/Archives/edgar/data/47111/000004711101500101/0000047111-01-500101-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711101500101/firstqtr2001_10-q.htm,3301403000,1230823000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
2001-07-01,HSY,USD,0000047111,2001-08-08,2001-08-08 00:00:00,2001,Q2,898859000,516638000,382221000,0.425229096,0,0,0,282670000,0,282670000,799308000,0,0,47329000,146880000,0.163407164,99551000,0.1107526319,-16927000,82624000,0.0919209798,30185000,52439000,0.0583395171,0.19,0.19,272820000,275640000,https://www.sec.gov/Archives/edgar/data/47111/000004711101500125/0000047111-01-500125-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711101500125/secondqtr01_10q.htm,3427499000,1167907000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
2001-09-30,HSY,USD,0000047111,2001-11-07,2001-11-07 00:00:00,2001,Q3,1304184000,753403000,425506000,0.3262622452,0,0,0,216519000,-19237000,197282000,950685000,0,0,47495000,256482000,0.1966609006,228224000,0.1749937125,-18147000,210077000,0.1610792649,89315000,120762000,0.09259583,0.45,0.44,271738000,274426000,https://www.sec.gov/Archives/edgar/data/47111/000004711101500141/0000047111-01-500141-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711101500141/thirdqtr01_10q.htm,3611339000,1241610000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
2001-12-31,HSY,USD,0000047111,2002-03-15,2002-03-15 00:00:00,2001,Q4,1273917000,758847000,515070000,0.4043199047,0,0,0,346053000,19237000,365290000,1124137000,0,0,48795000,217812000,0.170978172,149780000,0.1175743789,-225799000,-76019000,-0.0596734324,-31068000,-44951000,-0.0352856583,-0.17,-0.16,271902000,273414000,https://www.sec.gov/Archives/edgar/data/47111/000004711102000069/0000047111-02-000069-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711102000069/form10k_2001.htm,3247430000,1147204000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
2002-03-31,HSY,USD,0000047111,2002-04-26,2002-04-26 00:00:00,2002,Q1,988506000,624024000,364482000,0.3687200685,0,0,0,202741000,8762000,211503000,835527000,0,0,45632000,198611000,0.2009203788,152979000,0.154757786,-15465000,137514000,0.1391129644,50469000,87045000,0.0880571286,0.32,0.32,273414000,276438000,https://www.sec.gov/Archives/edgar/data/47111/000004711102000072/0000047111-02-000072-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711102000072/firstqtr10q02.htm,3324544000,1258916000,Consumer Defensive,Food Confectioners,NYSE,1980-03-17
