date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,IP,USD,0000051434,1995-05-05,1995-05-05 00:00:00,1995,Q1,4492000000,3239000000,1253000000,0.2789403384,0,0,0,483000000,275000000,758000000,3997000000,0,0,234000000,729000000,0.1622885129,495000000,0.1101959038,-104000000,391000000,0.0870436331,145000000,246000000,0.0547640249,0.98,0.97,252800000,252800000,https://www.sec.gov/Archives/edgar/data/51434/000088981295000183/0000889812-95-000183-index.html,https://www.sec.gov/Archives/edgar/data/51434/,18604000000,6837000000,Consumer Cyclical,Packaging & Containers,NYSE,1970-01-02
1995-06-30,IP,USD,0000051434,1995-08-14,1995-08-14 00:00:00,1995,Q2,5084000000,3532000000,1552000000,0.3052714398,0,0,0,551000000,309000000,860000000,4392000000,0,0,264000000,956000000,0.1880409127,692000000,0.1361132966,-181000000,511000000,0.1005114083,195000000,316000000,0.0621557828,1.25,1.25,253600000,253600000,https://www.sec.gov/Archives/edgar/data/51434/000088981295000433/0000889812-95-000433-index.html,https://www.sec.gov/Archives/edgar/data/51434/,23738000000,7159000000,Consumer Cyclical,Packaging & Containers,NYSE,1970-01-02
1995-09-30,IP,USD,0000051434,1995-11-14,1995-11-14 00:00:00,1995,Q3,5145000000,3566000000,1579000000,0.3068999028,0,0,0,547000000,312000000,859000000,4425000000,0,0,266000000,986000000,0.1916423712,720000000,0.139941691,-182000000,538000000,0.1045675413,210000000,328000000,0.0637512148,1.27,1.27,258700000,258700000,https://www.sec.gov/Archives/edgar/data/51434/000088981295000679/0000889812-95-000679-index.html,https://www.sec.gov/Archives/edgar/data/51434/,23696000000,7587000000,Consumer Cyclical,Packaging & Containers,NYSE,1970-01-02
1995-12-31,IP,USD,0000051434,1996-04-01,1996-04-01 00:00:00,1995,Q4,5076000000,3574000000,1502000000,0.2959022853,0,0,0,594000000,309000000,903000000,4477000000,0,0,267000000,866000000,0.170606777,599000000,0.1180063042,-12000000,587000000,0.115642238,168000000,263000000,0.0518124507,0.0,0.98,0,268900000,https://www.sec.gov/Archives/edgar/data/51434/000088981296000318/0000889812-96-000318-index.html,https://www.sec.gov/Archives/edgar/data/51434/,23977000000,7797000000,Consumer Cyclical,Packaging & Containers,NYSE,1970-01-02
1996-03-31,IP,USD,0000051434,1996-05-15,1996-05-15 00:00:00,1996,Q1,4798000000,3556000000,1242000000,0.2588578574,0,0,0,548000000,310000000,858000000,4414000000,0,0,263000000,647000000,0.1348478533,384000000,0.0800333472,-123000000,261000000,0.0543976657,163000000,98000000,0.0204251772,0.36,0.36,268900000,268900000,https://www.sec.gov/Archives/edgar/data/51434/000088981296000514/0000889812-96-000514-index.html,https://www.sec.gov/Archives/edgar/data/51434/,28606000000,9332000000,Consumer Cyclical,Packaging & Containers,NYSE,1970-01-02
1996-06-30,IP,USD,0000051434,1996-08-14,1996-08-14 00:00:00,1996,Q2,5093000000,3771000000,1322000000,0.2595719615,0,0,0,616000000,352000000,968000000,4739000000,0,0,302000000,656000000,0.1288042411,354000000,0.0695071667,-175000000,179000000,0.0351462792,80000000,99000000,0.0194384449,0.33,0.33,299100000,299100000,https://www.sec.gov/Archives/edgar/data/51434/000088981296001107/0000889812-96-001107-index.html,https://www.sec.gov/Archives/edgar/data/51434/,28246000000,9369000000,Consumer Cyclical,Packaging & Containers,NYSE,1970-01-02
1996-09-30,IP,USD,0000051434,1996-11-13,1996-11-13 00:00:00,1996,Q3,5108000000,3760000000,1348000000,0.2638997651,0,0,0,627000000,358000000,985000000,4745000000,0,0,307000000,670000000,0.1311667972,363000000,0.0710649961,-166000000,197000000,0.0385669538,86000000,111000000,0.0217306186,0.37,0.37,300000000,300000000,https://www.sec.gov/Archives/edgar/data/51434/000088981296001696/0000889812-96-001696-index.html,https://www.sec.gov/Archives/edgar/data/51434/,28564000000,9414000000,Consumer Cyclical,Packaging & Containers,NYSE,1970-01-02
1996-12-31,IP,USD,0000051434,1997-03-28,1997-03-28 00:00:00,1996,Q4,5144000000,3814000000,1330000000,0.2585536547,0,0,0,643000000,368000000,1011000000,4825000000,0,0,322000000,553000000,0.107503888,319000000,0.0620139969,-154000000,165000000,0.0320762053,1000000,-5000000,-0.0009720062,0.0,-0.0166,0,300600000,https://www.sec.gov/Archives/edgar/data/51434/000091205797010800/0000912057-97-010800-index.html,https://www.sec.gov/Archives/edgar/data/51434/,28252000000,9344000000,Consumer Cyclical,Packaging & Containers,NYSE,1970-01-02
1997-03-31,IP,USD,0000051434,1997-05-15,1997-05-15 00:00:00,1997,Q1,4862000000,3636000000,1226000000,0.2521596051,0,0,0,616000000,372000000,988000000,4624000000,0,0,320000000,558000000,0.1147675854,238000000,0.048951049,-164000000,74000000,0.015220074,40000000,34000000,0.006993007,0.11,0.11,300600000,300900000,https://www.sec.gov/Archives/edgar/data/51434/000100547797001490/0001005477-97-001490-index.html,https://www.sec.gov/Archives/edgar/data/51434/,28154000000,9313000000,Consumer Cyclical,Packaging & Containers,NYSE,1970-01-02
1997-06-30,IP,USD,0000051434,1997-08-14,1997-08-14 00:00:00,1997,Q2,5034000000,3786000000,1248000000,0.2479141836,0,0,0,624000000,371000000,995000000,4781000000,0,0,318000000,571000000,0.1134286849,253000000,0.0502582439,-839000000,-586000000,-0.1164084227,-167000000,-419000000,-0.0832340087,-1.39,-1.39,301100000,301100000,https://www.sec.gov/Archives/edgar/data/51434/000091205797028008/0000912057-97-028008-index.html,https://www.sec.gov/Archives/edgar/data/51434/,27753000000,8793000000,Consumer Cyclical,Packaging & Containers,NYSE,1970-01-02
