date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,K,USD,0000055067,1995-05-12,1995-05-12 00:00:00,1995,Q1,1716000000,702100000,1013900000,0.5908508159,0,0,0,623900000,67200000,691100000,1393200000,0,0,67200000,390000000,0.2272727273,322800000,0.1881118881,-7400000,315400000,0.1837995338,119400000,196000000,0.1142191142,0.45,0.45,435555556,435555556,https://www.sec.gov/Archives/edgar/data/55067/000095012495001463/0000950124-95-001463-index.html,https://www.sec.gov/Archives/edgar/data/55067/,4692200000,1851900000,Consumer Defensive,Food Confectioners,NYSE,1952-01-08
1995-06-30,K,USD,0000055067,1995-08-14,1995-08-14 00:00:00,1995,Q2,1780100000,749900000,1030200000,0.5787315319,0,0,0,676000000,69800000,745800000,1495700000,0,0,69800000,354200000,0.1989775855,284400000,0.1597663053,-63600000,220800000,0.1240379754,84900000,135900000,0.0763440256,0.31,0.31,438387097,438387097,https://www.sec.gov/Archives/edgar/data/55067/000095012495002520/0000950124-95-002520-index.html,https://www.sec.gov/Archives/edgar/data/55067/,4747400000,1857700000,Consumer Defensive,Food Confectioners,NYSE,1952-01-08
1995-09-30,K,USD,0000055067,1995-11-13,1995-11-13 00:00:00,1995,Q3,1844700000,767200000,1077500000,0.5841058167,0,0,0,633300000,68400000,701700000,1468900000,0,0,68400000,444200000,0.2407979617,375800000,0.2037187619,-10300000,365500000,0.1981351981,135500000,230000000,0.12468152,0.53,0.53,433962264,433962264,https://www.sec.gov/Archives/edgar/data/55067/000095012495003714/0000950124-95-003714-index.html,https://www.sec.gov/Archives/edgar/data/55067/,4840000000,1863500000,Consumer Defensive,Food Confectioners,NYSE,1952-01-08
1995-12-31,K,USD,0000055067,1996-03-29,1996-03-29 00:00:00,1995,Q4,1662900000,699700000,963200000,0.5792290577,0,0,0,633500000,53400000,686900000,1386600000,0,0,53400000,329700000,0.1982680859,276300000,0.1661555115,-382000000,-105700000,-0.0635636539,-34100000,-71600000,-0.0430573095,-0.17,-0.17,429375000,429375000,https://www.sec.gov/Archives/edgar/data/55067/000095012496001400/0000950124-96-001400-index.html,https://www.sec.gov/Archives/edgar/data/55067/,4414600000,1590900000,Consumer Defensive,Food Confectioners,NYSE,1952-01-08
1996-03-31,K,USD,0000055067,1996-05-10,1996-05-10 00:00:00,1996,Q1,1785900000,726600000,1059300000,0.5931463128,0,0,0,647200000,63800000,711000000,1437600000,0,0,63800000,412100000,0.2307520018,348300000,0.1950277171,-22800000,325500000,0.1822610449,119400000,206100000,0.115403998,0.48,0.48,429375000,429375000,https://www.sec.gov/Archives/edgar/data/55067/000095012496002045/0000950124-96-002045-index.html,https://www.sec.gov/Archives/edgar/data/55067/,4540100000,1502000000,Consumer Defensive,Food Confectioners,NYSE,1952-01-08
1996-06-30,K,USD,0000055067,1996-08-12,1996-08-12 00:00:00,1996,Q2,1651400000,713000000,938400000,0.5682451253,0,0,0,708500000,62200000,770700000,1483700000,0,0,62200000,229900000,0.1392152113,167700000,0.1015501998,-41900000,125800000,0.0761777885,47700000,78100000,0.0472932058,0.19,0.19,411052632,411052632,https://www.sec.gov/Archives/edgar/data/55067/000095012496003506/0000950124-96-003506-index.html,https://www.sec.gov/Archives/edgar/data/55067/,4582400000,1354400000,Consumer Defensive,Food Confectioners,NYSE,1952-01-08
1996-09-30,K,USD,0000055067,1996-11-08,1996-11-08 00:00:00,1996,Q3,1681600000,756500000,925100000,0.5501308278,0,0,0,562300000,59500000,621800000,1378300000,0,0,59500000,362800000,0.2157469077,303300000,0.1803639391,-44200000,259100000,0.1540794481,99600000,159500000,0.0948501427,0.38,0.38,419736842,419736842,https://www.sec.gov/Archives/edgar/data/55067/000095012496004773/0000950124-96-004773-index.html,https://www.sec.gov/Archives/edgar/data/55067/,4632600000,1359500000,Consumer Defensive,Food Confectioners,NYSE,1952-01-08
1996-12-31,K,USD,0000055067,1997-03-27,1997-03-27 00:00:00,1996,Q4,1557700000,675300000,882400000,0.5664762149,0,0,0,540700000,66000000,606700000,1282000000,0,0,66000000,341700000,0.2193618797,275700000,0.1769917186,-126200000,149500000,0.0959748347,62200000,87300000,0.0560441677,0.21,0.21,422631579,422631579,https://www.sec.gov/Archives/edgar/data/55067/000095012497001847/0000950124-97-001847-index.html,https://www.sec.gov/Archives/edgar/data/55067/,5050000000,1282400000,Consumer Defensive,Food Confectioners,NYSE,1952-01-08
1997-03-31,K,USD,0000055067,1997-05-13,1997-05-13 00:00:00,1997,Q1,1688900000,759600000,929300000,0.5502398011,0,0,0,583700000,68400000,652100000,1411700000,0,0,68400000,345600000,0.2046302327,277200000,0.1641304991,-25200000,252000000,0.1492095447,91400000,160600000,0.0950914797,0.38,0.38,422631579,422631579,https://www.sec.gov/Archives/edgar/data/55067/000095012497002845/0000950124-97-002845-index.html,https://www.sec.gov/Archives/edgar/data/55067/,5134800000,1210200000,Consumer Defensive,Food Confectioners,NYSE,1952-01-08
1997-06-30,K,USD,0000055067,1997-08-12,1997-08-12 00:00:00,1997,Q2,1719700000,738500000,981200000,0.5705646334,0,0,0,617500000,72300000,689800000,1428300000,0,0,72300000,363700000,0.2114903762,291400000,0.1694481596,-37200000,254200000,0.1478164796,90600000,163600000,0.095132872,0.39,0.39,419487179,419487179,https://www.sec.gov/Archives/edgar/data/55067/000095012497004196/0000950124-97-004196-index.html,https://www.sec.gov/Archives/edgar/data/55067/,5090800000,1149200000,Consumer Defensive,Food Confectioners,NYSE,1952-01-08
