date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,KEY,USD,0000091576,1995-05-15,1995-05-15 00:00:00,1995,Q1,1416400000,620000000,796400000,0.562270545,0,279900000,0,279900000,281000000,560900000,1180900000,1245400000,601600000,49900000,285400000,0.2014967523,235500000,0.1662665914,0,235500000,0.1662665914,61600000,209700000,0.1480513979,0.44,0.44,467500000,467500000,https://www.sec.gov/Archives/edgar/data/91576/000095015295001050/0000950152-95-001050-index.html,https://www.sec.gov/Archives/edgar/data/91576/,67709000000,4817500000,Financial Services,Banks - Regional,NYSE,1987-11-05
1995-06-30,KEY,USD,0000091576,1995-08-14,1995-08-14 00:00:00,1995,Q2,1521800000,653000000,868800000,0.5709028782,0,270600000,0,270600000,297900000,568500000,1221500000,1298900000,632600000,67400000,367700000,0.2416217637,300300000,0.1973321067,0,300300000,0.1973321067,101300000,199000000,0.1307661979,0.42,0.42,464286000,464286000,https://www.sec.gov/Archives/edgar/data/91576/000095015295001814/0000950152-95-001814-index.html,https://www.sec.gov/Archives/edgar/data/91576/,67481200000,4674400000,Financial Services,Banks - Regional,NYSE,1987-11-05
1995-09-30,KEY,USD,0000091576,1995-11-14,1995-11-14 00:00:00,1995,Q3,1533800000,660200000,873600000,0.5695657843,0,278700000,0,278700000,281700000,560400000,1220600000,1298800000,632700000,46500000,359700000,0.2345155822,313200000,0.2041987221,0,313200000,0.2041987221,103600000,209600000,0.1366540618,0.45,0.45,465778000,465778000,https://www.sec.gov/Archives/edgar/data/91576/000095015295002668/0000950152-95-002668-index.html,https://www.sec.gov/Archives/edgar/data/91576/,67967100000,5083400000,Financial Services,Banks - Regional,NYSE,1987-11-05
1995-12-31,KEY,USD,0000091576,1996-03-28,1996-03-28 00:00:00,1995,Q4,1582000000,651600000,930400000,0.5881163085,0,285600000,0,285600000,336100000,621700000,1273300000,1277900000,617400000,59000000,367700000,0.2324273072,308700000,0.1951327434,0,308700000,0.1951327434,102000000,206700000,0.1306573957,0.45,0.43,462136000,484013000,https://www.sec.gov/Archives/edgar/data/91576/000095015296001225/0000950152-96-001225-index.html,https://www.sec.gov/Archives/edgar/data/91576/0000950152-96-001225.txt,66339000000,5153000000,Financial Services,Banks - Regional,NYSE,1987-11-05
1996-03-31,KEY,USD,0000091576,1996-05-14,1996-05-14 00:00:00,1996,Q1,1485000000,611000000,874000000,0.5885521886,0,291000000,0,291000000,279000000,570000000,1181000000,1236000000,567000000,56000000,360000000,0.2424242424,304000000,0.2047138047,0,304000000,0.2047138047,96000000,208000000,0.1400673401,0.44,0.43,463636000,474419000,https://www.sec.gov/Archives/edgar/data/91576/000095015296002358/0000950152-96-002358-index.html,https://www.sec.gov/Archives/edgar/data/91576/,65052000000,5124000000,Financial Services,Banks - Regional,NYSE,1987-11-05
1996-06-30,KEY,USD,0000091576,1996-08-14,1996-08-14 00:00:00,1996,Q2,1498000000,599000000,899000000,0.6001335113,0,298000000,0,298000000,281000000,579000000,1178000000,1234000000,552000000,58000000,378000000,0.2523364486,320000000,0.2136181575,0,320000000,0.2136181575,103000000,217000000,0.1448598131,0.46,0.46,463043000,463043000,https://www.sec.gov/Archives/edgar/data/91576/000095015296004193/0000950152-96-004193-index.html,https://www.sec.gov/Archives/edgar/data/91576/,64764000000,4996000000,Financial Services,Banks - Regional,NYSE,1987-11-05
1996-09-30,KEY,USD,0000091576,1996-11-13,1996-11-13 00:00:00,1996,Q3,1527000000,604000000,923000000,0.6044531762,0,300000000,0,300000000,315000000,615000000,1219000000,1238000000,555000000,56000000,364000000,0.2383759005,308000000,0.201702685,0,308000000,0.201702685,101000000,207000000,0.1355599214,0.45,0.45,460000000,460000000,https://www.sec.gov/Archives/edgar/data/91576/000095015296005998/0000950152-96-005998-index.html,https://www.sec.gov/Archives/edgar/data/91576/,65356000000,4976000000,Financial Services,Banks - Regional,NYSE,1987-11-05
1996-12-31,KEY,USD,0000091576,1997-03-28,1997-03-28 00:00:00,1996,Q4,1528000000,617000000,911000000,0.5962041885,0,301000000,0,301000000,399000000,700000000,1317000000,1243000000,560000000,60000000,271000000,0.1773560209,211000000,0.1380890052,0,211000000,0.1380890052,60000000,151000000,0.0988219895,0.33,0.32,452573000,465672000,https://www.sec.gov/Archives/edgar/data/91576/000095015297002371/0000950152-97-002371-index.html,https://www.sec.gov/Archives/edgar/data/91576/,67621000000,4881000000,Financial Services,Banks - Regional,NYSE,1987-11-05
1997-03-31,KEY,USD,0000091576,1997-05-15,1997-05-15 00:00:00,1997,Q1,1514000000,633000000,881000000,0.5819022457,0,290000000,21000000,311000000,264000000,575000000,1208000000,1255000000,566000000,60000000,366000000,0.2417437252,306000000,0.2021136063,0,306000000,0.2021136063,94000000,212000000,0.1400264201,0.48,0.47,443340000,448558000,https://www.sec.gov/Archives/edgar/data/91576/000095015297003968/0000950152-97-003968-index.html,https://www.sec.gov/Archives/edgar/data/91576/,67893000000,4674000000,Financial Services,Banks - Regional,NYSE,1987-11-05
1997-06-30,KEY,USD,0000091576,1997-08-14,1997-08-14 00:00:00,1997,Q2,1583000000,674000000,909000000,0.5742261529,0,283000000,22000000,305000000,277000000,582000000,1256000000,1295000000,599000000,60000000,387000000,0.2444725205,327000000,0.2065698042,0,327000000,0.2065698042,104000000,223000000,0.1408717625,0.51,0.51,437946000,442480000,https://www.sec.gov/Archives/edgar/data/91576/000095015297006029/0000950152-97-006029-index.html,https://www.sec.gov/Archives/edgar/data/91576/,69672000000,4814000000,Financial Services,Banks - Regional,NYSE,1987-11-05
