date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,KMB,USD,0000055785,1995-05-05,1995-05-05 00:00:00,1995,Q1,2014600000,1262400000,752200000,0.3733743671,0,441700000,0,441700000,87200000,528900000,1791300000,0,0,87200000,310500000,0.1541248883,223300000,0.1108408617,-44900000,178400000,0.088553559,69700000,108700000,0.0539561203,0.34,0.34,319705882,319705882,https://www.sec.gov/Archives/edgar/data/55785/000005578595000010/0000055785-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/55785/,7080000000,2630700000,Consumer Defensive,Household & Personal Products,NYSE,1980-03-17
1995-06-30,KMB,USD,0000055785,1995-08-10,1995-08-10 00:00:00,1995,Q2,2152000000,1326900000,825100000,0.3834107807,0,475400000,0,475400000,92200000,567600000,1894500000,0,0,92200000,349700000,0.1625,257500000,0.1196561338,-14000000,243500000,0.1131505576,80200000,163300000,0.0758828996,0.51,0.51,320196078,320196078,https://www.sec.gov/Archives/edgar/data/55785/000005578595000015/0000055785-95-000015-index.html,https://www.sec.gov/Archives/edgar/data/55785/,7255600000,2737600000,Consumer Defensive,Household & Personal Products,NYSE,1980-03-17
1995-09-30,KMB,USD,0000055785,1995-11-13,1995-11-13 00:00:00,1995,Q3,2212300000,1355400000,856900000,0.3873344483,0,481700000,0,481700000,94800000,576500000,1931900000,0,0,94800000,375200000,0.1695972517,280400000,0.1267459205,42000000,322400000,0.1457306875,113800000,208600000,0.0942910094,0.65,0.65,320923077,320923077,https://www.sec.gov/Archives/edgar/data/55785/000005578595000018/0000055785-95-000018-index.html,https://www.sec.gov/Archives/edgar/data/55785/,7264900000,2872300000,Consumer Defensive,Household & Personal Products,NYSE,1980-03-17
1995-12-31,KMB,USD,0000055785,1996-03-26,1996-03-26 00:00:00,1995,Q4,7409700000,4301700000,3108000000,0.4194501802,0,1908700000,0,1908700000,307500000,2216200000,6517900000,0,0,307500000,1199300000,0.1618554058,891800000,0.1203557499,-1449400000,-557600000,-0.0752527093,-110200000,-447400000,-0.0603803123,-0.8,-0.8,562142857,562142857,https://www.sec.gov/Archives/edgar/data/55785/000005578596000012/0000055785-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/55785/,11439200000,3650400000,Consumer Defensive,Household & Personal Products,NYSE,1980-03-17
1996-03-31,KMB,USD,0000055785,1996-05-10,1996-05-10 00:00:00,1996,Q1,3288800000,1895000000,1393800000,0.4238019946,0,761500000,0,761500000,139000000,900500000,2795500000,0,0,139000000,632300000,0.1922585746,493300000,0.1499939188,-21600000,471700000,0.1434261737,156900000,314800000,0.0957188032,0.56,0.55,562142857,572363636,https://www.sec.gov/Archives/edgar/data/55785/000005578596000016/0000055785-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/55785/,11489700000,3958400000,Consumer Defensive,Household & Personal Products,NYSE,1980-03-17
1996-06-30,KMB,USD,0000055785,1996-08-09,1996-08-09 00:00:00,1996,Q2,3347700000,1953300000,1394400000,0.4165247782,0,766100000,0,766100000,140100000,906200000,2859500000,0,0,140100000,628300000,0.1876810945,488200000,0.1458314664,57900000,546100000,0.163126923,181400000,364700000,0.1089404666,0.64,0.64,569843750,569843750,https://www.sec.gov/Archives/edgar/data/55785/000005578596000022/0000055785-96-000022-index.html,https://www.sec.gov/Archives/edgar/data/55785/,11117100000,4020300000,Consumer Defensive,Household & Personal Products,NYSE,1980-03-17
1996-09-30,KMB,USD,0000055785,1996-11-07,1996-11-07 00:00:00,1996,Q3,3275700000,1881700000,1394000000,0.425557896,0,710200000,0,710200000,138000000,848200000,2729900000,0,0,138000000,683800000,0.208749275,545800000,0.1666208749,21300000,567100000,0.1731233019,189900000,377200000,0.1151509601,0.67,0.66,562985075,571515152,https://www.sec.gov/Archives/edgar/data/55785/000005578596000024/0000055785-96-000024-index.html,https://www.sec.gov/Archives/edgar/data/55785/,11362900000,4312600000,Consumer Defensive,Household & Personal Products,NYSE,1980-03-17
1996-12-31,KMB,USD,0000055785,1997-03-21,1997-03-21 00:00:00,1996,Q4,3323600000,1950400000,1373200000,0.413166446,0,702900000,0,702900000,143900000,846800000,2797200000,0,0,143900000,670300000,0.2016789024,526400000,0.1583824768,-6700000,519700000,0.1563665904,172600000,347100000,0.1044349501,0.62,0.62,559090909,559090909,https://www.sec.gov/Archives/edgar/data/55785/000005578597000014/0000055785-97-000014-index.html,https://www.sec.gov/Archives/edgar/data/55785/,11845700000,4483100000,Consumer Defensive,Household & Personal Products,NYSE,1980-03-17
1997-03-31,KMB,USD,0000055785,1997-05-09,1997-05-09 00:00:00,1997,Q1,3237600000,1875700000,1361900000,0.4206510996,48700000,648000000,0,648000000,120900000,817600000,2693300000,0,0,120900000,665200000,0.2054608352,544300000,0.1681183593,-9100000,535200000,0.1653076353,171000000,369000000,0.1139733136,0.66,0.65,559090909,567692308,https://www.sec.gov/Archives/edgar/data/55785/000005578597000018/0000055785-97-000018-index.html,https://www.sec.gov/Archives/edgar/data/55785/,11423800000,4422300000,Consumer Defensive,Household & Personal Products,NYSE,1980-03-17
1997-06-30,KMB,USD,0000055785,1997-08-07,1997-08-07 00:00:00,1997,Q2,3124300000,1811000000,1313300000,0.4203501584,50300000,647500000,0,647500000,121100000,818900000,2629900000,0,0,121100000,615500000,0.1970041289,494400000,0.1582434465,10000000,504400000,0.1614441635,153600000,363500000,0.1163460615,0.65,0.65,559230769,559230769,https://www.sec.gov/Archives/edgar/data/55785/000005578597000020/0000055785-97-000020-index.html,https://www.sec.gov/Archives/edgar/data/55785/,11126600000,4617500000,Consumer Defensive,Household & Personal Products,NYSE,1980-03-17
