date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,KO,USD,0000021344,1995-05-11,1995-05-11 00:00:00,1995,Q1,3854000000,1335000000,2519000000,0.6536066424,0,0,0,1530000000,110000000,1640000000,2975000000,0,0,110000000,989000000,0.2566165023,879000000,0.2280747276,52000000,931000000,0.2415672029,293000000,638000000,0.1655422937,0.13,0.13,5088000000,5088000000,https://www.sec.gov/Archives/edgar/data/21344/000002134495000018/0000021344-95-000018-index.htm,https://www.sec.gov/Archives/edgar/data/21344/0000021344-95-000018.txt,13971000000,5134000000,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,1919-09-05
1995-06-30,KO,USD,0000021344,1995-08-11,1995-08-11 00:00:00,1995,Q2,4936000000,1767000000,3169000000,0.6420178282,0,0,0,1802000000,109000000,1911000000,3678000000,0,0,109000000,1367000000,0.2769448947,1258000000,0.2548622366,46000000,1304000000,0.2641815235,406000000,898000000,0.1819286872,0.18,0.18,5060000000,5060000000,https://www.sec.gov/Archives/edgar/data/21344/000002134495000033/0000021344-95-000033-index.htm,https://www.sec.gov/Archives/edgar/data/21344/0000021344-95-000033.txt,15145000000,5297000000,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,1919-09-05
1995-09-30,KO,USD,0000021344,1995-11-13,1995-11-13 00:00:00,1995,Q3,4895000000,1831000000,3064000000,0.6259448417,0,0,0,1940000000,118000000,2058000000,3889000000,0,0,118000000,1124000000,0.2296220633,1006000000,0.2055158325,162000000,1168000000,0.2386108274,366000000,802000000,0.1638406537,0.16,0.16,5036000000,5036000000,https://www.sec.gov/Archives/edgar/data/21344/000002134495000041/0000021344-95-000041-index.htm,https://www.sec.gov/Archives/edgar/data/21344/0000021344-95-000041.txt,15094000000,5267000000,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,1919-09-05
1995-12-31,KO,USD,0000021344,1996-03-14,1996-03-14 00:00:00,1995,Q4,4333000000,1553000000,2780000000,0.6415878144,0,0,0,1714000000,117000000,1831000000,3384000000,0,0,117000000,1066000000,0.2460189245,949000000,0.2190168474,-24000000,925000000,0.2134779598,277000000,648000000,0.1495499654,0.13,0.13,5006000000,5006000000,https://www.sec.gov/Archives/edgar/data/21344/000002134496000006/0000021344-96-000006-index.htm,https://www.sec.gov/Archives/edgar/data/21344/0000021344-96-000006.txt,15041000000,5392000000,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,1919-09-05
1996-03-31,KO,USD,0000021344,1996-05-10,1996-05-10 00:00:00,1996,Q1,4194000000,1418000000,2776000000,0.6618979495,0,0,0,1631000000,112000000,1743000000,3161000000,0,0,112000000,1145000000,0.2730090606,1033000000,0.2463042442,0,1033000000,0.2463042442,320000000,713000000,0.1700047687,0.14,0.14,5006000000,5006000000,https://www.sec.gov/Archives/edgar/data/21344/000002134496000012/0000021344-96-000012-index.htm,https://www.sec.gov/Archives/edgar/data/21344/0000021344-96-000012.txt,15627000000,5540000000,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,1919-09-05
1996-06-30,KO,USD,0000021344,1996-08-13,1996-08-13 00:00:00,1996,Q2,5286000000,1783000000,3503000000,0.6626939084,0,0,0,1998000000,123000000,2121000000,3904000000,0,0,123000000,1505000000,0.2847143398,1382000000,0.2614453273,140000000,1522000000,0.2879303821,472000000,1050000000,0.1986379115,0.21,0.21,5000000000,5000000000,https://www.sec.gov/Archives/edgar/data/21344/000002134496000015/0000021344-96-000015-index.htm,https://www.sec.gov/Archives/edgar/data/21344/0000021344-96-000015.txt,16523000000,5936000000,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,1919-09-05
1996-09-30,KO,USD,0000021344,1996-11-14,1996-11-14 00:00:00,1996,Q3,4656000000,1689000000,2967000000,0.637242268,0,0,0,2388000000,125000000,2513000000,4202000000,0,0,125000000,579000000,0.1243556701,454000000,0.0975085911,483000000,937000000,0.2012457045,-30000000,967000000,0.2076890034,0.2,0.19,4984000000,4984000000,https://www.sec.gov/Archives/edgar/data/21344/000002134496000026/0000021344-96-000026-index.htm,https://www.sec.gov/Archives/edgar/data/21344/0000021344-96-000026.txt,15874000000,6235000000,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,1919-09-05
1996-12-31,KO,USD,0000021344,1997-03-11,1997-03-11 00:00:00,1996,Q4,4443000000,1369000000,3074000000,0.6918748593,0,0,0,1909000000,119000000,2028000000,3397000000,0,0,119000000,1165000000,0.2622102183,1046000000,0.2354265136,58000000,1104000000,0.2484807562,342000000,762000000,0.1715057394,0.15,0.15,4960000000,4960000000,https://www.sec.gov/Archives/edgar/data/21344/000002134497000014/0000021344-97-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21344/0000021344-97-000014.txt,16161000000,6156000000,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,1919-09-05
1997-03-31,KO,USD,0000021344,1997-05-13,1997-05-13 00:00:00,1997,Q1,4138000000,1157000000,2981000000,0.7203963267,0,0,0,1701000000,138000000,1839000000,2996000000,0,0,138000000,1280000000,0.3093281779,1142000000,0.2759787337,289000000,1431000000,0.3458192363,444000000,987000000,0.2385210246,0.2,0.2,4960000000,5038000000,https://www.sec.gov/Archives/edgar/data/21344/000002134497000019/0000021344-97-000019-index.htm,https://www.sec.gov/Archives/edgar/data/21344/0000021344-97-000019.txt,16359000000,6581000000,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,1919-09-05
1997-06-30,KO,USD,0000021344,1997-08-14,1997-08-14 00:00:00,1997,Q2,5075000000,1446000000,3629000000,0.7150738916,0,0,0,2023000000,163000000,2186000000,3632000000,0,0,163000000,1606000000,0.316453202,1443000000,0.2843349754,492000000,1935000000,0.3812807882,621000000,1314000000,0.2589162562,0.27,0.26,4960000000,5038000000,https://www.sec.gov/Archives/edgar/data/21344/000002134497000027/0000021344-97-000027-index.htm,https://www.sec.gov/Archives/edgar/data/21344/0000021344-97-000027.txt,18323000000,7264000000,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,1919-09-05
