date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,L,USD,0000060086,1995-05-15,1995-05-15 00:00:00,1995,Q1,3703200000,0,3703200000,1.0,0,383900000,0,383900000,3319300000,3703200000,3703200000,0,43100000,0,0,0.0,-870800000,-0.2351479801,1189000000,318200000,0.0859256859,103700000,214500000,0.0579228775,0.3,0.3,707851000,707851000,https://www.sec.gov/Archives/edgar/data/60086/000006008695000011/0000060086-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/60086/,49978100000.0,6043000000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1995-06-30,L,USD,0000060086,1995-08-14,1995-08-14 00:00:00,1995,Q2,4519400000,0,4519400000,1.0,0,420600000,0,420600000,4098800000,4519400000,4519400000,0,62700000,0,0,0.0,-1007400000,-0.2229056954,1652000000,644600000,0.1426295526,224800000,419800000,0.0928884365,0.59,0.59,708236000,708236000,https://www.sec.gov/Archives/edgar/data/60086/000006008695000025/0000060086-95-000025-index.html,https://www.sec.gov/Archives/edgar/data/60086/,66880700000.0,6963400000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1995-09-30,L,USD,0000060086,1995-11-14,1995-11-14 00:00:00,1995,Q3,4959600000,0,4959600000,1.0,0,542200000,0,542200000,4417400000,4959600000,4959600000,0,89600000,0,0,0.0,-1155500000,-0.2329824986,1765000000,609500000,0.1228929752,223100000,386400000,0.0779095088,0.55,0.55,707537000,707537000,https://www.sec.gov/Archives/edgar/data/60086/000006008695000028/0000060086-95-000028-index.html,https://www.sec.gov/Archives/edgar/data/60086/0000060086-95-000028.txt,68891000000.0,7280500000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1995-12-31,L,USD,0000060086,1996-03-28,1996-03-28 00:00:00,1995,Q4,5495200000,0,5495200000,1.0,0,508100000,0,508100000,4987100000,5495200000,5495200000,0,87100000,-2420700000,505700000,0.0920257679,505700000,0.0920257679,2333600000,2839300000,0.5166872907,-1496900000,745100000,0.1355910613,1.05,1.05,705429000,707821000,https://www.sec.gov/Archives/edgar/data/60086/000006008696000006/0000060086-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/60086/,65516900000.0,8238700000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1996-03-31,L,USD,0000060086,1996-05-14,1996-05-14 00:00:00,1996,Q1,5044500000,0,5044500000,1.0,0,762000000,0,762000000,4282500000,5044500000,5044500000,0,90800000,0,0,0.0,-1165000000,-0.2309445931,1752500000,587500000,0.1164634751,218700000,368800000,0.073109327,0.52,0.52,705419000,705419000,https://www.sec.gov/Archives/edgar/data/60086/000006008696000008/0000060086-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/60086/,67917400000.0,8030700000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1996-06-30,L,USD,0000060086,1996-08-14,1996-08-14 00:00:00,1996,Q2,5044600000,0,5044600000,1.0,0,806300000,0,806300000,4238300000,5044600000,5044600000,0,69800000,0,0,0.0,-1120100000,-0.2220394085,1725200000,605100000,0.1199500456,226400000,378700000,0.0750703723,0.54,0.54,697692000,697692000,https://www.sec.gov/Archives/edgar/data/60086/000006008696000012/0000060086-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/60086/0000060086-96-000012.txt,66126800000.0,7992600000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1996-09-30,L,USD,0000060086,1996-11-14,1996-11-14 00:00:00,1996,Q3,5216300000,0,5216300000,1.0,0,882800000,0,882800000,4333500000,5216300000,5216300000,0,79700000,0,0,0.0,-1199000000,-0.2298564116,1782200000,583200000,0.1118033855,194600000,388600000,0.074497249,0.56,0.56,690513000,690513000,https://www.sec.gov/Archives/edgar/data/60086/000006008696000016/0000060086-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/60086/0000060086-96-000016.txt,66774700000.0,8376900000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1996-12-31,L,USD,0000060086,1997-03-27,1997-03-27 00:00:00,1996,Q4,5137000000,0,5137000000,1.0,0,1604400000,0,1604400000,3532600000,5137000000,5137000000,0,77700000,-2409500000,76000000,0.0147946272,76000000,0.0147946272,2331800000,2407800000,0.4687171501,-1431100000,247800000,0.0482382714,0.36,0.36,691352000,699121000,https://www.sec.gov/Archives/edgar/data/60086/000006008697000009/0000060086-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/60086/,67402900000.0,8731200000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1997-03-31,L,USD,0000060086,1997-05-15,1997-05-15 00:00:00,1997,Q1,4939100000,0,4939100000,1.0,0,791300000,0,791300000,4147800000,4939100000,4939100000,0,74800000,0,0,0.0,-1227900000,-0.248608046,1593600000,365700000,0.0740418295,126400000,239300000,0.0484501225,0.35,0.35,690979000,690979000,https://www.sec.gov/Archives/edgar/data/60086/000006008697000015/0000060086-97-000015-index.html,https://www.sec.gov/Archives/edgar/data/60086/,69667200000.0,8615100000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1997-06-30,L,USD,0000060086,1997-08-14,1997-08-14 00:00:00,1997,Q2,4749100000,0,4749100000,1.0,0,750800000,0,750800000,3998300000,4749100000,4749100000,0,76300000,0,0,0.0,-1268700000,-0.2671453539,1402200000,133500000,0.0281105894,69700000,63800000,0.0134341244,0.0932,0.0932,684256000,684256000,https://www.sec.gov/Archives/edgar/data/60086/000006008697000023/0000060086-97-000023-index.html,https://www.sec.gov/Archives/edgar/data/60086/,69489400000.0,8867800000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1997-09-30,L,USD,0000060086,1997-11-14,1997-11-14 00:00:00,1997,Q3,5111400000,0,5111400000,1.0,0,859300000,0,859300000,4252100000,5111400000,5111400000,0,88300000,0,0,0.0,-1444400000,-0.2825840279,1776300000,331900000,0.0649332864,134300000,197600000,0.0386586845,0.29,0.29,689992000,689992000,https://www.sec.gov/Archives/edgar/data/60086/000006008697000026/0000060086-97-000026-index.html,https://www.sec.gov/Archives/edgar/data/60086/,70521700000.0,9301600000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1997-12-31,L,USD,0000060086,1998-03-31,1998-03-31 00:00:00,1997,Q4,5339200000,0,5339200000,1.0,0,1144600000,0,1144600000,4194600000,5339200000,5339200000,0,84000000,-2015000000,-337800000,-0.0632679053,-337800000,-0.0632679053,1931000000,1593200000,0.2983967636,-825700000,292900000,0.0548584058,0.42,0.42,691169000,691169000,https://www.sec.gov/Archives/edgar/data/60086/000006008698000004/0000060086-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/60086/,69983100000.0,9665100000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1998-03-31,L,USD,0000060086,1998-05-15,1998-05-15 00:00:00,1998,Q1,4795100000,0,4795100000,1.0,0,1043600000,0,1043600000,3781600000,4825200000,4825200000,0,93800000,0,0,0.0,3687800000,0.7690767659,-3687800000,-105400000,-0.021980772,-21700000,-83700000,-0.017455319,-0.12,-0.12,679328000,679328000,https://www.sec.gov/Archives/edgar/data/60086/000006008698000005/0000060086-98-000005-index.html,https://www.sec.gov/Archives/edgar/data/60086/,70444800000.0,9529400000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1998-06-30,L,USD,0000060086,1998-08-14,1998-08-14 00:00:00,1998,Q2,5404800000,0,5404800000,1.0,0,917800000,300000,918100000,4510600000,5428700000,5428700000,0,99200000,0,0,0.0,-1522800000,-0.281749556,1938800000,416000000,0.0769686205,168800000,247200000,0.0457371226,0.36,0.36,687354000,687354000,https://www.sec.gov/Archives/edgar/data/60086/000006008698000006/0000060086-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/60086/0000060086-98-000006.txt,71345700000.0,9803000000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1998-09-30,L,USD,0000060086,1998-11-16,1998-11-16 00:00:00,1998,Q3,5951900000,0,5951900000,1.0,0,1262000000,0,1262000000,4730300000,5992300000,5992300000,0,89300000,0,0,0.0,-1652000000,-0.2775584267,2654000000,1002000000,0.1683496026,384900000,617100000,0.1036811774,0.9,0.9,688905000,688905000,https://www.sec.gov/Archives/edgar/data/60086/000006008698000008/0000060086-98-000008-index.html,https://www.sec.gov/Archives/edgar/data/60086/0000060086-98-000008.txt,70999400000.0,10511100000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1998-12-31,L,USD,0000060086,1999-03-31,1999-03-31 00:00:00,1998,Q4,5056500000,0,5056500000,1.0,0,1076700000,0,1076700000,3979800000,5056500000,5056500000,0,86900000,-1626300000,-462000000,-0.0913675467,-462000000,-0.0913675467,1539400000,1077400000,0.2130722832,-886500000,-315800000,-0.0624542668,-0.46,-0.46,679224000,689454000,https://www.sec.gov/Archives/edgar/data/60086/000006008699000002/0000060086-99-000002-index.html,https://www.sec.gov/Archives/edgar/data/60086/,70979400000.0,10201200000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1999-03-31,L,USD,0000060086,1999-05-17,1999-05-17 00:00:00,1999,Q1,5480300000,0,5480300000,1.0,0,1069900000,0,1069900000,4410400000,5480300000,5480300000,0,113700000,0,0,0.0,-1976200000,-0.360600697,2121100000,144900000,0.0264401584,99500000,45400000,0.008284218,0.0666,0.0666,681682000,681682000,https://www.sec.gov/Archives/edgar/data/60086/000006008699000006/0000060086-99-000006-index.html,https://www.sec.gov/Archives/edgar/data/60086/0000060086-99-000006.txt,73300000000.0,10625800000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1999-06-30,L,USD,0000060086,1999-08-16,1999-08-16 00:00:00,1999,Q2,5648600000,0,5648600000,1.0,0,1017200000,0,1017200000,4594700000,5611900000,5611900000,0,81900000,0,0,0.0,-1729200000,-0.3061289523,2143700000,414500000,0.0733810148,160200000,254300000,0.045020005,0.39,0.39,652704000,652704000,https://www.sec.gov/Archives/edgar/data/60086/000006008699000011/0000060086-99-000011-index.html,https://www.sec.gov/Archives/edgar/data/60086/000006008699000011/0000060086-99-000011.txt,73749800000.0,10327000000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1999-09-30,L,USD,0000060086,1999-11-15,1999-11-15 00:00:00,1999,Q3,5513800000,0,5513800000,1.0,0,1057900000,0,1057900000,4455900000,5513800000,5513800000,0,91100000,0,0,0.0,-1666400000,-0.3022235119,2102900000,436500000,0.0791650042,165200000,271300000,0.0492038159,0.42,0.42,646599000,646599000,https://www.sec.gov/Archives/edgar/data/60086/000006008699000015/0000060086-99-000015-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008699000015/0000060086-99-000015.txt,72611100000.0,9905500000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
1999-12-31,L,USD,0000060086,2000-03-30,2000-03-30 00:00:00,1999,Q4,4859200000,0,4859200000,1.0,0,752500000,0,752500000,4106700000,4859200000,4859200000,0,67600000,-1628700000,-616900000,-0.1269550543,-616900000,-0.1269550543,1561100000,944200000,0.1943118209,-730400000,-207800000,-0.042764241,-0.35,-0.31,602030000,666667000,https://www.sec.gov/Archives/edgar/data/60086/000006008600000011/0000060086-00-000011-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008600000011/,69463700000.0,9977700000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
2000-03-31,L,USD,0000060086,2000-05-12,2000-05-12 00:00:00,2000,Q1,4673800000,0,4673800000,1.0,0,965100000,0,965100000,3690600000,4655700000,4655700000,0,88400000,0,0,0.0,-1048900000,-0.2244212418,1346700000,297800000,0.0637168899,114200000,183600000,0.0392828106,0.3,0.3,610210000,610210000,https://www.sec.gov/Archives/edgar/data/60086/000006008600000021/0000060086-00-000021-index.html,https://www.sec.gov/Archives/edgar/data/60086/000006008600000021/0000060086-00-000021.txt,72427800000.0,9851500000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
2000-06-30,L,USD,0000060086,2000-08-07,2000-08-07 00:00:00,2000,Q2,5331900000,0,5331900000,1.0,0,0,0,0,5314000000,5314000000,5314000000,0,85200000,0,0,0.0,-766200000,-0.1437011197,1577700000,811500000,0.152197153,300900000,510600000,0.0957632364,0.86,0.86,592793000,592793000,https://www.sec.gov/Archives/edgar/data/60086/000006008600000026/0000060086-00-000026-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008600000026/0000060086-00-000026-0001.txt,71225200000.0,9964400000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
2000-09-30,L,USD,0000060086,2000-11-13,2000-11-13 00:00:00,2000,Q3,5776400000,0,5776400000,1.0,0,0,0,0,5757300000,5757300000,5757300000,0,92900000,0,0,0.0,-493600000,-0.085451146,1552300000,1058700000,0.1832802438,379100000,679600000,0.1176511322,1.15,1.15,592192000,592192000,https://www.sec.gov/Archives/edgar/data/60086/000006008600500006/0000060086-00-500006-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008600500006/lcsep00q.txt,73452800000.0,10579400000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
2000-12-31,L,USD,0000060086,2001-03-16,2001-03-16 00:00:00,2000,Q4,5555700000,0,5555700000,1.0,0,0,0,0,5555700000,5555700000,5555700000,0,90400000,0,0,0.0,-3000800000,-0.5401299566,6206700000,3205900000,0.5770469968,-1901100000,502900000,0.0905196465,0.8,0.8,572165000,591684000,https://www.sec.gov/Archives/edgar/data/60086/000006008601500005/0000060086-01-500005-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008601500005/sigsub.txt,71588700000.0,10969100000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
2001-03-31,L,USD,0000060086,2001-05-03,2001-05-03 00:00:00,2001,Q1,4928900000,0,4928900000,1.0,0,0,0,0,4928900000,4928900000,4928900000,0,86300000,0,0,0.0,-772600000,-0.1567489704,1573500000,800900000,0.1624906166,328400000,472300000,0.0958225973,0.8,0.8,592282000,592282000,https://www.sec.gov/Archives/edgar/data/60086/000006008601500009/0000060086-01-500009-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008601500009/marq.txt,73523900000.0,11793400000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
2001-06-30,L,USD,0000060086,2001-08-14,2001-08-14 00:00:00,2001,Q2,4140200000,0,4140200000,1.0,0,0,0,0,4140200000,4140200000,4140200000,0,92700000,0,0,0.0,-2304800000,-0.5566880827,1657000000,-647800000,-0.1564658712,767400000,-1415200000,-0.3418192358,-2.39,-2.39,592312000,592312000,https://www.sec.gov/Archives/edgar/data/60086/000006008601500016/0000060086-01-500016-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008601500016/junq.txt,74386700000.0,9681400000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
2001-09-30,L,USD,0000060086,2001-11-09,2001-11-09 00:00:00,2001,Q3,4667400000,0,4667400000,1.0,0,0,0,0,4667400000,4667400000,4667400000,0,77100000,0,0,0.0,-1436100000,-0.3076873634,1715600000,279500000,0.0598834469,113700000,165700000,0.035501564,0.28,0.28,586787000,586787000,https://www.sec.gov/Archives/edgar/data/60086/000006008601500034/0000060086-01-500034-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008601500034/ltr3q01.txt,75597400000.0,9710000000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
2001-12-31,L,USD,0000060086,2002-03-08,2002-03-08 00:00:00,2001,Q4,5153800000,0,5153800000,1.0,0,0,0,0,5153800000,5153800000,5153800000,0,75900000,-1146200000,-1883400000,-0.3654390935,0,0.0,-813100000,-813100000,-0.1577670845,-500400000,188100000,0.0364973418,0.35,0.35,526709000,577097000,https://www.sec.gov/Archives/edgar/data/60086/000006008602000008/0000060086-02-000008-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008602000008/lc01k.txt,74732900000.0,9170500000.0,Financial Services,Insurance - Property & Casualty,NYSE,1980-03-17
