date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,LLY,USD,0000059478,1995-05-12,1995-05-12 00:00:00,1995,Q1,1717300000,372400000,1344900000,0.7831479648,236700000,0,0,407200000,140100000,784000000,1156400000,0,0,140100000,701000000,0.4081989169,560900000,0.3266173645,-33000000,527900000,0.307401153,153100000,393200000,0.2289640715,0.35,0.35,1156248000,1174132000,https://www.sec.gov/Archives/edgar/data/59478/000005947895000005/0000059478-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/59478/,14960700000,5835200000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1995-06-30,LLY,USD,0000059478,1995-08-08,1995-08-08 00:00:00,1995,Q2,1614800000,320200000,1294600000,0.80170919,260500000,0,0,436300000,139200000,836000000,1156200000,0,0,139200000,597800000,0.370200644,458600000,0.2839980183,-22000000,436600000,0.2703740401,126600000,327100000,0.202563785,0.29,0.29,1157136000,1174676000,https://www.sec.gov/Archives/edgar/data/59478/000005947895000006/0000059478-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/59478/,15097200000,5973800000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1995-09-30,LLY,USD,0000059478,1995-11-14,1995-11-14 00:00:00,1995,Q3,1631900000,279200000,1352700000,0.8289110852,260600000,0,0,444100000,140500000,845200000,1124400000,0,0,140500000,648000000,0.3970831546,507500000,0.3109871928,-70200000,437300000,0.2679698511,126800000,1228000000,0.7524970893,1.08,1.08,1146148000,1167140000,https://www.sec.gov/Archives/edgar/data/59478/000005947895000010/0000059478-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/59478/,14251100000,5486100000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1995-12-31,LLY,USD,0000059478,1996-03-25,1996-03-25 00:00:00,1995,Q4,1799800000,360200000,1439600000,0.7998666519,284500000,0,0,566400000,133900000,984800000,1345000000,0,0,133900000,588700000,0.3270918991,454800000,0.2526947439,-91000000,363800000,0.2021335704,52500000,342600000,0.1903544838,0.31,0.3,1114775500,1150829000,https://www.sec.gov/Archives/edgar/data/59478/000005947896000001/0000059478-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/59478/,14412500000,5432600000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1996-03-31,LLY,USD,0000059478,1996-05-13,1996-05-13 00:00:00,1996,Q1,1783300000,385300000,1398000000,0.7839398867,276000000,0,0,460000000,132700000,868700000,1254000000,0,0,132700000,662000000,0.371221892,529300000,0.2968092862,-5500000,523800000,0.2937251164,134600000,389200000,0.21824707,0.36,0.35,1092628000,1124714000,https://www.sec.gov/Archives/edgar/data/59478/000005947896000004/0000059478-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/59478/,14160400000,5845600000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1996-06-30,LLY,USD,0000059478,1996-08-12,1996-08-12 00:00:00,1996,Q2,1698300000,368900000,1329400000,0.7827827828,273400000,0,0,479000000,136200000,888600000,1257500000,0,0,136200000,577000000,0.3397515162,440800000,0.2595536713,24500000,465300000,0.2739798622,119600000,345700000,0.2035564977,0.31,0.31,1094554000,1122626000,https://www.sec.gov/Archives/edgar/data/59478/000005947896000006/0000059478-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/59478/,14258800000,5893700000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1996-09-30,LLY,USD,0000059478,1996-11-13,1996-11-13 00:00:00,1996,Q3,1803900000,367000000,1436900000,0.7965519153,290700000,0,0,473100000,135900000,899700000,1266700000,0,0,135900000,673100000,0.3731359831,537200000,0.2977992128,22200000,559400000,0.3101058817,143800000,415600000,0.2303897112,0.38,0.37,1092932000,1118540000,https://www.sec.gov/Archives/edgar/data/59478/000005947896000007/0000059478-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/59478/,14052800000,6026700000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1996-12-31,LLY,USD,0000059478,1997-03-24,1997-03-24 00:00:00,1996,Q4,2061100000,453700000,1607400000,0.7798748241,349400000,0,0,579800000,138700000,1067900000,1521600000,0,0,138700000,678200000,0.3290475959,539500000,0.2617534326,-56700000,482800000,0.2342438504,109800000,373000000,0.180971326,0.34,0.33,1097127000,1121305000,https://www.sec.gov/Archives/edgar/data/59478/000005947897000009/0000059478-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/59478/,14307200000,6100100000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1997-03-31,LLY,USD,0000059478,1997-05-15,1997-05-15 00:00:00,1997,Q1,1953000000,402300000,1550700000,0.7940092166,301200000,0,0,471700000,139000000,911900000,1314200000,0,0,139000000,777800000,0.3982590886,638800000,0.3270865335,-62000000,576800000,0.2953405018,144200000,432600000,0.2215053763,0.39,0.38,1100600000,1125500000,https://www.sec.gov/Archives/edgar/data/59478/000005947897000011/0000059478-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/59478/,14513600000,6569500000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1997-06-30,LLY,USD,0000059478,1997-08-12,1997-08-12 00:00:00,1997,Q2,1988700000,412800000,1575900000,0.7924272138,326700000,0,0,572700000,136000000,1035400000,1448200000,0,0,136000000,676500000,0.3401719716,540500000,0.2717855886,-1829400000,-1288900000,-0.6481118318,443200000,-1732100000,-0.8709709861,-1.57,-1.57,1102500000,1102500000,https://www.sec.gov/Archives/edgar/data/59478/000095013197004974/0000950131-97-004974-index.html,https://www.sec.gov/Archives/edgar/data/59478/,12288900000,4669900000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
