date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,LMT,USD,0000936468,1995-05-15,1995-05-15 15:58:00,1995,Q1,5644000000,5189000000,455000000,0.080616584,0,0,0,0,-165000000,-165000000,5189000000,0,79000000,222000000,534000000,0.0946137491,290000000,0.0513819986,-57000000,233000000,0.0412827782,96000000,137000000,0.0242735648,0.36,0.31,377000000,441000000,https://www.sec.gov/Archives/edgar/data/936468/000092838595000134/0000928385-95-000134-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000092838595000134/,17958000000,6178000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
1995-06-30,LMT,USD,0000936468,1995-08-11,1995-08-11 09:04:00,1995,Q2,5606000000,5136000000,470000000,0.0838387442,0,0,0,0,-525000000,-525000000,5136000000,0,73000000,243000000,230000000,0.0410274706,-55000000,-0.0098109169,-31000000,-86000000,-0.0153407064,-33000000,-53000000,-0.0094541563,-0.14,-0.12,378600000,444800000,https://www.sec.gov/Archives/edgar/data/936468/000093646895000009/0000936468-95-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646895000009/,18275000000,6059000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
1995-09-30,LMT,USD,0000936468,1995-11-13,1995-11-13 16:06:00,1995,Q3,5551000000,5041000000,510000000,0.0918753378,0,0,0,0,0,0,5041000000,0,70000000,200000000,710000000,0.127904882,510000000,0.0918753378,-46000000,464000000,0.0835885426,177000000,287000000,0.051702396,0.72,0.64,397600000,446200000,https://www.sec.gov/Archives/edgar/data/936468/000095010995004654/0000950109-95-004654-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000095010995004654/,18366000000,6255000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
1995-12-31,LMT,USD,0000936468,1996-03-13,1996-03-13 15:16:00,1995,Q4,6052000000,5514000000,538000000,0.0888962327,0,0,0,0,0,0,5514000000,0,66000000,256000000,794000000,0.1311962987,538000000,0.0888962327,-60000000,478000000,0.0789821547,167000000,311000000,0.0513879709,0.82,0.82,378000000,378600000,https://www.sec.gov/Archives/edgar/data/936468/000095010996001535/0000950109-96-001535-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000095010996001535/,17648000000,6433000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
1996-03-31,LMT,USD,0000936468,1996-05-15,1996-05-14 20:44:00,1996,Q1,5109000000,4637000000,472000000,0.0923859855,0,0,0,0,0,0,4637000000,0,71000000,214000000,686000000,0.1342728518,472000000,0.0923859855,-41000000,431000000,0.0843609317,159000000,272000000,0.0532393815,0.72,0.61,378600000,445400000,https://www.sec.gov/Archives/edgar/data/936468/000092838596000552/0000928385-96-000552-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000092838596000552/,17682000000,6656000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
1996-06-30,LMT,USD,0000936468,1996-08-13,1996-08-13 16:35:00,1996,Q2,7076000000,6383000000,693000000,0.0979366874,0,0,0,0,0,0,6383000000,0,189000000,319000000,1012000000,0.1430186546,693000000,0.0979366874,-188000000,505000000,0.0713680045,206000000,299000000,0.0422555116,0.79,0.67,380400000,447600000,https://www.sec.gov/Archives/edgar/data/936468/000092838596001071/0000928385-96-001071-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000092838596001071/,30328000000,6912000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
1996-09-30,LMT,USD,0000936468,1996-11-13,1996-11-13 16:11:00,1996,Q3,7028000000,6353000000,675000000,0.0960443939,0,0,0,0,0,0,6353000000,0,226000000,361000000,1021000000,0.1452760387,675000000,0.0960443939,-165000000,510000000,0.0725668754,199000000,311000000,0.0442515652,0.81,0.69,382400000,449400000,https://www.sec.gov/Archives/edgar/data/936468/000092838596001490/0000928385-96-001490-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000092838596001490/,30269000000,7189000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
1996-12-31,LMT,USD,0000936468,1997-03-14,1997-03-14 00:00:00,1996,Q4,7662000000,7221000000,441000000,0.0575567737,0,0,0,0,0,0,7221000000,0,214000000,303000000,1104000000,0.1440877056,441000000,0.0575567737,146000000,587000000,0.0766118507,122000000,465000000,0.0606891151,1.26,1.26,369000000,369000000,https://www.sec.gov/Archives/edgar/data/936468/000095010997002222/0000950109-97-002222-index.html,https://www.sec.gov/Archives/edgar/data/936468/,29257000000,6856000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
1997-03-31,LMT,USD,0000936468,1997-05-09,1997-05-09 00:00:00,1997,Q1,6674000000,6018000000,656000000,0.0982918789,0,0,0,0,0,0,6018000000,0,201000000,311000000,967000000,0.1448906203,656000000,0.0982918789,-180000000,476000000,0.0713215463,186000000,290000000,0.0434522026,0.79,0.67,369000000,431000000,https://www.sec.gov/Archives/edgar/data/936468/000092838597000819/0000928385-97-000819-index.html,https://www.sec.gov/Archives/edgar/data/936468/,29367000000,7092000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
1997-06-30,LMT,USD,0000936468,1997-08-12,1997-08-12 00:00:00,1997,Q2,6898000000,6261000000,637000000,0.0923456074,0,0,0,0,0,0,6261000000,0,201000000,213000000,850000000,0.1232241229,637000000,0.0923456074,-149000000,488000000,0.0707451435,180000000,308000000,0.0446506234,0.83,0.71,369400000,432400000,https://www.sec.gov/Archives/edgar/data/936468/000092838597001285/0000928385-97-001285-index.html,https://www.sec.gov/Archives/edgar/data/936468/,29398000000,7330000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
1997-09-30,LMT,USD,0000936468,1997-11-14,1997-11-14 00:00:00,1997,Q3,6619000000,5942000000,677000000,0.1022813114,0,0,0,0,0,0,5942000000,0,213000000,256000000,1003000000,0.1515334643,677000000,0.1022813114,-143000000,534000000,0.0806768394,203000000,331000000,0.050007554,0.89,0.76,371800000,435200000,https://www.sec.gov/Archives/edgar/data/936468/000092838597001879/0000928385-97-001879-index.html,https://www.sec.gov/Archives/edgar/data/936468/,29577000000,7654000000,Industrials,Aerospace & Defense,NYSE,1977-01-03
