date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-01-31,LOW,USD,0000060667,1995-04-28,1995-04-28 00:00:00,1994,Q4,1487500000,1095600000,391900000,0.2634621849,0,266500000,0,266500000,31700000,298200000,1393800000,0,0,31700000,125400000,0.084302521,93700000,0.0629915966,-23000000,70700000,0.0475294118,24400000,46300000,0.0311260504,0.0373,0.0373,1240000000,1240000000,https://www.sec.gov/Archives/edgar/data/60667/000006066795000003/0000060667-95-000003-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066795000003/,3106000000,1419900000,Consumer Cyclical,Home Improvement,NYSE,1980-03-17
1995-04-30,LOW,USD,0000060667,1995-06-14,1995-06-14 00:00:00,1995,Q1,1634700000,1211400000,423300000,0.2589465957,0,274100000,0,274100000,34100000,308200000,1519600000,0,0,34100000,149200000,0.0912705695,115100000,0.0704104729,-22900000,92200000,0.0564017863,33300000,58900000,0.036031076,0.0475,0.045,1240000000,1308889000,https://www.sec.gov/Archives/edgar/data/60667/000006066795000004/0000060667-95-000004-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066795000004/,3218700000,1484800000,Consumer Cyclical,Home Improvement,NYSE,1980-03-17
1995-07-31,LOW,USD,0000060667,1995-09-14,1995-09-14 00:00:00,1995,Q2,1978100000,1483700000,494400000,0.249936808,0,302100000,0,302100000,36600000,338700000,1822400000,0,0,36600000,192300000,0.0972144988,155700000,0.0787118953,-22200000,133500000,0.0674890046,48500000,85000000,0.0429705273,0.0675,0.065,1259259000,1307692000,https://www.sec.gov/Archives/edgar/data/60667/000006066795000005/0000060667-95-000005-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066795000005/,3253900000,1578400000,Consumer Cyclical,Home Improvement,NYSE,1980-03-17
1995-10-31,LOW,USD,0000060667,1995-12-13,1995-12-13 00:00:00,1995,Q3,1766000000,1336200000,423300000,0.2396942242,0,301200000,0,301200000,39700000,340900000,1677100000,0,0,39700000,128600000,0.072819932,88900000,0.0503397508,-20700000,68200000,0.0386183465,24300000,43900000,0.0248584371,0.035,0.035,1254286000,1254286000,https://www.sec.gov/Archives/edgar/data/60667/000006066795000010/0000060667-95-000010-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066795000010/,3523600000,1626700000,Consumer Cyclical,Home Improvement,NYSE,1980-03-17
1996-01-31,LOW,USD,0000060667,1996-04-29,1996-04-29 00:00:00,1995,Q4,1696700000,1277200000,419500000,0.2472446514,0,299600000,0,299600000,43200000,342800000,1620000000,0,0,43200000,119900000,0.0706665881,76700000,0.0452053987,-18600000,58100000,0.0342429422,20000000,38100000,0.0224553545,0.0303,0.0303,1256000000,1256000000,https://www.sec.gov/Archives/edgar/data/60667/000006066796000005/0000060667-96-000005-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066796000005/,3556400000,1656700000,Consumer Cyclical,Home Improvement,NYSE,1980-03-17
1996-04-30,LOW,USD,0000060667,1996-06-12,1996-06-12 00:00:00,1996,Q1,1906500000,1429100000,477400000,0.2504065041,0,345200000,0,345200000,45500000,390700000,1819800000,0,0,45500000,132200000,0.0693417257,86700000,0.0454760031,-13100000,73600000,0.0386047731,26500000,47100000,0.0247049567,0.0375,0.0375,1256000000,1256000000,https://www.sec.gov/Archives/edgar/data/60667/000006066796000007/0000060667-96-000007-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066796000007/,3903100000,1707500000,Consumer Cyclical,Home Improvement,NYSE,1980-03-17
1996-07-31,LOW,USD,0000060667,1996-09-12,1996-09-12 00:00:00,1996,Q2,2459000000,1829500000,629500000,0.2559983733,0,391600000,0,391600000,48500000,440100000,2269600000,0,0,48500000,237900000,0.096746645,189400000,0.0770231802,-12000000,177400000,0.0721431476,63100000,114300000,0.0464823099,0.0875,0.085,1306286000,1344706000,https://www.sec.gov/Archives/edgar/data/60667/000006066796000010/0000060667-96-000010-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066796000010/,4031700000,2087600000,Consumer Cyclical,Home Improvement,NYSE,1980-03-17
1996-10-31,LOW,USD,0000060667,1996-12-13,1996-12-13 00:00:00,1996,Q3,2193200000,1627100000,477400000,0.2176728069,0,388400000,0,388400000,50700000,439100000,2066200000,0,0,50700000,177700000,0.0810231625,127000000,0.0579062557,-10400000,116600000,0.0531643261,41400000,75200000,0.0342877987,0.055,0.055,1367273000,1367273000,https://www.sec.gov/Archives/edgar/data/60667/000006066796000012/0000060667-96-000012-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066796000012/,4239800000,2170800000,Consumer Cyclical,Home Improvement,NYSE,1980-03-17
1997-01-31,LOW,USD,0000060667,1997-04-25,1997-04-25 00:00:00,1996,Q4,2041500000,1489100000,552400000,0.2705853539,0,329700000,0,329700000,55100000,384800000,1873900000,0,0,55100000,222700000,0.109086456,167600000,0.0820964977,-81400000,86200000,0.042223855,30500000,55700000,0.0272838599,0.0407,0.0407,1367273000,1367273000,https://www.sec.gov/Archives/edgar/data/60667/000006066797000013/0000060667-97-000013-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066797000013/,4435000000,2217500000,Consumer Cyclical,Home Improvement,NYSE,1980-03-17
1997-05-02,LOW,USD,0000060667,1997-06-13,1997-06-13 00:00:00,1997,Q1,2400800000,1777100000,623700000,0.2597884039,0,440000000,18400000,439800000,56700000,496500000,2273600000,0,0,56700000,183900000,0.0765994668,127200000,0.0529823392,-17200000,110000000,0.0458180606,39600000,70400000,0.0293235588,0.0525,0.0525,1340952000,1340952000,https://www.sec.gov/Archives/edgar/data/60667/000006066797000016/0000060667-97-000016-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066797000016/,4749300000,2288600000,Consumer Cyclical,Home Improvement,NYSE,1980-03-17
