date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,LUV,USD,0000092380,1995-05-11,1995-05-11 00:00:00,1995,Q1,621000000,406100000,214900000,0.3460547504,0,341500000,-29500000,312000000,150700000,462700000,868800000,0,0,-37300000,-210500000,-0.3389694042,-247800000,-0.3990338164,267800000,20000000,0.0322061192,8200000,11800000,0.0190016103,0.0159,0.0159,741817617,741817617,https://www.sec.gov/Archives/edgar/data/92380/000009238095000028/0000092380-95-000028-index.html,https://www.sec.gov/Archives/edgar/data/92380/,3007800000,1251600000,Industrials,"Airlines, Airports & Air Services",NYSE,1980-01-02
1995-06-30,LUV,USD,0000092380,1995-08-11,1995-08-11 00:00:00,1995,Q2,738200000,429600000,308600000,0.4180438905,0,361200000,-31200000,330000000,163300000,493300000,922900000,0,0,-38300000,-146500000,-0.1984557031,-184700000,-0.250203197,285500000,100800000,0.1365483609,41100000,59700000,0.0808723923,0.08,0.08,746250000,746250000,https://www.sec.gov/Archives/edgar/data/92380/000009238095000031/0000092380-95-000031-index.html,https://www.sec.gov/Archives/edgar/data/92380/,3192500000,1312700000,Industrials,"Airlines, Airports & Air Services",NYSE,1980-01-02
1995-09-30,LUV,USD,0000092380,1995-11-14,1995-11-14 00:00:00,1995,Q3,765000000,442700000,322300000,0.4213071895,0,372800000,-31600000,341200000,161800000,503000000,945700000,0,0,-38800000,-141900000,-0.1854901961,-180700000,-0.2362091503,294900000,114200000,0.1492810458,46500000,67700000,0.088496732,0.09,0.09,752222222,752222222,https://www.sec.gov/Archives/edgar/data/92380/000009238095000034/0000092380-95-000034-index.html,https://www.sec.gov/Archives/edgar/data/92380/,3248300000,1382100000,Industrials,"Airlines, Airports & Air Services",NYSE,1980-01-02
1995-12-31,LUV,USD,0000092380,1996-03-28,1996-03-28 00:00:00,1995,Q4,748551000,469400000,279151000,0.3729218183,0,368900000,-31000000,337900000,1091920000,1429820000,1899220000,0,0,271171000,-879498000,-1.1749339724,-1150669000,-1.5371951944,1220709000,70040000,0.093567439,26714000,43326000,0.0578798238,0.0656,0.0656,660000000,660000000,https://www.sec.gov/Archives/edgar/data/92380/000095013496000944/0000950134-96-000944-index.html,https://www.sec.gov/Archives/edgar/data/92380/,3256100000,1427318000,Industrials,"Airlines, Airports & Air Services",NYSE,1980-01-02
1996-03-31,LUV,USD,0000092380,1996-05-14,1996-05-14 00:00:00,1996,Q1,772500000,492300000,280200000,0.3627184466,0,391400000,-31800000,359600000,189400000,549000000,1041300000,0,0,-44000000,-224800000,-0.2910032362,-268800000,-0.347961165,323600000,54800000,0.0709385113,21800000,33000000,0.0427184466,0.05,0.05,660000000,660000000,https://www.sec.gov/Archives/edgar/data/92380/000009238096000005/0000092380-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/92380/,3369300000,1466300000,Industrials,"Airlines, Airports & Air Services",NYSE,1980-01-02
1996-06-30,LUV,USD,0000092380,1996-08-14,1996-08-14 00:00:00,1996,Q2,910300000,517600000,392700000,0.431396243,0,424600000,-37600000,387000000,198600000,585600000,1103200000,0,0,-46100000,-146800000,-0.1612655169,-192900000,-0.2119081621,332900000,140000000,0.153795452,54700000,85300000,0.0937053719,0.11,0.11,775454545,775454545,https://www.sec.gov/Archives/edgar/data/92380/000009238096000013/0000092380-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/92380/,3571500000,1553900000,Industrials,"Airlines, Airports & Air Services",NYSE,1980-01-02
1996-09-30,LUV,USD,0000092380,1996-11-13,1996-11-13 00:00:00,1996,Q3,891500000,547800000,343700000,0.3855300056,0,426200000,-37100000,389100000,202800000,591900000,1139700000,0,0,-46200000,-202000000,-0.2265844083,-248200000,-0.2784071789,348500000,100300000,0.1125070107,39400000,60900000,0.068311834,0.08,0.08,761250000,761250000,https://www.sec.gov/Archives/edgar/data/92380/000009238096000015/0000092380-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/92380/,3619500000,1615000000,Industrials,"Airlines, Airports & Air Services",NYSE,1980-01-02
1996-12-31,LUV,USD,0000092380,1997-07-10,1997-07-10 00:00:00,1996,Q4,831870000,549600000,282270000,0.3393198456,0,417700000,-34400000,383300000,1323935000,1707235000,2256835000,0,0,319770000,-1105195000,-1.3285669636,-1424965000,-1.7129659682,1471327000,46362000,0.0557322659,18225000,28137000,0.0338237946,0.0387,0.0387,727142857,727142857,https://www.sec.gov/Archives/edgar/data/92380/000009238097000010/0000092380-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/92380/,3723479000,1648312000,Industrials,"Airlines, Airports & Air Services",NYSE,1980-01-02
1997-03-31,LUV,USD,0000092380,1997-05-15,1997-05-15 00:00:00,1997,Q1,887100000,548000000,339100000,0.3822567918,0,439400000,-37100000,402300000,206300000,608600000,1156600000,0,0,-48400000,-221100000,-0.2492390937,-269500000,-0.3037988953,352900000,83400000,0.0940142036,32500000,50900000,0.0573779732,0.07,0.07,727142857,727142857,https://www.sec.gov/Archives/edgar/data/92380/000009238097000006/0000092380-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/92380/,3857200000,1699900000,Industrials,"Airlines, Airports & Air Services",NYSE,1980-01-02
1997-06-30,LUV,USD,0000092380,1997-08-14,1997-08-14 00:00:00,1997,Q2,956900000,531800000,425100000,0.4442470478,0,465800000,-40600000,425200000,201700000,626900000,1158700000,0,0,-47500000,-154300000,-0.1612498694,-201800000,-0.2108893301,355600000,153800000,0.1607273487,60000000,93800000,0.098024872,0.12,0.12,781666667,781666667,https://www.sec.gov/Archives/edgar/data/92380/000009238097000014/0000092380-97-000014-index.html,https://www.sec.gov/Archives/edgar/data/92380/,4036000000,1796700000,Industrials,"Airlines, Airports & Air Services",NYSE,1980-01-02
