date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,MCD,USD,0000063908,1995-05-12,1995-05-12 00:00:00,1995,Q1,2161300000,1182600000,978700000,0.4528293157,0,0,0,275400000,168800000,444200000,1626800000,0,0,168800000,703300000,0.3254060056,534500000,0.2473048628,-99400000,435100000,0.201314024,154400000,280700000,0.1298755379,0.2,0.2,1344000000,1344000000,https://www.sec.gov/Archives/edgar/data/63908/000006390895000014/0000063908-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/63908/,14213500000,7246600000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1995-06-30,MCD,USD,0000063908,1995-08-11,1995-08-11 00:00:00,1995,Q2,2467600000,1340400000,1127200000,0.4568001297,0,0,0,305400000,177100000,482500000,1822900000,0,0,177100000,821800000,0.3330361485,644700000,0.2612660075,-59800000,584900000,0.2370319339,205200000,379700000,0.1538742098,0.26,0.26,1414615385,1414615385,https://www.sec.gov/Archives/edgar/data/63908/000006390895000025/0000063908-95-000025-index.html,https://www.sec.gov/Archives/edgar/data/63908/,14657700000,7371900000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1995-09-30,MCD,USD,0000063908,1995-11-13,1995-11-13 00:00:00,1995,Q3,2580100000,1403800000,1176300000,0.4559125615,0,0,0,314100000,175900000,490000000,1893800000,0,0,175900000,862200000,0.3341730941,686300000,0.265997442,-76800000,609500000,0.2362311538,209400000,400100000,0.1550715089,0.28,0.28,1400357143,1400357143,https://www.sec.gov/Archives/edgar/data/63908/000006390895000037/0000063908-95-000037-index.html,https://www.sec.gov/Archives/edgar/data/63908/,14901700000,7533300000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1995-12-31,MCD,USD,0000063908,1996-03-28,1996-03-28 00:00:00,1995,Q4,2585500000,-304100000,2889600000,1.1176174821,0,0,0,2072300000,187200000,2259500000,1955400000,0,0,187200000,817300000,0.3161090698,630100000,0.2437052794,-90500000,539600000,0.2087023787,172800000,366800000,0.1418681106,0.26,0.26,1403333333,1403333333,https://www.sec.gov/Archives/edgar/data/63908/000006390896000016/0000063908-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/63908/,15414600000,7861300000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1996-03-31,MCD,USD,0000063908,1996-05-09,1996-05-09 00:00:00,1996,Q1,2426000000,1232600000,1193400000,0.4919208574,0,0,0,448400000,186600000,635000000,1867600000,0,0,186600000,745000000,0.3070898599,558400000,0.2301731245,-106300000,452100000,0.1863561418,150500000,301600000,0.1243198681,0.21,0.21,1403333333,1403333333,https://www.sec.gov/Archives/edgar/data/63908/000095013196002064/0000950131-96-002064-index.html,https://www.sec.gov/Archives/edgar/data/63908/,15575900000,7994000000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1996-06-30,MCD,USD,0000063908,1996-08-12,1996-08-12 00:00:00,1996,Q2,2665100000,1338100000,1327000000,0.4979175265,0,0,0,467000000,185000000,652000000,1990100000,0,0,185000000,860000000,0.3226895801,675000000,0.2532737984,-49500000,625500000,0.2347003865,205100000,420400000,0.1577426738,0.3,0.29,1378333333,1425862069,https://www.sec.gov/Archives/edgar/data/63908/000006390896000042/0000063908-96-000042-index.html,https://www.sec.gov/Archives/edgar/data/63908/,16021400000,8319100000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1996-09-30,MCD,USD,0000063908,1996-11-13,1996-11-13 00:00:00,1996,Q3,2773800000,1407000000,1366800000,0.4927536232,0,0,0,490100000,175100000,665200000,2072200000,0,0,175100000,876700000,0.3160646045,701600000,0.2529382075,-51700000,649900000,0.2342995169,209300000,440600000,0.1588434638,0.31,0.31,1421290323,1421290323,https://www.sec.gov/Archives/edgar/data/63908/000006390896000051/0000063908-96-000051-index.html,https://www.sec.gov/Archives/edgar/data/63908/,16543100000,8554400000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1996-12-31,MCD,USD,0000063908,1997-03-28,1997-03-28 00:00:00,1996,Q4,2821600000,102800000,2718800000,0.9635667706,0,0,0,1870700000,196200000,2066900000,2169700000,0,0,196200000,848100000,0.3005741423,651900000,0.2310391267,-128400000,523500000,0.1855330309,113500000,410000000,0.1453076269,0.3,0.3,1353073171,1378000000,https://www.sec.gov/Archives/edgar/data/63908/000006390897000007/0000063908-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/63908/,17386000000,8718200000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1997-03-31,MCD,USD,0000063908,1997-05-13,1997-05-13 00:00:00,1997,Q1,2617600000,1483500000,1134100000,0.4332594743,0,0,0,334000000,191900000,525900000,2009400000,0,0,191900000,800100000,0.3056616748,608200000,0.2323502445,-92500000,515700000,0.1970125306,171200000,344500000,0.1316091076,0.25,0.24,1378000000,1435416667,https://www.sec.gov/Archives/edgar/data/63908/000006390897000026/0000063908-97-000026-index.html,https://www.sec.gov/Archives/edgar/data/63908/,17257700000,8617400000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1997-06-30,MCD,USD,0000063908,1997-08-12,1997-08-12 00:00:00,1997,Q2,2832600000,1596500000,1236100000,0.4363835346,0,0,0,347200000,194700000,541900000,2138400000,0,0,194700000,888900000,0.3138106333,694200000,0.2450751959,-51100000,643100000,0.2270352326,204900000,438200000,0.1546988632,0.32,0.31,1369375000,1413548387,https://www.sec.gov/Archives/edgar/data/63908/000006390897000033/0000063908-97-000033-index.html,https://www.sec.gov/Archives/edgar/data/63908/,17562000000,8760300000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1997-09-30,MCD,USD,0000063908,1997-11-13,1997-11-13 00:00:00,1997,Q3,3006000000,1739600000,1266400000,0.4212907518,0,0,0,375500000,170400000,545900000,2285500000,0,0,170400000,890900000,0.2963739188,720500000,0.2396872921,-61400000,659100000,0.219261477,210200000,448900000,0.149334664,0.32,0.32,1402812500,1402812500,https://www.sec.gov/Archives/edgar/data/63908/000006390897000049/0000063908-97-000049-index.html,https://www.sec.gov/Archives/edgar/data/63908/,17972200000,9164500000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1997-12-31,MCD,USD,0000063908,1998-03-30,1998-03-30 00:00:00,1997,Q4,2952600000,-375000000,3327600000,1.127006706,0,0,0,2418900000,236800000,2655700000,2280700000,0,0,236800000,908700000,0.3077626499,671900000,0.2275621486,-82500000,589400000,0.1996206733,178500000,410900000,0.1391654813,0.31,0.31,1285363636,1341481481,https://www.sec.gov/Archives/edgar/data/63908/000095013198002152/0000950131-98-002152-index.html,https://www.sec.gov/Archives/edgar/data/63908/,18241500000,8851600000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1998-03-31,MCD,USD,0000063908,1998-05-14,1998-05-14 00:00:00,1998,Q1,2804900000,1615300000,1189600000,0.4241149417,0,0,0,343000000,203900000,546900000,2162200000,0,0,203900000,846600000,0.3018289422,642700000,0.2291347285,-102500000,540200000,0.1925915362,178000000,362200000,0.1291311633,0.27,0.26,1341481481,1393076923,https://www.sec.gov/Archives/edgar/data/63908/000095013198003321/0000950131-98-003321-index.html,https://www.sec.gov/Archives/edgar/data/63908/,18416200000,9122000000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1998-06-30,MCD,USD,0000063908,1998-08-14,1998-08-14 00:00:00,1998,Q2,3180800000,1793600000,1387200000,0.4361167002,0,0,0,364900000,216600000,581500000,2375100000,0,0,216600000,1022300000,0.3213971328,805700000,0.2533010563,-271900000,533800000,0.1678194165,176600000,357200000,0.1122987928,0.26,0.25,1373846154,1428800000,https://www.sec.gov/Archives/edgar/data/63908/000095013198004852/0000950131-98-004852-index.html,https://www.sec.gov/Archives/edgar/data/63908/,18849600000,8851700000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1998-09-30,MCD,USD,0000063908,1998-11-13,1998-11-13 00:00:00,1998,Q3,3215000000,1812400000,1402600000,0.4362674961,0,0,0,358500000,227800000,586300000,2398700000,0,0,227800000,1044100000,0.3247589425,816300000,0.253903577,-99000000,717300000,0.2231104199,235100000,482200000,0.1499844479,0.36,0.35,1339444444,1377714286,https://www.sec.gov/Archives/edgar/data/63908/000095013198006040/0000950131-98-006040-index.html,https://www.sec.gov/Archives/edgar/data/63908/,19221700000,8940000000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1998-12-31,MCD,USD,0000063908,1999-03-31,1999-03-31 00:00:00,1998,Q4,3220700000,-385400000,3606100000,1.1196634272,0,0,0,2612400000,232800000,2845200000,2459800000,0,0,232800000,993700000,0.3085354116,760900000,0.2362529885,-244800000,516100000,0.1602446673,167600000,348500000,0.1082062906,0.26,0.26,1357300000,1357300000,https://www.sec.gov/Archives/edgar/data/63908/000095013199001938/0000950131-99-001938-index.html,https://www.sec.gov/Archives/edgar/data/63908/,19784400000,9464700000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1999-03-31,MCD,USD,0000063908,1999-05-13,1999-05-13 00:00:00,1999,Q1,3035100000,1762700000,1272400000,0.4192283615,0,0,0,339900000,234100000,574000000,2336700000,0,0,234100000,932500000,0.3072386412,698400000,0.2301077394,-97700000,600700000,0.1979176963,198000000,402700000,0.132680966,0.3,0.29,1357300000,1409200000,https://www.sec.gov/Archives/edgar/data/63908/000095013199003060/0000950131-99-003060-index.html,https://www.sec.gov/Archives/edgar/data/63908/,19923700000,9093400000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1999-06-30,MCD,USD,0000063908,1999-08-12,1999-08-12 00:00:00,1999,Q2,3407100000,1927900000,1479200000,0.4341522116,0,0,0,365500000,237700000,603200000,2531100000,0,0,237700000,1113700000,0.3268762291,876000000,0.2571101523,-103200000,772800000,0.2268204632,254700000,518100000,0.1520648058,0.38,0.37,1355500000,1405600000,https://www.sec.gov/Archives/edgar/data/63908/000095013199004856/0000950131-99-004856-index.html,https://www.sec.gov/Archives/edgar/data/63908/000095013199004856/,19845400000,9057000000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1999-09-30,MCD,USD,0000063908,1999-11-10,1999-11-10 00:00:00,1999,Q3,3444200000,1953800000,1490400000,0.4327274839,0,0,0,368000000,248600000,616600000,2570400000,0,0,248600000,1122400000,0.3258811916,873800000,0.2537018756,-73500000,800300000,0.2323616515,259400000,540900000,0.1570466291,0.4,0.39,1354700000,1403100000,https://www.sec.gov/Archives/edgar/data/63908/000095013199006176/0000950131-99-006176-index.html,https://www.sec.gov/Archives/edgar/data/63908/000095013199006176/,20466800000,9496500000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
1999-12-31,MCD,USD,0000063908,2000-03-28,2000-03-28 00:00:00,1999,Q4,3372900000,-451700000,3824600000,1.1339203653,0,0,0,2822500000,235900000,3058400000,2606700000,0,0,235900000,1002100000,0.2971033828,766200000,0.2271635684,-55900000,710300000,0.2105902932,224100000,486200000,0.1441489519,0.36,0.36,1343400000,1343400000,https://www.sec.gov/Archives/edgar/data/63908/000095013100002087/0000950131-00-002087-index.html,https://www.sec.gov/Archives/edgar/data/63908/000095013100002087/,20983200000,9639100000,Consumer Cyclical,Restaurants,NYSE,1965-04-21
