date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-01-31,MDT,USD,0001613103,1995-01-31,1995-01-31 00:00:00,1995,Q3,413700000,104700000,309000000,0.7469180566,46800000,0,0,132200000,130000000,309000000,413700000,0,0,24500000,130000000,0.3142373701,105500000,0.2550157119,1900000,107400000,0.2596084119,36000000,71400000,0.1725888325,0.08,0.08,892500000,892500000,,,1716900000,1202600000,Healthcare,Medical - Devices,NYSE,1973-05-02
1995-04-30,MDT,USD,0001613103,1995-04-30,1995-04-30 00:00:00,1995,Q4,516700000,127700000,389000000,0.7528546545,55500000,0,0,176100000,157400000,389000000,516700000,0,0,29100000,157400000,0.304625508,128300000,0.2483065609,3700000,132000000,0.2554673892,44200000,87800000,0.169924521,0.0984,0.0984,892500000,892500000,,,1946700000,1335000000,Healthcare,Medical - Devices,NYSE,1973-05-02
1995-07-31,MDT,USD,0001613103,1995-07-31,1995-07-31 00:00:00,1996,Q1,523800000,114200000,409600000,0.7819778541,51800000,0,0,173900000,183900000,409600000,523800000,0,0,36100000,183900000,0.3510882016,147800000,0.2821687667,4400000,152200000,0.2905689194,52500000,99700000,0.1903398244,0.11,0.11,906364000,906364000,,,2027900000,1426300000,Healthcare,Medical - Devices,NYSE,1973-05-02
1995-10-31,MDT,USD,0001613103,1995-10-31,1995-10-31 00:00:00,1996,Q2,518600000,115800000,402800000,0.7767065175,54200000,0,0,164700000,183900000,402800000,518600000,0,0,29400000,183900000,0.3546085615,154500000,0.2979174701,5200000,159700000,0.3079444659,55100000,104600000,0.2016968762,0.12,0.12,871667000,871667000,,,2074800000,1508600000,Healthcare,Medical - Devices,NYSE,1973-05-02
1996-01-31,MDT,USD,0001613103,1996-01-31,1996-01-31 00:00:00,1996,Q3,529200000,117100000,412100000,0.7787226002,61200000,0,0,163000000,187900000,412100000,529200000,0,0,26100000,187900000,0.3550642479,161800000,0.30574452,4600000,166400000,0.3144368859,57400000,109000000,0.2059712774,0.12,0.12,908333000,908333000,,,2230300000,1655600000,Healthcare,Medical - Devices,NYSE,1973-05-02
1996-04-30,MDT,USD,0001613103,1996-04-30,1996-04-30 00:00:00,1996,Q4,596100000,129700000,466400000,0.7824190572,68800000,0,0,192700000,204900000,466400000,596100000,0,0,20200000,204900000,0.3437342728,184700000,0.3098473411,6800000,191500000,0.321254823,66100000,125400000,0.210367388,0.14,0.14,908333000,908333000,,,2503300000,1789300000,Healthcare,Medical - Devices,NYSE,1973-05-02
1996-07-31,MDT,USD,0001613103,1996-07-31,1996-07-31 00:00:00,1997,Q1,600900000,116800000,484100000,0.805624896,65700000,0,0,191700000,226700000,484100000,600900000,0,0,38800000,226700000,0.3772674322,187900000,0.3126976202,6600000,194500000,0.3236811449,67100000,127400000,0.2120153104,0.14,0.13,910000000,980000000,,,2568200000,1919000000,Healthcare,Medical - Devices,NYSE,1973-05-02
1996-10-31,MDT,USD,0001613103,1996-10-31,1996-10-31 00:00:00,1997,Q2,598200000,119500000,478700000,0.8002340354,68300000,0,0,189000000,221400000,478700000,598200000,0,0,31600000,221400000,0.370110331,189800000,0.3172851889,6100000,195900000,0.3274824473,67600000,128300000,0.2144767636,0.14,0.13,916429000,986923000,,,2672500000,2019700000,Healthcare,Medical - Devices,NYSE,1973-05-02
1997-01-31,MDT,USD,0001613103,1997-01-31,1997-01-31 00:00:00,1997,Q3,598700000,124300000,474400000,0.7923834976,69500000,0,0,188500000,216400000,474400000,598700000,0,0,28000000,216400000,0.3614498079,188400000,0.3146818106,8100000,196500000,0.3282111241,67800000,128700000,0.2149657591,0.14,0.13,919286000,990000000,,,2695200000,2033200000,Healthcare,Medical - Devices,NYSE,1973-05-02
1997-04-30,MDT,USD,0001613103,1997-04-30,1997-04-30 00:00:00,1997,Q4,640400000,132700000,507700000,0.7927857589,76700000,0,0,194100000,236900000,507700000,640400000,0,0,18500000,236900000,0.3699250468,218400000,0.341036852,3800000,222200000,0.3469706433,76700000,145500000,0.2272017489,0.16,0.16,919286000,919286000,,,2409200000,1746200000,Healthcare,Medical - Devices,NYSE,1973-05-02
1997-07-31,MDT,USD,0001613103,1997-07-31,1997-07-31 00:00:00,1998,Q1,646300000,126200000,520100000,0.8047346434,70700000,0,0,194900000,254500000,520100000,646300000,0,0,34000000,254500000,0.3937799783,220500000,0.34117283,3200000,223700000,0.346124091,77200000,146500000,0.2266749188,0.16,0.16,915625000,915625000,,,2515700000,1840800000,Healthcare,Medical - Devices,NYSE,1973-05-02
1997-10-31,MDT,USD,0001613103,1997-10-31,1997-10-31 00:00:00,1998,Q2,642100000,151900000,534300000,0.832113378,70700000,0,0,209700000,248400000,534300000,686200000,0,0,30100000,249900000,0.3891917147,218300000,0.3399781965,2900000,221200000,0.344494627,75600000,143500000,0.2234854384,0.16,0.15,905625000,966000000,,,2609300000,1941800000,Healthcare,Medical - Devices,NYSE,1973-05-02
1998-01-31,MDT,USD,0001613103,1998-01-31,1998-01-31 00:00:00,1998,Q3,631400000,192000000,614700000,0.9735508394,74300000,0,0,249300000,272300000,614700000,806700000,0,0,46800000,288300000,0.4566043712,241500000,0.3824833703,-188100000,53400000,0.0845739626,20100000,33300000,0.052739943,0.03,0.03,1110000000,1110000000,,,2659300000,1891800000,Healthcare,Medical - Devices,NYSE,1973-05-02
1998-04-30,MDT,USD,0001613103,1998-04-30,1998-04-30 00:00:00,1998,Q4,685000000,137900000,547100000,0.7986861314,81500000,0,0,181900000,283700000,547100000,685000000,0,0,42700000,283700000,0.4141605839,241000000,0.3518248175,3400000,244400000,0.3567883212,84300000,160100000,0.2337226277,0.14,0.14,1146350000,1159800000,,,2774700000,2044200000,Healthcare,Medical - Devices,NYSE,1973-05-02
1998-07-31,MDT,USD,0001613103,1998-07-31,1998-07-31 00:00:00,1999,Q1,653200000,207000000,784700000,1.2013165952,74600000,0,0,99900000,395100000,784700000,991700000,0,0,35900000,395100000,0.6048683405,353600000,0.5413349663,-1600000,352000000,0.5388854868,123500000,228500000,0.349816289,0.2,0.2,1142500000,1142500000,,,2792700000,2072900000,Healthcare,Medical - Devices,NYSE,1973-05-02
1998-10-31,MDT,USD,0001613103,1998-10-31,1998-10-31 00:00:00,1999,Q2,728400000,210100000,774400000,1.0631521142,80800000,0,0,296400000,371700000,774400000,984500000,0,0,44000000,371700000,0.5102965404,322200000,0.442339374,-110800000,211400000,0.290225151,94400000,117000000,0.1606260297,0.1,0.1,1170000000,1170000000,,,3834600000,2910100000,Healthcare,Medical - Devices,NYSE,1973-05-02
