date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,MMM,USD,0000066740,1995-05-08,1995-05-08 00:00:00,1995,Q1,4087000000,2419000000,1668000000,0.4081233178,0,0,0,1022000000,0,1022000000,3441000000,0,0,273000000,919000000,0.22485931,646000000,0.1580621483,-38000000,607000000,0.1485196966,231000000,376000000,0.0919990213,0.45,0.44,839622000,849668000,https://www.sec.gov/Archives/edgar/data/66740/000006674095000011/0000066740-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/66740/0000066740-95-000011.txt,14203000000,7126000000,Industrials,Conglomerates,NYSE,1946-01-14
1995-06-30,MMM,USD,0000066740,1995-08-02,1995-08-02 00:00:00,1995,Q2,4135000000,2492000000,1643000000,0.3973397823,0,0,0,1054000000,0,1054000000,3546000000,0,0,281000000,870000000,0.2103990326,589000000,0.1424425635,-23000000,565000000,0.1366384522,212000000,353000000,0.0853688029,0.42,0.42,840354000,850234000,https://www.sec.gov/Archives/edgar/data/66740/000006674095000015/0000066740-95-000015-index.html,https://www.sec.gov/Archives/edgar/data/66740/0000066740-95-000015.txt,14751000000,7294000000,Industrials,Conglomerates,NYSE,1946-01-14
1995-09-30,MMM,USD,0000066740,1995-11-13,1995-11-13 00:00:00,1995,Q3,4069000000,2474000000,1595000000,0.3919882035,0,0,0,1009000000,0,1009000000,3483000000,0,0,273000000,859000000,0.2111083804,586000000,0.1440157287,-37000000,547000000,0.1344310641,203000000,344000000,0.0845416564,0.41,0.41,839846000,847662000,https://www.sec.gov/Archives/edgar/data/66740/000006674095000017/0000066740-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/66740/0000066740-95-000017.txt,14525000000,7268000000,Industrials,Conglomerates,NYSE,1946-01-14
1995-12-31,MMM,USD,0000066740,1996-03-11,1996-03-11 00:00:00,1995,Q4,1169000000,335000000,834000000,0.7134302823,0,0,0,355000000,0,355000000,690000000,0,0,32000000,432000000,0.369546621,400000000,0.3421727973,-28000000,372000000,0.3182207015,139000000,-97000000,-0.0829769033,-0.12,-0.12,837090000,837090000,https://www.sec.gov/Archives/edgar/data/66740/000006674096000005/0000066740-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/66740/0000066740-96-000005.txt,14183000000,6884000000,Industrials,Conglomerates,NYSE,1946-01-14
1996-03-31,MMM,USD,0000066740,1996-05-09,1996-05-09 00:00:00,1996,Q1,3468000000,1990000000,1478000000,0.4261822376,0,0,0,882000000,0,882000000,2872000000,0,0,217000000,813000000,0.2344290657,596000000,0.1718569781,-16000000,580000000,0.1672433679,218000000,362000000,0.1043829296,0.43,0.43,837090000,849256000,https://www.sec.gov/Archives/edgar/data/66740/000006674096000010/0000066740-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/66740/0000066740-96-000010.txt,14123000000,6973000000,Industrials,Conglomerates,NYSE,1946-01-14
1996-06-30,MMM,USD,0000066740,1996-07-29,1996-07-29 00:00:00,1996,Q2,3522000000,1986000000,1536000000,0.4361158433,0,0,0,908000000,0,908000000,2894000000,0,0,223000000,851000000,0.2416240772,628000000,0.1783077797,-16000000,612000000,0.1737649063,231000000,381000000,0.1081771721,0.45,0.45,837716000,851150000,https://www.sec.gov/Archives/edgar/data/66740/000006674096000012/0000066740-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/66740/0000066740-96-000012.txt,13211000000,6095000000,Industrials,Conglomerates,NYSE,1946-01-14
1996-09-30,MMM,USD,0000066740,1996-10-25,1996-10-25 00:00:00,1996,Q3,3623000000,2069000000,1554000000,0.4289263042,0,0,0,916000000,0,916000000,2985000000,0,0,219000000,857000000,0.2365443003,638000000,0.1760971571,-19000000,619000000,0.1708528843,221000000,398000000,0.1098537124,0.48,0.47,836658000,852088000,https://www.sec.gov/Archives/edgar/data/66740/000006674096000014/0000066740-96-000014-index.html,https://www.sec.gov/Archives/edgar/data/66740/0000066740-96-000014.txt,13689000000,6295000000,Industrials,Conglomerates,NYSE,1946-01-14
1996-12-31,MMM,USD,0000066740,1997-03-11,1997-03-11 00:00:00,1996,Q4,3623000000,2054000000,1569000000,0.4330665195,0,0,0,940000000,0,940000000,2994000000,0,0,224000000,853000000,0.2354402429,629000000,0.1736130279,-38000000,591000000,0.1631244825,216000000,385000000,0.1062655258,0.46,0.46,833212000,833212000,https://www.sec.gov/Archives/edgar/data/66740/000006674097000003/0000066740-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/66740/0000066740-97-000003.txt,13364000000,6284000000,Industrials,Conglomerates,NYSE,1946-01-14
1997-03-31,MMM,USD,0000066740,1997-04-22,1997-04-22 00:00:00,1997,Q1,3714000000,2089000000,1625000000,0.4375336564,0,0,0,937000000,0,937000000,3026000000,0,0,217000000,905000000,0.2436725902,688000000,0.1852450188,-11000000,677000000,0.1822832526,244000000,410000000,0.1103931072,0.49,0.48,833212000,846154000,https://www.sec.gov/Archives/edgar/data/66740/000006674097000006/0000066740-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/66740/0000066740-97-000006.txt,13296000000,6236000000,Industrials,Conglomerates,NYSE,1946-01-14
1997-06-30,MMM,USD,0000066740,1997-08-13,1997-08-13 00:00:00,1997,Q2,3817000000,2156000000,1661000000,0.4351585014,0,0,0,972000000,0,972000000,3128000000,0,0,217000000,906000000,0.2373591826,689000000,0.1805082526,-9000000,680000000,0.1781503799,242000000,418000000,0.1095100865,0.5,0.5,831092000,843880000,https://www.sec.gov/Archives/edgar/data/66740/000006674097000015/0000066740-97-000015-index.html,https://www.sec.gov/Archives/edgar/data/66740/0000066740-97-000015.txt,13594000000,6349000000,Industrials,Conglomerates,NYSE,1946-01-14
