date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,MO,USD,0000764180,1995-05-09,1995-05-09 00:00:00,1995,Q1,13300000000,6401000000,6899000000,0.5187218045,0,0,0,3673000000,578000000,4251000000,10652000000,0,0,578000000,3226000000,0.242556391,2648000000,0.1990977444,-318000000,2330000000,0.1751879699,967000000,1335000000,0.1003759398,0.52,0.52,2550000000,2550000000,https://www.sec.gov/Archives/edgar/data/764180/000095013095000911/0000950130-95-000911-index.html,https://www.sec.gov/Archives/edgar/data/764180/,53487000000,13410000000,Consumer Defensive,Tobacco,NYSE,1985-07-01
1995-06-30,MO,USD,0000764180,1995-08-14,1995-08-14 00:00:00,1995,Q2,13763000000,6667000000,7096000000,0.5155852648,0,0,0,3949000000,428000000,4377000000,11044000000,0,0,278000000,3147000000,0.2286565429,2719000000,0.1975586718,-308000000,2411000000,0.17517983,1001000000,1410000000,0.1024485941,0.56,0.56,2532000000,2532000000,https://www.sec.gov/Archives/edgar/data/764180/000095013095001592/0000950130-95-001592-index.html,https://www.sec.gov/Archives/edgar/data/764180/,53263000000,13880000000,Consumer Defensive,Tobacco,NYSE,1985-07-01
1995-09-30,MO,USD,0000764180,1995-11-14,1995-11-14 00:00:00,1995,Q3,13329000000,6287000000,7042000000,0.5283217046,0,0,0,3876000000,427000000,4303000000,10590000000,0,0,427000000,3166000000,0.2375271963,2739000000,0.2054917848,-290000000,2449000000,0.1837347138,1016000000,1433000000,0.1075099407,0.57,0.57,2517000000,2517000000,https://www.sec.gov/Archives/edgar/data/764180/000095012395003363/0000950123-95-003363-index.html,https://www.sec.gov/Archives/edgar/data/764180/,53690000000,13898000000,Consumer Defensive,Tobacco,NYSE,1985-07-01
1995-12-31,MO,USD,0000764180,1996-03-28,1996-03-28 00:00:00,1995,Q4,12747000000,6100000000,6647000000,0.5214560289,0,0,0,3839000000,388000000,4227000000,10327000000,0,0,388000000,2808000000,0.2202871264,2420000000,0.1898485918,-263000000,2157000000,0.1692162862,885000000,1272000000,0.0997881855,0.51,0.51,2490000000,2490000000,https://www.sec.gov/Archives/edgar/data/764180/000095014696000483/0000950146-96-000483-index.html,https://www.sec.gov/Archives/edgar/data/764180/,53811000000,13985000000,Consumer Defensive,Tobacco,NYSE,1985-07-01
1996-03-31,MO,USD,0000764180,1996-05-15,1996-05-15 00:00:00,1996,Q1,13734000000,6471000000,7263000000,0.5288335518,0,0,0,3913000000,421000000,4334000000,10805000000,0,0,421000000,3350000000,0.243920198,2929000000,0.2132663463,-277000000,2652000000,0.1930974225,1087000000,1565000000,0.1139507791,0.63,0.63,2490000000,2490000000,https://www.sec.gov/Archives/edgar/data/764180/000095012396002426/0000950123-96-002426-index.html,https://www.sec.gov/Archives/edgar/data/764180/,54752000000,14170000000,Consumer Defensive,Tobacco,NYSE,1985-07-01
1996-06-30,MO,USD,0000764180,1996-08-14,1996-08-14 00:00:00,1996,Q2,13760000000,6394000000,7366000000,0.5353197674,0,0,0,3940000000,412000000,4352000000,10746000000,0,0,412000000,3426000000,0.2489825581,3014000000,0.2190406977,-266000000,2748000000,0.1997093023,1127000000,1621000000,0.1178052326,0.66,0.66,2469000000,2469000000,https://www.sec.gov/Archives/edgar/data/764180/000095012396004405/0000950123-96-004405-index.html,https://www.sec.gov/Archives/edgar/data/764180/,55026000000,14223000000,Consumer Defensive,Tobacco,NYSE,1985-07-01
1996-09-30,MO,USD,0000764180,1996-11-14,1996-11-14 00:00:00,1996,Q3,13688000000,6320000000,7368000000,0.5382817066,0,0,0,3871000000,426000000,4297000000,10617000000,0,0,426000000,3497000000,0.2554792519,3071000000,0.2243571011,-281000000,2790000000,0.2038281707,1144000000,1646000000,0.120251315,0.67,0.67,2454000000,2454000000,https://www.sec.gov/Archives/edgar/data/764180/000095010996007546/0000950109-96-007546-index.html,https://www.sec.gov/Archives/edgar/data/764180/,54721000000,14375000000,Consumer Defensive,Tobacco,NYSE,1985-07-01
1996-12-31,MO,USD,0000764180,1997-03-11,1997-03-11 00:00:00,1996,Q4,13371000000,6278000000,7093000000,0.5304764042,0,0,0,3906000000,432000000,4338000000,10616000000,0,0,432000000,3187000000,0.2383516566,2755000000,0.2060429287,-262000000,2493000000,0.1864482836,1022000000,1471000000,0.1100142099,0.61,0.61,2429000000,2429000000,https://www.sec.gov/Archives/edgar/data/764180/000091205797008419/0000912057-97-008419-index.html,https://www.sec.gov/Archives/edgar/data/764180/,54871000000,14218000000,Consumer Defensive,Tobacco,NYSE,1985-07-01
1997-03-31,MO,USD,0000764180,1997-05-14,1997-05-14 00:00:00,1997,Q1,14093000000,6436000000,7657000000,0.5433193784,0,0,0,3961000000,430000000,4391000000,10827000000,0,0,430000000,3696000000,0.2622578585,3266000000,0.231746257,-287000000,2979000000,0.2113815369,1206000000,1773000000,0.1258071383,0.73,0.73,2429000000,2429000000,https://www.sec.gov/Archives/edgar/data/764180/000100547797001397/0001005477-97-001397-index.html,https://www.sec.gov/Archives/edgar/data/764180/,54722000000,13817000000,Consumer Defensive,Tobacco,NYSE,1985-07-01
1997-06-30,MO,USD,0000764180,1997-08-14,1997-08-14 00:00:00,1997,Q2,14290000000,6412000000,7878000000,0.5512946116,0,0,0,4089000000,425000000,4514000000,10926000000,0,0,425000000,3789000000,0.2651504549,3364000000,0.2354093772,-279000000,3085000000,0.2158852344,1249000000,1836000000,0.1284814556,0.76,0.76,2426000000,2426000000,https://www.sec.gov/Archives/edgar/data/764180/000100547797002037/0001005477-97-002037-index.html,https://www.sec.gov/Archives/edgar/data/764180/,54972000000,14448000000,Consumer Defensive,Tobacco,NYSE,1985-07-01
