date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,MRO,USD,0000101778,1995-05-09,1995-05-09 00:00:00,1995,Q1,2690000000,2235000000,455000000,0.1691449814,0,0,0,73000000,259000000,332000000,2567000000,0,0,207000000,330000000,0.1226765799,123000000,0.0457249071,5000000,128000000,0.0475836431,51000000,75000000,0.0278810409,0.13,0.13,574374000,574378000,https://www.sec.gov/Archives/edgar/data/101778/000010177895000011/0000101778-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/101778/,10901000000,3268000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1995-06-30,MRO,USD,0000101778,1995-08-10,1995-08-10 00:00:00,1995,Q2,2847000000,2257000000,590000000,0.2072356867,0,0,0,79000000,260000000,339000000,2596000000,0,0,209000000,460000000,0.1615735862,251000000,0.0881629786,-78000000,173000000,0.0607657183,65000000,107000000,0.0375834211,0.19,0.19,574492000,587008000,https://www.sec.gov/Archives/edgar/data/101778/000010177895000017/0000101778-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/101778/,10844000000,3327000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1995-09-30,MRO,USD,0000101778,1995-11-09,1995-11-09 00:00:00,1995,Q3,2774000000,2224000000,550000000,0.1982696467,0,0,0,74000000,254000000,328000000,2552000000,0,0,207000000,429000000,0.1546503244,222000000,0.0800288392,-110000000,112000000,0.0403749099,15000000,92000000,0.0331651045,0.16,0.16,574816000,574846000,https://www.sec.gov/Archives/edgar/data/101778/000010177895000022/0000101778-95-000022-index.html,https://www.sec.gov/Archives/edgar/data/101778/,10749000000,3291000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1995-12-31,MRO,USD,0000101778,1996-03-06,1996-03-06 00:00:00,1995,Q4,2852000000,2444000000,408000000,0.1430575035,0,0,0,71000000,239000000,310000000,2754000000,0,0,194000000,292000000,0.1023842917,-561000000,-0.1967040673,-42000000,-603000000,-0.211430575,-238000000,-366000000,-0.1283309958,-0.64,-0.64,574920000,574920000,https://www.sec.gov/Archives/edgar/data/101778/000095012896000203/0000950128-96-000203-index.html,https://www.sec.gov/Archives/edgar/data/101778/,10109000000,2872000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1996-03-31,MRO,USD,0000101778,1996-05-14,1996-05-14 00:00:00,1996,Q1,2994000000,2463000000,531000000,0.1773547094,0,0,0,78000000,231000000,309000000,2772000000,0,0,182000000,404000000,0.1349365397,222000000,0.0741482966,98000000,320000000,0.1068804275,104000000,216000000,0.0721442886,0.38,0.37,574920000,594502000,https://www.sec.gov/Archives/edgar/data/101778/000010177896000004/0000101778-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/101778/,10091000000,3040000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1996-06-30,MRO,USD,0000101778,1996-08-13,1996-08-13 00:00:00,1996,Q2,3371000000,2765000000,606000000,0.1797686147,0,0,0,82000000,218000000,300000000,3065000000,0,0,173000000,479000000,0.142094334,306000000,0.090774251,-141000000,165000000,0.0489469,41000000,124000000,0.036784337,0.22,0.22,575208000,587164000,https://www.sec.gov/Archives/edgar/data/101778/000010177896000006/0000101778-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/101778/,9927000000,3115000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1996-09-30,MRO,USD,0000101778,1996-11-12,1996-11-12 00:00:00,1996,Q3,3438000000,2925000000,513000000,0.1492146597,0,0,0,77000000,214000000,291000000,3216000000,0,0,167000000,389000000,0.1131471786,222000000,0.0645724258,29000000,251000000,0.0730075625,87000000,164000000,0.0477021524,0.28,0.28,575216000,593280000,https://www.sec.gov/Archives/edgar/data/101778/000010177896000013/0000101778-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/101778/,10103000000,3232000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1996-12-31,MRO,USD,0000101778,1997-03-07,1997-03-07 00:00:00,1996,Q4,3761000000,3171000000,590000000,0.156873172,0,0,0,82000000,233000000,315000000,3486000000,0,0,171000000,446000000,0.1185854826,275000000,0.0731188514,-20000000,255000000,0.0678011167,88000000,160000000,0.0425418772,0.28,0.28,575974000,575974000,https://www.sec.gov/Archives/edgar/data/101778/000095013297000130/0000950132-97-000130-index.html,https://www.sec.gov/Archives/edgar/data/101778/,10151000000,3340000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1997-03-31,MRO,USD,0000101778,1997-05-12,1997-05-12 00:00:00,1997,Q1,3427000000,2791000000,636000000,0.1855850598,0,0,0,84000000,224000000,308000000,3099000000,0,0,171000000,499000000,0.1456084039,328000000,0.095710534,-163000000,165000000,0.0481470674,57000000,108000000,0.0315144441,0.19,0.19,575974000,589322000,https://www.sec.gov/Archives/edgar/data/101778/000010177897000002/0000101778-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/101778/,9975000000,3397000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1997-06-30,MRO,USD,0000101778,1997-08-12,1997-08-12 00:00:00,1997,Q2,3111000000,2520000000,591000000,0.1899710704,0,0,0,83000000,213000000,296000000,2816000000,0,0,163000000,458000000,0.1472195436,295000000,0.0948248152,-120000000,175000000,0.056252009,57000000,118000000,0.0379299261,0.21,0.21,576580000,576616000,https://www.sec.gov/Archives/edgar/data/101778/000010177897000012/0000101778-97-000012-index.html,https://www.sec.gov/Archives/edgar/data/101778/,10108000000,3469000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1997-09-30,MRO,USD,0000101778,1997-11-12,1997-11-12 00:00:00,1997,Q3,3191000000,2578000000,613000000,0.1921027891,0,0,0,96000000,213000000,309000000,2887000000,0,0,163000000,467000000,0.1463491069,304000000,0.0952679411,-8000000,296000000,0.09276089,104000000,192000000,0.0601692259,0.33,0.33,577406000,583780000,https://www.sec.gov/Archives/edgar/data/101778/000010177897000016/0000101778-97-000016-index.html,https://www.sec.gov/Archives/edgar/data/101778/,10248000000,3617000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1997-12-31,MRO,USD,0000101778,1998-03-04,1998-03-04 00:00:00,1997,Q4,3203000000,2692000000,511000000,0.1595379332,0,0,0,92000000,216000000,308000000,3000000000,0,0,167000000,370000000,0.1155167031,203000000,0.063378083,-167000000,36000000,0.011239463,-2000000,38000000,0.0118638776,0.0658,0.0658,577572000,577692000,https://www.sec.gov/Archives/edgar/data/101778/000095013298000178/0000950132-98-000178-index.html,https://www.sec.gov/Archives/edgar/data/101778/,10565000000,3618000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1998-03-31,MRO,USD,0000101778,1998-05-11,1998-05-11 00:00:00,1998,Q1,4460000000,3904000000,556000000,0.1246636771,0,0,0,131000000,322000000,453000000,4357000000,0,0,270000000,373000000,0.083632287,351000000,0.0786995516,-57000000,294000000,0.0659192825,111000000,183000000,0.0410313901,0.32,0.32,577692000,578980000,https://www.sec.gov/Archives/edgar/data/101778/000010177898000002/0000101778-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/101778/,13758000000,3746000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1998-06-30,MRO,USD,0000101778,1998-08-13,1998-08-13 00:00:00,1998,Q2,4641000000,3840000000,801000000,0.1725921138,0,0,0,120000000,265000000,385000000,4225000000,0,0,209000000,625000000,0.1346692523,414000000,0.0892049127,-168000000,246000000,0.0530058177,84000000,162000000,0.0349062702,0.28,0.28,579182000,580526000,https://www.sec.gov/Archives/edgar/data/101778/000010177898000008/0000101778-98-000008-index.html,https://www.sec.gov/Archives/edgar/data/101778/,14401000000,3893000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1998-09-30,MRO,USD,0000101778,1998-11-06,1998-11-06 00:00:00,1998,Q3,4684000000,4034000000,650000000,0.1387702818,0,0,0,132000000,268000000,400000000,4434000000,0,0,222000000,472000000,0.1007685739,249000000,0.0531596926,-167000000,82000000,0.0175064048,31000000,51000000,0.0108881298,0.09,0.085,582640000,583606000,https://www.sec.gov/Archives/edgar/data/101778/000010177898000013/0000101778-98-000013-index.html,https://www.sec.gov/Archives/edgar/data/101778/,15123000000,3937000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
1998-12-31,MRO,USD,0000101778,1999-03-08,1999-03-08 00:00:00,1998,Q4,4360000000,3860000000,500000000,0.1146788991,0,0,0,122000000,291000000,413000000,4273000000,0,0,240000000,327000000,0.075,87000000,0.0199541284,-257000000,-170000000,-0.0389908257,-84000000,-86000000,-0.0197247706,-0.14,-0.14,616918000,618058000,https://www.sec.gov/Archives/edgar/data/101778/000095013299000185/0000950132-99-000185-index.html,https://www.sec.gov/Archives/edgar/data/101778/,14544000000,4312000000,Energy,Oil & Gas Exploration & Production,NYSE,1962-01-02
