date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,MS,USD,0000895421,1995-03-31,1995-03-31 00:00:00,1995,Q1,1488300000,0,1488300000,1.0,0,483700000,147700000,631400000,856900000,1488300000,1488300000,757200000,352900000,15300000,0,0.0,0,0.0,362300000,362300000,0.2434321037,140200000,222100000,0.1492306659,0.33,0.33,673030000,673030000,,,31579500000.0,4304900000.0,Financial Services,Financial - Capital Markets,NYSE,1993-02-23
1995-06-30,MS,USD,0000895421,1995-06-30,1995-06-30 00:00:00,1995,Q2,1562500000,0,1562500000,1.0,0,489500000,159000000,648500000,914000000,1562500000,1562500000,812600000,384400000,16300000,0,0.0,0,0.0,385300000,385300000,0.246592,147800000,237500000,0.152,0.35,0.34,678571000,698529000,,,33656300000.0,4524100000.0,Financial Services,Financial - Capital Markets,NYSE,1993-02-23
1995-09-30,MS,USD,0000895421,1995-09-30,1995-09-30 00:00:00,1995,Q3,1643900000,0,1643900000,1.0,0,511500000,204400000,715900000,928000000,1643900000,1643900000,844200000,374700000,19200000,0,0.0,0,0.0,355700000,355700000,0.216375692,137000000,218700000,0.1330372894,0.31,0.31,705484000,705484000,,,32881100000.0,4724100000.0,Financial Services,Financial - Capital Markets,NYSE,1993-02-23
1995-12-31,MS,USD,0000895421,1995-12-31,1995-12-31 00:00:00,1995,Q4,1724900000,0,1724900000,1.0,0,496900000,224000000,720900000,1004000000,1724900000,1724900000,905000000,402800000,19200000,0,0.0,0,0.0,292600000,292600000,0.1696330222,114500000,178100000,0.1032523625,0.25,0.25,705484000,705484000,,,38208200000.0,4833700000.0,Financial Services,Financial - Capital Markets,NYSE,1993-02-23
1996-03-31,MS,USD,0000895421,1996-05-15,1996-05-15 00:00:00,1996,Q1,1775500000,0,1775500000,1.0,0,570300000,191900000,762200000,1013300000,1775500000,1775500000,861400000,390700000,19600000,0,0.0,0,0.0,400400000,400400000,0.2255139397,154600000,245800000,0.1384398761,0.42,0.41,585238000,599512000,https://www.sec.gov/Archives/edgar/data/895421/000095013096001773/0000950130-96-001773-index.htm,https://www.sec.gov/Archives/edgar/data/895421/0000950130-96-001773.txt,35342100000.0,4912700000.0,Financial Services,Financial - Capital Markets,NYSE,1993-02-23
1996-06-30,MS,USD,0000895421,1996-08-14,1996-08-14 00:00:00,1996,Q2,1815900000,0,1815900000,1.0,0,552900000,201400000,754300000,1061600000,1815900000,1815900000,863300000,379700000,20300000,0,0.0,0,0.0,388100000,388100000,0.2137232226,149300000,238800000,0.1315050388,0.44,0.43,542727000,555349000,https://www.sec.gov/Archives/edgar/data/895421/000095013096003191/0000950130-96-003191-index.htm,https://www.sec.gov/Archives/edgar/data/895421/0000950130-96-003191.txt,36061800000.0,4953300000.0,Financial Services,Financial - Capital Markets,NYSE,1993-02-23
1996-09-30,MS,USD,0000895421,1996-11-13,1996-11-13 00:00:00,1996,Q3,3114000000,0,3114000000,1.0,0,1170000000,247000000,1417000000,1697000000,3114000000,3114000000,3035000000,2412000000,18900000,0,0.0,0,0.0,696000000,696000000,0.2235067437,246000000,450000000,0.1445086705,0.38,0.37,628947000,645946000,https://www.sec.gov/Archives/edgar/data/895421/000095013096004373/0000950130-96-004373-index.htm,https://www.sec.gov/Archives/edgar/data/895421/0000950130-96-004373.txt,37191300000.0,4978200000.0,Financial Services,Financial - Capital Markets,NYSE,1993-02-23
1996-12-31,MS,USD,0000895421,1997-03-31,1997-03-31 00:00:00,1996,Q4,2038000000,0,2038000000,1.0,0,559200000,253600000,812800000,1225200000,2038000000,2038000000,968900000,405400000,24500000,0,0.0,0,0.0,363600000,363600000,0.1784102061,135800000,227800000,0.1117762512,0.38,0.38,1228000000,1228000000,https://www.sec.gov/Archives/edgar/data/895421/000095013097001437/0000950130-97-001437-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000095013097001437/,42413600000.0,5164400000.0,Financial Services,Financial - Capital Markets,NYSE,1993-02-23
1997-03-31,MS,USD,0000895421,1997-04-30,1997-04-30 00:00:00,1997,Q1,2028800000,0,2028800000,1.0,0,616300000,186700000,803000000,1225800000,2028800000,2028800000,986500000,414900000,22600000,0,0.0,0,0.0,454500000,454500000,0.2240240536,178200000,276300000,0.1361888801,0.47,0.46,587872000,600652000,https://www.sec.gov/Archives/edgar/data/895421/000095013097002042/0000950130-97-002042-index.htm,https://www.sec.gov/Archives/edgar/data/895421/0000950130-97-002042.txt,42260000000.0,5460300000.0,Financial Services,Financial - Capital Markets,NYSE,1993-02-23
1997-05-31,MS,USD,0000895421,1997-07-15,1997-07-15 00:00:00,1997,Q2,3898000000,0,3898000000,1.0,0,1505000000,274000000,1779000000,2119000000,3898000000,3898000000,3197000000,2478000000,0,0,0.0,0,0.0,883000000,883000000,0.2265264238,356000000,527000000,0.1351975372,0.43,0.42,1183721000,1211905000,https://www.sec.gov/Archives/edgar/data/895421/000095013097003182/0000950130-97-003182-index.htm,https://www.sec.gov/Archives/edgar/data/895421/0000950130-97-003182.txt,269984000000.0,13155000000.0,Financial Services,Financial - Capital Markets,NYSE,1993-02-23
