date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,MSFT,USD,0000789019,1995-05-12,1995-05-12 00:00:00,1995,Q3,1587000000,165000000,1422000000,0.8960302457,219000000,0,0,584000000,70000000,873000000,1038000000,0,0,70000000,619000000,0.3900441084,549000000,0.3459357278,43000000,592000000,0.3730308759,196000000,396000000,0.2495274102,0.04,0.04,9900000000,9900000000,https://www.sec.gov/Archives/edgar/data/789019/000089102095000161/0000891020-95-000161-index.html,https://www.sec.gov/Archives/edgar/data/789019/,6592000000,4930000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1995-06-30,MSFT,USD,0000789019,1995-09-25,1995-09-25 00:00:00,1995,Q4,1621000000,168000000,1453000000,0.8963602714,264000000,0,0,591000000,66000000,921000000,1089000000,0,0,66000000,598000000,0.3689080814,532000000,0.3281924738,15000000,547000000,0.337446021,179000000,368000000,0.2270203578,0.035,0.035,10537090909,10537090909,https://www.sec.gov/Archives/edgar/data/789019/000089102095000433/0000891020-95-000433-index.html,https://www.sec.gov/Archives/edgar/data/789019/,7210000000,5333000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1995-09-30,MSFT,USD,0000789019,1995-11-14,1995-11-14 00:00:00,1996,Q1,2016000000,253000000,1763000000,0.8745039683,302000000,0,0,684000000,69000000,1055000000,1308000000,0,0,69000000,777000000,0.3854166667,708000000,0.3511904762,62000000,770000000,0.3819444444,271000000,499000000,0.2475198413,0.05,0.05,9980000000,9980000000,https://www.sec.gov/Archives/edgar/data/789019/000089102095000534/0000891020-95-000534-index.html,https://www.sec.gov/Archives/edgar/data/789019/,8160000000,5739000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1995-12-31,MSFT,USD,0000789019,1996-02-13,1996-02-13 00:00:00,1996,Q2,2195000000,252000000,1943000000,0.8851936219,313000000,0,0,766000000,78000000,1157000000,1409000000,0,0,78000000,864000000,0.3936218679,786000000,0.3580865604,99000000,885000000,0.4031890661,310000000,575000000,0.2619589977,0.06,0.06,9583333333,9583333333,https://www.sec.gov/Archives/edgar/data/789019/000089102096000086/0000891020-96-000086-index.html,https://www.sec.gov/Archives/edgar/data/789019/,9106000000,6180000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1996-03-31,MSFT,USD,0000789019,1996-05-15,1996-05-15 00:00:00,1996,Q3,2205000000,106000000,2099000000,0.9519274376,364000000,0,0,772000000,189000000,1325000000,1431000000,0,0,189000000,963000000,0.4367346939,774000000,0.3510204082,90000000,864000000,0.3918367347,302000000,562000000,0.2548752834,0.055,0.055,10218181818,10218181818,https://www.sec.gov/Archives/edgar/data/789019/000089102096000492/0000891020-96-000492-index.html,https://www.sec.gov/Archives/edgar/data/789019/,9590000000,6595000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1996-06-30,MSFT,USD,0000789019,1996-09-27,1996-09-27 00:00:00,1996,Q4,2255000000,97000000,2158000000,0.9569844789,453000000,0,0,751000000,144000000,1348000000,1445000000,0,0,144000000,954000000,0.423059867,810000000,0.3592017738,50000000,860000000,0.3813747228,301000000,559000000,0.2478935698,0.0595,0.055,9393289689,10162209302,https://www.sec.gov/Archives/edgar/data/789019/000089102096001130/0000891020-96-001130-index.html,https://www.sec.gov/Archives/edgar/data/789019/,10093000000,6908000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1996-09-30,MSFT,USD,0000789019,1996-11-14,1996-11-14 00:00:00,1997,Q1,2295000000,88000000,2207000000,0.9616557734,432000000,0,0,711000000,100000000,1305000000,1393000000,0,0,162000000,1064000000,0.4636165577,902000000,0.3930283224,43000000,945000000,0.4117647059,331000000,614000000,0.2675381264,0.065,0.06,9446153846,10233333333,https://www.sec.gov/Archives/edgar/data/789019/000089102096001463/0000891020-96-001463-index.html,https://www.sec.gov/Archives/edgar/data/789019/,10740000000,7277000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1996-12-31,MSFT,USD,0000789019,1997-02-14,1997-02-14 00:00:00,1997,Q2,2680000000,152000000,2528000000,0.9432835821,485000000,0,0,818000000,82000000,1447000000,1599000000,0,0,144000000,1225000000,0.4570895522,1081000000,0.403358209,59000000,1140000000,0.4253731343,399000000,741000000,0.2764925373,0.075,0.075,9866666667,9866666667,https://www.sec.gov/Archives/edgar/data/789019/000089102097000207/0000891020-97-000207-index.html,https://www.sec.gov/Archives/edgar/data/789019/,12786000000,9642000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1997-03-31,MSFT,USD,0000789019,1997-05-15,1997-05-15 00:00:00,1997,Q3,3208000000,189000000,3019000000,0.941084788,492000000,0,0,851000000,46000000,1451000000,1640000000,0,0,108000000,1676000000,0.5224438903,1568000000,0.4887780549,35000000,1603000000,0.4996882793,561000000,1042000000,0.3248129676,0.11,0.1,9409090909,10350000000,https://www.sec.gov/Archives/edgar/data/789019/000089102097000879/0000891020-97-000879-index.html,https://www.sec.gov/Archives/edgar/data/789019/,12613000000,9134000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1997-06-30,MSFT,USD,0000789019,1997-09-29,1997-09-29 00:00:00,1997,Q4,3175000000,99000000,3076000000,0.9688188976,516000000,0,0,838000000,81000000,1497000000,1596000000,0,0,143000000,1722000000,0.5423622047,1579000000,0.4973228346,47000000,1626000000,0.5121259843,569000000,1057000000,0.3329133858,0.11,0.1,9543111111,10523978920,https://www.sec.gov/Archives/edgar/data/789019/000101706297001764/0001017062-97-001764-index.html,https://www.sec.gov/Archives/edgar/data/789019/,14387000000,10777000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1997-09-30,MSFT,USD,0000789019,1997-10-29,1997-10-29 00:00:00,1998,Q1,3130000000,25000000,3105000000,0.9920127796,567000000,0,0,883000000,-27000000,1678000000,1703000000,0,0,228000000,1655000000,0.5287539936,1427000000,0.4559105431,-225000000,1202000000,0.3840255591,539000000,663000000,0.2118210863,0.07,0.065,9640000000,10664000000,https://www.sec.gov/Archives/edgar/data/789019/000089843097004575/0000898430-97-004575-index.html,https://www.sec.gov/Archives/edgar/data/789019/,15366000000,11464000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1997-12-31,MSFT,USD,0000789019,1998-06-03,1998-06-03 00:00:00,1998,Q2,3585000000,44000000,3541000000,0.9877266388,627000000,0,0,982000000,14000000,1878000000,1922000000,0,0,269000000,1932000000,0.5389121339,1663000000,0.4638772664,107000000,1770000000,0.4937238494,637000000,1133000000,0.3160390516,0.12,0.11,9696000000,10672000000,https://www.sec.gov/Archives/edgar/data/789019/000103221098000581/0001032210-98-000581-index.html,https://www.sec.gov/Archives/edgar/data/789019/,16840000000,12344000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1998-03-31,MSFT,USD,0000789019,1998-05-15,1998-05-15 00:00:00,1998,Q3,3774000000,38000000,3736000000,0.9899311076,597000000,0,0,933000000,24000000,1809000000,1847000000,0,0,279000000,2206000000,0.5845257022,1927000000,0.5105988341,130000000,2057000000,0.545045045,720000000,1337000000,0.3542660307,0.14,0.13,9732000000,10740000000,https://www.sec.gov/Archives/edgar/data/789019/000103221098000519/0001032210-98-000519-index.html,https://www.sec.gov/Archives/edgar/data/789019/,19545000000,14676000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1998-06-30,MSFT,USD,0000789019,1998-09-25,1998-09-25 00:00:00,1998,Q4,3995000000,66000000,3929000000,0.9834793492,711000000,0,0,1047000000,347000000,2006000000,2072000000,0,0,248000000,2171000000,0.5434292866,1923000000,0.4813516896,165000000,2088000000,0.5226533166,731000000,1357000000,0.3396745932,0.14,0.13,9860000000,10820000000,https://www.sec.gov/Archives/edgar/data/789019/000103221098001067/0001032210-98-001067-index.html,https://www.sec.gov/Archives/edgar/data/789019/,22357000000,16627000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
1998-09-30,MSFT,USD,0000789019,1998-11-12,1998-11-12 00:00:00,1999,Q1,4193000000,470000000,3723000000,0.8879084188,611000000,0,0,811000000,179000000,1641000000,2111000000,0,0,179000000,2261000000,0.5392320534,2082000000,0.4965418555,421000000,2503000000,0.5969472931,820000000,1683000000,0.4013832578,0.17,0.16,9858823529,10812903226,https://www.sec.gov/Archives/edgar/data/789019/000103221098001218/0001032210-98-001218-index.html,https://www.sec.gov/Archives/edgar/data/789019/,25569000000,19124000000,Technology,Software - Infrastructure,NASDAQ,1986-03-13
