date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,NEE,USD,0000753308,1995-05-11,1995-05-11 00:00:00,1995,Q1,1177400000,344900000,832500000,0.7070664175,0,0,0,0,583700000,583700000,928600000,0,0,0,449100000,0.3814336674,248800000,0.2113130627,-83800000,165000000,0.14013929,65200000,99800000,0.0847630372,0.0672,0.0672,1484032000,1484032000,https://www.sec.gov/Archives/edgar/data/753308/000075330895000013/0000753308-95-000013-index.html,https://www.sec.gov/Archives/edgar/data/753308/,12599600000,4702000000,Utilities,Regulated Electric,NYSE,2014-06-19
1995-06-30,NEE,USD,0000753308,1995-08-10,1995-08-10 00:00:00,1995,Q2,1466700000,458400000,1008300000,0.6874616486,0,0,0,0,696100000,696100000,1154500000,0,0,0,575000000,0.3920365446,312200000,0.2128587987,-82500000,229700000,0.156610077,91400000,138300000,0.0942933115,0.0932,0.0932,1484032000,1484032000,https://www.sec.gov/Archives/edgar/data/753308/000075330895000026/0000753308-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/753308/,12623800000,4742100000,Utilities,Regulated Electric,NYSE,2014-06-19
1995-09-30,NEE,USD,0000753308,1995-11-08,1995-11-08 00:00:00,1995,Q3,1587000000,480900000,1106100000,0.6969754253,0,0,0,0,658200000,658200000,1139100000,0,0,0,660600000,0.4162570888,447900000,0.2822306238,-70300000,377600000,0.2379332073,137200000,240400000,0.1514807813,0.16,0.16,1476104000,1476104000,https://www.sec.gov/Archives/edgar/data/753308/000075330895000029/0000753308-95-000029-index.html,https://www.sec.gov/Archives/edgar/data/753308/,12630400000,4904300000,Utilities,Regulated Electric,NYSE,2014-06-19
1995-12-31,NEE,USD,0000753308,1996-03-12,1996-03-12 00:00:00,1995,Q4,1361400000,437500000,923900000,0.6786396357,0,0,0,0,735500000,735500000,1173000000,0,0,0,430500000,0.3162185985,188400000,0.1383869546,-78900000,109500000,0.0804319083,34800000,74700000,0.0548699868,0.0506,0.0506,1476100280,1476100280,https://www.sec.gov/Archives/edgar/data/753308/000075330896000005/0000753308-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/37634/,12459200000,4732100000,Utilities,Regulated Electric,NYSE,2014-06-19
1996-03-31,NEE,USD,0000753308,1996-05-08,1996-05-08 00:00:00,1996,Q1,1357700000,449700000,908000000,0.6687780806,0,0,0,0,684700000,684700000,1134400000,0,0,0,491000000,0.3616410105,223300000,0.1644693231,-77000000,146300000,0.1077557634,52600000,93700000,0.0690137733,0.0635,0.0635,1476100280,1476100280,https://www.sec.gov/Archives/edgar/data/753308/000075330896000009/0000753308-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/37634/,12266400000,4723000000,Utilities,Regulated Electric,NYSE,2014-06-19
1996-06-30,NEE,USD,0000753308,1996-08-08,1996-08-08 00:00:00,1996,Q2,1474100000,500200000,973900000,0.6606743097,0,0,0,0,674700000,674700000,1174900000,0,0,0,531100000,0.3602876331,299200000,0.2029713045,-82100000,217100000,0.1472763042,66800000,150300000,0.1019605183,0.1,0.1,1466824000,1466824000,https://www.sec.gov/Archives/edgar/data/753308/000075330896000023/0000753308-96-000023-index.html,https://www.sec.gov/Archives/edgar/data/37634/,12245100000,4760800000,Utilities,Regulated Electric,NYSE,2014-06-19
1996-09-30,NEE,USD,0000753308,1996-11-05,1996-11-05 00:00:00,1996,Q3,1769600000,628500000,1141100000,0.644834991,0,0,0,0,682000000,682000000,1310500000,0,0,0,716900000,0.4051198011,459100000,0.2594371609,-66900000,392200000,0.2216320072,142100000,250100000,0.1413313743,0.17,0.17,1463984000,1463984000,https://www.sec.gov/Archives/edgar/data/753308/000075330896000028/0000753308-96-000028-index.html,https://www.sec.gov/Archives/edgar/data/37634/,12381800000,4929100000,Utilities,Regulated Electric,NYSE,2014-06-19
1996-12-31,NEE,USD,0000753308,1997-03-06,1997-03-06 00:00:00,1996,Q4,1435400000,552300000,883100000,0.6152292044,0,0,0,0,694200000,694200000,1246500000,0,0,0,392000000,0.2730946078,188900000,0.1316009475,-71200000,117700000,0.0819980493,32300000,85400000,0.059495611,0.0585,0.0585,1459552000,1459552000,https://www.sec.gov/Archives/edgar/data/753308/000075330897000010/0000753308-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/37634/,12219300000,4923700000,Utilities,Regulated Electric,NYSE,2014-06-19
1997-03-31,NEE,USD,0000753308,1997-05-02,1997-05-02 00:00:00,1997,Q1,1445000000,544000000,901000000,0.6235294118,0,0,0,0,676000000,676000000,1220000000,0,0,0,493000000,0.3411764706,225000000,0.1557093426,-69000000,156000000,0.1079584775,55000000,101100000,0.0699653979,0.0693,0.0693,1459552000,1459552000,https://www.sec.gov/Archives/edgar/data/753308/000075330897000015/0000753308-97-000015-index.html,https://www.sec.gov/Archives/edgar/data/37634/,12669600000,4862400000,Utilities,Regulated Electric,NYSE,2014-06-19
1997-06-30,NEE,USD,0000753308,1997-08-01,1997-08-01 00:00:00,1997,Q2,1587000000,560000000,1027000000,0.6471329553,0,0,0,0,706000000,706000000,1266000000,0,0,0,583000000,0.3673597984,321000000,0.202268431,-74000000,247000000,0.1556395715,83000000,164400000,0.1035916824,0.11,0.11,1456744000,1456744000,https://www.sec.gov/Archives/edgar/data/753308/000075330897000031/0000753308-97-000031-index.html,https://www.sec.gov/Archives/edgar/data/37634/,12753100000,4933300000,Utilities,Regulated Electric,NYSE,2014-06-19
