date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,NEM,USD,0001164727,1995-03-31,1995-03-31 00:00:00,1995,Q1,151700000,83200000,68500000,0.4515491101,0,0,0,22400000,24700000,47100000,130300000,0,0,24700000,46100000,0.3038892551,21400000,0.1410678972,-3900000,17500000,0.1153592617,1900000,15600000,0.1028345419,0.19,0.19,82857143,82857143,,,1635800000,675200000,Basic Materials,Gold,NYSE,1980-03-17
1995-06-30,NEM,USD,0001164727,1995-06-30,1995-06-30 00:00:00,1995,Q2,145100000,89700000,55400000,0.3818056513,0,0,0,50100000,23800000,73900000,163600000,0,0,23800000,5300000,0.0365265334,-18500000,-0.1274982771,119300000,100800000,0.694693315,33000000,63800000,0.4396967609,0.74,0.74,86216216,86216216,,,1748900000,731500000,Basic Materials,Gold,NYSE,1980-03-17
1995-09-30,NEM,USD,0001164727,1995-09-30,1995-09-30 00:00:00,1995,Q3,172300000,92300000,80000000,0.4643064423,0,0,0,29800000,28000000,57800000,150100000,0,0,28000000,50200000,0.2913522925,22200000,0.1288450377,3700000,25900000,0.1503192107,600000,21300000,0.1236215902,0.25,0.25,85200000,85200000,,,1780100000,744100000,Basic Materials,Gold,NYSE,1980-03-17
1995-12-31,NEM,USD,0001164727,1995-12-31,1995-12-31 00:00:00,1995,Q4,184400000,105500000,78900000,0.4278741866,0,0,0,62400000,30300000,92700000,198200000,0,0,30300000,16500000,0.0894793926,-13800000,-0.0748373102,-600000,-14400000,-0.0780911063,-18400000,4000000,0.021691974,0.0469,0.0469,85200000,85200000,,,1773800000,742900000,Basic Materials,Gold,NYSE,1980-03-17
1996-03-31,NEM,USD,0001164727,1996-03-31,1996-03-31 00:00:00,1996,Q1,154700000,98100000,56600000,0.3658694247,0,0,0,25900000,28500000,54400000,152500000,0,0,28500000,30700000,0.1984486102,2200000,0.014221073,9500000,11700000,0.0756302521,1000000,10700000,0.069166128,0.1,0.1,107000000,107000000,,,2031100000,983800000,Basic Materials,Gold,NYSE,1980-03-17
1996-06-30,NEM,USD,0001164727,1996-06-30,1996-06-30 00:00:00,1996,Q2,181200000,113400000,67800000,0.3741721854,0,0,0,27900000,29600000,57500000,170900000,0,0,29600000,39900000,0.2201986755,10300000,0.0568432671,5000000,15300000,0.0844370861,-4200000,19500000,0.107615894,0.15,0.15,107000000,107000000,,,2059600000,996700000,Basic Materials,Gold,NYSE,1980-03-17
1996-09-30,NEM,USD,0001164727,1996-09-30,1996-09-30 00:00:00,1996,Q3,226000000,134200000,91800000,0.4061946903,23000000,0,0,31100000,10400000,64500000,198700000,0,0,33400000,124500000,0.5508849558,27300000,0.1207964602,-1300000,29800000,0.1318584071,-5600000,37600000,0.1663716814,0.24,0.24,120800000,120800000,,,2079600000,1020200000,Basic Materials,Gold,NYSE,1980-03-17
1996-12-31,NEM,USD,0001164727,1996-12-31,1996-12-31 00:00:00,1996,Q4,206500000,130400000,76100000,0.3685230024,0,0,0,35800000,33300000,69100000,199500000,0,0,33300000,40300000,0.195157385,7000000,0.0338983051,3900000,10900000,0.0527845036,-8600000,19500000,0.0944309927,0.16,0.16,120800000,120800000,,,2081100000,1024900000,Basic Materials,Gold,NYSE,1980-03-17
1997-03-31,NEM,USD,0001164727,1997-03-31,1997-03-31 00:00:00,1997,Q1,262100000,112200000,149900000,0.5719191148,22100000,0,0,29400000,40300000,91800000,204000000,0,0,40300000,130900000,0.4994276994,58100000,0.2216711179,6500000,29800000,0.1136970622,9400000,20400000,0.0778328882,0.2,0.2,99523000,99523000,,,2219800000,1033600000,Basic Materials,Gold,NYSE,1980-03-17
1997-06-30,NEM,USD,0001164727,1997-06-30,1997-06-30 00:00:00,1997,Q2,421800000,211700000,210100000,0.4981033665,26300000,0,0,181600000,66100000,274000000,485700000,0,0,86300000,2200000,0.0052157421,-63900000,-0.1514935989,-29500000,-93400000,-0.2214319583,-28800000,-64600000,-0.1531531532,-0.41,-0.41,157560976,157560976,,,3471300000,1522000000,Basic Materials,Gold,NYSE,1980-03-17
