date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-02-28,NKE,USD,0000320187,1995-04-17,1995-04-17 00:00:00,1995,Q3,1124700000,661500000,463200000,0.4118431582,0,0,0,278300000,16900000,295200000,956700000,0,0,16900000,184900000,0.1643993954,168000000,0.1493731662,-11700000,156300000,0.1389703921,61000000,95300000,0.0847337068,0.0413,0.0413,2310272000,2310272000,https://www.sec.gov/Archives/edgar/data/320187/000032018795000008/0000320187-95-000008-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-95-000008.txt,2963300000,1918600000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1995-05-31,NKE,USD,0000320187,1995-08-30,1995-08-30 00:00:00,1995,Q4,1412000000,804200000,607800000,0.4304532578,0,0,0,370300000,42200000,412500000,1216700000,0,0,42200000,237500000,0.1682011331,195300000,0.1383144476,-14700000,180600000,0.1279036827,67200000,113400000,0.0803116147,0.0496,0.0496,2286240000,2287488000,https://www.sec.gov/Archives/edgar/data/320187/000032018795000013/0000320187-95-000013-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-95-000013.txt,3142700000,1965000000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1995-08-31,NKE,USD,0000320187,1995-10-16,1995-10-16 00:00:00,1996,Q1,1614600000,947500000,667100000,0.4131673479,0,0,0,359500000,20000000,379500000,1327000000,0,0,20000000,307600000,0.1905115818,287600000,0.1781246129,-19700000,267900000,0.1659234485,103100000,164800000,0.1020686238,0.072,0.072,2287488000,2287488000,https://www.sec.gov/Archives/edgar/data/320187/000032018795000017/0000320187-95-000017-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-95-000017.txt,3323400000,2103200000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1995-11-30,NKE,USD,0000320187,1996-01-16,1996-01-16 00:00:00,1996,Q2,1443000000,854400000,588600000,0.4079002079,0,0,0,358600000,21000000,379600000,1234000000,0,0,21000000,230000000,0.1593901594,209000000,0.1448371448,-16800000,192200000,0.1331947332,74000000,118200000,0.0819126819,0.0516,0.0516,2291840000,2291840000,https://www.sec.gov/Archives/edgar/data/320187/000032018796000001/0000320187-96-000001-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-96-000001.txt,3411400000,2197900000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1996-02-29,NKE,USD,0000320187,1996-04-15,1996-04-15 00:00:00,1996,Q3,1491600000,879000000,612600000,0.4106999195,0,0,0,382700000,23400000,406100000,1285100000,0,0,23400000,229900000,0.1541297935,206500000,0.1384419415,-21500000,185000000,0.1240278895,71300000,113700000,0.0762268705,0.0496,0.0496,2294288000,2294288000,https://www.sec.gov/Archives/edgar/data/320187/000032018796000003/0000320187-96-000003-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-96-000003.txt,3642500000,2286400000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1996-05-31,NKE,USD,0000320187,1996-08-30,1996-08-30 00:00:00,1996,Q4,1921300000,1093400000,827900000,0.4309061573,0,0,0,487800000,68000000,555800000,1649200000,0,0,68000000,340100000,0.1770155624,272100000,0.1416228595,-18100000,254000000,0.1322021548,97500000,156500000,0.0814552647,0.0681,0.0679,2298064000,2304144000,https://www.sec.gov/Archives/edgar/data/320187/000032018796000014/0000320187-96-000014-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-96-000014.txt,3951600000,2431400000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1996-08-31,NKE,USD,0000320187,1996-10-15,1996-10-15 00:00:00,1997,Q1,2281900000,1335100000,946800000,0.4149173934,0,0,0,529500000,27000000,556500000,1891600000,0,0,27000000,417300000,0.1828739209,390300000,0.1710416758,-21300000,369000000,0.1617073491,142900000,226100000,0.0990840966,0.0981,0.0981,2304144000,2304144000,https://www.sec.gov/Archives/edgar/data/320187/000032018796000018/0000320187-96-000018-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-96-000018.txt,4425800000,2657200000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1996-11-30,NKE,USD,0000320187,1997-01-14,1997-01-14 00:00:00,1997,Q2,2107000000,1246400000,860600000,0.4084480304,0,0,0,530500000,31200000,561700000,1808100000,0,0,31200000,330100000,0.1566682487,298900000,0.1418604651,-10000000,288900000,0.1371143806,112000000,176900000,0.0839582345,0.0767,0.0767,2306920000,2306920000,https://www.sec.gov/Archives/edgar/data/320187/000032018797000001/0000320187-97-000001-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-97-000001.txt,4421200000,2820000000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1997-02-28,NKE,USD,0000320187,1997-04-14,1997-04-14 00:00:00,1997,Q3,2423600000,1398800000,1024800000,0.4228420531,0,0,0,577600000,36600000,614200000,2013000000,0,0,36600000,447200000,0.1845188975,410600000,0.1694173956,-23500000,387100000,0.1597210761,150000000,237100000,0.0978296749,0.1,0.1,2309840000,2309840000,https://www.sec.gov/Archives/edgar/data/320187/000032018797000003/0000320187-97-000003-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-97-000003.txt,4944500000,3014800000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1997-05-31,NKE,USD,0000320187,1997-08-29,1997-08-29 00:00:00,1997,Q4,2373900000,1354300000,1019600000,0.4295041914,0,0,0,666100000,73500000,739600000,2093900000,0,0,73500000,353500000,0.1489110746,280000000,0.117949366,-29800000,250200000,0.1053961835,94500000,155700000,0.0655882725,0.0673,0.067,2314160000,2325168000,https://www.sec.gov/Archives/edgar/data/320187/000091205797029601/0000912057-97-029601-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000912057-97-029601.txt,5361200000,3156100000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1997-08-31,NKE,USD,0000320187,1997-10-15,1997-10-15 00:00:00,1998,Q1,2766100000,1621700000,1144400000,0.4137232927,0,0,0,658900000,43800000,702700000,2324400000,0,0,43800000,485500000,0.1755178772,441700000,0.1596833086,-30100000,411600000,0.1488015618,158500000,253100000,0.0915006688,0.11,0.11,2325168000,2325168000,https://www.sec.gov/Archives/edgar/data/320187/000032018797000009/0000320187-97-000009-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-97-000009.txt,5625400000,3385800000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1997-11-30,NKE,USD,0000320187,1998-01-14,1998-01-14 00:00:00,1998,Q2,2255300000,1365200000,890100000,0.3946703321,0,0,0,593100000,44300000,637400000,2002600000,0,0,44300000,297000000,0.1316897974,252700000,0.1120471778,-23400000,229300000,0.101671618,88200000,141100000,0.0625637387,0.0606,0.0606,2325224000,2325224000,https://www.sec.gov/Archives/edgar/data/320187/000032018798000002/0000320187-98-000002-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-98-000002.txt,5383100000,3456500000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1998-02-28,NKE,USD,0000320187,1998-04-14,1998-04-14 00:00:00,1998,Q3,2224000000,1383900000,840100000,0.3777428058,0,0,0,651400000,44900000,696300000,2080200000,0,0,44900000,188700000,0.0848471223,143800000,0.0646582734,-21200000,122600000,0.0551258993,49500000,73100000,0.032868705,0.0318,0.0318,2301816000,2301816000,https://www.sec.gov/Archives/edgar/data/320187/000032018798000006/0000320187-98-000006-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-98-000006.txt,5638100000,3374900000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1998-05-31,NKE,USD,0000320187,1998-08-26,1998-08-26 00:00:00,1998,Q4,2307700000,1461200000,846500000,0.3668154439,0,0,0,720500000,100500000,821000000,2282200000,0,0,100500000,126000000,0.054599818,25500000,0.0110499632,-136000000,-110500000,-0.0478831737,-42800000,-67700000,-0.0293365689,-0.0296,-0.0296,2290400000,2290400000,https://www.sec.gov/Archives/edgar/data/320187/000032018798000018/0000320187-98-000018-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-98-000018.txt,5397400000,3261900000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1998-08-31,NKE,USD,0000320187,1998-10-15,1998-10-15 00:00:00,1999,Q1,2504800000,1505400000,999400000,0.3989939317,0,0,0,652600000,57200000,709800000,2215200000,0,0,57200000,346800000,0.138454168,289600000,0.1156180134,-18800000,270800000,0.1081124241,107000000,163800000,0.0653944427,0.0715,0.0715,2290400000,2290400000,https://www.sec.gov/Archives/edgar/data/320187/000032018798000022/0000320187-98-000022-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-98-000022.txt,5304600000,3349400000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
1998-11-30,NKE,USD,0000320187,1999-01-14,1999-01-14 00:00:00,1999,Q2,1913000000,1168000000,745000000,0.3894406691,0,0,0,531900000,61600000,593500000,1761500000,0,0,61600000,213100000,0.1113957135,151500000,0.0791949817,-37700000,113800000,0.0594877156,44900000,68900000,0.0360167277,0.0305,0.0305,2260608000,2260608000,https://www.sec.gov/Archives/edgar/data/320187/000032018799000002/0000320187-99-000002-index.htm,https://www.sec.gov/Archives/edgar/data/320187/0000320187-99-000002.txt,5249900000,3235800000,Consumer Cyclical,Apparel - Footwear & Accessories,NYSE,1980-12-02
