date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,NOC,USD,0001133421,1995-03-31,1995-03-31 00:00:00,1995,Q1,1617000000,1233000000,384000000,0.2374768089,0,0,0,201000000,66000000,267000000,1500000000,0,0,66000000,183000000,0.1131725417,117000000,0.0723562152,-29000000,88000000,0.0544217687,34000000,54000000,0.0333951763,0.55,0.55,98181818,98181818,,,6090000000,1326000000,Industrials,Aerospace & Defense,NYSE,1981-12-31
1995-06-30,NOC,USD,0001133421,1995-06-30,1995-06-30 00:00:00,1995,Q2,1759000000,1285000000,474000000,0.2694712905,0,0,0,232000000,75000000,307000000,1592000000,0,0,75000000,242000000,0.1375781694,167000000,0.094940307,-39000000,128000000,0.0727686185,49000000,79000000,0.0449118818,0.8,0.8,99371069,99371069,,,6045000000,1386000000,Industrials,Aerospace & Defense,NYSE,1981-12-31
1995-09-30,NOC,USD,0001133421,1995-09-30,1995-09-30 00:00:00,1995,Q3,1630000000,1205000000,425000000,0.2607361963,0,0,0,230000000,64000000,294000000,1499000000,0,0,64000000,195000000,0.1196319018,131000000,0.0803680982,-31000000,100000000,0.0613496933,39000000,61000000,0.0374233129,0.63,0.63,97600000,97600000,,,5802000000,1429000000,Industrials,Aerospace & Defense,NYSE,1981-12-31
1995-12-31,NOC,USD,0001133421,1995-12-31,1995-12-31 00:00:00,1995,Q4,1812000000,1316000000,496000000,0.2737306843,0,0,0,300000000,75000000,375000000,1691000000,0,0,75000000,196000000,0.1081677704,121000000,0.0667770419,-28000000,93000000,0.0513245033,35000000,58000000,0.03200883,0.59,0.59,97600000,97600000,,,5455000000,1459000000,Industrials,Aerospace & Defense,NYSE,1981-12-31
1996-03-31,NOC,USD,0001133421,1996-03-31,1996-03-31 00:00:00,1996,Q1,1603000000,1203000000,400000000,0.2495321273,0,0,0,191000000,70000000,261000000,1464000000,0,0,70000000,209000000,0.1303805365,139000000,0.0867124142,-37000000,102000000,0.0636306925,41000000,61000000,0.0380536494,0.59,0.57,104273504,106086957,,,9495000000,1505000000,Industrials,Aerospace & Defense,NYSE,1981-12-31
1996-06-30,NOC,USD,0001133421,1996-06-30,1996-06-30 00:00:00,1996,Q2,2143000000,1531000000,612000000,0.2855809613,0,0,0,304000000,100000000,404000000,1935000000,0,0,100000000,308000000,0.1437237517,208000000,0.097060196,-68000000,140000000,0.0653289781,54000000,86000000,0.040130658,0.79,0.78,108860759,110967742,,,9431000000,2065000000,Industrials,Aerospace & Defense,NYSE,1981-12-31
1996-09-30,NOC,USD,0001133421,1996-09-30,1996-09-30 00:00:00,1996,Q3,2043000000,1504000000,539000000,0.2638277044,0,0,0,272000000,102000000,374000000,1878000000,0,0,103000000,287000000,0.1404796867,165000000,0.080763583,-49000000,113000000,0.0553108174,43000000,70000000,0.0342633382,0.59,0.59,132203390,132203390,,,9513000000,2111000000,Industrials,Aerospace & Defense,NYSE,1981-12-31
1996-12-31,NOC,USD,0001133421,1996-12-31,1996-12-31 00:00:00,1996,Q4,2282000000,1559000000,723000000,0.3168273444,0,0,0,483000000,94000000,577000000,2136000000,0,0,94000000,240000000,0.1051709027,146000000,0.0639789658,-117000000,29000000,0.0127081507,12000000,17000000,0.0074496056,0.14,0.14,118644068,118644068,,,9422000000,2128000000,Industrials,Aerospace & Defense,NYSE,1981-12-31
1997-03-31,NOC,USD,0001133421,1997-03-31,1997-03-31 00:00:00,1997,Q1,1964000000,1483000000,481000000,0.2449083503,0,0,0,206000000,93000000,299000000,1782000000,0,0,93000000,275000000,0.1400203666,182000000,0.0926680244,-62000000,120000000,0.0610997963,45000000,75000000,0.0381873727,0.64,0.63,118110236,120000000,,,9578000000,2184000000,Industrials,Aerospace & Defense,NYSE,1981-12-31
1997-06-30,NOC,USD,0001133421,1997-06-30,1997-06-30 00:00:00,1997,Q2,2087000000,1526000000,561000000,0.2688068999,0,0,0,230000000,110000000,340000000,1866000000,0,0,110000000,343000000,0.1643507427,221000000,0.1058936272,-62000000,158000000,0.0757067561,58000000,100000000,0.0479156684,0.81,0.8,133333333,135849057,,,9700000000,2262000000,Industrials,Aerospace & Defense,NYSE,1981-12-31
