date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-04-01,NUE,USD,0000073309,1995-05-09,1995-05-09 00:00:00,1995,Q1,841700000,661600000,180100000,0.2139717239,0,33700000,0,33700000,40400000,74100000,735700000,0,0,40400000,146400000,0.1739337056,106000000,0.1259356065,-1200000,104800000,0.1245099204,37500000,67300000,0.0799572294,0.19,0.19,349610390,349610390,https://www.sec.gov/Archives/edgar/data/73309/000095016895000366/0000950168-95-000366-index.html,https://www.sec.gov/Archives/edgar/data/73309/,2093600000,1185100000,Basic Materials,Steel,NYSE,1980-03-17
1995-07-01,NUE,USD,0000073309,1995-08-10,1995-08-10 00:00:00,1995,Q2,880200000,692800000,187400000,0.2129061577,0,35800000,0,35800000,42300000,78100000,770900000,0,0,42300000,151600000,0.1722335833,109300000,0.1241763236,-500000,108800000,0.1236082708,38900000,69900000,0.0794137696,0.2,0.2,349500000,349500000,https://www.sec.gov/Archives/edgar/data/73309/000095016895000614/0000950168-95-000614-index.html,https://www.sec.gov/Archives/edgar/data/73309/,2152600000,1249600000,Basic Materials,Steel,NYSE,1980-03-17
1995-09-30,NUE,USD,0000073309,1995-11-09,1995-11-09 00:00:00,1995,Q3,860500000,688500000,172000000,0.1998837885,0,33500000,0,33500000,41400000,74900000,763400000,0,0,41400000,138500000,0.1609529343,97100000,0.1128413713,900000,98000000,0.1138872748,35000000,63000000,0.0732132481,0.18,0.18,350000000,350000000,https://www.sec.gov/Archives/edgar/data/73309/000095016895000979/0000950168-95-000979-index.html,https://www.sec.gov/Archives/edgar/data/73309/,2234800000,1307100000,Basic Materials,Steel,NYSE,1980-03-17
1995-12-31,NUE,USD,0000073309,1996-03-29,1996-03-29 00:00:00,1995,Q4,879600000,683400000,196200000,0.2230559345,0,27600000,0,27600000,49800000,77400000,760800000,0,0,49800000,168600000,0.1916780355,118800000,0.1350613915,1900000,120700000,0.1372214643,46400000,74300000,0.0844702137,0.21,0.21,349643145,351100000,https://www.sec.gov/Archives/edgar/data/73309/000095016896000539/0000950168-96-000539-index.html,https://www.sec.gov/Archives/edgar/data/73309/,2296100000,1382100000,Basic Materials,Steel,NYSE,1980-03-17
1996-03-30,NUE,USD,0000073309,1996-05-09,1996-05-09 00:00:00,1996,Q1,876100000,724400000,151700000,0.1731537496,0,29000000,0,29000000,42200000,71200000,795600000,0,0,42200000,122700000,0.1400525054,80500000,0.0918844881,1000000,81500000,0.0930259103,28900000,52600000,0.0600388084,0.15,0.15,350666667,350666667,https://www.sec.gov/Archives/edgar/data/73309/000095016896000742/0000950168-96-000742-index.html,https://www.sec.gov/Archives/edgar/data/73309/,2403700000,1429500000,Basic Materials,Steel,NYSE,1980-03-17
1996-06-29,NUE,USD,0000073309,1996-08-07,1996-08-07 00:00:00,1996,Q2,911100000,750600000,160500000,0.1761606849,0,31900000,0,31900000,42700000,74600000,825200000,0,0,42700000,128600000,0.1411480628,85900000,0.0942816376,-200000,85700000,0.0940621227,30500000,55200000,0.0605861047,0.16,0.16,350476190,350476190,https://www.sec.gov/Archives/edgar/data/73309/000095016896001385/0000950168-96-001385-index.html,https://www.sec.gov/Archives/edgar/data/73309/,2426000000,1477900000,Basic Materials,Steel,NYSE,1980-03-17
1996-09-28,NUE,USD,0000073309,1996-11-08,1996-11-08 00:00:00,1996,Q3,937400000,769400000,168000000,0.1792191167,0,32500000,0,32500000,45600000,78100000,847500000,0,0,45600000,135500000,0.1445487519,89900000,0.095903563,-200000,89700000,0.095690207,31800000,57900000,0.0617665884,0.17,0.17,350909091,350909091,https://www.sec.gov/Archives/edgar/data/73309/000095016896002052/0000950168-96-002052-index.html,https://www.sec.gov/Archives/edgar/data/73309/,2530400000,1529600000,Basic Materials,Steel,NYSE,1980-03-17
1996-12-31,NUE,USD,0000073309,1997-03-26,1997-03-26 00:00:00,1996,Q4,922300000,712600000,209700000,0.2273663667,0,27000000,0,27000000,51700000,78700000,791300000,0,0,51700000,182700000,0.1980917272,131000000,0.1420362138,-100000,130900000,0.1419277892,48400000,82500000,0.0894502873,0.23,0.23,351100000,351100000,https://www.sec.gov/Archives/edgar/data/73309/000095016897000699/0000950168-97-000699-index.html,https://www.sec.gov/Archives/edgar/data/73309/,2619500000,1609300000,Basic Materials,Steel,NYSE,1980-03-17
1997-04-05,NUE,USD,0000073309,1997-05-12,1997-05-12 00:00:00,1997,Q1,1010500000,821100000,189400000,0.1874319644,0,34100000,0,34100000,53000000,87100000,908200000,0,0,53000000,155300000,0.1536862939,102300000,0.1012370114,-700000,101600000,0.100544285,36600000,65000000,0.0643245918,0.19,0.19,351351351,351351351,https://www.sec.gov/Archives/edgar/data/73309/000095016897001214/0000950168-97-001214-index.html,https://www.sec.gov/Archives/edgar/data/73309/,2763000000,1666900000,Basic Materials,Steel,NYSE,1980-03-17
1997-07-05,NUE,USD,0000073309,1997-08-11,1997-08-11 00:00:00,1997,Q2,1035100000,830000000,205100000,0.1981451068,0,38100000,0,38100000,52200000,90300000,920300000,0,0,52200000,167000000,0.1613370689,114800000,0.1109071587,-800000,114000000,0.1101342865,41000000,73000000,0.070524587,0.21,0.21,351807229,351807229,https://www.sec.gov/Archives/edgar/data/73309/000095016897002141/0000950168-97-002141-index.html,https://www.sec.gov/Archives/edgar/data/73309/,2782600000,1732000000,Basic Materials,Steel,NYSE,1980-03-17
