date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,OMC,USD,0000029989,1995-05-12,1995-05-12 00:00:00,1995,Q1,459900000,-18800000,478700000,1.0408784518,0,412100000,0,412100000,18800000,430900000,412100000,0,0,18800000,66600000,0.14481409,47800000,0.1039356382,-7100000,40700000,0.0884974995,16600000,24100000,0.0524026962,0.085,0.085,283529412,283529412,https://www.sec.gov/Archives/edgar/data/29989/000089109295000053/0000891092-95-000053-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-95-000053.txt,2961600000,573100000,Communication Services,Advertising Agencies,NYSE,1980-03-17
1995-06-30,OMC,USD,0000029989,1995-08-15,1995-08-15 00:00:00,1995,Q2,526000000,-15300000,541300000,1.0290874525,0,445300000,0,445300000,15300000,460600000,445300000,0,0,15300000,96000000,0.1825095057,80700000,0.1534220532,-8700000,72000000,0.1368821293,29900000,42100000,0.0800380228,0.15,0.14,280666667,290344828,https://www.sec.gov/Archives/edgar/data/29989/000089109295000143/0000891092-95-000143-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-95-000143.txt,3136000000,595100000,Communication Services,Advertising Agencies,NYSE,1980-03-17
1995-09-30,OMC,USD,0000029989,1995-11-14,1995-11-14 00:00:00,1995,Q3,537700000,-28500000,566200000,1.0530035336,0,491900000,0,491900000,28500000,520400000,491900000,0,0,28500000,74300000,0.1381811419,45800000,0.0851776083,-6600000,39200000,0.0729031058,15500000,23700000,0.0440766227,0.08,0.08,296250000,296250000,https://www.sec.gov/Archives/edgar/data/29989/000089109295000185/0000891092-95-000185-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-95-000185.txt,3348900000,551100000,Communication Services,Advertising Agencies,NYSE,1980-03-17
1995-12-31,OMC,USD,0000029989,1996-03-27,1996-03-27 00:00:00,1995,Q4,650500000,-22200000,672700000,1.0341275942,0,562700000,0,562700000,22200000,584900000,562700000,0,0,22200000,110000000,0.1691006918,87800000,0.1349730976,-7700000,80100000,0.1231360492,32500000,47600000,0.0731744812,0.16,0.16,290476190,290476190,https://www.sec.gov/Archives/edgar/data/29989/000089109296000043/0000891092-96-000043-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-96-000043.txt,3527700000,551500000,Communication Services,Advertising Agencies,NYSE,1980-03-17
1996-03-31,OMC,USD,0000029989,1996-05-14,1996-05-14 00:00:00,1996,Q1,567000000,-20500000,587500000,1.0361552028,0,507400000,0,507400000,20500000,527900000,507400000,0,0,20500000,80100000,0.1412698413,59600000,0.1051146384,-7400000,52200000,0.0920634921,21700000,30500000,0.0537918871,0.11,0.11,290476190,290476190,https://www.sec.gov/Archives/edgar/data/29989/000089109296000087/0000891092-96-000087-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-96-000087.txt,3564100000,544700000,Communication Services,Advertising Agencies,NYSE,1980-03-17
1996-06-30,OMC,USD,0000029989,1996-08-13,1996-08-13 00:00:00,1996,Q2,666500000,-24700000,691200000,1.0370592648,0,565300000,0,565300000,24700000,590000000,565300000,0,0,24700000,125900000,0.1888972243,101200000,0.1518379595,-9800000,91400000,0.1371342836,38400000,53000000,0.07951988,0.18,0.17,294444444,311764706,https://www.sec.gov/Archives/edgar/data/29989/000089109296000151/0000891092-96-000151-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-96-000151.txt,3721100000,595100000,Communication Services,Advertising Agencies,NYSE,1980-03-17
1996-09-30,OMC,USD,0000029989,1996-11-12,1996-11-12 00:00:00,1996,Q3,631800000,-24500000,656300000,1.0387780943,0,572200000,0,572200000,24500000,596700000,572200000,0,0,24500000,84100000,0.1331117442,59600000,0.0943336499,-5200000,54400000,0.0861031972,22200000,32200000,0.0509654954,0.11,0.11,306666667,306666667,https://www.sec.gov/Archives/edgar/data/29989/000089109296000199/0000891092-96-000199-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-96-000199.txt,3558000000,734600000,Communication Services,Advertising Agencies,NYSE,1980-03-17
1996-12-31,OMC,USD,0000029989,1997-03-26,1997-03-26 00:00:00,1996,Q4,751900000,-30000000,781900000,1.0398989227,0,647200000,0,647200000,30000000,677200000,647200000,0,0,30000000,134700000,0.1791461631,104700000,0.1392472403,-3800000,100900000,0.1341933768,40700000,60200000,0.0800638383,0.19,0.19,320800000,320800000,https://www.sec.gov/Archives/edgar/data/29989/000089109297000069/0000891092-97-000069-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-97-000069.txt,4055900000,800700000,Communication Services,Advertising Agencies,NYSE,1980-03-17
1997-03-31,OMC,USD,0000029989,1997-05-13,1997-05-13 00:00:00,1997,Q1,696600000,-26000000,722600000,1.0373241459,0,622600000,0,622600000,26000000,648600000,622600000,0,0,26000000,100000000,0.1435544071,74000000,0.1062302613,-5600000,68400000,0.0981912145,28300000,40100000,0.0575653173,0.13,0.13,320800000,320800000,https://www.sec.gov/Archives/edgar/data/29989/000089109297000148/0000891092-97-000148-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-97-000148.txt,4056600000,792400000,Communication Services,Advertising Agencies,NYSE,1980-03-17
1997-06-30,OMC,USD,0000029989,1997-08-13,1997-08-13 00:00:00,1997,Q2,786300000,-29400000,815700000,1.037390309,0,663500000,0,663500000,29400000,692900000,663500000,0,0,29400000,152200000,0.1935647972,122800000,0.1561744881,-8400000,114400000,0.1454915427,48000000,66400000,0.0844461402,0.21,0.2,323902439,332000000,https://www.sec.gov/Archives/edgar/data/29989/000089109297000312/0000891092-97-000312-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-97-000312.txt,4341500000,841500000,Communication Services,Advertising Agencies,NYSE,1980-03-17
1997-09-30,OMC,USD,0000029989,1997-11-12,1997-11-12 00:00:00,1997,Q3,746800000,-29800000,776600000,1.0399035886,0,667000000,0,667000000,29800000,696800000,667000000,0,0,29800000,109600000,0.1467595072,79800000,0.1068559186,-8400000,71400000,0.0956079272,29900000,41500000,0.0555704339,0.13,0.13,319230769,319230769,https://www.sec.gov/Archives/edgar/data/29989/000089109297000441/0000891092-97-000441-index.html,https://www.sec.gov/Archives/edgar/data/29989/0000891092-97-000441.txt,4388100000,819800000,Communication Services,Advertising Agencies,NYSE,1980-03-17
