date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-02-28,ORCL,USD,0001341439,1995-02-28,1995-02-27 19:00:00,1995,Q3,722200000,159500000,562700000,0.7791470507,67400000,303300000,0,303300000,37200000,407900000,567400000,0,0,37200000,192000000,0.265854334,154800000,0.2143450568,1600000,156400000,0.2165605096,51600000,104800000,0.1451121573,0.0153,0.0153,6328929000,6328929000,,,1910400000,943000000,Technology,Software - Infrastructure,NYSE,1986-03-12
1995-05-31,ORCL,USD,0001341439,1995-05-31,1995-05-30 20:00:00,1995,Q4,1017900000,192700000,825200000,0.8106886728,80900000,429400000,0,429400000,45500000,555800000,748500000,0,0,45500000,314900000,0.3093624128,269400000,0.2646625405,1800000,271200000,0.2664308871,89500000,181700000,0.1785047647,0.0347,0.0347,5200541000,5240000000,,,2424500000,1211400000,Technology,Software - Infrastructure,NYSE,1986-03-12
1995-08-31,ORCL,USD,0001341439,1995-08-31,1995-08-30 20:00:00,1996,Q1,771803000,231509000,540294000,0.7000413318,84441000,330731000,0,330731000,50931000,415172000,646681000,0,0,50339000,175461000,0.2273391008,74191000,0.0961268614,7268000,81459000,0.1055437722,27696000,53763000,0.0696589674,0.0083,0.01,6378814000,6378814000,,,2349408000,1305902000,Technology,Software - Infrastructure,NYSE,1986-03-12
1995-11-30,ORCL,USD,0001341439,1995-11-30,1995-11-29 19:00:00,1996,Q2,967184000,255422000,711762000,0.7359116776,93272000,413878000,0,413878000,0,507150000,762572000,0,0,54508000,259120000,0.2679117934,204612000,0.2115543681,2814000,207426000,0.2144638456,70525000,136901000,0.1415459726,0.0283,0.0183,6097364000,6097364000,,,2530293000,1461696000,Technology,Software - Infrastructure,NYSE,1986-03-12
1996-02-29,ORCL,USD,0001341439,1996-02-29,1996-02-28 19:00:00,1996,Q3,1020239000,286843000,733396000,0.7188472505,92805000,420649000,0,420649000,0,513454000,800297000,0,0,54868000,274810000,0.2693584542,219942000,0.2155788987,1709000,221651000,0.2172539964,75361000,146290000,0.1433879709,0.0283,0.0183,6095264000,6095264000,,,2763032000,1591153000,Technology,Software - Infrastructure,NYSE,1986-03-12
1996-05-31,ORCL,USD,0001341439,1996-05-31,1996-05-30 20:00:00,1996,Q4,1464074000,322239000,1141835000,0.7799025186,118575000,617114000,0,617114000,0,735689000,1057928000,0,0,59779000,465925000,0.3182386956,406146000,0.2774081092,2828000,408974000,0.2793397055,142649000,266325000,0.1819067889,0.0417,0.0417,6385514000,6385514000,,,3357243000,1870449000,Technology,Software - Infrastructure,NYSE,1986-03-12
1996-08-31,ORCL,USD,0001341439,1996-08-31,1996-08-30 20:00:00,1997,Q1,1052300000,336107000,716193000,0.6805977383,117200000,430129000,0,430129000,-11000,547318000,883425000,0,0,62765000,231640000,0.2201273401,168875000,0.1604818018,7330000,176205000,0.167447496,63434000,112771000,0.1071662074,0.02,0.02,5945382000,5945382000,,,3330617000,1995853000,Technology,Software - Infrastructure,NYSE,1986-03-12
1996-11-30,ORCL,USD,0001341439,1996-11-30,1996-11-29 19:00:00,1997,Q2,1311373000,377483000,933890000,0.7121467348,135300000,524402000,0,524402000,0,659702000,1037185000,0,0,63915000,338103000,0.2578236703,274188000,0.2090846769,6275000,280463000,0.2138697381,100967000,179496000,0.1368763883,0.03,0.03,5964259000,5964259000,,,3460895000,2135936000,Technology,Software - Infrastructure,NYSE,1986-03-12
1997-02-28,ORCL,USD,0001341439,1997-02-28,1997-02-27 19:00:00,1997,Q3,1372612000,401441000,971171000,0.7075349771,138527000,535717000,0,535717000,36800000,674244000,1075685000,0,0,65747000,362674000,0.2642217903,260127000,0.1895124041,4330000,264457000,0.1926669736,95204000,169253000,0.123307242,0.03,0.03,5795029000,5939876000,,,3740414000,2067897000,Technology,Software - Infrastructure,NYSE,1986-03-12
1997-05-31,ORCL,USD,0001341439,1997-05-31,1997-05-30 20:00:00,1997,Q4,1948031000,435435000,1512596000,0.7764742964,164440000,788361000,0,788361000,0,952801000,1388236000,0,0,72346000,632141000,0.3245025362,559795000,0.2873645235,2607000,562402000,0.2887027979,202465000,359937000,0.1847696469,0.0588,0.0588,6119873000,6119873000,,,4624300000,2369712000,Technology,Software - Infrastructure,NYSE,1986-03-12
1997-08-31,ORCL,USD,0001341439,1997-08-31,1997-08-30 20:00:00,1998,Q1,1368829000,468167000,900662000,0.657979923,159700000,524965000,0,524965000,167054000,684632000,1152799000,0,0,71137000,287167000,0.209790266,48976000,0.0357794874,39974000,88950000,0.0649825508,80479000,8471000,0.0061885013,0.0017,0.0017,5760500000,5919212000,,,4597065000,2445292000,Technology,Software - Infrastructure,NYSE,1986-03-12
1997-11-30,ORCL,USD,0001341439,1997-11-30,1997-11-29 19:00:00,1998,Q2,1613727000,548631000,1065096000,0.6600224201,183217000,609873000,0,609873000,0,793090000,1341721000,0,0,84557000,356563000,0.2209562088,272006000,0.1685576309,16248000,288254000,0.1786262484,100930000,187324000,0.1160815925,0.0281,0.0281,5779359000,5932694000,,,4762717000,2668575000,Technology,Software - Infrastructure,NYSE,1986-03-12
1998-02-28,ORCL,USD,0001341439,1998-02-28,1998-02-27 19:00:00,1998,Q3,1748757000,586398000,1162359000,0.6646772536,184106000,659980000,0,659980000,0,844086000,1430484000,0,0,84941000,403214000,0.2305717718,318273000,0.1819995574,12615000,330888000,0.1892132526,115811000,215077000,0.1229884998,0.04,0.04,5849684000,5949848000,,,4749756000,2577034000,Technology,Software - Infrastructure,NYSE,1986-03-12
1998-05-31,ORCL,USD,0001341439,1998-05-31,1998-05-30 20:00:00,1998,Q4,2412553000,670411000,1742142000,0.7221155349,192153000,945044000,0,945044000,0,1137197000,1807608000,0,0,87928000,692873000,0.2871949342,604945000,0.2507488955,14782000,619727000,0.2568760147,216904000,402823000,0.1669695961,0.0702,0.0702,5734982000,5734982000,,,5819011000,2957558000,Technology,Software - Infrastructure,NYSE,1986-03-12
1998-08-31,ORCL,USD,0001341439,1998-08-31,1998-08-30 20:00:00,1999,Q1,1749110000,679290000,1069820000,0.6116367753,187623000,604360000,0,604360000,0,791983000,1471273000,0,0,81406000,359243000,0.2053861678,277837000,0.1588447839,22166000,300003000,0.1715175146,105001000,195002000,0.1114864131,0.0385,0.0285,5722906000,5818524000,,,5691463000,3081199000,Technology,Software - Infrastructure,NYSE,1986-03-12
1998-11-30,ORCL,USD,0001341439,1998-11-30,1998-11-29 19:00:00,1999,Q2,2055944000,779847000,1276097000,0.6206866529,200678000,693352000,0,693352000,0,894030000,1673877000,0,0,88858000,470925000,0.2290553634,382067000,0.1858353146,28654000,410721000,0.1997724646,136645000,274076000,0.1333090785,0.0485,0.05,5783040000,5899620000,,,5646591000,3015310000,Technology,Software - Infrastructure,NYSE,1986-03-12
1999-02-28,ORCL,USD,0001341439,1999-02-28,1999-02-27 19:00:00,1999,Q3,2078919000,792023000,1286896000,0.6190217127,209798000,670419000,0,670419000,0,880217000,1672240000,0,0,99374000,506053000,0.2434212204,406679000,0.1956204162,37656000,444335000,0.213733676,151074000,293261000,0.1410641781,0.0515,0.05,5761408000,5981844000,,,6102328000,3341649000,Technology,Software - Infrastructure,NYSE,1986-03-12
1999-05-31,ORCL,USD,0001341439,1999-05-31,1999-05-30 20:00:00,1999,Q4,2943278000,812988000,2130290000,0.7237814437,243307000,1080685000,0,1080685000,0,1323992000,2136980000,0,0,105746000,912044000,0.3098735492,806298000,0.2739455804,20722000,827020000,0.2809860299,299600000,527420000,0.1791947618,0.0915,0.0915,5747600000,5761408000,,,7259654000,3695267000,Technology,Software - Infrastructure,NYSE,1986-03-12
1999-08-31,ORCL,USD,0001341439,1999-08-31,1999-08-30 20:00:00,2000,Q1,1984517000,756750000,1227767000,0.6186729567,235941000,645963000,0,645963000,0,881904000,1638654000,0,0,95121000,440984000,0.2222122562,345863000,0.174280694,18347000,364210000,0.1835257647,127474000,236736000,0.1192914951,0.05,0.04,5721840000,5964804000,,,6579399000,3500475000,Technology,Software - Infrastructure,NYSE,1986-03-12
1999-11-30,ORCL,USD,0001341439,1999-11-30,1999-11-29 19:00:00,2000,Q2,2321883000,753170000,1568713000,0.6756210369,248160000,744488000,0,744488000,0,992648000,1745818000,0,0,96422000,672487000,0.2896300115,576065000,0.2481025099,15450000,591515000,0.254756592,207031000,384484000,0.1655914618,0.07,0.07,5717780000,6012600000,,,6376229000,3400556000,Technology,Software - Infrastructure,NYSE,1986-03-12
2000-02-29,ORCL,USD,0001341439,2000-02-29,2000-02-28 19:00:00,2000,Q3,2449418000,707261000,1742157000,0.7112534488,255552000,716884000,0,716884000,0,972436000,1679697000,0,0,101492000,871213000,0.3556816354,769721000,0.3142464863,439609000,1209330000,0.4937213656,446154000,763176000,0.311574423,0.14,0.13,5637878000,5996378000,,,7349367000,3984288000,Technology,Software - Infrastructure,NYSE,1986-03-12
2000-05-31,ORCL,USD,0001341439,2000-05-31,2000-05-30 20:00:00,2000,Q4,3374310000,725498000,2648812000,0.7849936728,270229000,990072000,0,990072000,0,1260301000,1985799000,0,0,97890000,1486401000,0.4405051699,1388511000,0.4114947945,6569868000,7958379000,2.3585204086,3045972000,4912407000,1.4558256355,0.87,0.87,5637878000,5637878000,,,13076779000,6461463000,Technology,Software - Infrastructure,NYSE,1986-03-12
2000-08-31,ORCL,USD,0001341439,2000-08-31,2000-08-30 20:00:00,2001,Q1,2261875000,673878000,1587997000,0.7020710694,251027000,678929000,0,678929000,0,929956000,1603834000,0,0,92157000,750198000,0.3316708483,658041000,0.2909272175,118202000,776243000,0.3431856314,275566000,500677000,0.2213548494,0.09,0.08,5604058000,5932870000,,,9512527000,5370898000,Technology,Software - Infrastructure,NYSE,1986-03-12
2000-11-30,ORCL,USD,0001341439,2000-11-30,2000-11-29 19:00:00,2001,Q2,2659546000,694998000,1964548000,0.7386779548,266280000,752267000,0,752267000,0,1018547000,1713545000,0,0,83886000,1029887000,0.387241657,946001000,0.3557001834,19880000,965881000,0.3631751434,343069000,622812000,0.2341798187,0.11,0.11,5584428000,5874987000,,,8923767000,4926463000,Technology,Software - Infrastructure,NYSE,1986-03-12
2001-02-28,ORCL,USD,0001341439,2001-02-28,2001-02-27 19:00:00,2001,Q3,2674367000,708614000,1965753000,0.7350348699,301455000,786175000,0,786175000,0,1087630000,1796244000,0,0,83447000,961570000,0.359550503,878123000,0.3283479792,25308000,903431000,0.3378111531,320718000,582713000,0.2178881956,0.1,0.1,5595808000,5851333000,,,9450740000,5324072000,Technology,Software - Infrastructure,NYSE,1986-03-12
2001-05-31,ORCL,USD,0001341439,2001-05-31,2001-05-30 20:00:00,2001,Q4,3263884000,718550000,2545334000,0.7798481809,319829000,930579000,0,930579000,0,1250408000,1968958000,0,0,87406000,1382332000,0.4235236301,1294926000,0.3967438794,30749000,1325675000,0.4061648637,470781000,854894000,0.2619253625,0.15,0.15,5595808000,5595808000,,,11030160000,6277771000,Technology,Software - Infrastructure,NYSE,1986-03-12
2001-08-31,ORCL,USD,0001341439,2001-08-31,2001-08-30 20:00:00,2002,Q1,2242045000,609873000,1632172000,0.7279836043,253299000,633095000,0,633095000,0,886394000,1496267000,0,0,81001000,827000000,0.3688596794,745778000,0.3326329311,39833000,785611000,0.3503993006,274964000,510647000,0.2277594785,0.09,0.09,5579811000,5780020000,,,11185940000,6219323000,Technology,Software - Infrastructure,NYSE,1986-03-12
2001-11-30,ORCL,USD,0001341439,2001-11-30,2001-11-29 19:00:00,2002,Q2,2357335000,609838000,1747497000,0.7413019363,257484000,670069000,0,670069000,0,927553000,1537391000,0,0,79893000,899838000,0.3817183387,819944000,0.3478266772,25382000,845326000,0.3585939207,295864000,549462000,0.2330860909,0.1,0.1,5528372000,5695860000,,,10285460000,5705132000,Technology,Software - Infrastructure,NYSE,1986-03-12
2002-02-28,ORCL,USD,0001341439,2002-02-28,2002-02-27 19:00:00,2002,Q3,2229343000,547467000,1681876000,0.7544267526,283231000,619906000,0,619906000,0,903137000,1450604000,0,0,72548000,852106000,0.382222924,778739000,0.3493132282,2761000,781500000,0.3505517096,273525000,507975000,0.2278586113,0.09,0.09,5492297000,5669334000,,,10374922000,5989701000,Technology,Software - Infrastructure,NYSE,1986-03-12
2002-05-31,ORCL,USD,0001341439,2002-05-31,2002-05-30 20:00:00,2002,Q4,2844277000,638822000,2205455000,0.7754009191,281986000,696930000,0,696930000,0,978916000,1617738000,0,0,129558000,1356097000,0.4767809183,1226539000,0.4312305025,-230976000,995563000,0.3500232221,339647000,655916000,0.2306090441,0.12,0.12,5471521000,5492297000,,,10800000000,6117000000,Technology,Software - Infrastructure,NYSE,1986-03-12
2002-08-31,ORCL,USD,0001341439,2002-08-31,2002-08-30 20:00:00,2003,Q1,2028000000,589000000,1439000000,0.709566075,286000000,573000000,0,573000000,0,859000000,1448000000,0,0,84000000,664000000,0.3274161736,580000000,0.2859960552,-58000000,522000000,0.2573964497,179000000,343000000,0.1691321499,0.06,0.06,5399000000,5515000000,,,10412000000,5735000000,Technology,Software - Infrastructure,NYSE,1986-03-12
2002-11-30,ORCL,USD,0001341439,2002-11-30,2002-11-29 19:00:00,2003,Q2,2309000000,599000000,1710000000,0.7405803378,295000000,0,0,621000000,0,916000000,1515000000,0,0,82000000,876000000,0.3793850152,794000000,0.343871806,6000000,800000000,0.3464703335,265000000,535000000,0.2317020355,0.1,0.1,5309000000,5420000000,,,9752000000,5298000000,Technology,Software - Infrastructure,NYSE,1986-03-12
2003-02-28,ORCL,USD,0001341439,2003-02-28,2003-02-27 19:00:00,2003,Q3,2307000000,574000000,1733000000,0.7511920243,301000000,0,0,636000000,0,937000000,1511000000,0,0,92000000,888000000,0.3849154746,796000000,0.3450368444,33000000,829000000,0.3593411357,258000000,571000000,0.2475075856,0.11,0.11,5259000000,5383000000,,,9948000000,5584000000,Technology,Software - Infrastructure,NYSE,1986-03-12
2003-05-31,ORCL,USD,0001341439,2003-05-31,2003-05-30 20:00:00,2003,Q4,2832000000,580000000,2252000000,0.7951977401,298000000,0,0,683000000,0,981000000,1561000000,0,0,69000000,1340000000,0.4731638418,1271000000,0.448799435,3000000,1274000000,0.4498587571,416000000,858000000,0.3029661017,0.16,0.16,5242000000,5259000000,,,11064000000,6320000000,Technology,Software - Infrastructure,NYSE,1986-03-12
2003-08-31,ORCL,USD,0001341439,2003-08-31,2003-08-30 20:00:00,2004,Q1,2072000000,563000000,1509000000,0.7282818533,298000000,0,0,595000000,0,893000000,1456000000,0,0,61000000,677000000,0.3267374517,616000000,0.2972972973,48000000,664000000,0.3204633205,224000000,440000000,0.2123552124,0.08,0.08,5230000000,5347000000,,,11215000000,6502000000,Technology,Software - Infrastructure,NYSE,1986-03-12
