date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,OXY,USD,0000797468,1995-05-12,1995-05-12 00:00:00,1995,Q1,2714000000,1807000000,907000000,0.334193073,0,0,0,245000000,238000000,483000000,2290000000,0,0,238000000,662000000,0.2439204127,424000000,0.1562269713,-92000000,332000000,0.1223286662,154000000,178000000,0.0655858511,0.25,0.25,632653061,632653061,https://www.sec.gov/Archives/edgar/data/797468/000095014895000226/0000950148-95-000226-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000950148-95-000226.txt,17905000000,4550000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1995-06-30,OXY,USD,0000797468,1995-08-14,1995-08-14 00:00:00,1995,Q2,2679000000,1752000000,927000000,0.3460246361,0,0,0,353000000,235000000,588000000,2340000000,0,0,235000000,574000000,0.2142590519,339000000,0.1265397536,-46000000,293000000,0.1093691676,106000000,187000000,0.069802165,0.26,0.25,643137255,669387755,https://www.sec.gov/Archives/edgar/data/797468/000095014895000536/0000950148-95-000536-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000950148-95-000536.txt,17635000000,4655000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1995-09-30,OXY,USD,0000797468,1995-11-14,1995-11-14 00:00:00,1995,Q3,2557000000,1728000000,829000000,0.3242080563,0,0,0,254000000,235000000,489000000,2217000000,0,0,235000000,575000000,0.2248728979,340000000,0.1329683223,-89000000,251000000,0.0981619085,112000000,139000000,0.0543605788,0.18,0.18,638888889,638888889,https://www.sec.gov/Archives/edgar/data/797468/000095014895000789/0000950148-95-000789-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000950148-95-000789.txt,17446000000,4699000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1995-12-31,OXY,USD,0000797468,1996-03-29,1996-03-29 00:00:00,1995,Q4,2473000000,1818000000,655000000,0.2648604933,0,0,0,292000000,245000000,537000000,2355000000,0,0,245000000,363000000,0.146785281,118000000,0.0477153255,-81000000,37000000,0.0149615851,30000000,7000000,0.0028305702,0.011,0.011,638888889,638888889,https://www.sec.gov/Archives/edgar/data/797468/000091205796005571/0000912057-96-005571-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000912057-96-005571.txt,17815000000,4630000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1996-03-31,OXY,USD,0000797468,1996-05-15,1996-05-15 00:00:00,1996,Q1,2524000000,1650000000,874000000,0.3462757528,0,0,0,250000000,224000000,474000000,2124000000,0,0,224000000,624000000,0.2472266244,400000000,0.1584786054,-92000000,308000000,0.1220285261,144000000,134000000,0.0530903328,0.055,0.055,638708000,638708000,https://www.sec.gov/Archives/edgar/data/797468/000089843096002044/0000898430-96-002044-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000898430-96-002044.txt,17469000000,4669000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1996-06-30,OXY,USD,0000797468,1996-08-13,1996-08-13 00:00:00,1996,Q2,2457000000,1638000000,819000000,0.3333333333,0,0,0,311000000,227000000,538000000,2176000000,0,0,227000000,508000000,0.2067562068,281000000,0.1143671144,47000000,328000000,0.1334961335,147000000,181000000,0.0736670737,0.2,0.2,810256410,810256410,https://www.sec.gov/Archives/edgar/data/797468/000094420996000217/0000944209-96-000217-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000944209-96-000217.txt,17492000000,4839000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1996-09-30,OXY,USD,0000797468,1996-11-13,1996-11-13 00:00:00,1996,Q3,2786000000,1926000000,860000000,0.3086862886,0,0,0,359000000,236000000,595000000,2521000000,0,30000000,236000000,501000000,0.17982771,265000000,0.0951184494,-30000000,235000000,0.084350323,41000000,194000000,0.0696338837,0.22,0.21,777272727,814285714,https://www.sec.gov/Archives/edgar/data/797468/000094420996000518/0000944209-96-000518-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000944209-96-000518.txt,17334000000,5069000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1996-12-31,OXY,USD,0000797468,1997-03-20,1997-03-20 00:00:00,1996,Q4,2792000000,1847000000,945000000,0.3384670487,0,0,0,353000000,241000000,594000000,2441000000,0,0,241000000,592000000,0.212034384,351000000,0.1257163324,-70000000,281000000,0.1006446991,122000000,159000000,0.0569484241,0.2,0.2,777272727,777272727,https://www.sec.gov/Archives/edgar/data/797468/000094420997000324/0000944209-97-000324-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000944209-97-000324.txt,14981000000,5140000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1997-03-31,OXY,USD,0000797468,1997-05-14,1997-05-14 00:00:00,1997,Q1,1917000000,1154000000,763000000,0.398017736,0,0,0,196000000,204000000,487000000,1554000000,0,0,204000000,567000000,0.2957746479,363000000,0.1893583725,-75000000,288000000,0.1502347418,161000000,179000000,0.0933750652,0.24,0.23,650000000,678260870,https://www.sec.gov/Archives/edgar/data/797468/000094420997000625/0000944209-97-000625-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000944209-97-000625.txt,17534000000,5217000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1997-06-30,OXY,USD,0000797468,1997-08-13,1997-08-13 00:00:00,1997,Q2,2717000000,1864000000,853000000,0.3139492087,0,0,0,237000000,246000000,483000000,2347000000,0,0,284000000,654000000,0.2407066618,370000000,0.1361796099,-75000000,295000000,0.1085756349,137000000,158000000,0.0581523739,0.21,0.2,658536585,692307692,https://www.sec.gov/Archives/edgar/data/797468/000094420997001058/0000944209-97-001058-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000944209-97-001058.txt,17676000000,5286000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1997-09-30,OXY,USD,0000797468,1997-11-10,1997-11-10 00:00:00,1997,Q3,2007000000,1240000000,767000000,0.3821624315,0,0,0,254000000,226000000,520000000,1720000000,0,0,226000000,513000000,0.2556053812,287000000,0.1429995017,-82000000,205000000,0.1021425012,75000000,157000000,0.0782262083,0.2,0.19,680000000,715789474,https://www.sec.gov/Archives/edgar/data/797468/000094420997001487/0000944209-97-001487-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000944209-97-001487.txt,17570000000,5357000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1997-12-31,OXY,USD,0000797468,1998-03-26,1998-03-26 00:00:00,1997,Q4,-106000000,-326000000,220000000,-2.0754716981,0,0,0,362000000,119000000,481000000,155000000,0,0,119000000,-142000000,1.3396226415,-261000000,2.4622641509,-125000000,-386000000,3.641509434,-109000000,-884100000,8.3405660377,-1.3,-1.3,680000000,680000000,https://www.sec.gov/Archives/edgar/data/797468/000095014898000611/0000950148-98-000611-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000950148-98-000611.txt,15282000000,4286000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1998-03-31,OXY,USD,0000797468,1998-05-15,1998-05-15 00:00:00,1998,Q1,1700000000,1058000000,642000000,0.3776470588,0,0,0,178000000,230000000,408000000,1466000000,0,38000000,230000000,464000000,0.2729411765,234000000,0.1376470588,61000000,295000000,0.1735294118,156000000,177000000,0.1041176471,0.13,0.12,697999184,697999184,https://www.sec.gov/Archives/edgar/data/797468/000095014898001337/0000950148-98-001337-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000950148-98-001337.txt,16628000000,4051000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1998-06-30,OXY,USD,0000797468,1998-08-14,1998-08-14 00:00:00,1998,Q2,1543000000,979000000,564000000,0.365521711,0,0,0,213000000,250000000,463000000,1442000000,0,0,221000000,322000000,0.2086843811,101000000,0.0654569021,232000000,333000000,0.2158133506,147000000,186000000,0.120544394,0.26,0.25,709803922,738775510,https://www.sec.gov/Archives/edgar/data/797468/000095014898002016/0000950148-98-002016-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000950148-98-002016.txt,15538000000,3734000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1998-09-30,OXY,USD,0000797468,1998-11-12,1998-11-12 00:00:00,1998,Q3,1661000000,1198000000,463000000,0.2787477423,0,0,0,181000000,202000000,383000000,1581000000,0,0,202000000,282000000,0.1697772426,80000000,0.0481637568,38000000,118000000,0.0710415412,80000000,38000000,0.0228777845,0.025,0.025,691842000,691842000,https://www.sec.gov/Archives/edgar/data/797468/000079746898000035/0000797468-98-000035-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000797468-98-000035.txt,15344000000,3486000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1998-12-31,OXY,USD,0000797468,1999-03-12,1999-03-12 00:00:00,1998,Q4,1692000000,1304000000,388000000,0.2293144208,0,0,0,137000000,204000000,341000000,1645000000,0,0,204000000,251000000,0.1483451537,47000000,0.0277777778,-105000000,-58000000,-0.0342789598,-20000000,-38000000,-0.0224586288,-0.0549,-0.0549,691842000,691842000,https://www.sec.gov/Archives/edgar/data/797468/000094420999000281/0000944209-99-000281-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000944209-99-000281.txt,15252000000,3363000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1999-03-31,OXY,USD,0000797468,1999-05-14,1999-05-14 00:00:00,1999,Q1,1344000000,894000000,450000000,0.3348214286,0,0,0,172000000,197000000,369000000,1263000000,0,0,197000000,278000000,0.2068452381,81000000,0.0602678571,-97000000,-16000000,-0.0119047619,41000000,-70000000,-0.0520833333,-0.1,-0.1,704761905,704761905,https://www.sec.gov/Archives/edgar/data/797468/000079746899000018/0000797468-99-000018-index.html,https://www.sec.gov/Archives/edgar/data/797468/0000797468-99-000018.txt,13988000000,3200000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1999-06-30,OXY,USD,0000797468,1999-08-13,1999-08-13 00:00:00,1999,Q2,1647000000,1113000000,534000000,0.3242258652,0,0,0,160000000,203000000,363000000,1476000000,0,0,203000000,374000000,0.2270795386,171000000,0.1038251366,-103000000,68000000,0.0412871888,56000000,9000000,0.0054644809,0.01,0.01,600000000,600000000,https://www.sec.gov/Archives/edgar/data/797468/000079746899000025/0000797468-99-000025-index.html,https://www.sec.gov/Archives/edgar/data/797468/000079746899000025/0000797468-99-000025.txt,14291000000,3108000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
1999-09-30,OXY,USD,0000797468,1999-11-10,1999-11-10 00:00:00,1999,Q3,2113000000,1413000000,700000000,0.3312825367,0,0,0,168000000,198000000,366000000,1779000000,0,0,198000000,532000000,0.2517747279,334000000,0.1580690961,-75000000,259000000,0.1225745386,133000000,126000000,0.0596308566,0.18,0.18,720000000,720000000,https://www.sec.gov/Archives/edgar/data/797468/000079746899000029/0000797468-99-000029-index.html,https://www.sec.gov/Archives/edgar/data/797468/000079746899000029/0000797468-99-000029.txt,14135000000,3216000000,Energy,Oil & Gas Exploration & Production,NYSE,1981-12-31
