date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,PCAR,USD,0000075362,1995-05-10,1995-05-10 00:00:00,1995,Q1,1183600000,978700000,204900000,0.1731159175,0,100800000,0,100800000,0,100800000,1079500000,0,20900000,-12400000,91700000,0.0774754985,104100000,0.0879520108,-20900000.0,83200000,0.0702940182,28900000,54300000,0.0458769855,0.0924,0.0924,587882900,587882900,https://www.sec.gov/Archives/edgar/data/75362/000091205795003471/0000912057-95-003471-index.html,https://www.sec.gov/Archives/edgar/data/75362/,3977100000,1207500000,Industrials,Agricultural - Machinery,NASDAQ,1980-03-17
1995-06-30,PCAR,USD,0000075362,1995-08-09,1995-08-09 00:00:00,1995,Q2,1268400000,1040300000,228100000,0.1798328603,0,97300000,0,97300000,0,97300000,1137600000,0,27300000,-8100000,122700000,0.0967360454,130800000,0.1031220435,-27300000.0,103500000,0.0815988647,38400000,65100000,0.0513245033,0.11,0.11,587340158,587340158,https://www.sec.gov/Archives/edgar/data/75362/000089102095000315/0000891020-95-000315-index.html,https://www.sec.gov/Archives/edgar/data/75362/,4092000000,1267800000,Industrials,Agricultural - Machinery,NASDAQ,1980-03-17
1995-09-30,PCAR,USD,0000075362,1995-11-07,1995-11-07 00:00:00,1995,Q3,1212100000,992300000,219800000,0.1813381734,0,95800000,0,95800000,0,95800000,1088100000,0,15000000,-8300000,115700000,0.0954541704,124000000,0.1023017903,-15000000.0,109000000,0.0899265737,40700000,68300000,0.0563484861,0.12,0.12,588201521,588201521,https://www.sec.gov/Archives/edgar/data/75362/000089102095000490/0000891020-95-000490-index.html,https://www.sec.gov/Archives/edgar/data/75362/,4308600000,1326000000,Industrials,Agricultural - Machinery,NASDAQ,1980-03-17
1995-12-31,PCAR,USD,0000075362,1996-03-25,1996-03-25 00:00:00,1995,Q4,1165800000,867000000,298800000,0.2563046835,0,101300000,0,101300000,72400000,173700000,1040700000,0,21200000,-17100000,108000000,0.092640247,125100000,0.1073082862,-21200000.0,103900000,0.0891233488,38800000,65100000,0.0558414822,0.11,0.11,590793750,590793750,https://www.sec.gov/Archives/edgar/data/75362/000091205796005057/0000912057-96-005057-index.html,https://www.sec.gov/Archives/edgar/data/75362/,4390500000,1251200000,Industrials,Agricultural - Machinery,NASDAQ,1980-03-17
1996-03-31,PCAR,USD,0000075362,1996-05-08,1996-05-08 00:00:00,1996,Q1,1094600000,895000000,199600000,0.1823497168,0,112600000,0,112600000,0,112600000,1007600000,0,31200000,-6700000,80300000,0.0733601316,87000000,0.079481089,-31200000.0,55800000,0.050977526,20100000,35700000,0.0326146538,0.0607,0.0607,588164225,588164225,https://www.sec.gov/Archives/edgar/data/75362/000091205796008596/0000912057-96-008596-index.html,https://www.sec.gov/Archives/edgar/data/75362/,4333500000,1276500000,Industrials,Agricultural - Machinery,NASDAQ,1980-03-17
1996-06-30,PCAR,USD,0000075362,1996-08-07,1996-08-07 00:00:00,1996,Q2,1100500000,897400000,203100000,0.1845524761,0,95200000,0,95200000,0,95200000,992600000,0,25400000,-11900000,96000000,0.0872330759,107900000,0.0980463426,-25400000.0,82500000,0.0749659246,30800000,51700000,0.0469786461,0.0884,0.0884,584793117,584793117,https://www.sec.gov/Archives/edgar/data/75362/000091205796016457/0000912057-96-016457-index.html,https://www.sec.gov/Archives/edgar/data/75362/,4375200000,1321100000,Industrials,Agricultural - Machinery,NASDAQ,1980-03-17
1996-09-30,PCAR,USD,0000075362,1996-11-07,1996-11-07 00:00:00,1996,Q3,1113600000,908400000,205200000,0.1842672414,0,96600000,0,96600000,0,96600000,1005000000,0,27800000,-9700000,98900000,0.0888110632,108600000,0.0975215517,-27800000.0,80800000,0.0725574713,29700000,51100000,0.0458872126,0.0871,0.0871,586767306,586767306,https://www.sec.gov/Archives/edgar/data/75362/000091205796024991/0000912057-96-024991-index.html,https://www.sec.gov/Archives/edgar/data/75362/,4440100000,1362200000,Industrials,Agricultural - Machinery,NASDAQ,1980-03-17
1996-12-31,PCAR,USD,0000075362,1997-03-27,1997-03-27 00:00:00,1996,Q4,1276000000,955400000,320600000,0.2512539185,0,123400000,0,123400000,81100000,204500000,1159900000,0,22400000,-15100000,101000000,0.079153605,116100000,0.0909874608,-22400000.0,93700000,0.0734326019,31200000,62500000,0.0489811912,0.11,0.11,590793750,590793750,https://www.sec.gov/Archives/edgar/data/75362/000091205797010312/0000912057-97-010312-index.html,https://www.sec.gov/Archives/edgar/data/75362/,5298800000,1358000000,Industrials,Agricultural - Machinery,NASDAQ,1980-03-17
1997-03-31,PCAR,USD,0000075362,1997-05-14,1997-05-14 00:00:00,1997,Q1,1511500000,1255000000,256500000,0.1696989745,0,138000000,0,138000000,0,138000000,1393000000,0,29800000,-10800000,107700000,0.0712537215,118500000,0.0783989414,-29800000.0,88700000,0.0586834271,30800000,57900000,0.0383063182,0.0976,0.0976,592974431,592974431,https://www.sec.gov/Archives/edgar/data/75362/000091205797017632/0000912057-97-017632-index.html,https://www.sec.gov/Archives/edgar/data/75362/,5206800000,1385000000,Industrials,Agricultural - Machinery,NASDAQ,1980-03-17
1997-06-30,PCAR,USD,0000075362,1997-08-11,1997-08-11 00:00:00,1997,Q2,1658100000,1366700000,291400000,0.1757433207,0,145100000,0,145100000,0,145100000,1511800000,0,35500000,-6100000,140200000,0.0845546107,146300000,0.0882335203,-35500000.0,110800000,0.0668234726,39300000,71500000,0.0431216453,0.12,0.12,588987984,588987984,https://www.sec.gov/Archives/edgar/data/75362/000091205797026975/0000912057-97-026975-index.html,https://www.sec.gov/Archives/edgar/data/75362/,5277300000,1440200000,Industrials,Agricultural - Machinery,NASDAQ,1980-03-17
